Part Description	Number	Manufacturer	MPN and Details
UX4 tube sockets	4	(various)	sub-chassis mount
Noval tube sockets	4	(various)	PCB mount
Stepped attenuator	1	Goldpoint	 4 channels, 10\,k\Ohm\ per channel, 47 positions
Volume knob	1	Custom made	59\,mm diameter, for 6\,mm shaft
Heatsinks 300$\times$100$\times$40\	mm	2	Fischer	SK 56 100 SA
Amplifier front panel	1	Front Panel Express	file {\tt OSDEHA\_AMP\_front.fpd}
Amplifier top panel	1	Front Panel Express	file {\tt OSDEHA\_AMP\_top.fpd}
Amplifier rear panel	1	Front Panel Express	file {\tt OSDEHA\_AMP\_rear.fpd}
Amplifier bottom panel	1	Front Panel Express	file {\tt OSDEHA\_AMP\_bottom.fpd}
Amplifier DHT subchassis panel	1	Front Panel Express	file {\tt OSDEHA\_AMP\_subchassis.fpd}
Power supply front panel	1	Front Panel Express	
Power supply top panel	1	Front Panel Express	
Power supply rear panel	1	Front Panel Express	
Power supply bottom panel	1	Front Panel Express	
Power supply side panels	2	Front Panel Express
Chassis panel joints		n/a	10$\times$10\	mm aluminium rods
Chassis feet	8	(various)	
IEC mains inlet	1	Schurter	KM01.1205.11
IEC mains inlet fuse holder	1	Schurter	4301.1401
Mains fuse	2		5$\times$20\,mm
Power supply outlet socket (HV)	1	Amphenol	MS3102E18-8S
Amplifier power socket (HV)	1	Amphenol	MS3102E18-8P
Umbilical connector (HV/PSU)	1	Amphenol	MS3106E18-8P
Umbilical connector (HV/AMP)	1	Amphenol	MS3106E18-8S
Power supply outlet socket (F+H)	1	Amphenol	MS3102E18-12S
Amplifier power socket (F+H)	1	Amphenol	MS3102E18-12P
Umbilical connector (F+H/PSU)	1	Amphenol	MS3106E18-12P
Umbilical connector (F+H/AMP)	1	Amphenol	MS3106E18-12S
Umbilical wires	2	Lapp	301606S
Power indicator LEDs	2	Vishay	VLHW5100 (or other 5\,mm white LED)
Power indicator LEDs, resistors	2	Vishay	CMF55200R (for connection to 6.3\,V heaters)
Test sockets for DHT filaments	8	Alltech	975455700
Standoffs, metal, M3$\times$8\,mm	20	Hasler	83.2220.03008 / PCBs
Standoffs, metal, M4$\times$30\,mm	6	Hasler	83.2220.04030 / Subchassis
Allen screws M4$\times$12\,mm	?	Hasler	83.1215.04012 / Panels to chassis joints
Allen screws M4$\times$18\,mm	?	Hasler	83.1215.04018 / Chassis joints to heatsinks
Allen screws M4$\times$12\,mm, flat head	20	Hasler	83.1270.04012 / Top and rear panel
Allen screws M3$\times$5\,mm	?	Hasler	83.1215.03005 / PCBs to standoffs [length ok?]
Allen screws M3$\times$6\,mm	?	Hasler	83.1215.03006 / PCBs to standoffs [length ok?]
Allen screws M3$\times$10\,mm	?	Hasler	83.1215.03010 / Standoffs to bottom panel
Allen screws M3$\times$12\,mm	?	Hasler	83.1215.03012 / Transistors to heatsinks
Headless screw M4$\times$16\,mm	?	Hasler	83.1705.04016 / Front panel to heatsink
Shoulder washers, for TO-220	?	Essentra	10SC004004, insulator washer
Shoulder washers, for TO-247	?	???	???, insulator washer
Heat spreader, for TO-220	?	T-Global	XL25W-TO220-18.5-12-1
Heat spreader, for TO-247	?	T-Global	XL25W-TO247-22-17-1
Cable assemblies, pre crimped	?	Molex	79758-0015
Molex KK-396 cable housing, 2 pin	?	Molex	09-50-8021
Molex KK-396 cable housing, 3 pin	?	Molex	09-50-8031
Molex KK-396 cable housing, 4 pin	?	Molex	09-50-8041
