"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C4, C5, C6, C7, C8, C9","7","220n 630 V","Capacitor_THT:C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3",""
"2","C2, C3","2","470n 1 kV","Capacitor_THT:C_Rect_L31.5mm_W13.0mm_P27.50mm_MKS4",""
"3","D3, D4, D5, D6, D7, D8, D9, D10","8","15V","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal",""
"4","H1, H2, H3, H4","4","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
"5","J1","1","INPUT","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical",""
"6","J2","1","HEATERS DC","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical",""
"7","J3","1","PSU HV","Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical",""
"8","J4","1","OUTPUT","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical",""
"9","J5","1","DHT FIL2","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical",""
"10","J6","1","DHT FIL1","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical",""
"11","Q1, Q2","2","DN2540N5-G","Package_TO_SOT_THT:TO-220-3_Vertical",""
"12","Q3, Q4","2","STF3LN80K5","Package_TO_SOT_THT:TO-220-3_Vertical",""
"13","Q5, Q7","2","AOT1N60","Package_TO_SOT_THT:TO-220-3_Vertical",""
"14","Q6, Q8","2","IXTP3N100D2","Package_TO_SOT_THT:TO-220-3_Vertical",""
"15","Q9, Q10","2","DN2540","Package_TO_SOT_THT:TO-220-3_Vertical",""
"16","R1, R3","2","500k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"17","R2, R7, R21, R22","4","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"18","R4, R9","2","27.4k 5W","Resistor_THT:R_Radial_Power_L16.1mm_W9.0mm_P7.37mm",""
"19","R5, R8, R34, R39, R40, R42","6","300","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"20","R6","1","75","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"21","R10","1","12k 7W","Resistor_THT:R_Radial_Power_L16.1mm_W9.0mm_P7.37mm",""
"22","R11, R13, R16, R18","4","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"23","R12, R17","2","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"24","R14, R19","2","20k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"25","R15, R20","2","25k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"26","R27, R28, R44, R45, R46, R47, R48, R49","8","1.27k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"27","R30, R31, R32, R35, R36, R37","6","1.5M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"28","R33, R38","2","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"29","R41, R43","2","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"30","SW1","1","SW_DPDT_x2","OSDEHA_AMP:SWITCH_2POLE_ON_ON",""
"31","U1, U2","2","6E5P","OSDEHA_AMP:belton_noval-bside",""
"32","U3, U4","2","801A","Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical",""
