"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","470u 550 VDC","Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn",""
"2","C3","1","220u 630 VDC","Capacitor_THT:CP_Radial_D35.0mm_P10.00mm_SnapIn",""
"3","C4","1","10000u 25 V","Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn",""
"4","C5, C6, C9, C10","4","100n 1 kV","Capacitor_THT:C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3",""
"5","C7, C8","2","22u 16 V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"6","C11","1","100n","Capacitor_THT:C_Rect_L26.5mm_W8.5mm_P22.50mm_MKS4",""
"7","C12, C13, C14","3","4.7u 630 V","Capacitor_THT:C_Rect_L41.5mm_W20.0mm_P37.50mm_MKS4",""
"8","CHASSIS1","1","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad",""
"9","D1, D2, D3, D4","4","SBT1845-3G","Package_TO_SOT_THT:TO-220-2_Vertical",""
"10","D5, D7","2","1N4007","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal",""
"11","D6","1","1N4004","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"12","D8, D9","2","200 V","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal",""
"13","D10","1","180 V","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal",""
"14","D11","1","GBJ3510","Diode_THT:Diode_Bridge_32.0x5.6x17.0mm_P10.0mm_P7.5mm",""
"15","D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D23","12","STTH512FP","Package_TO_SOT_THT:TO-220-2_Vertical",""
"16","H1, H2, H3","3","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
"17","J1, J2","2","340 VAC / 220 mA","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"18","J3","1","420 VAC / 75 mA","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"19","J4","1","9 VAC / 4.5 A","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"20","J5","1","Stator bias","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical",""
"21","J6","1","HV-L","Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical",""
"22","J7","1","HV-R","Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical",""
"23","J8","1","HEATERS-LEFT","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical",""
"24","J9","1","HEATERS-RIGHT","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical",""
"25","K1","1","RT424006","Relay_THT:Relay_DPDT_Schrack-RT2-FormC_RM5mm",""
"26","Q1","1","BD138","Package_TO_SOT_THT:TO-126-3_Vertical",""
"27","Q2","1","10M90S","Package_TO_SOT_THT:TO-220-3_Vertical",""
"28","Q3, Q4, Q7, Q8, Q11, Q12","6","LND150","Package_TO_SOT_THT:TO-92",""
"29","Q5, Q9, Q13","3","NTHL1000N170M1 ","Package_TO_SOT_THT:TO-247-3_Vertical",""
"30","Q6, Q10, Q14","3","BC550","Package_TO_SOT_THT:TO-92_Inline",""
"31","R1, R2","2","787k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"32","R3","1","976k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"33","R4","1","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"34","R5","1","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"35","R6","1","787k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"36","R7","1","1.91k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"37","R8","1","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"38","R9","1","3.3k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"39","R10","1","2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"40","R11","1","3k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"41","R12, R13","2","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"42","R14","1","4.7M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"43","R15","1","100 5 W","Resistor_THT:R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal",""
"44","R16, R22, R28","3","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"45","R17, R19, R23, R25, R29, R31","6","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"46","R18, R24, R30","3","1.5k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"47","R20, R26, R32","3","300","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"48","R21, R27, R33","3","2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"49","RV1","1","1M","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"50","RV2, RV3, RV4","3","1k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"51","U1","1","LM1085-ADJ","Package_TO_SOT_THT:TO-220-3_Vertical",""
"52","U2","1","NE555P","Package_DIP:DIP-8_W7.62mm",""
