OSDEHA FREQUENCY RESPONSE AT 100 VRMS OUT
mbrennwa, 9 MAR 2025
100 pF DUMMY LOAD

MU-OUTPUT:
F (Hz)	V-out (Vrms)
500000	20.5
300000	34.7
150000	60.3
100000	74.3
50000	90.1
30000	95.4
20000	97.7
10000	98.9
7000	100
5000	100
3000	100
1000	100
500	100
300	100
200	100
100	100
70	99.6
50	99.0
30	95.2
20	89.1
15	82.1
10	68.2
7.0	52.9	
5.0	37.6
3.0	18.6


ANODE-OUTPUT:
F (Hz)	V-out (Vrms)
500000	13.0
300000	21.2
150000	39.8
100000	52.7
50000	78.1
30000	89.5
20000	94.8
10000	98.8
7000	100
5000	100
3000	100
1000	100
500	100
400	100
300	100
200	100
100	100
70	99.9
50	99.7
30	96.7
20	91.6
15	84.7
10	71.3
7.0	57.4	
5.0	41.8
3.0	22.8
