* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:55:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 23.69 V 23.69 VC, 23.69 VA 23.69 V 22 - 22k UNW 878.9 uV >22k Distortion at 1,000.0 Hz, -12.51 dBFS: Gain: 29.34 dB THD: 0.019 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0016 %  [10 .. 22] N: 0.053 %  [0..22800 Hz] N+D: 6.595 mV A THD+N: 0.057 %  [0..22800 Hz] SNR: 65.5 dB ENOB: 13.1 bits 2nd harmonic 0.019 % -150 deg 3rd harmonic 0.0021 % 17 deg 4th harmonic 0.00054 % 31 deg 5th harmonic 0.00050 % 86 deg 6th harmonic 0.00045 % 132 deg 7th harmonic 0.00045 % 131 deg 8th harmonic 0.00042 % -161 deg 9th harmonic 0.00046 % -127 deg 
* Measurement: OSDEGA A-OUT 23.7
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.47019E-4
11.718750; 2.57740E-4
17.578125; 2.06309E-4
23.437500; 1.64884E-4
29.296875; 1.68449E-4
35.156250; 1.51740E-4
41.015625; 1.55389E-4
46.875000; 3.80924E-4
52.734375; 3.86157E-4
58.593750; 1.42449E-4
64.453125; 1.33267E-4
70.312500; 1.31764E-4
76.171875; 1.23352E-4
82.031250; 1.42869E-4
87.890625; 1.74574E-4
93.750000; 5.11011E-3
99.609375; 1.13489E-2
105.468750; 6.29269E-3
111.328125; 2.05732E-4
117.187500; 1.31676E-4
123.046875; 1.38170E-4
128.906250; 1.28342E-4
134.765625; 1.20549E-4
140.625000; 1.20725E-4
146.484375; 1.50865E-4
152.343750; 1.55156E-4
158.203125; 1.33325E-4
164.062500; 1.24066E-4
169.921875; 1.16614E-4
175.781250; 1.17820E-4
181.640625; 1.17215E-4
187.500000; 1.24030E-4
193.359375; 5.96962E-4
199.218750; 1.48262E-3
205.078125; 9.10663E-4
210.937500; 1.27016E-4
216.796875; 1.16652E-4
222.656250; 1.05720E-4
228.515625; 9.99123E-5
234.375000; 1.11928E-4
240.234375; 1.13833E-4
