* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:58:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 4.214 V 4.214 VC, 4.214 VA 4.214 V 22 - 22k UNW 877.8 uV >22k Distortion at 1,000.0 Hz, -27.51 dBFS: Gain: 29.34 dB THD: 0.011 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0086 %  [10 .. 22] N: 0.30 %  [0..22800 Hz] N+D: 4.150 mV A THD+N: 0.30 %  [0..22800 Hz] SNR: 50.5 dB ENOB: 13.2 bits 2nd harmonic 0.0032 % -133 deg 3rd harmonic 0.0025 % 162 deg 4th harmonic 0.0024 % -151 deg 5th harmonic 0.0024 % 6 deg 6th harmonic 0.0025 % 11 deg 7th harmonic 0.0025 % 125 deg 8th harmonic 0.0024 % 73 deg 9th harmonic 0.0023 % 127 deg 
* Measurement: OSDEHA 4.21V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.84577E-4
11.718750; 2.74795E-4
17.578125; 2.14781E-4
23.437500; 1.73993E-4
29.296875; 1.51045E-4
35.156250; 1.51527E-4
41.015625; 1.50204E-4
46.875000; 3.70254E-4
52.734375; 3.93203E-4
58.593750; 1.64352E-4
64.453125; 1.32447E-4
70.312500; 1.35607E-4
76.171875; 1.33220E-4
82.031250; 1.33872E-4
87.890625; 1.59751E-4
93.750000; 5.03475E-3
99.609375; 1.12498E-2
105.468750; 6.25279E-3
111.328125; 1.85620E-4
117.187500; 1.34039E-4
123.046875; 1.11689E-4
128.906250; 1.19693E-4
134.765625; 1.17696E-4
140.625000; 1.22226E-4
146.484375; 1.49193E-4
152.343750; 1.60319E-4
158.203125; 1.18989E-4
164.062500; 1.24858E-4
169.921875; 1.25582E-4
175.781250; 1.23314E-4
181.640625; 1.29380E-4
187.500000; 1.21496E-4
193.359375; 6.14617E-4
199.218750; 1.51626E-3
205.078125; 9.52580E-4
210.937500; 1.32845E-4
216.796875; 1.14674E-4
222.656250; 1.13488E-4
228.515625; 1.14250E-4
234.375000; 1.09229E-4
240.234375; 1.19580E-4
246.093750; 1.47020E-4
251.953125; 1.70813E-4
257.812500; 1.21951E-4
263.671875; 1.25801E-4
269.531250; 1.14284E-4
275.390625; 1.15278E-4
281.250000; 1.10327E-4
287.109375; 1.20162E-4
292.968750; 1.37399E-4
298.828125; 2.26678E-4
304.687500; 1.85691E-4
310.546875; 1.20088E-4
316.406250; 1.05824E-4
322.265625; 1.08618E-4
328.125000; 1.13871E-4
333.984375; 1.10087E-4
339.843750; 1.14285E-4
345.703125; 1.41766E-4
351.562500; 1.62601E-4
357.421875; 1.27829E-4
363.281250; 1.13923E-4
369.140625; 1.06687E-4
375.000000; 1.04097E-4
380.859375; 1.09292E-4
386.718750; 1.16965E-4
392.578125; 1.68073E-4
398.437500; 4.35545E-4
404.296875; 3.35576E-4
410.156250; 1.08369E-4
416.015625; 1.09753E-4
421.875000; 1.27877E-4
427.734375; 1.02825E-4
433.593750; 1.08462E-4
439.453125; 1.14937E-4
445.312500; 1.20713E-4
451.171875; 1.30173E-4
457.031250; 1.13725E-4
462.890625; 1.10442E-4
468.750000; 1.15331E-4
474.609375; 1.12646E-4
480.468750; 1.00362E-4
486.328125; 1.01990E-4
492.187500; 1.39188E-4
498.046875; 3.01835E-4
503.906250; 2.54290E-4
509.765625; 1.24180E-4
515.625000; 1.05626E-4
521.484375; 1.15875E-4
527.343750; 1.33013E-4
533.203125; 1.14379E-4
539.062500; 1.05194E-4
544.921875; 1.09985E-4
550.781250; 1.16252E-4
556.640625; 1.16087E-4
562.500000; 1.10833E-4
568.359375; 1.11880E-4
574.218750; 1.17406E-4
580.078125; 1.12489E-4
585.937500; 1.04071E-4
591.796875; 1.04910E-4
597.656250; 1.16517E-4
603.515625; 1.25579E-4
609.375000; 1.08423E-4
615.234375; 1.05707E-4
621.093750; 1.13063E-4
626.953125; 1.16090E-4
632.812500; 1.10467E-4
638.671875; 1.08949E-4
644.531250; 1.16511E-4
650.390625; 1.14648E-4
656.250000; 9.80251E-5
662.109375; 1.06189E-4
667.968750; 9.72521E-5
673.828125; 9.92899E-5
679.687500; 1.08542E-4
685.546875; 1.16376E-4
691.406250; 1.15221E-4
697.265625; 1.87222E-4
703.125000; 1.90137E-4
708.984375; 1.07219E-4
714.843750; 9.61819E-5
720.703125; 1.09603E-4
726.562500; 1.09612E-4
732.421875; 1.10972E-4
738.281250; 1.07313E-4
744.140625; 1.15734E-4
750.000000; 1.45898E-4
755.859375; 1.23580E-4
761.718750; 1.13333E-4
767.578125; 1.03789E-4
773.437500; 1.00428E-4
779.296875; 9.98940E-5
785.156250; 1.09713E-4
791.015625; 1.09795E-4
796.875000; 1.30603E-4
802.734375; 1.43790E-4
808.593750; 9.58222E-5
814.453125; 1.16275E-4
820.312500; 1.20334E-4
826.171875; 1.29048E-4
832.031250; 1.30626E-4
837.890625; 1.28380E-4
843.750000; 1.28384E-4
849.609375; 1.38318E-4
855.468750; 1.53065E-4
861.328125; 1.29524E-4
867.187500; 1.51713E-4
873.046875; 1.51020E-4
878.906250; 1.69402E-4
884.765625; 1.80508E-4
890.625000; 2.10138E-4
896.484375; 2.41375E-4
902.343750; 2.87736E-4
908.203125; 3.22093E-4
914.062500; 3.84534E-4
919.921875; 4.69539E-4
925.781250; 5.91901E-4
931.640625; 7.36258E-4
937.500000; 9.67316E-4
943.359375; 1.30924E-3
949.218750; 1.82047E-3
955.078125; 2.60446E-3
960.937500; 4.03016E-3
966.796875; 6.58463E-3
972.656250; 1.19892E-2
978.515625; 2.54486E-2
984.375000; 7.12950E-2
990.234375; 3.92065E-1
996.093750; 3.13658E0
1001.953125; 3.92072E0
1007.812500; 1.12020E0
1013.671875; 1.12037E-1
1019.531250; 3.44562E-2
1025.390625; 1.50716E-2
1031.250000; 7.95220E-3
1037.109375; 4.68444E-3
1042.968750; 3.00994E-3
1048.828125; 2.02232E-3
1054.687500; 1.46710E-3
1060.546875; 1.05930E-3
1066.406250; 8.10930E-4
1072.265625; 6.37261E-4
1078.125000; 5.02692E-4
1083.984375; 3.99289E-4
1089.843750; 3.56658E-4
1095.703125; 2.75473E-4
1101.562500; 2.71049E-4
1107.421875; 2.19928E-4
1113.281250; 2.00788E-4
1119.140625; 1.71489E-4
1125.000000; 1.61135E-4
1130.859375; 1.57860E-4
1136.718750; 1.37926E-4
1142.578125; 1.48617E-4
1148.437500; 1.51639E-4
1154.296875; 1.30997E-4
1160.156250; 1.20034E-4
1166.015625; 1.06922E-4
1171.875000; 1.18542E-4
1177.734375; 1.24546E-4
1183.593750; 1.19089E-4
1189.453125; 1.11482E-4
1195.312500; 9.98369E-5
1201.171875; 1.11200E-4
1207.031250; 1.16573E-4
1212.890625; 9.37625E-5
1218.750000; 1.04940E-4
1224.609375; 1.14808E-4
1230.468750; 9.78779E-5
1236.328125; 1.00444E-4
1242.187500; 9.17951E-5
1248.046875; 1.03417E-4
1253.906250; 1.08676E-4
1259.765625; 1.04267E-4
1265.625000; 1.11948E-4
1271.484375; 1.07059E-4
1277.343750; 1.06306E-4
1283.203125; 1.02531E-4
1289.062500; 1.04354E-4
1294.921875; 1.01854E-4
1300.781250; 1.17328E-4
1306.640625; 1.13684E-4
1312.500000; 1.15288E-4
1318.359375; 1.06810E-4
1324.218750; 1.00632E-4
1330.078125; 1.05634E-4
1335.937500; 1.02040E-4
1341.796875; 1.07634E-4
1347.656250; 1.11622E-4
1353.515625; 1.11109E-4
1359.375000; 1.10308E-4
1365.234375; 1.05455E-4
1371.093750; 9.82630E-5
1376.953125; 1.08407E-4
1382.812500; 1.08788E-4
1388.671875; 1.01629E-4
1394.531250; 1.03517E-4
1400.390625; 1.21639E-4
1406.250000; 1.03808E-4
1412.109375; 1.04685E-4
1417.968750; 9.78840E-5
1423.828125; 9.58467E-5
1429.687500; 1.02865E-4
1435.546875; 1.04712E-4
1441.406250; 9.18409E-5
1447.265625; 1.05246E-4
1453.125000; 1.14965E-4
1458.984375; 1.01101E-4
1464.843750; 1.07816E-4
1470.703125; 1.10694E-4
1476.562500; 1.12601E-4
1482.421875; 1.11589E-4
1488.281250; 1.00843E-4
1494.140625; 1.08714E-4
1500.000000; 1.20059E-4
1505.859375; 1.15659E-4
1511.718750; 1.12919E-4
1517.578125; 1.01793E-4
