* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:48:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 31.60 V 31.60 VC, 31.60 VA 31.60 V 22 - 22k UNW 873.5 uV >22k Distortion at 1,000.0 Hz, -10.01 dBFS: Gain: 29.34 dB THD: 0.022 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0012 %  [10 .. 22] N: 0.040 %  [0..22800 Hz] N+D: 8.848 mV A THD+N: 0.045 %  [0..22800 Hz] SNR: 68.0 dB ENOB: 13.0 bits 2nd harmonic 0.021 % -154 deg 3rd harmonic 0.0032 % -6 deg 4th harmonic 0.0013 % -175 deg 5th harmonic 0.00054 % 68 deg 6th harmonic 0.00046 % -7 deg 7th harmonic 0.00040 % 114 deg 8th harmonic 0.00038 % 143 deg 9th harmonic 0.00032 % -104 deg 
* Measurement: OSDEHA A-OUIT 31V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.81478E-4
11.718750; 2.94393E-4
17.578125; 2.46473E-4
23.437500; 2.05734E-4
29.296875; 1.72209E-4
35.156250; 1.46434E-4
41.015625; 1.65371E-4
46.875000; 3.74436E-4
52.734375; 3.92774E-4
58.593750; 1.55068E-4
64.453125; 1.45154E-4
70.312500; 1.32484E-4
76.171875; 1.28123E-4
82.031250; 1.30845E-4
87.890625; 1.71095E-4
93.750000; 5.11249E-3
99.609375; 1.13639E-2
105.468750; 6.30683E-3
111.328125; 2.03464E-4
117.187500; 1.27257E-4
123.046875; 1.12041E-4
128.906250; 1.13866E-4
134.765625; 1.25991E-4
140.625000; 1.23222E-4
146.484375; 1.44298E-4
152.343750; 1.57083E-4
158.203125; 1.22132E-4
164.062500; 1.23464E-4
169.921875; 1.19538E-4
175.781250; 1.11477E-4
181.640625; 1.09468E-4
187.500000; 1.14901E-4
193.359375; 6.23722E-4
199.218750; 1.53857E-3
205.078125; 9.55455E-4
210.937500; 1.43821E-4
216.796875; 1.14625E-4
222.656250; 1.10205E-4
228.515625; 1.01245E-4
234.375000; 1.13663E-4
240.234375; 1.13893E-4
246.093750; 1.36409E-4
251.953125; 1.40374E-4
257.812500; 1.04821E-4
263.671875; 1.16745E-4
269.531250; 1.12245E-4
275.390625; 1.16424E-4
281.250000; 1.04379E-4
287.109375; 1.08397E-4
292.968750; 1.44808E-4
298.828125; 2.53637E-4
304.687500; 2.06405E-4
310.546875; 1.33636E-4
316.406250; 1.22795E-4
322.265625; 1.21413E-4
328.125000; 1.19700E-4
333.984375; 1.09278E-4
339.843750; 1.17762E-4
345.703125; 1.48837E-4
351.562500; 1.64816E-4
357.421875; 1.29819E-4
363.281250; 1.29871E-4
369.140625; 1.14047E-4
375.000000; 1.14297E-4
380.859375; 1.16591E-4
386.718750; 1.15449E-4
392.578125; 1.65097E-4
398.437500; 4.35112E-4
404.296875; 3.39925E-4
410.156250; 1.13716E-4
416.015625; 1.10484E-4
421.875000; 1.27630E-4
427.734375; 1.19990E-4
433.593750; 1.07128E-4
439.453125; 1.08001E-4
445.312500; 1.27182E-4
451.171875; 1.42544E-4
457.031250; 1.17954E-4
462.890625; 1.11312E-4
468.750000; 1.24447E-4
474.609375; 1.19138E-4
480.468750; 1.26533E-4
486.328125; 1.11869E-4
492.187500; 1.24588E-4
498.046875; 2.98793E-4
503.906250; 2.55570E-4
509.765625; 1.13541E-4
515.625000; 1.15490E-4
521.484375; 1.15264E-4
527.343750; 1.07863E-4
533.203125; 1.07692E-4
539.062500; 1.16533E-4
544.921875; 1.21983E-4
550.781250; 1.08910E-4
556.640625; 1.23130E-4
562.500000; 1.23208E-4
568.359375; 1.09082E-4
574.218750; 1.10146E-4
580.078125; 1.25634E-4
585.937500; 1.28330E-4
591.796875; 1.29868E-4
597.656250; 1.28811E-4
603.515625; 1.27494E-4
609.375000; 1.16522E-4
615.234375; 1.19366E-4
621.093750; 1.22054E-4
626.953125; 1.21535E-4
632.812500; 1.11977E-4
638.671875; 1.21458E-4
644.531250; 1.31783E-4
650.390625; 1.28568E-4
656.250000; 1.26740E-4
662.109375; 1.21603E-4
667.968750; 1.19734E-4
673.828125; 1.14082E-4
679.687500; 1.20325E-4
685.546875; 1.27398E-4
691.406250; 1.24224E-4
697.265625; 2.12947E-4
703.125000; 2.20968E-4
708.984375; 1.26156E-4
714.843750; 1.25074E-4
720.703125; 1.27525E-4
726.562500; 1.47704E-4
732.421875; 1.38813E-4
738.281250; 1.47194E-4
744.140625; 1.62627E-4
750.000000; 1.80147E-4
755.859375; 1.73495E-4
761.718750; 1.54341E-4
767.578125; 1.85723E-4
773.437500; 1.80078E-4
779.296875; 1.84878E-4
785.156250; 2.18217E-4
791.015625; 2.17049E-4
796.875000; 2.66540E-4
802.734375; 2.71758E-4
808.593750; 2.73022E-4
814.453125; 2.98336E-4
820.312500; 3.15947E-4
826.171875; 3.57700E-4
832.031250; 3.89727E-4
837.890625; 4.08302E-4
843.750000; 4.89850E-4
849.609375; 5.31011E-4
855.468750; 5.90075E-4
861.328125; 6.63221E-4
867.187500; 7.61381E-4
873.046875; 8.72400E-4
878.906250; 9.80759E-4
884.765625; 1.16679E-3
890.625000; 1.34071E-3
896.484375; 1.60305E-3
902.343750; 1.87836E-3
908.203125; 2.28803E-3
914.062500; 2.77667E-3
919.921875; 3.43822E-3
925.781250; 4.29827E-3
931.640625; 5.53378E-3
937.500000; 7.24340E-3
943.359375; 9.74627E-3
949.218750; 1.35585E-2
955.078125; 1.96589E-2
960.937500; 3.00805E-2
966.796875; 4.94011E-2
972.656250; 8.98291E-2
978.515625; 1.90870E-1
984.375000; 5.34454E-1
990.234375; 2.93953E0
996.093750; 2.35162E1
1001.953125; 2.93952E1
1007.812500; 8.39862E0
1013.671875; 8.39882E-1
1019.531250; 2.58403E-1
1025.390625; 1.13066E-1
1031.250000; 5.95069E-2
1037.109375; 3.51498E-2
1042.968750; 2.25128E-2
1048.828125; 1.52663E-2
1054.687500; 1.08437E-2
1060.546875; 7.97403E-3
1066.406250; 6.01732E-3
1072.265625; 4.68275E-3
1078.125000; 3.69351E-3
1083.984375; 2.96844E-3
1089.843750; 2.44880E-3
1095.703125; 1.98408E-3
1101.562500; 1.69967E-3
1107.421875; 1.42745E-3
1113.281250; 1.20062E-3
1119.140625; 1.04842E-3
1125.000000; 9.04786E-4
1130.859375; 7.84299E-4
1136.718750; 7.11482E-4
1142.578125; 6.03446E-4
1148.437500; 5.61964E-4
1154.296875; 4.66391E-4
1160.156250; 4.60088E-4
1166.015625; 3.93508E-4
1171.875000; 3.63217E-4
1177.734375; 3.21190E-4
1183.593750; 3.13685E-4
1189.453125; 2.73130E-4
1195.312500; 2.71377E-4
1201.171875; 2.47973E-4
1207.031250; 2.31823E-4
1212.890625; 2.08008E-4
1218.750000; 1.99601E-4
1224.609375; 1.82597E-4
1230.468750; 1.91344E-4
1236.328125; 1.78591E-4
1242.187500; 1.57709E-4
1248.046875; 1.62777E-4
1253.906250; 1.47132E-4
1259.765625; 1.50135E-4
1265.625000; 1.37179E-4
1271.484375; 1.30359E-4
1277.343750; 1.37133E-4
1283.203125; 1.25002E-4
1289.062500; 1.30609E-4
1294.921875; 1.36994E-4
1300.781250; 1.37265E-4
1306.640625; 1.25597E-4
1312.500000; 1.21161E-4
1318.359375; 1.26239E-4
1324.218750; 1.19706E-4
1330.078125; 1.11899E-4
1335.937500; 1.17380E-4
1341.796875; 1.19745E-4
1347.656250; 1.32709E-4
1353.515625; 1.30653E-4
1359.375000; 1.09865E-4
1365.234375; 1.20990E-4
1371.093750; 1.08003E-4
1376.953125; 1.10731E-4
1382.812500; 9.32635E-5
1388.671875; 1.06570E-4
1394.531250; 1.15377E-4
1400.390625; 1.23466E-4
1406.250000; 1.22275E-4
1412.109375; 1.11438E-4
1417.968750; 1.22607E-4
1423.828125; 1.19162E-4
1429.687500; 1.20139E-4
1435.546875; 1.05618E-4
1441.406250; 9.21296E-5
1447.265625; 1.09775E-4
1453.125000; 1.04675E-4
1458.984375; 1.04005E-4
1464.843750; 1.11640E-4
1470.703125; 1.05275E-4
1476.562500; 1.12700E-4
1482.421875; 1.16315E-4
1488.281250; 1.08700E-4
1494.140625; 1.05831E-4
1500.000000; 1.05764E-4
1505.859375; 1.04813E-4
1511.718750; 1.00487E-4
1517.578125; 9.86124E-5
1523.437500; 1.06943E-4
1529.296875; 1.02133E-4
1535.156250; 9.38753E-5
1541.015625; 1.04595E-4
1546.875000; 1.09187E-4
1552.734375; 1.17217E-4
1558.593750; 1.09939E-4
1564.453125; 1.00658E-4
1570.312500; 9.91979E-5
1576.171875; 9.04484E-5
1582.031250; 9.98451E-5
1587.890625; 1.01480E-4
1593.750000; 1.03129E-4
1599.609375; 1.15544E-4
1605.468750; 1.18434E-4
1611.328125; 1.20984E-4
1617.187500; 1.08018E-4
1623.046875; 9.75103E-5
1628.906250; 1.04747E-4
1634.765625; 1.00597E-4
1640.625000; 1.03461E-4
1646.484375; 1.05718E-4
1652.343750; 1.01557E-4
1658.203125; 1.01137E-4
1664.062500; 1.02845E-4
1669.921875; 1.16288E-4
1675.781250; 1.09659E-4
1681.640625; 9.73663E-5
1687.500000; 1.06093E-4
1693.359375; 1.14346E-4
1699.218750; 1.20245E-4
1705.078125; 1.11364E-4
1710.937500; 1.14491E-4
1716.796875; 1.11950E-4
1722.656250; 1.10632E-4
1728.515625; 1.01966E-4
1734.375000; 1.06635E-4
1740.234375; 1.13287E-4
1746.093750; 1.11603E-4
1751.953125; 1.01870E-4
1757.812500; 1.03019E-4
1763.671875; 1.07414E-4
1769.531250; 9.70563E-5
1775.390625; 1.01145E-4
1781.250000; 1.03591E-4
1787.109375; 1.16243E-4
1792.968750; 1.07985E-4
1798.828125; 1.05633E-4
1804.687500; 1.20820E-4
1810.546875; 1.25767E-4
1816.406250; 1.09647E-4
1822.265625; 1.13690E-4
1828.125000; 1.16073E-4
1833.984375; 1.11316E-4
1839.843750; 1.11963E-4
1845.703125; 1.21911E-4
1851.562500; 1.29566E-4
1857.421875; 1.19673E-4
1863.281250; 1.04780E-4
1869.140625; 1.05452E-4
1875.000000; 1.11224E-4
1880.859375; 1.00334E-4
1886.718750; 1.12407E-4
1892.578125; 1.14182E-4
1898.437500; 1.25146E-4
1904.296875; 1.18674E-4
1910.156250; 1.10493E-4
1916.015625; 1.07625E-4
1921.875000; 1.01246E-4
1927.734375; 9.93300E-5
1933.593750; 1.11111E-4
1939.453125; 1.15129E-4
1945.312500; 1.03210E-4
1951.171875; 9.60041E-5
1957.031250; 1.03803E-4
1962.890625; 1.05191E-4
1968.750000; 1.08395E-4
1974.609375; 1.04596E-4
1980.468750; 1.23951E-4
1986.328125; 2.06008E-4
1992.187500; 1.77721E-3
1998.046875; 6.24713E-3
2003.906250; 5.00510E-3
2009.765625; 6.33009E-4
2015.625000; 1.56485E-4
2021.484375; 1.20907E-4
2027.343750; 1.16179E-4
2033.203125; 1.14555E-4
2039.062500; 1.05814E-4
2044.921875; 1.11593E-4
2050.781250; 1.09307E-4
2056.640625; 9.98420E-5
2062.500000; 1.00730E-4
2068.359375; 1.07174E-4
2074.218750; 1.10720E-4
2080.078125; 1.06909E-4
2085.937500; 1.01159E-4
2091.796875; 1.03517E-4
2097.656250; 1.00456E-4
2103.515625; 9.78928E-5
2109.375000; 9.34264E-5
2115.234375; 9.38160E-5
2121.093750; 9.72861E-5
2126.953125; 1.02694E-4
2132.812500; 1.07971E-4
2138.671875; 1.00804E-4
2144.531250; 1.01186E-4
2150.390625; 9.75719E-5
2156.250000; 9.80725E-5
2162.109375; 1.07394E-4
2167.968750; 1.10020E-4
2173.828125; 1.03989E-4
2179.687500; 1.04516E-4
2185.546875; 1.07929E-4
2191.406250; 1.07327E-4
2197.265625; 1.09683E-4
2203.125000; 1.21862E-4
2208.984375; 1.20868E-4
2214.843750; 1.13611E-4
2220.703125; 1.07681E-4
2226.562500; 9.82643E-5
2232.421875; 9.40298E-5
2238.281250; 9.75922E-5
2244.140625; 1.02156E-4
2250.000000; 1.04778E-4
2255.859375; 1.19019E-4
2261.718750; 1.01171E-4
2267.578125; 9.34215E-5
2273.437500; 9.68683E-5
2279.296875; 9.95557E-5
2285.156250; 1.05860E-4
2291.015625; 9.87670E-5
2296.875000; 9.38736E-5
2302.734375; 9.45440E-5
2308.593750; 1.03485E-4
2314.453125; 1.06338E-4
2320.312500; 1.05720E-4
2326.171875; 1.08487E-4
2332.031250; 1.01964E-4
2337.890625; 1.07523E-4
2343.750000; 1.10021E-4
2349.609375; 1.10190E-4
2355.468750; 1.00014E-4
2361.328125; 9.21468E-5
2367.187500; 9.48905E-5
2373.046875; 1.06522E-4
2378.906250; 1.14134E-4
2384.765625; 1.09185E-4
2390.625000; 1.11534E-4
2396.484375; 1.12923E-4
2402.343750; 1.05254E-4
2408.203125; 1.03189E-4
2414.062500; 1.11625E-4
2419.921875; 1.09497E-4
2425.781250; 9.89580E-5
2431.640625; 9.41041E-5
2437.500000; 9.37814E-5
2443.359375; 9.86349E-5
2449.218750; 1.06922E-4
2455.078125; 1.03203E-4
2460.937500; 1.09350E-4
2466.796875; 1.04610E-4
2472.656250; 1.07660E-4
2478.515625; 1.11200E-4
2484.375000; 1.09736E-4
2490.234375; 1.10235E-4
2496.093750; 1.14843E-4
2501.953125; 1.14931E-4
2507.812500; 1.04197E-4
2513.671875; 9.84579E-5
2519.531250; 1.12461E-4
2525.390625; 1.16364E-4
2531.250000; 1.03749E-4
2537.109375; 9.27932E-5
2542.968750; 9.78392E-5
2548.828125; 9.05054E-5
2554.687500; 1.04878E-4
2560.546875; 1.08380E-4
2566.406250; 1.04220E-4
2572.265625; 1.08334E-4
2578.125000; 1.10158E-4
2583.984375; 1.11395E-4
2589.843750; 1.15507E-4
2595.703125; 1.04909E-4
2601.562500; 9.99357E-5
2607.421875; 9.47422E-5
2613.281250; 1.06475E-4
2619.140625; 1.04786E-4
2625.000000; 9.98594E-5
2630.859375; 1.00161E-4
2636.718750; 1.01401E-4
2642.578125; 1.05863E-4
2648.437500; 1.17723E-4
2654.296875; 1.16908E-4
2660.156250; 1.10000E-4
