* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:04:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 1.001 V 1.001 VC, 1.001 VA 1.001 V 22 - 22k UNW 870.7 uV >22k Distortion at 1,000.0 Hz, -40.00 dBFS: Gain: 29.34 dB THD: 0.047 % based on 21 harmonics  [0..22800 Hz] HHD: 0.036 %  [10 .. 22] N: 1.30 %  [0..22800 Hz] N+D: 4.181 mV A THD+N: 1.30 %  [0..22800 Hz] SNR: 37.7 dB ENOB: 13.1 bits 2nd harmonic 0.011 % -81 deg 3rd harmonic 0.010 % -98 deg 4th harmonic 0.011 % 108 deg 5th harmonic 0.0095 % 4 deg 6th harmonic 0.011 % -79 deg 7th harmonic 0.011 % -89 deg 8th harmonic 0.010 % 77 deg 9th harmonic 0.011 % -44 deg 
* Measurement: OSDEHA A-OUT 1.0V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.52457E-3
11.718750; 2.32845E-3
17.578125; 4.07313E-4
23.437500; 1.59500E-4
29.296875; 1.72144E-4
35.156250; 1.62022E-4
41.015625; 1.74281E-4
46.875000; 4.08627E-4
52.734375; 4.10541E-4
58.593750; 1.50429E-4
64.453125; 1.57712E-4
70.312500; 1.40580E-4
76.171875; 1.16507E-4
82.031250; 1.26502E-4
87.890625; 1.80834E-4
93.750000; 5.14796E-3
99.609375; 1.14670E-2
105.468750; 6.36666E-3
111.328125; 2.16794E-4
117.187500; 1.19573E-4
123.046875; 1.17079E-4
128.906250; 1.16979E-4
134.765625; 1.18174E-4
140.625000; 1.25637E-4
146.484375; 1.52946E-4
152.343750; 1.56954E-4
158.203125; 1.29152E-4
164.062500; 1.25903E-4
169.921875; 1.13987E-4
175.781250; 1.09141E-4
181.640625; 1.27580E-4
187.500000; 1.08432E-4
193.359375; 6.47913E-4
199.218750; 1.55278E-3
