* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:01:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 1.333 V 1.333 VC, 1.333 VA 1.333 V 22 - 22k UNW 863.1 uV >22k Distortion at 1,000.0 Hz, -37.51 dBFS: Gain: 29.34 dB THD: 0.035 % based on 21 harmonics  [0..22800 Hz] HHD: 0.027 %  [10 .. 22] N: 0.93 %  [0..22800 Hz] N+D: 4.158 mV A THD+N: 0.93 %  [0..22800 Hz] SNR: 40.6 dB ENOB: 13.2 bits 2nd harmonic 0.0078 % -51 deg 3rd harmonic 0.0082 % 168 deg 4th harmonic 0.0079 % 48 deg 5th harmonic 0.0076 % -43 deg 6th harmonic 0.0080 % -53 deg 7th harmonic 0.0077 % 106 deg 8th harmonic 0.0076 % -72 deg 9th harmonic 0.0078 % -156 deg 
* Measurement: OSDEHA A-OUT 1.33V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 4.54729E-4
11.718750; 3.59602E-4
17.578125; 2.64291E-4
23.437500; 2.11954E-4
29.296875; 1.89891E-4
35.156250; 1.69298E-4
41.015625; 1.65783E-4
46.875000; 4.01063E-4
52.734375; 4.01923E-4
58.593750; 1.40539E-4
64.453125; 1.32306E-4
70.312500; 1.41621E-4
76.171875; 1.40131E-4
82.031250; 1.38834E-4
87.890625; 1.69432E-4
93.750000; 4.98869E-3
99.609375; 1.10955E-2
105.468750; 6.15198E-3
111.328125; 1.72614E-4
117.187500; 1.42095E-4
123.046875; 1.30666E-4
128.906250; 1.30231E-4
134.765625; 1.17847E-4
140.625000; 1.25006E-4
146.484375; 1.26146E-4
152.343750; 1.32135E-4
158.203125; 1.20596E-4
164.062500; 1.15521E-4
169.921875; 1.20717E-4
175.781250; 1.15900E-4
181.640625; 1.13019E-4
187.500000; 1.29306E-4
193.359375; 6.36722E-4
199.218750; 1.57746E-3
205.078125; 9.71667E-4
210.937500; 1.23579E-4
216.796875; 1.19867E-4
222.656250; 1.13990E-4
228.515625; 1.16454E-4
234.375000; 1.17787E-4
240.234375; 1.11291E-4
246.093750; 1.48329E-4
251.953125; 1.55223E-4
257.812500; 1.12887E-4
263.671875; 1.22306E-4
269.531250; 1.19170E-4
275.390625; 1.13083E-4
281.250000; 1.03652E-4
287.109375; 1.09190E-4
292.968750; 1.70752E-4
298.828125; 3.39050E-4
304.687500; 2.52241E-4
310.546875; 1.08758E-4
316.406250; 1.05857E-4
322.265625; 1.15870E-4
328.125000; 1.09187E-4
333.984375; 1.08352E-4
339.843750; 1.02384E-4
345.703125; 1.49215E-4
351.562500; 1.71200E-4
357.421875; 1.19431E-4
363.281250; 1.25166E-4
369.140625; 1.10923E-4
375.000000; 1.11050E-4
380.859375; 1.11926E-4
386.718750; 1.11092E-4
392.578125; 1.78762E-4
398.437500; 4.99198E-4
404.296875; 3.82710E-4
410.156250; 1.06479E-4
416.015625; 1.09075E-4
421.875000; 1.18203E-4
427.734375; 1.20625E-4
433.593750; 1.14699E-4
439.453125; 1.16721E-4
445.312500; 1.23771E-4
451.171875; 1.27931E-4
457.031250; 1.82895E-4
462.890625; 2.01219E-4
468.750000; 1.31099E-4
474.609375; 1.14123E-4
480.468750; 1.17571E-4
486.328125; 1.31907E-4
492.187500; 1.35824E-4
498.046875; 3.10300E-4
503.906250; 2.68127E-4
509.765625; 1.25591E-4
515.625000; 1.26131E-4
521.484375; 1.29942E-4
527.343750; 1.12464E-4
533.203125; 1.08011E-4
539.062500; 1.00687E-4
544.921875; 1.07419E-4
550.781250; 1.15680E-4
556.640625; 1.07628E-4
562.500000; 1.18691E-4
568.359375; 1.07841E-4
574.218750; 9.76609E-5
580.078125; 1.08159E-4
585.937500; 1.09757E-4
591.796875; 1.00794E-4
597.656250; 1.00504E-4
603.515625; 1.10396E-4
609.375000; 1.09339E-4
615.234375; 1.15774E-4
621.093750; 1.03827E-4
626.953125; 9.65739E-5
632.812500; 1.00858E-4
638.671875; 1.06399E-4
644.531250; 1.15586E-4
650.390625; 1.14071E-4
656.250000; 1.07444E-4
662.109375; 1.00796E-4
667.968750; 9.80151E-5
673.828125; 9.75321E-5
679.687500; 1.04502E-4
685.546875; 1.12710E-4
691.406250; 1.01904E-4
697.265625; 2.17299E-4
703.125000; 2.14814E-4
708.984375; 1.31348E-4
714.843750; 1.18491E-4
720.703125; 1.04125E-4
726.562500; 1.08444E-4
732.421875; 1.15739E-4
738.281250; 1.14442E-4
744.140625; 1.08341E-4
750.000000; 1.31506E-4
755.859375; 1.21458E-4
761.718750; 9.92144E-5
767.578125; 1.02563E-4
773.437500; 9.77143E-5
779.296875; 1.08700E-4
785.156250; 1.11206E-4
791.015625; 1.11817E-4
796.875000; 1.45892E-4
802.734375; 1.64541E-4
808.593750; 1.23828E-4
814.453125; 1.21208E-4
820.312500; 1.14379E-4
826.171875; 1.05916E-4
832.031250; 1.05258E-4
837.890625; 1.07885E-4
843.750000; 1.07669E-4
849.609375; 1.40637E-4
855.468750; 1.23725E-4
861.328125; 1.23032E-4
867.187500; 1.15492E-4
873.046875; 1.00818E-4
878.906250; 1.08652E-4
884.765625; 1.20648E-4
890.625000; 1.23855E-4
896.484375; 1.72849E-4
902.343750; 1.70337E-4
908.203125; 1.58695E-4
914.062500; 1.56161E-4
919.921875; 1.90616E-4
925.781250; 2.00388E-4
931.640625; 2.55429E-4
937.500000; 3.20961E-4
943.359375; 4.31965E-4
949.218750; 5.66789E-4
955.078125; 8.45893E-4
