* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:45:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 10.00 V 10.00 VC, 10.00 VA 10.00 V 22 - 22k UNW 874.9 uV >22k Distortion at 1,000.0 Hz, -20.00 dBFS: Gain: 29.35 dB THD: 0.0099 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0036 %  [10 .. 22] N: 0.13 %  [0..22800 Hz] N+D: 4.282 mV A THD+N: 0.13 %  [0..22800 Hz] SNR: 58.0 dB ENOB: 13.2 bits 2nd harmonic 0.0088 % -147 deg 3rd harmonic 0.0012 % 109 deg 4th harmonic 0.00098 % 153 deg 5th harmonic 0.0011 % 107 deg 6th harmonic 0.0011 % -108 deg 7th harmonic 0.0011 % -112 deg 8th harmonic 0.00098 % 101 deg 9th harmonic 0.0010 % -150 deg 
* Measurement: OSDEHA A-OUT 10V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 7.73582E-4
11.718750; 4.22867E-4
17.578125; 2.47942E-4
23.437500; 1.77863E-4
29.296875; 1.66355E-4
35.156250; 1.59179E-4
41.015625; 1.70006E-4
46.875000; 3.91351E-4
52.734375; 3.98230E-4
58.593750; 1.56495E-4
64.453125; 1.26956E-4
70.312500; 1.38764E-4
76.171875; 1.37346E-4
82.031250; 1.44813E-4
87.890625; 1.84129E-4
93.750000; 5.07202E-3
99.609375; 1.12588E-2
105.468750; 6.21575E-3
111.328125; 1.81323E-4
117.187500; 1.29462E-4
123.046875; 1.29449E-4
128.906250; 1.37008E-4
134.765625; 1.27925E-4
140.625000; 1.13337E-4
146.484375; 1.32732E-4
152.343750; 1.49966E-4
158.203125; 1.27210E-4
164.062500; 1.20125E-4
169.921875; 1.16997E-4
175.781250; 1.22689E-4
181.640625; 1.13379E-4
187.500000; 1.04932E-4
193.359375; 6.78173E-4
