* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:56:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 13.33 V 13.33 VC, 13.33 VA 13.33 V 22 - 22k UNW 889.0 uV >22k Distortion at 1,000.0 Hz, -17.51 dBFS: Gain: 29.34 dB THD: 0.012 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0027 %  [10 .. 22] N: 0.093 %  [0..22800 Hz] N+D: 4.492 mV A THD+N: 0.094 %  [0..22800 Hz] SNR: 60.6 dB ENOB: 13.2 bits 2nd harmonic 0.011 % -148 deg 3rd harmonic 0.00094 % 112 deg 4th harmonic 0.00075 % 156 deg 5th harmonic 0.00076 % -7 deg 6th harmonic 0.00075 % -151 deg 7th harmonic 0.00083 % -172 deg 8th harmonic 0.00083 % 168 deg 9th harmonic 0.00075 % -87 deg
* Measurement: OSDEHA A-OUT 13.3V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 7.61829E-4
11.718750; 3.78818E-4
17.578125; 2.16756E-4
23.437500; 1.55962E-4
29.296875; 1.43628E-4
35.156250; 1.42953E-4
41.015625; 1.43353E-4
46.875000; 3.78341E-4
52.734375; 3.92117E-4
58.593750; 1.57699E-4
64.453125; 1.33200E-4
70.312500; 1.47558E-4
76.171875; 1.42565E-4
82.031250; 1.38388E-4
87.890625; 1.88319E-4
93.750000; 4.96603E-3
99.609375; 1.11314E-2
105.468750; 6.19653E-3
111.328125; 1.96205E-4
117.187500; 1.29332E-4
123.046875; 1.20418E-4
128.906250; 1.26724E-4
134.765625; 1.19437E-4
140.625000; 1.20796E-4
146.484375; 1.40850E-4
152.343750; 1.49240E-4
158.203125; 1.19099E-4
164.062500; 1.13161E-4
169.921875; 1.11769E-4
175.781250; 1.04036E-4
181.640625; 1.09330E-4
187.500000; 1.11267E-4
193.359375; 6.73928E-4
199.218750; 1.64932E-3
205.078125; 1.02900E-3
210.937500; 1.43064E-4
216.796875; 1.06766E-4
222.656250; 1.19030E-4
228.515625; 1.30686E-4
234.375000; 1.23956E-4
240.234375; 1.21826E-4
246.093750; 1.46831E-4
251.953125; 1.49251E-4
257.812500; 1.13225E-4
263.671875; 1.12992E-4
269.531250; 1.07687E-4
275.390625; 1.07940E-4
281.250000; 1.15323E-4
287.109375; 1.16726E-4
292.968750; 1.45676E-4
298.828125; 2.68398E-4
304.687500; 2.11950E-4
310.546875; 1.25699E-4
316.406250; 1.13256E-4
322.265625; 1.04940E-4
328.125000; 1.04342E-4
333.984375; 1.12874E-4
339.843750; 1.10694E-4
345.703125; 1.38649E-4
351.562500; 1.69282E-4
357.421875; 1.28865E-4
363.281250; 1.22083E-4
369.140625; 1.21456E-4
375.000000; 1.10278E-4
380.859375; 9.87940E-5
386.718750; 9.78866E-5
392.578125; 1.73816E-4
398.437500; 4.90060E-4
404.296875; 3.77892E-4
410.156250; 1.16941E-4
416.015625; 1.13120E-4
421.875000; 1.09458E-4
427.734375; 1.10983E-4
433.593750; 1.16908E-4
439.453125; 1.12869E-4
445.312500; 1.23946E-4
451.171875; 1.35572E-4
457.031250; 1.15535E-4
462.890625; 1.19748E-4
468.750000; 1.14028E-4
474.609375; 1.01706E-4
480.468750; 1.14530E-4
486.328125; 1.29491E-4
492.187500; 1.42080E-4
498.046875; 3.39657E-4
503.906250; 2.85642E-4
509.765625; 1.11998E-4
515.625000; 1.04418E-4
521.484375; 1.00031E-4
527.343750; 1.18727E-4
533.203125; 1.23465E-4
539.062500; 1.16374E-4
544.921875; 1.21782E-4
550.781250; 1.09068E-4
556.640625; 9.44183E-5
562.500000; 1.05316E-4
568.359375; 1.12603E-4
574.218750; 1.13789E-4
580.078125; 1.02777E-4
585.937500; 1.14747E-4
591.796875; 1.12860E-4
597.656250; 1.21131E-4
603.515625; 1.13669E-4
609.375000; 1.06921E-4
615.234375; 1.07745E-4
621.093750; 1.05377E-4
626.953125; 1.06821E-4
632.812500; 1.13563E-4
638.671875; 1.12839E-4
644.531250; 1.26361E-4
650.390625; 1.42108E-4
656.250000; 1.32707E-4
662.109375; 1.20849E-4
667.968750; 1.10494E-4
673.828125; 1.09923E-4
679.687500; 1.11828E-4
685.546875; 1.11756E-4
691.406250; 1.13450E-4
697.265625; 2.16983E-4
703.125000; 2.27407E-4
708.984375; 1.16726E-4
714.843750; 1.14589E-4
720.703125; 1.13824E-4
726.562500; 1.33508E-4
732.421875; 1.19288E-4
738.281250; 1.13898E-4
744.140625; 1.24911E-4
750.000000; 1.55165E-4
755.859375; 1.26504E-4
761.718750; 1.18963E-4
767.578125; 1.20580E-4
773.437500; 1.23578E-4
779.296875; 1.28102E-4
785.156250; 1.20826E-4
791.015625; 1.38222E-4
796.875000; 1.66374E-4
802.734375; 2.08568E-4
808.593750; 1.53500E-4
814.453125; 1.56459E-4
820.312500; 1.80282E-4
826.171875; 1.60592E-4
832.031250; 1.92161E-4
837.890625; 1.96973E-4
843.750000; 2.26457E-4
849.609375; 2.55174E-4
855.468750; 2.81647E-4
861.328125; 2.98328E-4
867.187500; 3.24290E-4
873.046875; 3.83480E-4
878.906250; 4.40785E-4
884.765625; 4.83632E-4
890.625000; 5.71384E-4
896.484375; 7.32080E-4
902.343750; 7.32070E-4
908.203125; 1.00070E-3
914.062500; 1.17104E-3
919.921875; 1.44951E-3
925.781250; 1.81891E-3
931.640625; 2.33981E-3
937.500000; 3.04722E-3
943.359375; 4.11889E-3
949.218750; 5.71449E-3
955.078125; 8.30556E-3
