* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:51:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 17.77 V 17.77 VC, 17.77 VA 17.77 V 22 - 22k UNW 876.6 uV >22k Distortion at 1,000.0 Hz, -15.01 dBFS: Gain: 29.34 dB THD: 0.014 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0020 %  [10 .. 22] N: 0.071 %  [0..22800 Hz] N+D: 5.027 mV A THD+N: 0.072 %  [0..22800 Hz] SNR: 63.0 dB ENOB: 13.1 bits 2nd harmonic 0.014 % -149 deg 3rd harmonic 0.0010 % 75 deg 4th harmonic 0.00057 % 176 deg 5th harmonic 0.00063 % -52 deg 6th harmonic 0.00058 % 162 deg 7th harmonic 0.00058 % -103 deg 8th harmonic 0.00060 % 89 deg 9th harmonic 0.00061 % -58 deg 
* Measurement: OSDEHA A-OUT 17.8V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 8.95764E-4
11.718750; 4.56437E-4
17.578125; 2.32219E-4
23.437500; 1.87161E-4
29.296875; 1.72890E-4
35.156250; 1.58023E-4
41.015625; 1.57498E-4
46.875000; 3.73543E-4
52.734375; 3.83801E-4
58.593750; 1.54005E-4
64.453125; 1.49520E-4
70.312500; 1.45205E-4
76.171875; 1.34468E-4
82.031250; 1.33006E-4
87.890625; 1.93796E-4
93.750000; 4.99104E-3
99.609375; 1.12365E-2
105.468750; 6.29423E-3
111.328125; 2.15852E-4
117.187500; 1.41020E-4
123.046875; 1.26293E-4
128.906250; 1.06952E-4
134.765625; 1.15690E-4
140.625000; 1.15917E-4
146.484375; 1.50787E-4
152.343750; 1.47362E-4
158.203125; 1.16087E-4
164.062500; 1.15238E-4
169.921875; 1.07936E-4
175.781250; 1.04911E-4
181.640625; 1.13707E-4
187.500000; 1.31607E-4
193.359375; 6.27068E-4
199.218750; 1.59271E-3
205.078125; 9.98915E-4
210.937500; 1.13319E-4
216.796875; 1.19379E-4
222.656250; 1.18719E-4
228.515625; 1.25233E-4
234.375000; 1.28920E-4
240.234375; 1.08791E-4
246.093750; 1.32031E-4
251.953125; 1.52278E-4
257.812500; 1.22792E-4
263.671875; 1.16102E-4
269.531250; 1.22658E-4
275.390625; 1.18923E-4
281.250000; 1.13713E-4
287.109375; 1.10306E-4
292.968750; 1.38932E-4
298.828125; 2.79642E-4
304.687500; 2.11570E-4
310.546875; 1.05092E-4
316.406250; 1.04062E-4
322.265625; 1.08340E-4
328.125000; 1.10650E-4
333.984375; 1.17737E-4
339.843750; 1.20132E-4
345.703125; 1.49547E-4
351.562500; 1.77511E-4
357.421875; 1.17123E-4
363.281250; 1.15037E-4
369.140625; 1.12177E-4
375.000000; 1.01937E-4
380.859375; 1.06949E-4
386.718750; 1.24925E-4
392.578125; 1.73475E-4
