* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:00:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 2.370 V 2.370 VC, 2.370 VA 2.370 V 22 - 22k UNW 871.0 uV >22k Distortion at 1,000.0 Hz, -32.51 dBFS: Gain: 29.34 dB THD: 0.020 % based on 21 harmonics  [0..22800 Hz] HHD: 0.015 %  [10 .. 22] N: 0.53 %  [0..22800 Hz] N+D: 4.169 mV A THD+N: 0.53 %  [0..22800 Hz] SNR: 45.6 dB ENOB: 13.2 bits 2nd harmonic 0.0049 % -92 deg 3rd harmonic 0.0048 % 179 deg 4th harmonic 0.0043 % -26 deg 5th harmonic 0.0047 % 66 deg 6th harmonic 0.0045 % 48 deg 7th harmonic 0.0042 % 97 deg 8th harmonic 0.0046 % 57 deg 9th harmonic 0.0042 % 171 deg 
* Measurement: OSDEHA A-OUT 2.37V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.83614E-4
11.718750; 2.36321E-4
17.578125; 1.95019E-4
23.437500; 1.61672E-4
29.296875; 1.51082E-4
35.156250; 1.62306E-4
41.015625; 1.55316E-4
46.875000; 3.81143E-4
52.734375; 3.99609E-4
58.593750; 1.55370E-4
64.453125; 1.28232E-4
70.312500; 1.24562E-4
76.171875; 1.32001E-4
82.031250; 1.30770E-4
87.890625; 1.75752E-4
93.750000; 5.04621E-3
99.609375; 1.12167E-2
105.468750; 6.20961E-3
111.328125; 1.88215E-4
117.187500; 1.34160E-4
123.046875; 1.28659E-4
128.906250; 1.27866E-4
134.765625; 1.24863E-4
140.625000; 1.23845E-4
146.484375; 1.45637E-4
152.343750; 1.55799E-4
158.203125; 1.20491E-4
164.062500; 1.18590E-4
169.921875; 1.14801E-4
175.781250; 1.16264E-4
181.640625; 1.27109E-4
187.500000; 1.25762E-4
193.359375; 6.24019E-4
199.218750; 1.51489E-3
205.078125; 9.37258E-4
210.937500; 1.26459E-4
216.796875; 1.15303E-4
222.656250; 1.08802E-4
228.515625; 1.22412E-4
234.375000; 1.12244E-4
240.234375; 1.03348E-4
246.093750; 1.31795E-4
251.953125; 1.43717E-4
257.812500; 1.15622E-4
263.671875; 1.11898E-4
269.531250; 1.11467E-4
275.390625; 1.10252E-4
281.250000; 1.06388E-4
287.109375; 1.11658E-4
292.968750; 1.27478E-4
298.828125; 2.29338E-4
304.687500; 1.76150E-4
310.546875; 9.75233E-5
316.406250; 1.04521E-4
322.265625; 1.06178E-4
328.125000; 1.11108E-4
333.984375; 1.06515E-4
339.843750; 1.03108E-4
345.703125; 1.39309E-4
351.562500; 1.64204E-4
357.421875; 1.16707E-4
363.281250; 1.12620E-4
369.140625; 1.08594E-4
375.000000; 1.05599E-4
380.859375; 1.06710E-4
386.718750; 1.16176E-4
392.578125; 1.79087E-4
398.437500; 4.61020E-4
404.296875; 3.45846E-4
410.156250; 1.03483E-4
416.015625; 1.06863E-4
421.875000; 1.15283E-4
427.734375; 1.11339E-4
433.593750; 1.09505E-4
439.453125; 1.08493E-4
445.312500; 1.39611E-4
451.171875; 1.59068E-4
457.031250; 1.19644E-4
462.890625; 1.11812E-4
468.750000; 1.20593E-4
474.609375; 1.11712E-4
480.468750; 1.00471E-4
486.328125; 1.12887E-4
492.187500; 1.46216E-4
498.046875; 3.05387E-4
503.906250; 2.54653E-4
509.765625; 1.15836E-4
515.625000; 1.09257E-4
521.484375; 1.01295E-4
527.343750; 1.09549E-4
533.203125; 1.02611E-4
539.062500; 9.98538E-5
544.921875; 1.06862E-4
550.781250; 1.08991E-4
556.640625; 9.37646E-5
562.500000; 9.72765E-5
568.359375; 9.77011E-5
574.218750; 1.05247E-4
580.078125; 1.00293E-4
585.937500; 1.02616E-4
591.796875; 1.18703E-4
597.656250; 1.12672E-4
603.515625; 1.01073E-4
609.375000; 9.87691E-5
615.234375; 9.34134E-5
621.093750; 1.05537E-4
626.953125; 1.06116E-4
632.812500; 1.05635E-4
638.671875; 1.07396E-4
644.531250; 1.06968E-4
650.390625; 1.04310E-4
656.250000; 1.06226E-4
662.109375; 1.04670E-4
667.968750; 9.89059E-5
673.828125; 1.02297E-4
679.687500; 1.12983E-4
685.546875; 1.12710E-4
691.406250; 1.23871E-4
697.265625; 2.21562E-4
703.125000; 2.23918E-4
708.984375; 1.21522E-4
714.843750; 1.10401E-4
720.703125; 1.24145E-4
726.562500; 1.13278E-4
732.421875; 1.10413E-4
738.281250; 1.05699E-4
744.140625; 1.08168E-4
750.000000; 1.33414E-4
755.859375; 1.11147E-4
761.718750; 1.10937E-4
767.578125; 1.18572E-4
773.437500; 1.13637E-4
779.296875; 1.02709E-4
785.156250; 1.10236E-4
791.015625; 1.16078E-4
796.875000; 1.54607E-4
802.734375; 1.63135E-4
808.593750; 1.17180E-4
814.453125; 1.12706E-4
820.312500; 1.04723E-4
826.171875; 1.01459E-4
832.031250; 1.13009E-4
837.890625; 1.14916E-4
843.750000; 1.27662E-4
849.609375; 1.36939E-4
855.468750; 1.27664E-4
861.328125; 1.03021E-4
867.187500; 1.26928E-4
873.046875; 1.11992E-4
878.906250; 1.28984E-4
884.765625; 1.39399E-4
890.625000; 1.46882E-4
896.484375; 2.08268E-4
902.343750; 1.94213E-4
908.203125; 2.05763E-4
914.062500; 2.20786E-4
919.921875; 2.98796E-4
925.781250; 3.20006E-4
931.640625; 4.32235E-4
937.500000; 5.55009E-4
943.359375; 7.50163E-4
949.218750; 1.00049E-3
955.078125; 1.49093E-3
960.937500; 2.26216E-3
966.796875; 3.69318E-3
972.656250; 6.75066E-3
978.515625; 1.43178E-2
984.375000; 4.00784E-2
990.234375; 2.20492E-1
996.093750; 1.76388E0
1001.953125; 2.20485E0
1007.812500; 6.29954E-1
1013.671875; 6.29919E-2
1019.531250; 1.93845E-2
1025.390625; 8.48842E-3
1031.250000; 4.46260E-3
1037.109375; 2.63571E-3
1042.968750; 1.68074E-3
1048.828125; 1.16449E-3
1054.687500; 8.12111E-4
1060.546875; 6.17283E-4
1066.406250; 4.55775E-4
1072.265625; 3.68717E-4
1078.125000; 2.95267E-4
1083.984375; 2.55805E-4
1089.843750; 2.08536E-4
1095.703125; 1.81344E-4
1101.562500; 1.66549E-4
1107.421875; 1.62729E-4
1113.281250; 1.25177E-4
1119.140625; 1.37500E-4
1125.000000; 1.18010E-4
1130.859375; 1.27350E-4
1136.718750; 1.22097E-4
1142.578125; 1.22457E-4
