* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:47:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 3.161 V 3.161 VC, 3.161 VA 3.161 V 22 - 22k UNW 873.8 uV >22k Distortion at 1,000.0 Hz, -30.00 dBFS: Gain: 29.35 dB THD: 0.015 % based on 21 harmonics  [0..22800 Hz] HHD: 0.011 %  [10 .. 22] N: 0.40 %  [0..22800 Hz] N+D: 4.154 mV A THD+N: 0.40 %  [0..22800 Hz] SNR: 48.0 dB ENOB: 13.2 bits 2nd harmonic 0.0037 % -152 deg 3rd harmonic 0.0032 % -150 deg 4th harmonic 0.0033 % -37 deg 5th harmonic 0.0032 % 93 deg 6th harmonic 0.0031 % 5 deg 7th harmonic 0.0032 % 70 deg 8th harmonic 0.0035 % -63 deg 9th harmonic 0.0031 % 50 deg 
* Measurement: OSDEHA A-OUT 3.1V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 7.38984E-4
11.718750; 4.12184E-4
17.578125; 2.23992E-4
23.437500; 1.79691E-4
29.296875; 1.67741E-4
35.156250; 1.63068E-4
41.015625; 1.73974E-4
46.875000; 3.59400E-4
52.734375; 3.66855E-4
58.593750; 1.44733E-4
64.453125; 1.35535E-4
70.312500; 1.33396E-4
76.171875; 1.32196E-4
82.031250; 1.47253E-4
87.890625; 1.73303E-4
93.750000; 5.10116E-3
99.609375; 1.12999E-2
105.468750; 6.25008E-3
111.328125; 1.95894E-4
117.187500; 1.32254E-4
123.046875; 1.22433E-4
128.906250; 1.07828E-4
134.765625; 1.13967E-4
140.625000; 1.37390E-4
146.484375; 1.60758E-4
152.343750; 1.59962E-4
158.203125; 1.24184E-4
164.062500; 1.21464E-4
169.921875; 1.21411E-4
175.781250; 1.22175E-4
181.640625; 1.16937E-4
187.500000; 1.27991E-4
193.359375; 6.70386E-4
199.218750; 1.63756E-3
205.078125; 1.00728E-3
210.937500; 1.21378E-4
216.796875; 1.02704E-4
222.656250; 1.08402E-4
228.515625; 1.15314E-4
234.375000; 1.30396E-4
240.234375; 1.26377E-4
246.093750; 1.50458E-4
251.953125; 1.55349E-4
257.812500; 1.11973E-4
263.671875; 1.13089E-4
269.531250; 1.08870E-4
275.390625; 1.10254E-4
281.250000; 1.16367E-4
287.109375; 1.12641E-4
292.968750; 1.45670E-4
298.828125; 2.78105E-4
304.687500; 2.05844E-4
310.546875; 1.07698E-4
316.406250; 1.08433E-4
322.265625; 1.16349E-4
328.125000; 1.11552E-4
333.984375; 1.06214E-4
339.843750; 1.17461E-4
345.703125; 1.46539E-4
351.562500; 1.65304E-4
357.421875; 1.29765E-4
363.281250; 1.21128E-4
369.140625; 9.74537E-5
375.000000; 1.16043E-4
380.859375; 1.25993E-4
386.718750; 1.16120E-4
392.578125; 1.89926E-4
398.437500; 4.92262E-4
404.296875; 3.64588E-4
410.156250; 1.02493E-4
416.015625; 1.09976E-4
