* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:54:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 42.13 V 42.13 VC, 42.13 VA 42.13 V 22 - 22k UNW 895.0 uV >22k Distortion at 1,000.0 Hz, -7.51 dBFS: Gain: 29.34 dB THD: 0.024 % based on 21 harmonics  [0..22800 Hz] HHD: 0.00087 %  [10 .. 22] N: 0.030 %  [0..22800 Hz] N+D: 12.49 mV A THD+N: 0.038 %  [0..22800 Hz] SNR: 70.5 dB ENOB: 12.8 bits 2nd harmonic 0.024 % -148 deg 3rd harmonic 0.0036 % -83 deg 4th harmonic 0.0027 % 165 deg 5th harmonic 0.0016 % -3 deg 6th harmonic 0.00027 % -122 deg 7th harmonic 0.00036 % 86 deg 8th harmonic 0.00026 % -73 deg 9th harmonic 0.00031 % 107 deg 
* Measurement: OSDEHA A-OUT 42.1
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 5.34784E-4
11.718750; 3.46297E-4
17.578125; 2.23666E-4
23.437500; 1.98995E-4
29.296875; 1.72936E-4
35.156250; 1.52670E-4
41.015625; 1.64162E-4
46.875000; 3.79862E-4
52.734375; 3.95658E-4
58.593750; 1.71628E-4
64.453125; 1.55472E-4
70.312500; 1.64003E-4
76.171875; 1.51436E-4
82.031250; 1.34889E-4
87.890625; 1.89924E-4
93.750000; 5.06982E-3
99.609375; 1.12485E-2
105.468750; 6.19887E-3
111.328125; 1.79103E-4
117.187500; 1.50437E-4
123.046875; 1.33711E-4
128.906250; 1.34118E-4
134.765625; 1.31134E-4
140.625000; 1.18631E-4
146.484375; 1.51463E-4
152.343750; 1.45775E-4
158.203125; 1.18720E-4
164.062500; 1.19673E-4
169.921875; 1.25516E-4
175.781250; 1.20764E-4
181.640625; 1.23409E-4
187.500000; 1.26415E-4
193.359375; 6.64622E-4
