* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:49:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 56.18 V 56.18 VC, 56.18 VA 56.18 V 22 - 22k UNW 885.2 uV >22k Distortion at 1,000.0 Hz, -5.01 dBFS: Gain: 29.34 dB THD: 0.032 % based on 21 harmonics  [0..22800 Hz] HHD: 0.00066 %  [10 .. 22] N: 0.023 %  [0..22800 Hz] N+D: 21.03 mV A THD+N: 0.039 %  [0..22800 Hz] SNR: 72.9 dB ENOB: 12.4 bits 2nd harmonic 0.031 % -135 deg 3rd harmonic 0.0074 % -132 deg 4th harmonic 0.0030 % 156 deg 5th harmonic 0.0021 % -25 deg 6th harmonic 0.00075 % 142 deg 7th harmonic 0.00034 % -2 deg 8th harmonic 0.00023 % 85 deg 9th harmonic 0.00022 % 54 deg 
* Measurement: OSDEHA A-OUT 56.2
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.66366E-4
11.718750; 2.89496E-4
17.578125; 2.39447E-4
23.437500; 2.10086E-4
29.296875; 1.81397E-4
35.156250; 1.76703E-4
41.015625; 1.77210E-4
46.875000; 3.92256E-4
52.734375; 3.97983E-4
58.593750; 1.62989E-4
64.453125; 1.58815E-4
70.312500; 1.43200E-4
76.171875; 1.38713E-4
82.031250; 1.36931E-4
87.890625; 1.69792E-4
93.750000; 5.18549E-3
99.609375; 1.14235E-2
105.468750; 6.26857E-3
111.328125; 2.01119E-4
117.187500; 1.38379E-4
123.046875; 1.38573E-4
128.906250; 1.31942E-4
134.765625; 1.34768E-4
140.625000; 1.32791E-4
146.484375; 1.58023E-4
152.343750; 1.56717E-4
158.203125; 1.20026E-4
164.062500; 1.32213E-4
169.921875; 1.43668E-4
175.781250; 1.24222E-4
181.640625; 1.30728E-4
187.500000; 1.39524E-4
193.359375; 6.15998E-4
199.218750; 1.47681E-3
205.078125; 8.92990E-4
210.937500; 1.39115E-4
216.796875; 1.14600E-4
222.656250; 1.13357E-4
228.515625; 1.30297E-4
234.375000; 1.23572E-4
240.234375; 1.28593E-4
246.093750; 1.53452E-4
251.953125; 1.59673E-4
257.812500; 1.17281E-4
263.671875; 1.23697E-4
269.531250; 1.21249E-4
275.390625; 1.22467E-4
281.250000; 1.20726E-4
287.109375; 1.10873E-4
292.968750; 1.42260E-4
298.828125; 2.39735E-4
304.687500; 1.82607E-4
310.546875; 1.03149E-4
316.406250; 1.10113E-4
322.265625; 1.01455E-4
328.125000; 1.01369E-4
333.984375; 1.06665E-4
339.843750; 1.04831E-4
345.703125; 1.52356E-4
351.562500; 1.86514E-4
357.421875; 1.21367E-4
363.281250; 1.11392E-4
369.140625; 1.04734E-4
375.000000; 9.83818E-5
380.859375; 1.03372E-4
386.718750; 1.12793E-4
392.578125; 1.74839E-4
398.437500; 4.28150E-4
404.296875; 3.23599E-4
410.156250; 1.17440E-4
416.015625; 9.63686E-5
421.875000; 1.02308E-4
427.734375; 1.12840E-4
433.593750; 1.31047E-4
439.453125; 1.26503E-4
445.312500; 1.26434E-4
451.171875; 1.53335E-4
457.031250; 1.34558E-4
462.890625; 1.16004E-4
468.750000; 1.18500E-4
474.609375; 1.14088E-4
480.468750; 1.02789E-4
486.328125; 1.03578E-4
492.187500; 1.36307E-4
498.046875; 3.04198E-4
503.906250; 2.53573E-4
509.765625; 1.14102E-4
515.625000; 1.08854E-4
521.484375; 1.21628E-4
527.343750; 1.28558E-4
533.203125; 1.27572E-4
539.062500; 1.13265E-4
544.921875; 1.09076E-4
550.781250; 1.32914E-4
556.640625; 1.10961E-4
562.500000; 1.25620E-4
568.359375; 1.17517E-4
574.218750; 1.10382E-4
580.078125; 1.20380E-4
585.937500; 1.21100E-4
591.796875; 1.34838E-4
597.656250; 1.39977E-4
603.515625; 1.29783E-4
609.375000; 1.24806E-4
615.234375; 1.24706E-4
621.093750; 1.19218E-4
626.953125; 1.22001E-4
632.812500; 1.45692E-4
638.671875; 1.15298E-4
644.531250; 1.40575E-4
650.390625; 1.59207E-4
656.250000; 1.23053E-4
662.109375; 1.39906E-4
667.968750; 1.38466E-4
673.828125; 1.39439E-4
679.687500; 1.57042E-4
685.546875; 1.49586E-4
691.406250; 1.53891E-4
697.265625; 2.36209E-4
703.125000; 2.18144E-4
708.984375; 1.75931E-4
714.843750; 1.58055E-4
720.703125; 1.79817E-4
726.562500; 1.98666E-4
732.421875; 1.94345E-4
738.281250; 1.93063E-4
744.140625; 2.43144E-4
750.000000; 2.23702E-4
755.859375; 2.46642E-4
761.718750; 2.53080E-4
767.578125; 2.86289E-4
773.437500; 2.94013E-4
779.296875; 3.09217E-4
785.156250; 3.30116E-4
791.015625; 3.61462E-4
796.875000; 3.83222E-4
802.734375; 4.31718E-4
808.593750; 4.75974E-4
814.453125; 4.86561E-4
820.312500; 5.55806E-4
826.171875; 6.11535E-4
832.031250; 6.56610E-4
837.890625; 7.47072E-4
843.750000; 8.26256E-4
849.609375; 9.24913E-4
855.468750; 1.04118E-3
861.328125; 1.18181E-3
867.187500; 1.32498E-3
873.046875; 1.54526E-3
878.906250; 1.74765E-3
884.765625; 2.04259E-3
890.625000; 2.39478E-3
896.484375; 2.81868E-3
902.343750; 3.36465E-3
908.203125; 4.05823E-3
914.062500; 4.91930E-3
919.921875; 6.10942E-3
925.781250; 7.65739E-3
931.640625; 9.83517E-3
937.500000; 1.28695E-2
943.359375; 1.73336E-2
949.218750; 2.41103E-2
955.078125; 3.49649E-2
960.937500; 5.34679E-2
966.796875; 8.78412E-2
972.656250; 1.59718E-1
