* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:57:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 7.494 V 7.494 VC, 7.494 VA 7.494 V 22 - 22k UNW 882.0 uV >22k Distortion at 1,000.0 Hz, -22.51 dBFS: Gain: 29.34 dB THD: 0.0093 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0048 %  [10 .. 22] N: 0.17 %  [0..22800 Hz] N+D: 4.192 mV A THD+N: 0.17 %  [0..22800 Hz] SNR: 55.5 dB ENOB: 13.2 bits 2nd harmonic 0.0070 % -146 deg 3rd harmonic 0.0014 % 144 deg 4th harmonic 0.0013 % -8 deg 5th harmonic 0.0014 % 7 deg 6th harmonic 0.0014 % 66 deg 7th harmonic 0.0014 % 72 deg 8th harmonic 0.0014 % 66 deg 9th harmonic 0.0014 % -43 deg
* Measurement: OSDEHA A-OUT 7.49
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 1.03804E-3
11.718750; 5.02650E-4
17.578125; 2.10495E-4
23.437500; 1.69058E-4
29.296875; 1.75794E-4
35.156250; 1.64806E-4
41.015625; 1.58140E-4
46.875000; 3.97341E-4
52.734375; 4.21575E-4
58.593750; 1.72321E-4
64.453125; 1.26101E-4
70.312500; 1.30047E-4
76.171875; 1.31072E-4
82.031250; 1.35557E-4
87.890625; 1.64605E-4
93.750000; 5.04538E-3
99.609375; 1.11969E-2
105.468750; 6.19167E-3
111.328125; 1.85972E-4
117.187500; 1.27190E-4
123.046875; 1.25428E-4
128.906250; 1.21403E-4
134.765625; 1.17352E-4
140.625000; 1.13446E-4
146.484375; 1.45978E-4
152.343750; 1.61891E-4
158.203125; 1.24471E-4
164.062500; 1.06982E-4
169.921875; 1.08704E-4
175.781250; 1.08979E-4
181.640625; 1.15639E-4
187.500000; 1.30767E-4
193.359375; 6.31820E-4
199.218750; 1.58217E-3
205.078125; 9.65082E-4
210.937500; 1.17709E-4
216.796875; 1.26089E-4
222.656250; 1.05469E-4
228.515625; 1.01965E-4
234.375000; 1.15814E-4
240.234375; 1.22383E-4
246.093750; 1.33674E-4
251.953125; 1.43288E-4
257.812500; 1.23646E-4
263.671875; 1.11876E-4
269.531250; 1.05462E-4
275.390625; 1.09532E-4
281.250000; 1.21809E-4
287.109375; 1.20549E-4
292.968750; 1.32696E-4
298.828125; 2.19343E-4
304.687500; 1.83132E-4
310.546875; 1.26770E-4
316.406250; 1.15024E-4
322.265625; 1.09200E-4
328.125000; 1.11113E-4
333.984375; 1.15121E-4
339.843750; 1.24246E-4
345.703125; 1.33571E-4
351.562500; 1.43003E-4
357.421875; 1.07899E-4
363.281250; 1.14027E-4
369.140625; 1.07817E-4
375.000000; 1.01828E-4
380.859375; 1.05739E-4
386.718750; 9.75532E-5
392.578125; 1.90738E-4
398.437500; 5.03685E-4
404.296875; 3.82477E-4
410.156250; 1.08414E-4
416.015625; 9.99097E-5
421.875000; 1.00058E-4
427.734375; 1.14437E-4
433.593750; 1.16004E-4
439.453125; 1.10893E-4
445.312500; 1.32155E-4
451.171875; 1.50404E-4
457.031250; 1.22270E-4
462.890625; 1.02295E-4
468.750000; 1.12813E-4
474.609375; 1.26630E-4
480.468750; 1.11454E-4
486.328125; 1.05164E-4
492.187500; 1.40575E-4
498.046875; 3.22835E-4
503.906250; 2.63381E-4
509.765625; 1.02939E-4
515.625000; 1.02145E-4
521.484375; 1.08731E-4
527.343750; 1.22450E-4
533.203125; 1.19661E-4
539.062500; 1.10803E-4
544.921875; 1.12064E-4
550.781250; 1.20378E-4
556.640625; 1.12715E-4
562.500000; 1.08258E-4
568.359375; 1.02742E-4
574.218750; 1.15306E-4
580.078125; 1.19599E-4
585.937500; 1.24501E-4
591.796875; 1.20029E-4
597.656250; 1.30384E-4
603.515625; 1.25810E-4
609.375000; 1.15320E-4
615.234375; 1.10790E-4
621.093750; 1.11591E-4
626.953125; 1.03673E-4
632.812500; 9.50125E-5
638.671875; 1.07343E-4
644.531250; 1.11503E-4
650.390625; 1.20455E-4
656.250000; 1.10487E-4
662.109375; 1.08714E-4
667.968750; 1.07236E-4
673.828125; 1.10483E-4
679.687500; 1.18210E-4
685.546875; 1.20893E-4
691.406250; 1.23623E-4
697.265625; 2.17529E-4
703.125000; 1.95339E-4
708.984375; 9.53960E-5
714.843750; 1.08359E-4
720.703125; 1.12288E-4
726.562500; 1.05915E-4
732.421875; 1.02159E-4
738.281250; 1.02670E-4
744.140625; 1.37663E-4
750.000000; 1.49557E-4
755.859375; 1.30894E-4
761.718750; 1.13638E-4
767.578125; 1.09956E-4
773.437500; 1.08021E-4
779.296875; 1.09260E-4
785.156250; 1.12622E-4
791.015625; 1.19242E-4
796.875000; 1.50933E-4
802.734375; 1.71652E-4
808.593750; 1.43043E-4
814.453125; 1.27061E-4
820.312500; 1.35535E-4
826.171875; 1.28137E-4
832.031250; 1.32354E-4
837.890625; 1.45604E-4
843.750000; 1.50075E-4
849.609375; 1.71960E-4
855.468750; 1.82304E-4
861.328125; 1.81036E-4
867.187500; 2.21663E-4
873.046875; 2.19597E-4
878.906250; 2.55660E-4
884.765625; 3.00421E-4
890.625000; 3.28027E-4
896.484375; 4.24268E-4
902.343750; 4.47436E-4
908.203125; 5.56266E-4
914.062500; 6.77557E-4
919.921875; 8.13009E-4
925.781250; 1.03768E-3
931.640625; 1.29666E-3
937.500000; 1.73328E-3
943.359375; 2.30100E-3
949.218750; 3.23836E-3
955.078125; 4.65245E-3
960.937500; 7.13938E-3
966.796875; 1.17177E-2
972.656250; 2.13029E-2
978.515625; 4.52702E-2
984.375000; 1.26769E-1
990.234375; 6.97207E-1
996.093750; 5.57765E0
1001.953125; 6.97206E0
1007.812500; 1.99202E0
1013.671875; 1.99207E-1
1019.531250; 6.12769E-2
1025.390625; 2.68263E-2
1031.250000; 1.41169E-2
1037.109375; 8.34589E-3
1042.968750; 5.33288E-3
1048.828125; 3.60526E-3
1054.687500; 2.60164E-3
1060.546875; 1.88238E-3
1066.406250; 1.43786E-3
1072.265625; 1.10062E-3
1078.125000; 8.95742E-4
1083.984375; 7.25664E-4
1089.843750; 5.75317E-4
1095.703125; 4.84838E-4
1101.562500; 4.17427E-4
1107.421875; 3.63966E-4
1113.281250; 3.06524E-4
1119.140625; 2.70002E-4
1125.000000; 2.28104E-4
1130.859375; 2.18524E-4
1136.718750; 2.01684E-4
1142.578125; 1.79677E-4
1148.437500; 1.68204E-4
1154.296875; 1.59107E-4
1160.156250; 1.48421E-4
1166.015625; 1.38893E-4
1171.875000; 1.39830E-4
1177.734375; 1.34695E-4
1183.593750; 1.09397E-4
1189.453125; 1.25821E-4
1195.312500; 1.22231E-4
1201.171875; 1.21806E-4
1207.031250; 1.32373E-4
1212.890625; 1.23301E-4
1218.750000; 1.13068E-4
1224.609375; 1.10367E-4
1230.468750; 1.18619E-4
1236.328125; 1.11354E-4
1242.187500; 1.05844E-4
1248.046875; 1.13696E-4
1253.906250; 1.26506E-4
1259.765625; 1.04865E-4
1265.625000; 1.03204E-4
1271.484375; 1.04544E-4
1277.343750; 1.09025E-4
1283.203125; 1.07202E-4
1289.062500; 1.13516E-4
1294.921875; 1.18814E-4
1300.781250; 1.13357E-4
1306.640625; 1.18540E-4
1312.500000; 1.16766E-4
1318.359375; 1.08490E-4
1324.218750; 1.20290E-4
1330.078125; 1.13372E-4
1335.937500; 1.03799E-4
1341.796875; 9.87752E-5
1347.656250; 1.01570E-4
1353.515625; 1.12415E-4
1359.375000; 1.11678E-4
1365.234375; 1.09230E-4
1371.093750; 1.06310E-4
1376.953125; 1.14694E-4
1382.812500; 1.04512E-4
1388.671875; 1.02793E-4
1394.531250; 1.04576E-4
1400.390625; 1.11674E-4
1406.250000; 1.13847E-4
1412.109375; 1.00472E-4
1417.968750; 1.08637E-4
1423.828125; 1.05631E-4
1429.687500; 1.05959E-4
1435.546875; 1.04129E-4
1441.406250; 1.04209E-4
1447.265625; 1.02598E-4
1453.125000; 9.28233E-5
1458.984375; 9.57205E-5
1464.843750; 9.73527E-5
1470.703125; 1.00286E-4
1476.562500; 1.12887E-4
1482.421875; 1.13205E-4
1488.281250; 1.02582E-4
1494.140625; 1.14091E-4
1500.000000; 1.09500E-4
1505.859375; 1.06642E-4
1511.718750; 9.84290E-5
1517.578125; 1.06105E-4
1523.437500; 1.08398E-4
1529.296875; 1.08787E-4
1535.156250; 1.11745E-4
1541.015625; 1.10841E-4
1546.875000; 1.02966E-4
