* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 12:52:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA ANODE-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 74.93 V 74.93 VC, 74.93 VA 74.93 V 22 - 22k UNW 884.1 uV >22k Distortion at 1,000.0 Hz, -2.51 dBFS: Gain: 29.34 dB THD: 0.047 % based on 21 harmonics  [0..22800 Hz] HHD: 0.00052 %  [10 .. 22] N: 0.017 %  [0..22800 Hz] N+D: 40.36 mV A THD+N: 0.050 %  [0..22800 Hz] SNR: 75.4 dB ENOB: 11.6 bits 2nd harmonic 0.044 % -124 deg 3rd harmonic 0.014 % -155 deg 4th harmonic 0.0030 % 179 deg 5th harmonic 0.0027 % -33 deg 6th harmonic 0.00077 % 109 deg 7th harmonic 0.00031 % -7 deg 8th harmonic 0.00019 % 111 deg 9th harmonic 0.00015 % -45 deg 
* Measurement: OSDEHA A-OUT 74.9V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.78795E-4
11.718750; 3.19187E-4
17.578125; 2.90324E-4
23.437500; 2.72421E-4
29.296875; 2.65521E-4
35.156250; 2.40174E-4
41.015625; 2.44848E-4
46.875000; 4.26973E-4
52.734375; 4.41411E-4
58.593750; 2.16388E-4
64.453125; 1.98341E-4
70.312500; 1.98140E-4
76.171875; 1.84626E-4
82.031250; 1.87609E-4
87.890625; 1.99256E-4
93.750000; 5.12565E-3
99.609375; 1.13696E-2
105.468750; 6.30477E-3
111.328125; 2.40278E-4
117.187500; 1.49235E-4
123.046875; 1.63182E-4
128.906250; 1.67938E-4
134.765625; 1.51670E-4
140.625000; 1.39589E-4
146.484375; 1.65087E-4
152.343750; 1.79094E-4
158.203125; 1.46887E-4
164.062500; 1.42707E-4
169.921875; 1.32161E-4
175.781250; 1.43594E-4
181.640625; 1.46992E-4
187.500000; 1.40488E-4
193.359375; 5.96529E-4
199.218750; 1.48768E-3
205.078125; 9.17562E-4
210.937500; 1.35164E-4
216.796875; 1.24314E-4
222.656250; 1.16658E-4
228.515625; 1.30504E-4
234.375000; 1.31273E-4
240.234375; 1.23667E-4
246.093750; 1.60556E-4
251.953125; 1.64536E-4
257.812500; 1.21092E-4
263.671875; 1.13251E-4
269.531250; 1.24310E-4
275.390625; 1.44695E-4
281.250000; 1.32218E-4
287.109375; 1.23690E-4
292.968750; 1.39357E-4
298.828125; 2.46162E-4
304.687500; 1.90943E-4
310.546875; 1.23348E-4
316.406250; 1.37982E-4
322.265625; 1.23832E-4
328.125000; 1.23577E-4
333.984375; 1.22922E-4
339.843750; 1.21258E-4
345.703125; 1.47224E-4
351.562500; 1.77592E-4
357.421875; 1.29092E-4
363.281250; 1.26754E-4
369.140625; 1.20218E-4
375.000000; 1.16056E-4
380.859375; 1.30398E-4
386.718750; 1.39671E-4
392.578125; 1.77549E-4
398.437500; 4.38026E-4
404.296875; 3.50172E-4
410.156250; 1.40173E-4
416.015625; 1.15683E-4
421.875000; 1.21055E-4
427.734375; 1.22306E-4
433.593750; 1.16742E-4
439.453125; 1.22512E-4
445.312500; 1.28897E-4
451.171875; 1.45555E-4
457.031250; 1.23576E-4
462.890625; 1.09136E-4
468.750000; 1.20401E-4
474.609375; 1.26288E-4
480.468750; 1.18283E-4
486.328125; 1.18765E-4
492.187500; 1.45142E-4
498.046875; 2.84832E-4
503.906250; 2.51176E-4
509.765625; 1.30265E-4
515.625000; 1.21327E-4
521.484375; 1.14301E-4
527.343750; 1.27279E-4
533.203125; 1.28342E-4
539.062500; 1.18447E-4
544.921875; 1.27296E-4
550.781250; 1.28594E-4
556.640625; 1.19865E-4
562.500000; 1.27034E-4
568.359375; 1.19936E-4
574.218750; 1.30217E-4
580.078125; 1.33015E-4
585.937500; 1.30697E-4
591.796875; 1.26201E-4
597.656250; 1.47427E-4
603.515625; 1.35857E-4
609.375000; 1.38308E-4
615.234375; 1.24972E-4
621.093750; 1.46446E-4
626.953125; 1.39316E-4
632.812500; 1.33681E-4
638.671875; 1.42696E-4
644.531250; 1.53867E-4
650.390625; 1.74199E-4
656.250000; 1.43087E-4
662.109375; 1.63895E-4
667.968750; 1.51551E-4
673.828125; 1.66612E-4
679.687500; 1.70433E-4
685.546875; 1.83273E-4
691.406250; 1.80742E-4
697.265625; 2.51929E-4
703.125000; 2.70667E-4
708.984375; 2.08492E-4
714.843750; 2.07776E-4
720.703125; 2.18250E-4
726.562500; 2.40839E-4
732.421875; 2.38690E-4
738.281250; 2.66544E-4
744.140625; 2.63767E-4
750.000000; 3.08294E-4
755.859375; 3.11242E-4
761.718750; 3.33064E-4
767.578125; 3.45648E-4
773.437500; 3.65217E-4
779.296875; 4.16603E-4
785.156250; 4.24165E-4
791.015625; 4.84976E-4
796.875000; 5.03663E-4
802.734375; 5.67118E-4
808.593750; 6.13356E-4
814.453125; 6.53386E-4
820.312500; 7.39700E-4
826.171875; 7.84865E-4
832.031250; 8.96137E-4
837.890625; 9.88877E-4
843.750000; 1.09205E-3
849.609375; 1.22599E-3
855.468750; 1.38517E-3
861.328125; 1.57158E-3
867.187500; 1.78328E-3
873.046875; 2.04029E-3
878.906250; 2.33862E-3
884.765625; 2.71932E-3
890.625000; 3.18733E-3
896.484375; 3.80096E-3
902.343750; 4.44941E-3
908.203125; 5.39594E-3
914.062500; 6.57541E-3
919.921875; 8.14775E-3
925.781250; 1.02357E-2
931.640625; 1.30868E-2
937.500000; 1.71773E-2
943.359375; 2.31252E-2
949.218750; 3.21355E-2
955.078125; 4.66438E-2
960.937500; 7.13128E-2
966.796875; 1.17155E-1
972.656250; 2.13037E-1
978.515625; 4.52636E-1
984.375000; 1.26749E0
990.234375; 6.97102E0
996.093750; 5.57683E1
1001.953125; 6.97103E1
1007.812500; 1.99173E1
1013.671875; 1.99173E0
1019.531250; 6.12814E-1
1025.390625; 2.68149E-1
1031.250000; 1.41090E-1
1037.109375; 8.34026E-2
1042.968750; 5.33626E-2
1048.828125; 3.62044E-2
1054.687500; 2.57096E-2
1060.546875; 1.88991E-2
1066.406250; 1.42843E-2
1072.265625; 1.10988E-2
1078.125000; 8.76503E-3
1083.984375; 7.03929E-3
1089.843750; 5.75975E-3
1095.703125; 4.74964E-3
1101.562500; 4.00415E-3
1107.421875; 3.35739E-3
1113.281250; 2.86411E-3
1119.140625; 2.47274E-3
1125.000000; 2.13994E-3
1130.859375; 1.84615E-3
1136.718750; 1.64216E-3
1142.578125; 1.43749E-3
1148.437500; 1.27651E-3
1154.296875; 1.14688E-3
1160.156250; 1.00593E-3
1166.015625; 9.25316E-4
1171.875000; 8.25176E-4
1177.734375; 7.67983E-4
1183.593750; 6.64314E-4
1189.453125; 6.22029E-4
1195.312500; 5.81158E-4
1201.171875; 5.27761E-4
1207.031250; 4.81657E-4
1212.890625; 4.44271E-4
1218.750000; 4.20254E-4
1224.609375; 3.78184E-4
1230.468750; 3.39451E-4
1236.328125; 3.58949E-4
1242.187500; 2.98596E-4
1248.046875; 3.01122E-4
1253.906250; 2.80424E-4
1259.765625; 2.48372E-4
1265.625000; 2.59763E-4
1271.484375; 2.26390E-4
1277.343750; 2.24033E-4
1283.203125; 2.16059E-4
1289.062500; 1.93781E-4
1294.921875; 1.98684E-4
1300.781250; 1.94340E-4
1306.640625; 1.75802E-4
1312.500000; 1.72718E-4
1318.359375; 1.68251E-4
1324.218750; 1.70487E-4
1330.078125; 1.52795E-4
1335.937500; 1.60929E-4
1341.796875; 1.41972E-4
1347.656250; 1.38470E-4
1353.515625; 1.55445E-4
1359.375000; 1.61186E-4
1365.234375; 1.38842E-4
1371.093750; 1.40975E-4
1376.953125; 1.31248E-4
1382.812500; 1.38355E-4
1388.671875; 1.30533E-4
1394.531250; 1.40109E-4
1400.390625; 1.42969E-4
1406.250000; 1.34121E-4
1412.109375; 1.31004E-4
1417.968750; 1.10994E-4
1423.828125; 1.26807E-4
1429.687500; 1.18438E-4
1435.546875; 1.10561E-4
1441.406250; 1.20586E-4
1447.265625; 1.15588E-4
1453.125000; 1.23778E-4
1458.984375; 1.08879E-4
1464.843750; 1.07839E-4
1470.703125; 1.17271E-4
1476.562500; 1.09336E-4
1482.421875; 1.03480E-4
1488.281250; 1.20581E-4
1494.140625; 1.01683E-4
1500.000000; 1.21422E-4
1505.859375; 1.20596E-4
1511.718750; 1.16671E-4
1517.578125; 1.01014E-4
1523.437500; 1.11543E-4
1529.296875; 1.21153E-4
1535.156250; 1.18347E-4
1541.015625; 1.17200E-4
1546.875000; 1.08425E-4
1552.734375; 1.14897E-4
1558.593750; 1.14145E-4
1564.453125; 1.27530E-4
1570.312500; 1.09804E-4
1576.171875; 1.05241E-4
1582.031250; 1.10989E-4
1587.890625; 9.31079E-5
1593.750000; 1.04157E-4
1599.609375; 1.19778E-4
1605.468750; 1.17980E-4
1611.328125; 1.13398E-4
1617.187500; 1.18781E-4
1623.046875; 1.17420E-4
1628.906250; 1.06746E-4
1634.765625; 1.04601E-4
1640.625000; 1.06343E-4
1646.484375; 1.07056E-4
1652.343750; 1.21245E-4
1658.203125; 1.03659E-4
1664.062500; 9.95655E-5
1669.921875; 1.09269E-4
1675.781250; 1.06589E-4
1681.640625; 1.09756E-4
1687.500000; 1.11431E-4
1693.359375; 1.08069E-4
1699.218750; 1.14707E-4
1705.078125; 1.15160E-4
1710.937500; 1.12868E-4
1716.796875; 1.11211E-4
1722.656250; 1.10596E-4
1728.515625; 1.10985E-4
