* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:09:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 1.001 V 1.000 VC, 1.000 VA 1.001 V 22 - 22k UNW 949.8 uV >22k Distortion at 1,000.0 Hz, -40.00 dBFS: Gain: 29.68 dB THD: 0.050 % based on 21 harmonics  [0..22800 Hz] HHD: 0.039 %  [10 .. 22] N: 1.43 %  [0..22800 Hz] N+D: 4.438 mV A THD+N: 1.43 %  [0..22800 Hz] SNR: 36.9 dB ENOB: 13.0 bits 2nd harmonic 0.012 % 128 deg 3rd harmonic 0.012 % 145 deg 4th harmonic 0.011 % -49 deg 5th harmonic 0.011 % -76 deg 6th harmonic 0.011 % -51 deg 7th harmonic 0.011 % -5 deg 8th harmonic 0.011 % -36 deg 9th harmonic 0.011 % 55 deg 
* Measurement: OSDEHA MU-OUT 1.0V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 4.05164E-4
11.718750; 6.70516E-4
17.578125; 6.96926E-4
23.437500; 6.23826E-4
29.296875; 6.36138E-4
35.156250; 5.52060E-4
41.015625; 5.55125E-4
46.875000; 6.24914E-4
52.734375; 5.59131E-4
58.593750; 4.50438E-4
64.453125; 4.53861E-4
70.312500; 4.64758E-4
76.171875; 4.25192E-4
82.031250; 4.34733E-4
87.890625; 4.65309E-4
93.750000; 5.86210E-3
99.609375; 1.29161E-2
105.468750; 7.10058E-3
111.328125; 3.30853E-4
117.187500; 2.40025E-4
123.046875; 2.69613E-4
128.906250; 2.71441E-4
134.765625; 2.84186E-4
140.625000; 2.42280E-4
146.484375; 2.31220E-4
152.343750; 2.53160E-4
158.203125; 2.15225E-4
164.062500; 2.22364E-4
169.921875; 2.52028E-4
175.781250; 2.25984E-4
181.640625; 1.98525E-4
187.500000; 2.02403E-4
193.359375; 6.28874E-4
199.218750; 1.37976E-3
205.078125; 8.02390E-4
210.937500; 1.71998E-4
216.796875; 2.05947E-4
222.656250; 1.91323E-4
228.515625; 1.88091E-4
234.375000; 2.03029E-4
240.234375; 1.75690E-4
246.093750; 1.77994E-4
251.953125; 1.88627E-4
257.812500; 1.83568E-4
263.671875; 1.92110E-4
269.531250; 1.88988E-4
275.390625; 1.65851E-4
281.250000; 1.77596E-4
287.109375; 1.90891E-4
292.968750; 2.02565E-4
298.828125; 3.36560E-4
304.687500; 2.47836E-4
310.546875; 1.80251E-4
316.406250; 1.81615E-4
322.265625; 1.68111E-4
328.125000; 1.57377E-4
333.984375; 1.64728E-4
339.843750; 1.70859E-4
345.703125; 1.82093E-4
351.562500; 1.72921E-4
357.421875; 1.62823E-4
363.281250; 1.91102E-4
369.140625; 1.65966E-4
375.000000; 1.36829E-4
380.859375; 1.42662E-4
386.718750; 1.57658E-4
392.578125; 1.81291E-4
398.437500; 2.86310E-4
404.296875; 2.14118E-4
410.156250; 1.42049E-4
416.015625; 1.44198E-4
421.875000; 1.42683E-4
427.734375; 1.49792E-4
433.593750; 1.47497E-4
439.453125; 1.53005E-4
445.312500; 1.52773E-4
451.171875; 1.63312E-4
457.031250; 1.69824E-4
462.890625; 1.51901E-4
468.750000; 1.51542E-4
474.609375; 1.50484E-4
480.468750; 1.46798E-4
486.328125; 1.32427E-4
492.187500; 1.49587E-4
498.046875; 1.62614E-4
503.906250; 1.31181E-4
509.765625; 1.41423E-4
515.625000; 1.41152E-4
521.484375; 1.26284E-4
527.343750; 1.26262E-4
533.203125; 1.20200E-4
539.062500; 1.38491E-4
544.921875; 1.49727E-4
550.781250; 1.39485E-4
556.640625; 1.32101E-4
562.500000; 1.54796E-4
568.359375; 1.51455E-4
574.218750; 1.34079E-4
580.078125; 1.22860E-4
585.937500; 1.20939E-4
591.796875; 1.44703E-4
597.656250; 1.44651E-4
603.515625; 1.36589E-4
609.375000; 1.36007E-4
615.234375; 1.30629E-4
621.093750; 1.37118E-4
626.953125; 1.33848E-4
632.812500; 1.31478E-4
638.671875; 1.37253E-4
644.531250; 1.39049E-4
650.390625; 1.38454E-4
656.250000; 1.34417E-4
662.109375; 1.23975E-4
667.968750; 1.37279E-4
673.828125; 1.47724E-4
679.687500; 1.37022E-4
685.546875; 1.17121E-4
691.406250; 1.34892E-4
697.265625; 1.71159E-4
703.125000; 1.52507E-4
708.984375; 1.27993E-4
714.843750; 1.33612E-4
720.703125; 1.31711E-4
726.562500; 1.29459E-4
732.421875; 1.10740E-4
738.281250; 1.21607E-4
744.140625; 1.29747E-4
750.000000; 1.35162E-4
755.859375; 1.45181E-4
761.718750; 1.22251E-4
767.578125; 1.38885E-4
773.437500; 1.49290E-4
779.296875; 1.32729E-4
785.156250; 1.15771E-4
791.015625; 1.21706E-4
796.875000; 1.35686E-4
802.734375; 1.38914E-4
808.593750; 1.29271E-4
814.453125; 1.40358E-4
820.312500; 1.33363E-4
826.171875; 1.26267E-4
832.031250; 1.19762E-4
837.890625; 1.17678E-4
843.750000; 1.27801E-4
849.609375; 1.26416E-4
855.468750; 1.39895E-4
861.328125; 1.32675E-4
867.187500; 1.06292E-4
873.046875; 1.31921E-4
878.906250; 1.28729E-4
884.765625; 1.40138E-4
890.625000; 1.26789E-4
896.484375; 1.29558E-4
902.343750; 1.31477E-4
908.203125; 1.37145E-4
914.062500; 1.55932E-4
919.921875; 1.77920E-4
925.781250; 1.64838E-4
931.640625; 2.17929E-4
937.500000; 2.63994E-4
943.359375; 3.18079E-4
949.218750; 4.68588E-4
955.078125; 6.24645E-4
960.937500; 9.44274E-4
966.796875; 1.59688E-3
972.656250; 2.83210E-3
978.515625; 6.03386E-3
984.375000; 1.69511E-2
990.234375; 9.30479E-2
996.093750; 7.44601E-1
1001.953125; 9.30754E-1
1007.812500; 2.65907E-1
1013.671875; 2.66135E-2
1019.531250; 8.17155E-3
1025.390625; 3.60072E-3
1031.250000; 1.86015E-3
1037.109375; 1.13806E-3
1042.968750; 7.22789E-4
1048.828125; 4.85659E-4
1054.687500; 3.69821E-4
1060.546875; 2.87401E-4
1066.406250; 2.36309E-4
1072.265625; 1.80293E-4
1078.125000; 1.79968E-4
1083.984375; 1.57714E-4
1089.843750; 1.42716E-4
1095.703125; 1.21405E-4
1101.562500; 1.27187E-4
1107.421875; 1.20024E-4
1113.281250; 1.27605E-4
1119.140625; 1.08222E-4
1125.000000; 1.14591E-4
1130.859375; 1.14316E-4
1136.718750; 1.07512E-4
1142.578125; 1.18894E-4
1148.437500; 1.31004E-4
1154.296875; 1.18903E-4
1160.156250; 1.13410E-4
1166.015625; 1.20409E-4
1171.875000; 1.17109E-4
1177.734375; 1.29477E-4
1183.593750; 1.29062E-4
1189.453125; 1.13429E-4
1195.312500; 1.08402E-4
1201.171875; 1.12673E-4
1207.031250; 1.14848E-4
1212.890625; 1.22843E-4
1218.750000; 1.16883E-4
1224.609375; 1.18715E-4
1230.468750; 1.13241E-4
1236.328125; 9.74356E-5
1242.187500; 1.15044E-4
1248.046875; 1.12541E-4
1253.906250; 1.06681E-4
1259.765625; 1.07052E-4
1265.625000; 1.22181E-4
1271.484375; 1.12312E-4
1277.343750; 1.16258E-4
1283.203125; 1.14982E-4
1289.062500; 1.18535E-4
1294.921875; 1.28802E-4
1300.781250; 1.18776E-4
1306.640625; 1.20641E-4
1312.500000; 1.36688E-4
1318.359375; 1.30168E-4
1324.218750; 1.17937E-4
1330.078125; 1.19528E-4
1335.937500; 1.16931E-4
1341.796875; 1.18636E-4
1347.656250; 1.31812E-4
1353.515625; 1.23530E-4
1359.375000; 1.23314E-4
1365.234375; 1.29302E-4
1371.093750; 1.23237E-4
1376.953125; 1.22698E-4
1382.812500; 1.37741E-4
1388.671875; 1.22667E-4
1394.531250; 1.15084E-4
1400.390625; 1.15020E-4
1406.250000; 1.14159E-4
1412.109375; 1.30914E-4
1417.968750; 1.20931E-4
1423.828125; 1.00674E-4
1429.687500; 9.54997E-5
1435.546875; 9.49245E-5
1441.406250; 1.18136E-4
1447.265625; 1.29475E-4
1453.125000; 1.14901E-4
1458.984375; 1.11343E-4
1464.843750; 1.11549E-4
1470.703125; 1.26362E-4
1476.562500; 1.32021E-4
1482.421875; 1.23724E-4
1488.281250; 1.21090E-4
1494.140625; 1.14922E-4
1500.000000; 1.10122E-4
1505.859375; 1.19249E-4
1511.718750; 1.18570E-4
1517.578125; 1.09299E-4
1523.437500; 1.14581E-4
1529.296875; 1.10759E-4
1535.156250; 1.16423E-4
1541.015625; 1.24296E-4
1546.875000; 1.10525E-4
1552.734375; 1.17803E-4
1558.593750; 1.22775E-4
1564.453125; 1.14010E-4
1570.312500; 1.07673E-4
1576.171875; 9.90852E-5
1582.031250; 1.16545E-4
1587.890625; 1.31309E-4
1593.750000; 1.15391E-4
1599.609375; 1.12029E-4
1605.468750; 1.26769E-4
1611.328125; 1.23378E-4
1617.187500; 1.25223E-4
1623.046875; 1.24100E-4
1628.906250; 1.15526E-4
1634.765625; 1.19279E-4
1640.625000; 1.12681E-4
1646.484375; 1.07669E-4
1652.343750; 1.16515E-4
1658.203125; 1.32919E-4
1664.062500; 1.19843E-4
1669.921875; 1.16112E-4
1675.781250; 1.03226E-4
1681.640625; 1.08370E-4
1687.500000; 1.07363E-4
1693.359375; 1.09043E-4
1699.218750; 1.13101E-4
1705.078125; 1.14261E-4
1710.937500; 1.31012E-4
1716.796875; 1.15953E-4
1722.656250; 1.14163E-4
1728.515625; 1.19111E-4
1734.375000; 1.14804E-4
1740.234375; 1.19110E-4
1746.093750; 1.12674E-4
1751.953125; 1.15906E-4
1757.812500; 1.08083E-4
1763.671875; 1.19743E-4
1769.531250; 1.17650E-4
1775.390625; 1.29638E-4
1781.250000; 1.42015E-4
1787.109375; 1.27599E-4
1792.968750; 1.10324E-4
1798.828125; 1.10602E-4
1804.687500; 1.21760E-4
1810.546875; 1.41704E-4
1816.406250; 1.21375E-4
1822.265625; 1.06447E-4
1828.125000; 1.06525E-4
1833.984375; 1.13559E-4
1839.843750; 9.82983E-5
1845.703125; 1.07087E-4
1851.562500; 1.07663E-4
1857.421875; 1.00944E-4
1863.281250; 9.59129E-5
1869.140625; 1.03165E-4
1875.000000; 1.19897E-4
1880.859375; 1.13703E-4
1886.718750; 1.09745E-4
1892.578125; 1.15627E-4
1898.437500; 1.16498E-4
1904.296875; 1.19846E-4
1910.156250; 1.09431E-4
1916.015625; 9.97856E-5
1921.875000; 1.16556E-4
1927.734375; 1.28212E-4
1933.593750; 1.25823E-4
1939.453125; 1.33030E-4
1945.312500; 1.35363E-4
1951.171875; 1.25967E-4
1957.031250; 1.06515E-4
1962.890625; 1.13129E-4
1968.750000; 1.22022E-4
1974.609375; 1.14097E-4
1980.468750; 1.14896E-4
1986.328125; 1.19971E-4
1992.187500; 1.08924E-4
1998.046875; 1.18721E-4
2003.906250; 1.07792E-4
2009.765625; 1.11756E-4
2015.625000; 1.14349E-4
2021.484375; 1.23244E-4
2027.343750; 1.04887E-4
2033.203125; 1.06147E-4
2039.062500; 1.04980E-4
2044.921875; 1.10493E-4
2050.781250; 1.10827E-4
2056.640625; 9.39150E-5
2062.500000; 1.04336E-4
2068.359375; 1.00568E-4
2074.218750; 1.06275E-4
2080.078125; 1.09127E-4
2085.937500; 1.01985E-4
2091.796875; 9.43023E-5
2097.656250; 9.46692E-5
2103.515625; 1.10515E-4
2109.375000; 1.00491E-4
2115.234375; 1.06645E-4
2121.093750; 1.03400E-4
2126.953125; 1.15739E-4
2132.812500; 1.23279E-4
2138.671875; 1.07670E-4
2144.531250; 1.06612E-4
2150.390625; 1.22079E-4
2156.250000; 1.33350E-4
2162.109375; 1.20862E-4
2167.968750; 1.25336E-4
2173.828125; 1.20289E-4
2179.687500; 1.04073E-4
2185.546875; 1.21366E-4
2191.406250; 1.26571E-4
2197.265625; 1.23923E-4
2203.125000; 1.14781E-4
2208.984375; 1.06066E-4
2214.843750; 1.03336E-4
2220.703125; 1.09007E-4
2226.562500; 1.13987E-4
2232.421875; 1.07527E-4
2238.281250; 1.14833E-4
2244.140625; 1.12883E-4
2250.000000; 9.44816E-5
2255.859375; 9.27003E-5
2261.718750; 9.81039E-5
2267.578125; 1.15971E-4
2273.437500; 1.08267E-4
2279.296875; 1.02419E-4
2285.156250; 1.13225E-4
2291.015625; 1.21983E-4
2296.875000; 1.25859E-4
2302.734375; 1.26923E-4
2308.593750; 1.16911E-4
2314.453125; 1.11289E-4
2320.312500; 1.07929E-4
2326.171875; 1.13249E-4
2332.031250; 1.10246E-4
2337.890625; 1.05066E-4
2343.750000; 1.06559E-4
2349.609375; 1.10807E-4
2355.468750; 1.10230E-4
2361.328125; 1.23593E-4
2367.187500; 1.14735E-4
2373.046875; 1.13939E-4
2378.906250; 1.06856E-4
2384.765625; 1.06330E-4
2390.625000; 1.16338E-4
2396.484375; 1.06988E-4
2402.343750; 1.13745E-4
2408.203125; 1.04516E-4
2414.062500; 1.05706E-4
2419.921875; 1.07831E-4
2425.781250; 1.29032E-4
2431.640625; 1.35601E-4
2437.500000; 1.06275E-4
2443.359375; 1.23193E-4
2449.218750; 1.23170E-4
2455.078125; 1.23951E-4
2460.937500; 1.07670E-4
2466.796875; 1.07336E-4
2472.656250; 1.21618E-4
2478.515625; 1.11962E-4
2484.375000; 1.04703E-4
2490.234375; 1.10696E-4
2496.093750; 1.11419E-4
2501.953125; 1.03395E-4
2507.812500; 1.01485E-4
2513.671875; 1.12111E-4
2519.531250; 1.14820E-4
2525.390625; 1.08968E-4
2531.250000; 1.05750E-4
2537.109375; 1.11328E-4
