* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:22:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 1.333 V 1.333 VC, 1.333 VA 1.333 V 22 - 22k UNW 947.8 uV >22k Distortion at 1,000.0 Hz, -37.50 dBFS: Gain: 29.68 dB THD: 0.037 % based on 21 harmonics  [0..22800 Hz] HHD: 0.029 %  [10 .. 22] N: 1.06 %  [0..22800 Hz] N+D: 4.358 mV A THD+N: 1.06 %  [0..22800 Hz] SNR: 39.5 dB ENOB: 13.0 bits 2nd harmonic 0.0083 % 78 deg 3rd harmonic 0.0076 % -84 deg 4th harmonic 0.0080 % -52 deg 5th harmonic 0.0078 % 22 deg 6th harmonic 0.0086 % 68 deg 7th harmonic 0.0079 % 48 deg 8th harmonic 0.0085 % -141 deg 9th harmonic 0.0078 % -116 deg 
* Measurement: OSDEHA MU-OUT 1.33V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 1.97203E-4
11.718750; 2.39857E-4
17.578125; 2.10860E-4
23.437500; 1.55832E-4
29.296875; 1.52479E-4
35.156250; 1.35920E-4
41.015625; 1.51157E-4
46.875000; 3.12278E-4
52.734375; 3.03482E-4
58.593750; 1.47744E-4
64.453125; 1.41808E-4
70.312500; 1.56507E-4
76.171875; 1.53025E-4
82.031250; 1.53698E-4
87.890625; 1.77660E-4
93.750000; 5.85228E-3
99.609375; 1.28911E-2
105.468750; 7.09739E-3
111.328125; 2.13876E-4
117.187500; 1.56992E-4
123.046875; 1.54795E-4
128.906250; 1.35533E-4
134.765625; 1.33330E-4
140.625000; 1.45426E-4
146.484375; 1.57515E-4
152.343750; 1.44385E-4
158.203125; 1.23376E-4
164.062500; 1.38473E-4
169.921875; 1.31596E-4
175.781250; 1.29833E-4
181.640625; 1.12848E-4
187.500000; 1.34082E-4
193.359375; 5.57406E-4
199.218750; 1.36244E-3
205.078125; 8.52071E-4
210.937500; 1.51430E-4
216.796875; 1.21237E-4
222.656250; 1.21168E-4
228.515625; 1.26650E-4
234.375000; 1.12993E-4
240.234375; 1.24559E-4
246.093750; 1.48849E-4
251.953125; 1.55043E-4
257.812500; 1.32492E-4
263.671875; 1.10786E-4
269.531250; 1.11673E-4
275.390625; 1.21683E-4
281.250000; 1.19455E-4
287.109375; 1.21834E-4
292.968750; 1.66548E-4
298.828125; 3.15625E-4
304.687500; 2.43258E-4
310.546875; 1.22374E-4
316.406250; 1.20402E-4
322.265625; 1.08942E-4
328.125000; 1.10104E-4
333.984375; 1.25575E-4
339.843750; 1.19718E-4
345.703125; 1.26787E-4
351.562500; 1.27301E-4
357.421875; 1.15108E-4
363.281250; 1.25027E-4
369.140625; 1.29000E-4
375.000000; 1.21693E-4
380.859375; 1.15225E-4
386.718750; 1.15279E-4
392.578125; 1.36973E-4
398.437500; 2.77727E-4
404.296875; 2.12617E-4
410.156250; 1.13673E-4
416.015625; 1.13442E-4
421.875000; 1.20885E-4
427.734375; 1.33788E-4
433.593750; 1.24670E-4
439.453125; 1.15993E-4
445.312500; 1.19101E-4
451.171875; 1.10579E-4
457.031250; 1.06496E-4
462.890625; 1.02751E-4
468.750000; 1.20801E-4
474.609375; 1.18867E-4
480.468750; 1.13464E-4
486.328125; 1.25626E-4
492.187500; 1.44601E-4
498.046875; 1.49184E-4
503.906250; 1.24942E-4
509.765625; 1.18167E-4
515.625000; 1.26771E-4
521.484375; 1.34022E-4
527.343750; 1.31176E-4
533.203125; 1.17321E-4
539.062500; 9.77374E-5
544.921875; 1.20777E-4
550.781250; 1.26436E-4
556.640625; 1.07343E-4
562.500000; 1.00759E-4
568.359375; 1.02815E-4
574.218750; 1.24762E-4
580.078125; 1.14919E-4
585.937500; 9.77938E-5
591.796875; 1.19412E-4
597.656250; 1.25045E-4
603.515625; 1.07220E-4
609.375000; 1.06401E-4
615.234375; 1.13069E-4
621.093750; 1.16913E-4
626.953125; 1.04828E-4
632.812500; 1.21810E-4
638.671875; 1.18023E-4
644.531250; 1.14664E-4
650.390625; 1.21132E-4
656.250000; 1.11972E-4
662.109375; 1.18342E-4
667.968750; 1.12018E-4
673.828125; 1.04495E-4
679.687500; 9.55455E-5
685.546875; 1.14590E-4
691.406250; 1.22122E-4
697.265625; 1.23885E-4
703.125000; 1.30870E-4
708.984375; 1.31395E-4
714.843750; 1.11581E-4
