* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:10:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 1.779 V 1.779 VC, 1.779 VA 1.779 V 22 - 22k UNW 959.5 uV >22k Distortion at 1,000.0 Hz, -35.00 dBFS: Gain: 29.68 dB THD: 0.028 % based on 21 harmonics  [0..22800 Hz] HHD: 0.022 %  [10 .. 22] N: 0.80 %  [0..22800 Hz] N+D: 4.397 mV A THD+N: 0.80 %  [0..22800 Hz] SNR: 42.0 dB ENOB: 13.0 bits 2nd harmonic 0.0063 % 155 deg 3rd harmonic 0.0060 % -34 deg 4th harmonic 0.0064 % -148 deg 5th harmonic 0.0062 % -79 deg 6th harmonic 0.0062 % 126 deg 7th harmonic 0.0061 % 34 deg 8th harmonic 0.0062 % 103 deg 9th harmonic 0.0063 % -17 deg 
* Measurement: OSDEHA MU-OUT 1.78V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.20241E-4
11.718750; 3.12074E-4
17.578125; 3.23469E-4
23.437500; 2.67938E-4
29.296875; 2.31752E-4
35.156250; 2.17608E-4
41.015625; 2.17893E-4
46.875000; 3.11878E-4
52.734375; 3.38394E-4
58.593750; 2.12413E-4
64.453125; 1.88478E-4
70.312500; 1.66835E-4
76.171875; 1.53324E-4
82.031250; 1.73789E-4
87.890625; 2.13600E-4
93.750000; 5.88002E-3
99.609375; 1.29338E-2
105.468750; 7.07685E-3
111.328125; 2.23854E-4
117.187500; 1.87929E-4
123.046875; 1.53689E-4
128.906250; 1.43674E-4
134.765625; 1.42073E-4
140.625000; 1.69796E-4
146.484375; 1.86777E-4
152.343750; 1.61834E-4
158.203125; 1.56250E-4
164.062500; 1.61896E-4
169.921875; 1.56523E-4
175.781250; 1.46794E-4
181.640625; 1.42615E-4
187.500000; 1.49097E-4
193.359375; 5.77685E-4
199.218750; 1.37586E-3
205.078125; 8.36367E-4
210.937500; 1.47618E-4
216.796875; 1.40426E-4
222.656250; 1.56692E-4
228.515625; 1.53816E-4
234.375000; 1.43676E-4
240.234375; 1.28803E-4
246.093750; 1.37161E-4
251.953125; 1.62557E-4
257.812500; 1.49812E-4
263.671875; 1.50058E-4
269.531250; 1.42372E-4
275.390625; 1.40961E-4
281.250000; 1.39857E-4
287.109375; 1.42292E-4
292.968750; 1.72976E-4
298.828125; 2.96490E-4
304.687500; 2.15404E-4
310.546875; 1.33285E-4
316.406250; 1.36057E-4
322.265625; 1.31276E-4
328.125000; 1.13621E-4
333.984375; 1.12168E-4
339.843750; 1.34215E-4
345.703125; 1.36179E-4
351.562500; 1.27176E-4
357.421875; 1.35338E-4
363.281250; 1.39649E-4
369.140625; 1.28189E-4
375.000000; 1.35285E-4
380.859375; 1.19815E-4
