* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:08:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 10.00 V 10.00 VC, 10.00 VA 10.00 V 22 - 22k UNW 959.7 uV >22k Distortion at 1,000.0 Hz, -20.00 dBFS: Gain: 29.68 dB THD: 0.014 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0038 %  [10 .. 22] N: 0.14 %  [0..22800 Hz] N+D: 4.650 mV A THD+N: 0.14 %  [0..22800 Hz] SNR: 57.0 dB ENOB: 13.0 bits 2nd harmonic 0.013 % 143 deg 3rd harmonic 0.0013 % 44 deg 4th harmonic 0.0012 % -117 deg 5th harmonic 0.0011 % 100 deg 6th harmonic 0.0011 % 107 deg 7th harmonic 0.0011 % -10 deg 8th harmonic 0.0011 % -49 deg 9th harmonic 0.0011 % -31 deg 
* Measurement: OSDEHA MU-OUT 10V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 3.67004E-4
11.718750; 3.72969E-4
17.578125; 2.88047E-4
23.437500; 2.64795E-4
29.296875; 2.20884E-4
35.156250; 2.23211E-4
41.015625; 2.33757E-4
46.875000; 3.59681E-4
52.734375; 3.70479E-4
58.593750; 2.06244E-4
64.453125; 1.83711E-4
70.312500; 1.83788E-4
76.171875; 1.86211E-4
82.031250; 2.05564E-4
87.890625; 2.33310E-4
93.750000; 5.77530E-3
99.609375; 1.28342E-2
105.468750; 7.10698E-3
111.328125; 2.47299E-4
117.187500; 1.63614E-4
123.046875; 1.57624E-4
128.906250; 1.51608E-4
134.765625; 1.67141E-4
140.625000; 1.68532E-4
146.484375; 1.70514E-4
152.343750; 1.62632E-4
158.203125; 1.53189E-4
164.062500; 1.63358E-4
169.921875; 1.68723E-4
175.781250; 1.48705E-4
181.640625; 1.49040E-4
187.500000; 1.45199E-4
193.359375; 5.72405E-4
199.218750; 1.34049E-3
205.078125; 8.29118E-4
210.937500; 1.53777E-4
216.796875; 1.35942E-4
222.656250; 1.33793E-4
228.515625; 1.36518E-4
234.375000; 1.28382E-4
240.234375; 1.40346E-4
246.093750; 1.61841E-4
251.953125; 1.62584E-4
257.812500; 1.49051E-4
263.671875; 1.44230E-4
269.531250; 1.26408E-4
275.390625; 1.28400E-4
281.250000; 1.46227E-4
287.109375; 1.32397E-4
292.968750; 1.84348E-4
298.828125; 3.81122E-4
304.687500; 2.95186E-4
310.546875; 1.53657E-4
316.406250; 1.50467E-4
322.265625; 1.34223E-4
328.125000; 1.21659E-4
333.984375; 1.22490E-4
339.843750; 1.28656E-4
345.703125; 1.37828E-4
351.562500; 1.48583E-4
357.421875; 1.33304E-4
363.281250; 1.25145E-4
369.140625; 1.29356E-4
375.000000; 1.21958E-4
380.859375; 1.28592E-4
386.718750; 1.32682E-4
392.578125; 1.49454E-4
398.437500; 2.82968E-4
404.296875; 2.36309E-4
410.156250; 1.49807E-4
416.015625; 1.42980E-4
421.875000; 1.24659E-4
427.734375; 1.25674E-4
433.593750; 1.31394E-4
439.453125; 1.15037E-4
445.312500; 1.23376E-4
451.171875; 1.31035E-4
457.031250; 1.28375E-4
462.890625; 1.30371E-4
468.750000; 1.33201E-4
474.609375; 1.42133E-4
480.468750; 1.29549E-4
486.328125; 1.21203E-4
492.187500; 1.22299E-4
498.046875; 1.38654E-4
503.906250; 1.32378E-4
509.765625; 1.21038E-4
515.625000; 1.09561E-4
521.484375; 1.17593E-4
527.343750; 1.22058E-4
533.203125; 1.23486E-4
539.062500; 1.18567E-4
544.921875; 1.25531E-4
550.781250; 1.33424E-4
556.640625; 1.26228E-4
562.500000; 1.36338E-4
568.359375; 1.38396E-4
574.218750; 1.25808E-4
580.078125; 1.20716E-4
585.937500; 1.25774E-4
591.796875; 1.21222E-4
597.656250; 1.18969E-4
603.515625; 1.33614E-4
609.375000; 1.37692E-4
615.234375; 1.27432E-4
621.093750; 1.16996E-4
626.953125; 1.21164E-4
632.812500; 1.28789E-4
638.671875; 1.33175E-4
644.531250; 1.36004E-4
650.390625; 1.43773E-4
656.250000; 1.26152E-4
662.109375; 1.11507E-4
667.968750; 1.16920E-4
673.828125; 1.25821E-4
679.687500; 1.21646E-4
685.546875; 1.22987E-4
691.406250; 1.26170E-4
697.265625; 1.31628E-4
703.125000; 1.33783E-4
708.984375; 1.21610E-4
714.843750; 1.27207E-4
720.703125; 1.24467E-4
726.562500; 1.22194E-4
732.421875; 1.27099E-4
738.281250; 1.12224E-4
744.140625; 1.15800E-4
750.000000; 1.32868E-4
755.859375; 1.26944E-4
761.718750; 1.31222E-4
767.578125; 1.27920E-4
773.437500; 1.26931E-4
779.296875; 1.37045E-4
785.156250; 1.34930E-4
791.015625; 1.35477E-4
796.875000; 1.35220E-4
802.734375; 1.47051E-4
808.593750; 1.55335E-4
814.453125; 1.46552E-4
820.312500; 1.59057E-4
826.171875; 1.64003E-4
832.031250; 1.80808E-4
837.890625; 1.82071E-4
843.750000; 1.95554E-4
849.609375; 2.07570E-4
855.468750; 2.12990E-4
861.328125; 2.20025E-4
867.187500; 2.79596E-4
873.046875; 2.95086E-4
878.906250; 3.40052E-4
884.765625; 3.87326E-4
890.625000; 4.35029E-4
896.484375; 5.12048E-4
902.343750; 6.13695E-4
908.203125; 7.36170E-4
914.062500; 8.90623E-4
919.921875; 1.07935E-3
925.781250; 1.38133E-3
931.640625; 1.75804E-3
937.500000; 2.28127E-3
943.359375; 3.10107E-3
949.218750; 4.28156E-3
955.078125; 6.24380E-3
960.937500; 9.50284E-3
966.796875; 1.56479E-2
972.656250; 2.84316E-2
978.515625; 6.04320E-2
984.375000; 1.69206E-1
990.234375; 9.30587E-1
996.093750; 7.44478E0
1001.953125; 9.30598E0
1007.812500; 2.65885E0
1013.671875; 2.65882E-1
1019.531250; 8.18264E-2
1025.390625; 3.57634E-2
1031.250000; 1.88510E-2
1037.109375; 1.11433E-2
1042.968750; 7.11974E-3
1048.828125; 4.83773E-3
1054.687500; 3.41933E-3
1060.546875; 2.53809E-3
1066.406250; 1.91397E-3
1072.265625; 1.47292E-3
1078.125000; 1.18019E-3
1083.984375; 9.66064E-4
1089.843750; 7.65376E-4
1095.703125; 6.39812E-4
1101.562500; 5.57436E-4
1107.421875; 4.62911E-4
1113.281250; 3.99919E-4
1119.140625; 3.52771E-4
1125.000000; 3.09486E-4
1130.859375; 2.60681E-4
1136.718750; 2.69491E-4
1142.578125; 2.12112E-4
1148.437500; 2.19406E-4
1154.296875; 1.83502E-4
1160.156250; 1.88989E-4
1166.015625; 1.74967E-4
1171.875000; 1.54769E-4
1177.734375; 1.57144E-4
1183.593750; 1.34352E-4
1189.453125; 1.62642E-4
1195.312500; 1.34729E-4
1201.171875; 1.38549E-4
1207.031250; 1.24588E-4
1212.890625; 1.28280E-4
1218.750000; 1.31311E-4
1224.609375; 1.37384E-4
1230.468750; 1.14920E-4
1236.328125; 1.27419E-4
1242.187500; 1.29754E-4
1248.046875; 1.32976E-4
1253.906250; 1.20296E-4
1259.765625; 1.21780E-4
1265.625000; 1.01322E-4
1271.484375; 1.09397E-4
1277.343750; 1.11907E-4
1283.203125; 1.10894E-4
1289.062500; 1.17292E-4
1294.921875; 1.18698E-4
1300.781250; 1.14976E-4
1306.640625; 1.16179E-4
1312.500000; 1.19075E-4
1318.359375; 1.26131E-4
1324.218750; 1.32399E-4
1330.078125; 1.23655E-4
1335.937500; 1.09238E-4
1341.796875; 1.17467E-4
1347.656250; 1.38331E-4
1353.515625; 1.27057E-4
1359.375000; 1.27543E-4
1365.234375; 1.27443E-4
1371.093750; 1.30091E-4
1376.953125; 1.25641E-4
1382.812500; 1.13888E-4
1388.671875; 1.14170E-4
1394.531250; 1.25644E-4
1400.390625; 1.14860E-4
1406.250000; 1.12111E-4
1412.109375; 1.21910E-4
1417.968750; 1.22613E-4
1423.828125; 1.19575E-4
1429.687500; 1.05982E-4
1435.546875; 1.09545E-4
1441.406250; 1.22812E-4
1447.265625; 1.31199E-4
1453.125000; 1.24280E-4
1458.984375; 1.17396E-4
1464.843750; 1.18924E-4
1470.703125; 1.22745E-4
1476.562500; 1.19606E-4
1482.421875; 1.15358E-4
1488.281250; 1.21420E-4
1494.140625; 1.14114E-4
1500.000000; 1.23659E-4
1505.859375; 1.25637E-4
1511.718750; 1.28097E-4
1517.578125; 1.19263E-4
1523.437500; 1.10899E-4
1529.296875; 9.90606E-5
1535.156250; 1.06854E-4
1541.015625; 1.15567E-4
1546.875000; 1.12824E-4
1552.734375; 1.13626E-4
1558.593750; 1.06581E-4
1564.453125; 1.21706E-4
1570.312500; 1.18251E-4
1576.171875; 1.12565E-4
1582.031250; 1.19892E-4
1587.890625; 1.16760E-4
1593.750000; 1.13896E-4
1599.609375; 1.14803E-4
1605.468750; 1.09843E-4
1611.328125; 1.12800E-4
1617.187500; 1.02492E-4
1623.046875; 1.13073E-4
1628.906250; 1.25382E-4
1634.765625; 1.16956E-4
1640.625000; 1.16441E-4
1646.484375; 1.22961E-4
1652.343750; 1.23610E-4
1658.203125; 1.13565E-4
1664.062500; 1.03715E-4
1669.921875; 1.16900E-4
1675.781250; 1.15780E-4
1681.640625; 1.28381E-4
1687.500000; 1.34003E-4
1693.359375; 9.93431E-5
1699.218750; 9.27061E-5
1705.078125; 1.07208E-4
1710.937500; 9.89455E-5
1716.796875; 1.15873E-4
1722.656250; 1.08894E-4
1728.515625; 1.08181E-4
1734.375000; 1.24801E-4
1740.234375; 1.19225E-4
1746.093750; 1.04566E-4
1751.953125; 1.06697E-4
1757.812500; 1.23691E-4
1763.671875; 1.15632E-4
1769.531250; 1.06257E-4
1775.390625; 1.06600E-4
1781.250000; 1.13354E-4
1787.109375; 1.10187E-4
1792.968750; 1.17563E-4
1798.828125; 1.21540E-4
1804.687500; 1.08076E-4
1810.546875; 1.10406E-4
1816.406250; 1.12457E-4
1822.265625; 1.09209E-4
1828.125000; 1.18984E-4
1833.984375; 1.14439E-4
1839.843750; 1.18212E-4
1845.703125; 1.23272E-4
1851.562500; 1.28184E-4
1857.421875; 1.21541E-4
1863.281250; 1.23227E-4
1869.140625; 1.24373E-4
1875.000000; 1.17965E-4
1880.859375; 1.21488E-4
1886.718750; 1.12291E-4
1892.578125; 1.08591E-4
1898.437500; 1.14550E-4
1904.296875; 1.05013E-4
1910.156250; 1.02024E-4
1916.015625; 1.11165E-4
1921.875000; 1.30545E-4
1927.734375; 1.21818E-4
1933.593750; 1.03128E-4
1939.453125; 1.03325E-4
1945.312500; 1.08515E-4
1951.171875; 1.08021E-4
1957.031250; 1.16018E-4
1962.890625; 1.25230E-4
1968.750000; 1.19951E-4
1974.609375; 1.20314E-4
1980.468750; 1.15584E-4
1986.328125; 1.17022E-4
1992.187500; 3.52110E-4
1998.046875; 1.18220E-3
2003.906250; 9.52011E-4
2009.765625; 1.72481E-4
2015.625000; 1.09862E-4
2021.484375; 1.08121E-4
2027.343750; 1.22116E-4
2033.203125; 1.20129E-4
2039.062500; 1.17730E-4
2044.921875; 1.14188E-4
2050.781250; 1.18844E-4
2056.640625; 1.16019E-4
2062.500000; 1.27441E-4
2068.359375; 1.18102E-4
2074.218750; 1.13982E-4
2080.078125; 1.17961E-4
2085.937500; 1.28109E-4
2091.796875; 1.15787E-4
2097.656250; 1.10098E-4
2103.515625; 1.15806E-4
2109.375000; 1.28554E-4
2115.234375; 1.17223E-4
2121.093750; 1.12764E-4
2126.953125; 1.12377E-4
2132.812500; 1.14319E-4
2138.671875; 1.15099E-4
2144.531250; 1.23961E-4
2150.390625; 1.30702E-4
2156.250000; 1.30982E-4
2162.109375; 1.25742E-4
2167.968750; 1.14424E-4
2173.828125; 1.12496E-4
2179.687500; 1.13225E-4
2185.546875; 1.16364E-4
2191.406250; 1.16404E-4
2197.265625; 1.07244E-4
2203.125000; 1.07990E-4
2208.984375; 1.19924E-4
2214.843750; 1.21017E-4
2220.703125; 1.21736E-4
2226.562500; 1.18571E-4
2232.421875; 1.10141E-4
2238.281250; 1.05299E-4
2244.140625; 1.08895E-4
2250.000000; 1.09366E-4
2255.859375; 1.08502E-4
2261.718750; 1.03461E-4
2267.578125; 1.13505E-4
2273.437500; 1.14970E-4
2279.296875; 1.19960E-4
2285.156250; 1.23596E-4
2291.015625; 1.05301E-4
2296.875000; 1.13624E-4
2302.734375; 1.10501E-4
2308.593750; 1.19431E-4
2314.453125; 1.15401E-4
2320.312500; 1.11258E-4
2326.171875; 1.04061E-4
2332.031250; 9.01119E-5
2337.890625; 9.89053E-5
2343.750000; 1.10394E-4
2349.609375; 1.08205E-4
2355.468750; 1.19279E-4
2361.328125; 1.06838E-4
2367.187500; 1.03419E-4
2373.046875; 1.09772E-4
2378.906250; 1.18503E-4
2384.765625; 1.15944E-4
2390.625000; 1.11212E-4
2396.484375; 1.18203E-4
2402.343750; 1.12292E-4
2408.203125; 1.08633E-4
2414.062500; 1.13643E-4
2419.921875; 1.09049E-4
2425.781250; 1.00893E-4
2431.640625; 1.08972E-4
2437.500000; 1.04965E-4
2443.359375; 1.04179E-4
2449.218750; 1.13223E-4
2455.078125; 1.17142E-4
2460.937500; 9.90925E-5
2466.796875; 1.10003E-4
2472.656250; 1.22571E-4
2478.515625; 1.14334E-4
2484.375000; 1.11975E-4
2490.234375; 1.25340E-4
2496.093750; 1.29346E-4
2501.953125; 1.07757E-4
2507.812500; 1.01774E-4
2513.671875; 1.02374E-4
2519.531250; 1.07724E-4
2525.390625; 1.35539E-4
2531.250000; 1.17388E-4
2537.109375; 1.06763E-4
