* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:22:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 13.33 V 13.33 VC, 13.33 VA 13.33 V 22 - 22k UNW 937.0 uV >22k Distortion at 1,000.0 Hz, -17.50 dBFS: Gain: 29.68 dB THD: 0.015 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0028 %  [10 .. 22] N: 0.11 %  [0..22800 Hz] N+D: 4.857 mV A THD+N: 0.11 %  [0..22800 Hz] SNR: 59.5 dB ENOB: 13.0 bits 2nd harmonic 0.014 % 142 deg 3rd harmonic 0.00096 % 8 deg 4th harmonic 0.00086 % 179 deg 5th harmonic 0.00081 % -10 deg 6th harmonic 0.00082 % 32 deg 7th harmonic 0.00083 % 38 deg 8th harmonic 0.00081 % -44 deg 9th harmonic 0.00083 % 179 deg 
* Measurement: OSDEHA MU-OUT 13.3V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.75948E-4
11.718750; 2.64242E-4
17.578125; 2.14127E-4
23.437500; 1.92747E-4
29.296875; 1.64373E-4
35.156250; 1.56559E-4
41.015625; 1.69732E-4
46.875000; 2.96256E-4
52.734375; 3.11980E-4
58.593750; 1.57245E-4
64.453125; 1.35827E-4
70.312500; 1.41606E-4
76.171875; 1.33014E-4
82.031250; 1.53859E-4
87.890625; 1.98934E-4
93.750000; 5.78571E-3
99.609375; 1.28457E-2
105.468750; 7.11064E-3
111.328125; 1.98684E-4
117.187500; 1.36707E-4
123.046875; 1.20356E-4
128.906250; 1.08001E-4
134.765625; 1.15872E-4
140.625000; 1.20755E-4
146.484375; 1.34273E-4
152.343750; 1.50650E-4
158.203125; 1.17805E-4
164.062500; 1.28249E-4
169.921875; 1.13438E-4
175.781250; 1.12052E-4
181.640625; 1.26280E-4
187.500000; 1.34703E-4
193.359375; 5.38971E-4
199.218750; 1.35036E-3
205.078125; 8.30363E-4
210.937500; 1.22143E-4
216.796875; 1.13023E-4
222.656250; 1.16795E-4
228.515625; 1.31855E-4
234.375000; 1.42827E-4
240.234375; 1.30161E-4
246.093750; 1.34236E-4
251.953125; 1.48611E-4
257.812500; 1.35906E-4
263.671875; 1.21990E-4
269.531250; 1.12768E-4
275.390625; 1.10679E-4
281.250000; 1.16346E-4
287.109375; 1.22114E-4
292.968750; 1.44202E-4
298.828125; 3.03351E-4
304.687500; 2.30855E-4
310.546875; 1.30017E-4
316.406250; 1.23306E-4
322.265625; 1.15959E-4
328.125000; 1.14482E-4
333.984375; 1.19020E-4
339.843750; 1.19957E-4
345.703125; 1.18491E-4
351.562500; 1.28818E-4
357.421875; 1.29669E-4
363.281250; 1.28286E-4
369.140625; 1.13454E-4
375.000000; 1.01005E-4
380.859375; 1.35356E-4
386.718750; 1.35206E-4
392.578125; 1.45107E-4
398.437500; 2.64698E-4
404.296875; 1.97093E-4
410.156250; 1.25402E-4
416.015625; 1.20586E-4
421.875000; 1.18298E-4
427.734375; 1.15780E-4
433.593750; 1.20228E-4
439.453125; 1.14326E-4
445.312500; 1.14388E-4
451.171875; 1.21004E-4
457.031250; 1.12995E-4
462.890625; 1.20409E-4
468.750000; 1.21209E-4
474.609375; 1.29288E-4
480.468750; 1.24665E-4
486.328125; 1.13677E-4
492.187500; 1.13541E-4
498.046875; 1.33219E-4
503.906250; 1.24643E-4
509.765625; 1.04267E-4
515.625000; 1.03541E-4
521.484375; 1.06776E-4
527.343750; 1.21578E-4
533.203125; 1.12813E-4
539.062500; 1.12230E-4
544.921875; 1.24584E-4
550.781250; 1.15452E-4
556.640625; 1.07471E-4
562.500000; 1.17638E-4
568.359375; 1.10705E-4
574.218750; 1.15636E-4
580.078125; 1.11503E-4
585.937500; 1.19397E-4
591.796875; 1.18594E-4
597.656250; 1.25615E-4
603.515625; 1.19427E-4
609.375000; 1.16090E-4
615.234375; 1.12797E-4
621.093750; 1.13788E-4
626.953125; 1.14309E-4
632.812500; 1.09720E-4
638.671875; 1.24744E-4
644.531250; 1.21685E-4
650.390625; 1.09442E-4
656.250000; 1.12861E-4
662.109375; 1.21021E-4
667.968750; 1.08411E-4
673.828125; 1.05569E-4
679.687500; 1.12758E-4
685.546875; 1.19110E-4
691.406250; 1.18822E-4
697.265625; 1.16662E-4
703.125000; 1.28171E-4
708.984375; 1.11957E-4
714.843750; 1.12686E-4
