* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:27:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 17.79 V 17.79 VC, 17.79 VA 17.79 V 22 - 22k UNW 948.8 uV >22k Distortion at 1,000.0 Hz, -14.99 dBFS: Gain: 29.68 dB THD: 0.018 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0021 %  [10 .. 22] N: 0.079 %  [0..22800 Hz] N+D: 5.657 mV A THD+N: 0.081 %  [0..22800 Hz] SNR: 62.0 dB ENOB: 13.0 bits 2nd harmonic 0.018 % 140 deg 3rd harmonic 0.0014 % -26 deg 4th harmonic 0.00083 % 144 deg 5th harmonic 0.00064 % -25 deg 6th harmonic 0.00055 % -26 deg 7th harmonic 0.00058 % -12 deg 8th harmonic 0.00058 % 20 deg 9th harmonic 0.00060 % 35 deg 
* Measurement: OSDEHA MU-OUT 17.8V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 1.82355E-4
11.718750; 2.35448E-4
17.578125; 2.00911E-4
23.437500; 1.41867E-4
29.296875; 1.84420E-4
35.156250; 1.88879E-4
41.015625; 1.53135E-4
46.875000; 3.00873E-4
52.734375; 3.26754E-4
58.593750; 1.88179E-4
64.453125; 1.66103E-4
70.312500; 1.48059E-4
76.171875; 1.40117E-4
82.031250; 1.52877E-4
87.890625; 1.91836E-4
93.750000; 5.82761E-3
99.609375; 1.28844E-2
105.468750; 7.11490E-3
111.328125; 2.32973E-4
117.187500; 1.54460E-4
123.046875; 1.39114E-4
128.906250; 1.35631E-4
134.765625; 1.41365E-4
140.625000; 1.44579E-4
146.484375; 1.43001E-4
152.343750; 1.40529E-4
158.203125; 1.19484E-4
164.062500; 1.35493E-4
169.921875; 1.36125E-4
175.781250; 1.42471E-4
181.640625; 1.20948E-4
187.500000; 1.23260E-4
193.359375; 5.76848E-4
199.218750; 1.34375E-3
205.078125; 8.12386E-4
210.937500; 1.33000E-4
216.796875; 1.20601E-4
222.656250; 1.31340E-4
228.515625; 1.30568E-4
234.375000; 1.32480E-4
240.234375; 1.35834E-4
246.093750; 1.20825E-4
251.953125; 1.25312E-4
257.812500; 1.16213E-4
263.671875; 1.18909E-4
269.531250; 1.15669E-4
275.390625; 1.18805E-4
281.250000; 1.29219E-4
287.109375; 1.34401E-4
292.968750; 1.73481E-4
298.828125; 2.85716E-4
304.687500; 1.97735E-4
310.546875; 1.25012E-4
316.406250; 1.16407E-4
322.265625; 1.22395E-4
328.125000; 1.24822E-4
333.984375; 1.21132E-4
339.843750; 1.16702E-4
345.703125; 1.12490E-4
351.562500; 1.04347E-4
357.421875; 1.16988E-4
363.281250; 1.23164E-4
369.140625; 1.28626E-4
375.000000; 1.26427E-4
380.859375; 1.13168E-4
