* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:21:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 2.371 V 2.371 VC, 2.371 VA 2.371 V 22 - 22k UNW 941.8 uV >22k Distortion at 1,000.0 Hz, -32.50 dBFS: Gain: 29.68 dB THD: 0.021 % based on 21 harmonics  [0..22800 Hz] HHD: 0.016 %  [10 .. 22] N: 0.59 %  [0..22800 Hz] N+D: 4.376 mV A THD+N: 0.59 %  [0..22800 Hz] SNR: 44.5 dB ENOB: 13.0 bits 2nd harmonic 0.0052 % 140 deg 3rd harmonic 0.0049 % 76 deg 4th harmonic 0.0047 % 155 deg 5th harmonic 0.0046 % 147 deg 6th harmonic 0.0046 % -122 deg 7th harmonic 0.0047 % -79 deg 8th harmonic 0.0045 % 140 deg 9th harmonic 0.0048 % 146 deg 
* Measurement: OSDEHA MU-OUT 2.37V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 1.76951E-4
11.718750; 2.10291E-4
17.578125; 2.07627E-4
23.437500; 1.94140E-4
29.296875; 1.97691E-4
35.156250; 2.00801E-4
41.015625; 1.85961E-4
46.875000; 3.25436E-4
52.734375; 3.23076E-4
58.593750; 1.73098E-4
64.453125; 1.72221E-4
70.312500; 1.46549E-4
76.171875; 1.54350E-4
82.031250; 1.59158E-4
87.890625; 2.00387E-4
93.750000; 5.81812E-3
99.609375; 1.28857E-2
105.468750; 7.09737E-3
111.328125; 2.08287E-4
117.187500; 1.48355E-4
123.046875; 1.54302E-4
128.906250; 1.38793E-4
134.765625; 1.25480E-4
140.625000; 1.27420E-4
146.484375; 1.40815E-4
152.343750; 1.48070E-4
158.203125; 1.48730E-4
164.062500; 1.47621E-4
169.921875; 1.54220E-4
175.781250; 1.47440E-4
181.640625; 1.49910E-4
187.500000; 1.40544E-4
193.359375; 5.87979E-4
199.218750; 1.38717E-3
205.078125; 8.50612E-4
210.937500; 1.32277E-4
216.796875; 1.31127E-4
222.656250; 1.32924E-4
228.515625; 1.31467E-4
234.375000; 1.40586E-4
240.234375; 1.33644E-4
246.093750; 1.28370E-4
251.953125; 1.46201E-4
257.812500; 1.34831E-4
263.671875; 1.30626E-4
269.531250; 1.30883E-4
275.390625; 1.13946E-4
281.250000; 1.21367E-4
287.109375; 1.37187E-4
292.968750; 1.88173E-4
298.828125; 3.29601E-4
304.687500; 2.44559E-4
310.546875; 1.47667E-4
316.406250; 1.40766E-4
322.265625; 1.24050E-4
328.125000; 1.17261E-4
333.984375; 1.17430E-4
339.843750; 1.28299E-4
345.703125; 1.30858E-4
351.562500; 1.23469E-4
357.421875; 1.32111E-4
363.281250; 1.38380E-4
369.140625; 1.21312E-4
375.000000; 1.26117E-4
380.859375; 1.28540E-4
386.718750; 1.33813E-4
392.578125; 1.56666E-4
398.437500; 2.68899E-4
404.296875; 2.18850E-4
410.156250; 1.31785E-4
416.015625; 1.18520E-4
421.875000; 1.19217E-4
427.734375; 1.15316E-4
433.593750; 1.12969E-4
439.453125; 1.21794E-4
445.312500; 1.30181E-4
451.171875; 1.42816E-4
457.031250; 1.43723E-4
462.890625; 1.32078E-4
468.750000; 1.39529E-4
474.609375; 1.37027E-4
480.468750; 1.18478E-4
486.328125; 1.20649E-4
492.187500; 1.15270E-4
498.046875; 1.22217E-4
503.906250; 1.16418E-4
509.765625; 1.07713E-4
515.625000; 1.12304E-4
521.484375; 1.23171E-4
527.343750; 1.32393E-4
533.203125; 1.24729E-4
539.062500; 1.09668E-4
544.921875; 1.27084E-4
550.781250; 1.13432E-4
556.640625; 1.07453E-4
562.500000; 1.19075E-4
568.359375; 1.15945E-4
574.218750; 1.14206E-4
580.078125; 1.18760E-4
585.937500; 1.17921E-4
591.796875; 1.19771E-4
597.656250; 1.41743E-4
603.515625; 1.36279E-4
609.375000; 1.13959E-4
615.234375; 1.09873E-4
