* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:23:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 23.70 V 23.70 VC, 23.70 VA 23.70 V 22 - 22k UNW 953.6 uV >22k Distortion at 1,000.0 Hz, -12.51 dBFS: Gain: 29.67 dB THD: 0.023 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0016 %  [10 .. 22] N: 0.059 %  [0..22800 Hz] N+D: 7.590 mV A THD+N: 0.064 %  [0..22800 Hz] SNR: 64.5 dB ENOB: 12.9 bits 2nd harmonic 0.023 % 145 deg 3rd harmonic 0.00082 % -15 deg 4th harmonic 0.0022 % 135 deg 5th harmonic 0.00052 % 19 deg 6th harmonic 0.00044 % 70 deg 7th harmonic 0.00050 % 3 deg 8th harmonic 0.00047 % -75 deg 9th harmonic 0.00044 % 33 deg
* Measurement: OSDEHA MU-OUT 23.7
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.35640E-4
11.718750; 2.92325E-4
17.578125; 2.48728E-4
23.437500; 2.05825E-4
29.296875; 1.92542E-4
35.156250; 1.80266E-4
41.015625; 1.69220E-4
46.875000; 3.11191E-4
52.734375; 3.14179E-4
58.593750; 1.58255E-4
64.453125; 1.36315E-4
70.312500; 1.33158E-4
76.171875; 1.36929E-4
82.031250; 1.52318E-4
87.890625; 1.98286E-4
93.750000; 5.85199E-3
99.609375; 1.28660E-2
105.468750; 7.03533E-3
111.328125; 2.00700E-4
117.187500; 1.72519E-4
123.046875; 1.31187E-4
128.906250; 1.25536E-4
134.765625; 1.26635E-4
140.625000; 1.28344E-4
146.484375; 1.43273E-4
152.343750; 1.37155E-4
158.203125; 1.12458E-4
164.062500; 1.26552E-4
169.921875; 1.38568E-4
175.781250; 1.44575E-4
181.640625; 1.24379E-4
187.500000; 1.08443E-4
193.359375; 5.86014E-4
199.218750; 1.37739E-3
205.078125; 8.33948E-4
210.937500; 1.32081E-4
216.796875; 1.31947E-4
222.656250; 1.26956E-4
228.515625; 1.26895E-4
234.375000; 1.43362E-4
240.234375; 1.36512E-4
246.093750; 1.31192E-4
251.953125; 1.34082E-4
257.812500; 1.22337E-4
263.671875; 1.10348E-4
269.531250; 1.09253E-4
275.390625; 1.18523E-4
281.250000; 1.10792E-4
287.109375; 1.13404E-4
292.968750; 1.68309E-4
298.828125; 3.04928E-4
304.687500; 2.05659E-4
310.546875; 1.23605E-4
316.406250; 1.26792E-4
322.265625; 1.21067E-4
328.125000; 1.33440E-4
333.984375; 1.25005E-4
339.843750; 1.03321E-4
345.703125; 1.06957E-4
351.562500; 1.16964E-4
357.421875; 1.08235E-4
363.281250; 1.23866E-4
369.140625; 1.16896E-4
375.000000; 1.02615E-4
380.859375; 1.12652E-4
386.718750; 1.27372E-4
392.578125; 1.54464E-4
398.437500; 2.81773E-4
404.296875; 2.14768E-4
410.156250; 1.22886E-4
416.015625; 1.20341E-4
421.875000; 1.15458E-4
427.734375; 1.10488E-4
433.593750; 1.23460E-4
439.453125; 1.20286E-4
445.312500; 1.24469E-4
451.171875; 1.23633E-4
457.031250; 1.37008E-4
462.890625; 1.23854E-4
468.750000; 1.22951E-4
474.609375; 1.22803E-4
480.468750; 1.23892E-4
486.328125; 1.30055E-4
492.187500; 1.22282E-4
498.046875; 1.35063E-4
503.906250; 1.23009E-4
509.765625; 1.26164E-4
515.625000; 1.17145E-4
521.484375; 1.04995E-4
527.343750; 1.12493E-4
533.203125; 1.30755E-4
539.062500; 1.17575E-4
544.921875; 1.13542E-4
550.781250; 1.15504E-4
556.640625; 1.18055E-4
562.500000; 1.19024E-4
568.359375; 1.23278E-4
574.218750; 1.29327E-4
580.078125; 1.17710E-4
585.937500; 1.07964E-4
591.796875; 1.15577E-4
597.656250; 1.23339E-4
603.515625; 1.10526E-4
609.375000; 1.04129E-4
615.234375; 1.20755E-4
621.093750; 1.17091E-4
626.953125; 1.24963E-4
632.812500; 1.26630E-4
638.671875; 1.17012E-4
644.531250; 1.20569E-4
650.390625; 1.20867E-4
656.250000; 1.19281E-4
662.109375; 1.23689E-4
667.968750; 1.23982E-4
673.828125; 1.33630E-4
679.687500; 1.32127E-4
685.546875; 1.30919E-4
691.406250; 1.30685E-4
697.265625; 1.30721E-4
703.125000; 1.37086E-4
708.984375; 1.43144E-4
714.843750; 1.15170E-4
720.703125; 1.22061E-4
726.562500; 1.32681E-4
732.421875; 1.37018E-4
738.281250; 1.32553E-4
744.140625; 1.50727E-4
750.000000; 1.33457E-4
755.859375; 1.67728E-4
761.718750; 1.27349E-4
767.578125; 1.59873E-4
773.437500; 1.70709E-4
779.296875; 1.63818E-4
785.156250; 1.64734E-4
791.015625; 1.92514E-4
796.875000; 1.87504E-4
802.734375; 2.14835E-4
808.593750; 1.97767E-4
814.453125; 2.49590E-4
820.312500; 2.37445E-4
826.171875; 2.69156E-4
832.031250; 2.95722E-4
837.890625; 3.33709E-4
843.750000; 3.57932E-4
849.609375; 4.06446E-4
855.468750; 4.46571E-4
861.328125; 5.10049E-4
867.187500; 5.80110E-4
873.046875; 6.37393E-4
878.906250; 7.57086E-4
884.765625; 8.60026E-4
890.625000; 1.02340E-3
896.484375; 1.19309E-3
902.343750; 1.41631E-3
908.203125; 1.69692E-3
914.062500; 2.09571E-3
919.921875; 2.57646E-3
925.781250; 3.23762E-3
931.640625; 4.13034E-3
937.500000; 5.44869E-3
943.359375; 7.30563E-3
949.218750; 1.01607E-2
955.078125; 1.47599E-2
960.937500; 2.25483E-2
966.796875; 3.70546E-2
972.656250; 6.73876E-2
978.515625; 1.43143E-1
984.375000; 4.00881E-1
990.234375; 2.20475E0
996.093750; 1.76380E1
1001.953125; 2.20476E1
1007.812500; 6.29932E0
1013.671875; 6.29904E-1
1019.531250; 1.93841E-1
1025.390625; 8.47952E-2
1031.250000; 4.46203E-2
1037.109375; 2.63754E-2
1042.968750; 1.68816E-2
1048.828125; 1.14604E-2
1054.687500; 8.12545E-3
1060.546875; 5.97526E-3
1066.406250; 4.52973E-3
1072.265625; 3.49711E-3
1078.125000; 2.78084E-3
1083.984375; 2.23137E-3
1089.843750; 1.82701E-3
1095.703125; 1.50442E-3
1101.562500; 1.26211E-3
1107.421875; 1.08163E-3
1113.281250; 9.06575E-4
1119.140625; 7.85159E-4
1125.000000; 6.72710E-4
1130.859375; 6.07737E-4
1136.718750; 5.35893E-4
1142.578125; 4.52415E-4
1148.437500; 4.27217E-4
1154.296875; 3.77592E-4
1160.156250; 3.26866E-4
1166.015625; 3.19682E-4
1171.875000; 2.60461E-4
1177.734375; 2.67557E-4
1183.593750; 2.37709E-4
1189.453125; 2.15626E-4
1195.312500; 2.08266E-4
1201.171875; 1.98141E-4
1207.031250; 1.75597E-4
1212.890625; 1.86297E-4
1218.750000; 1.47321E-4
1224.609375; 1.71673E-4
1230.468750; 1.49644E-4
1236.328125; 1.40717E-4
1242.187500; 1.50008E-4
1248.046875; 1.47864E-4
1253.906250; 1.30657E-4
1259.765625; 1.20650E-4
1265.625000; 1.40780E-4
1271.484375; 1.23694E-4
1277.343750; 1.25900E-4
1283.203125; 1.33136E-4
1289.062500; 1.26699E-4
1294.921875; 1.18640E-4
1300.781250; 1.25988E-4
1306.640625; 1.06794E-4
1312.500000; 1.19116E-4
1318.359375; 1.21782E-4
1324.218750; 1.23987E-4
1330.078125; 1.19618E-4
1335.937500; 1.28013E-4
1341.796875; 1.13835E-4
1347.656250; 1.12521E-4
1353.515625; 1.10380E-4
1359.375000; 1.10686E-4
