* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:09:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 3.164 V 3.164 VC, 3.164 VA 3.164 V 22 - 22k UNW 956.6 uV >22k Distortion at 1,000.0 Hz, -30.00 dBFS: Gain: 29.68 dB THD: 0.016 % based on 21 harmonics  [0..22800 Hz] HHD: 0.012 %  [10 .. 22] N: 0.44 %  [0..22800 Hz] N+D: 4.339 mV A THD+N: 0.44 %  [0..22800 Hz] SNR: 47.1 dB ENOB: 13.0 bits 2nd harmonic 0.0039 % 151 deg 3rd harmonic 0.0034 % -89 deg 4th harmonic 0.0034 % -48 deg 5th harmonic 0.0034 % -126 deg 6th harmonic 0.0035 % 78 deg 7th harmonic 0.0032 % 24 deg 8th harmonic 0.0034 % -90 deg 9th harmonic 0.0033 % -165 deg 
* Measurement: OSDEHA MU-OUT 3.16V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.44555E-4
11.718750; 2.93165E-4
17.578125; 2.55128E-4
23.437500; 1.91945E-4
29.296875; 1.85980E-4
35.156250; 1.63864E-4
41.015625; 1.75597E-4
46.875000; 3.25381E-4
52.734375; 3.34104E-4
58.593750; 1.88580E-4
64.453125; 1.73562E-4
70.312500; 1.52311E-4
76.171875; 1.53115E-4
82.031250; 1.84988E-4
87.890625; 2.02833E-4
93.750000; 5.78032E-3
99.609375; 1.28182E-2
105.468750; 7.05569E-3
111.328125; 1.94300E-4
117.187500; 1.56639E-4
123.046875; 1.52146E-4
128.906250; 1.25331E-4
134.765625; 1.29921E-4
140.625000; 1.45629E-4
146.484375; 1.59262E-4
152.343750; 1.57275E-4
158.203125; 1.20526E-4
164.062500; 1.17571E-4
169.921875; 1.28642E-4
175.781250; 1.37276E-4
181.640625; 1.31408E-4
187.500000; 1.31735E-4
193.359375; 5.37641E-4
199.218750; 1.31903E-3
205.078125; 7.99688E-4
210.937500; 1.30928E-4
216.796875; 1.24636E-4
222.656250; 1.05359E-4
228.515625; 1.20962E-4
234.375000; 1.14915E-4
240.234375; 1.20381E-4
246.093750; 1.23595E-4
251.953125; 1.17333E-4
257.812500; 1.28966E-4
263.671875; 1.27602E-4
269.531250; 1.24856E-4
275.390625; 1.20250E-4
281.250000; 1.16183E-4
287.109375; 1.28880E-4
292.968750; 1.53877E-4
298.828125; 3.20840E-4
304.687500; 2.29145E-4
310.546875; 1.05314E-4
316.406250; 1.05753E-4
322.265625; 1.18617E-4
328.125000; 1.24449E-4
333.984375; 1.10138E-4
339.843750; 1.13223E-4
345.703125; 1.14388E-4
351.562500; 1.27201E-4
357.421875; 1.20528E-4
363.281250; 1.16941E-4
369.140625; 1.24926E-4
375.000000; 1.25768E-4
380.859375; 1.06926E-4
386.718750; 1.10100E-4
392.578125; 1.25481E-4
398.437500; 2.69440E-4
404.296875; 2.19597E-4
410.156250; 1.18076E-4
416.015625; 1.09891E-4
421.875000; 1.09702E-4
427.734375; 1.13958E-4
433.593750; 1.18487E-4
439.453125; 1.15789E-4
445.312500; 9.90675E-5
451.171875; 1.04205E-4
457.031250; 1.12078E-4
462.890625; 1.10589E-4
468.750000; 1.09008E-4
474.609375; 1.18368E-4
480.468750; 1.18181E-4
486.328125; 1.16045E-4
492.187500; 1.24911E-4
498.046875; 1.47713E-4
503.906250; 1.32076E-4
509.765625; 1.17972E-4
515.625000; 1.08039E-4
521.484375; 9.86422E-5
527.343750; 1.17981E-4
533.203125; 1.19333E-4
539.062500; 1.14382E-4
544.921875; 1.17187E-4
550.781250; 1.22244E-4
556.640625; 1.24166E-4
562.500000; 1.13064E-4
568.359375; 9.78650E-5
574.218750; 1.07143E-4
580.078125; 9.96554E-5
585.937500; 1.08814E-4
591.796875; 1.13863E-4
597.656250; 1.11638E-4
603.515625; 1.10513E-4
609.375000; 1.22415E-4
615.234375; 1.16000E-4
621.093750; 1.06033E-4
626.953125; 1.09621E-4
632.812500; 1.02821E-4
638.671875; 1.06935E-4
644.531250; 9.76856E-5
650.390625; 1.07978E-4
656.250000; 1.25234E-4
662.109375; 1.30332E-4
667.968750; 1.15698E-4
673.828125; 1.10207E-4
679.687500; 1.06505E-4
685.546875; 1.00913E-4
691.406250; 1.13301E-4
697.265625; 1.13017E-4
703.125000; 1.08185E-4
708.984375; 1.16694E-4
714.843750; 1.03321E-4
720.703125; 9.43520E-5
726.562500; 1.08906E-4
732.421875; 1.13157E-4
738.281250; 1.14396E-4
744.140625; 1.30127E-4
750.000000; 1.41041E-4
755.859375; 1.22939E-4
761.718750; 1.09395E-4
767.578125; 1.11053E-4
773.437500; 1.18093E-4
779.296875; 1.25421E-4
785.156250; 1.11192E-4
791.015625; 1.14580E-4
796.875000; 1.22926E-4
802.734375; 1.16667E-4
808.593750; 1.15269E-4
814.453125; 1.02946E-4
820.312500; 1.07471E-4
826.171875; 1.10121E-4
832.031250; 1.21595E-4
837.890625; 1.16756E-4
843.750000; 1.34508E-4
849.609375; 1.36216E-4
855.468750; 1.25694E-4
861.328125; 1.32184E-4
867.187500; 1.29693E-4
873.046875; 1.47450E-4
878.906250; 1.48615E-4
884.765625; 1.51973E-4
890.625000; 1.87978E-4
896.484375; 1.98369E-4
902.343750; 2.18264E-4
908.203125; 2.50762E-4
914.062500; 3.01218E-4
919.921875; 3.53124E-4
925.781250; 4.42075E-4
931.640625; 5.62448E-4
937.500000; 7.47268E-4
943.359375; 9.69406E-4
949.218750; 1.37537E-3
955.078125; 1.95733E-3
960.937500; 3.02576E-3
966.796875; 4.94058E-3
972.656250; 8.99866E-3
978.515625; 1.90995E-2
984.375000; 5.35327E-2
990.234375; 2.94336E-1
996.093750; 2.35469E0
1001.953125; 2.94335E0
1007.812500; 8.40960E-1
1013.671875; 8.40881E-2
1019.531250; 2.58742E-2
1025.390625; 1.13179E-2
1031.250000; 5.96370E-3
1037.109375; 3.53132E-3
1042.968750; 2.25240E-3
1048.828125; 1.53154E-3
1054.687500; 1.07647E-3
1060.546875; 8.36930E-4
1066.406250; 5.90339E-4
1072.265625; 4.88935E-4
1078.125000; 3.74259E-4
1083.984375; 3.21966E-4
1089.843750; 2.68640E-4
1095.703125; 2.27413E-4
1101.562500; 2.02175E-4
1107.421875; 1.84858E-4
1113.281250; 1.76115E-4
1119.140625; 1.51252E-4
1125.000000; 1.39421E-4
1130.859375; 1.41961E-4
1136.718750; 1.31925E-4
1142.578125; 1.13606E-4
1148.437500; 1.33149E-4
1154.296875; 1.23430E-4
1160.156250; 1.31607E-4
1166.015625; 1.14448E-4
1171.875000; 1.14836E-4
1177.734375; 1.13354E-4
1183.593750; 1.15450E-4
1189.453125; 1.04623E-4
1195.312500; 1.14949E-4
1201.171875; 1.18257E-4
1207.031250; 1.11930E-4
1212.890625; 1.31756E-4
1218.750000; 1.21468E-4
1224.609375; 1.12039E-4
1230.468750; 1.11224E-4
1236.328125; 1.06008E-4
1242.187500; 1.08120E-4
1248.046875; 1.02240E-4
1253.906250; 1.09261E-4
1259.765625; 1.14953E-4
1265.625000; 1.09005E-4
1271.484375; 1.00064E-4
1277.343750; 1.03509E-4
1283.203125; 1.03146E-4
1289.062500; 1.06621E-4
1294.921875; 1.10787E-4
1300.781250; 1.18262E-4
1306.640625; 1.21807E-4
1312.500000; 1.19615E-4
1318.359375; 1.17373E-4
1324.218750; 1.12709E-4
1330.078125; 9.46608E-5
1335.937500; 9.58311E-5
1341.796875; 1.04560E-4
1347.656250; 1.07218E-4
1353.515625; 1.14400E-4
1359.375000; 1.13816E-4
1365.234375; 1.05097E-4
1371.093750; 1.13197E-4
1376.953125; 1.09465E-4
1382.812500; 1.23620E-4
1388.671875; 1.21106E-4
1394.531250; 1.05983E-4
1400.390625; 1.04628E-4
1406.250000; 9.68860E-5
1412.109375; 1.03437E-4
1417.968750; 1.17261E-4
1423.828125; 1.09946E-4
1429.687500; 1.04414E-4
1435.546875; 1.04419E-4
1441.406250; 1.09226E-4
1447.265625; 1.09756E-4
1453.125000; 1.15509E-4
1458.984375; 1.02089E-4
1464.843750; 1.10873E-4
1470.703125; 1.14603E-4
1476.562500; 1.20998E-4
1482.421875; 1.07998E-4
1488.281250; 9.77763E-5
1494.140625; 1.03562E-4
1500.000000; 1.08473E-4
1505.859375; 1.10797E-4
1511.718750; 1.04145E-4
1517.578125; 1.02581E-4
1523.437500; 9.49689E-5
1529.296875; 1.01500E-4
1535.156250; 1.08826E-4
1541.015625; 1.06064E-4
1546.875000; 1.28096E-4
1552.734375; 1.26901E-4
1558.593750; 1.21026E-4
