* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:26:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 31.63 V 31.63 VC, 31.63 VA 31.63 V 22 - 22k UNW 952.7 uV >22k Distortion at 1,000.0 Hz, -10.00 dBFS: Gain: 29.67 dB THD: 0.025 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0012 %  [10 .. 22] N: 0.045 %  [0..22800 Hz] N+D: 10.17 mV A THD+N: 0.051 %  [0..22800 Hz] SNR: 67.0 dB ENOB: 12.8 bits 2nd harmonic 0.025 % 142 deg 3rd harmonic 0.0033 % -54 deg 4th harmonic 0.0023 % 145 deg 5th harmonic 0.00035 % -21 deg 6th harmonic 0.00034 % 20 deg 7th harmonic 0.00036 % -87 deg 8th harmonic 0.00033 % 146 deg 9th harmonic 0.00034 % 3 deg 
* Measurement: OSDEHA MU-OUT 31.6V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.32038E-4
11.718750; 2.57887E-4
17.578125; 2.19546E-4
23.437500; 1.85131E-4
29.296875; 1.67128E-4
35.156250; 1.74655E-4
41.015625; 1.72089E-4
46.875000; 3.28209E-4
52.734375; 3.49517E-4
58.593750; 1.79921E-4
64.453125; 1.66879E-4
70.312500; 1.52839E-4
76.171875; 1.60912E-4
82.031250; 1.75161E-4
87.890625; 2.09748E-4
93.750000; 5.79486E-3
99.609375; 1.29386E-2
105.468750; 7.20292E-3
111.328125; 2.42114E-4
117.187500; 1.57284E-4
123.046875; 1.53375E-4
128.906250; 1.46668E-4
134.765625; 1.33233E-4
140.625000; 1.47328E-4
146.484375; 1.62922E-4
152.343750; 1.69194E-4
158.203125; 1.53232E-4
164.062500; 1.43902E-4
169.921875; 1.42888E-4
175.781250; 1.37347E-4
181.640625; 1.40403E-4
187.500000; 1.43631E-4
193.359375; 5.64785E-4
199.218750; 1.37225E-3
205.078125; 8.61246E-4
210.937500; 1.44702E-4
216.796875; 1.35680E-4
222.656250; 1.35224E-4
228.515625; 1.40628E-4
234.375000; 1.37811E-4
240.234375; 1.37297E-4
246.093750; 1.43493E-4
251.953125; 1.38186E-4
257.812500; 1.39874E-4
263.671875; 1.39393E-4
269.531250; 1.20302E-4
275.390625; 1.26022E-4
281.250000; 1.31947E-4
287.109375; 1.40754E-4
292.968750; 1.64549E-4
298.828125; 3.01009E-4
304.687500; 2.26400E-4
310.546875; 1.28065E-4
316.406250; 1.22192E-4
322.265625; 1.13212E-4
328.125000; 1.14901E-4
333.984375; 1.17368E-4
339.843750; 1.10493E-4
345.703125; 1.18965E-4
351.562500; 1.33793E-4
357.421875; 1.25779E-4
363.281250; 1.21853E-4
369.140625; 1.33297E-4
375.000000; 1.26327E-4
380.859375; 1.19930E-4
386.718750; 1.19122E-4
392.578125; 1.36401E-4
398.437500; 2.60264E-4
404.296875; 2.28176E-4
410.156250; 1.34596E-4
416.015625; 1.15308E-4
421.875000; 1.22371E-4
427.734375; 1.24447E-4
433.593750; 1.19766E-4
439.453125; 1.23572E-4
445.312500; 1.37976E-4
451.171875; 1.44175E-4
457.031250; 1.24329E-4
462.890625; 1.22560E-4
468.750000; 1.17380E-4
474.609375; 1.13029E-4
480.468750; 1.21448E-4
486.328125; 1.16958E-4
492.187500; 1.08714E-4
498.046875; 1.34990E-4
503.906250; 1.32951E-4
509.765625; 1.21814E-4
515.625000; 1.24860E-4
521.484375; 1.21121E-4
527.343750; 1.06975E-4
533.203125; 1.18964E-4
539.062500; 1.09733E-4
544.921875; 1.07430E-4
550.781250; 1.04421E-4
556.640625; 1.21214E-4
562.500000; 1.20035E-4
568.359375; 1.20070E-4
574.218750; 1.31240E-4
580.078125; 1.30114E-4
585.937500; 1.25101E-4
591.796875; 1.15724E-4
597.656250; 1.33442E-4
603.515625; 1.36817E-4
609.375000; 1.52261E-4
615.234375; 1.20310E-4
621.093750; 1.24752E-4
626.953125; 1.13015E-4
632.812500; 1.20620E-4
638.671875; 1.13933E-4
644.531250; 1.18593E-4
650.390625; 1.33887E-4
656.250000; 1.23110E-4
662.109375; 1.29293E-4
667.968750; 1.21724E-4
673.828125; 1.22556E-4
679.687500; 1.13007E-4
685.546875; 1.41865E-4
691.406250; 1.35474E-4
697.265625; 1.52059E-4
703.125000; 1.33552E-4
708.984375; 1.30593E-4
714.843750; 1.41458E-4
720.703125; 1.45591E-4
726.562500; 1.53770E-4
732.421875; 1.38387E-4
738.281250; 1.49659E-4
744.140625; 1.59992E-4
750.000000; 1.63074E-4
755.859375; 1.52813E-4
761.718750; 1.60826E-4
767.578125; 1.88668E-4
773.437500; 1.87776E-4
779.296875; 1.91795E-4
785.156250; 2.05789E-4
791.015625; 2.44128E-4
796.875000; 2.22649E-4
802.734375; 2.58085E-4
808.593750; 2.87087E-4
814.453125; 2.91914E-4
820.312500; 3.23662E-4
826.171875; 3.31343E-4
832.031250; 4.08659E-4
837.890625; 4.20752E-4
843.750000; 4.73565E-4
849.609375; 5.25930E-4
855.468750; 5.95420E-4
861.328125; 6.73309E-4
867.187500; 7.62546E-4
873.046875; 8.63493E-4
878.906250; 9.93916E-4
884.765625; 1.15341E-3
890.625000; 1.35018E-3
896.484375; 1.59786E-3
902.343750; 1.88782E-3
908.203125; 2.28113E-3
914.062500; 2.76843E-3
919.921875; 3.44505E-3
925.781250; 4.32269E-3
931.640625; 5.53022E-3
937.500000; 7.25262E-3
943.359375; 9.76024E-3
949.218750; 1.35675E-2
955.078125; 1.96842E-2
960.937500; 3.01132E-2
966.796875; 4.94614E-2
972.656250; 8.99219E-2
978.515625; 1.91105E-1
984.375000; 5.35059E-1
990.234375; 2.94288E0
996.093750; 2.35431E1
1001.953125; 2.94288E1
1007.812500; 8.40823E0
1013.671875; 8.40840E-1
1019.531250; 2.58710E-1
1025.390625; 1.13178E-1
1031.250000; 5.95838E-2
1037.109375; 3.51947E-2
1042.968750; 2.25368E-2
1048.828125; 1.52852E-2
1054.687500; 1.08471E-2
1060.546875; 7.98550E-3
1066.406250; 6.02909E-3
1072.265625; 4.67931E-3
1078.125000; 3.71223E-3
1083.984375; 2.96776E-3
1089.843750; 2.43864E-3
1095.703125; 2.02228E-3
1101.562500; 1.65787E-3
1107.421875; 1.44454E-3
1113.281250; 1.20416E-3
1119.140625; 1.05623E-3
1125.000000; 8.98366E-4
1130.859375; 7.99375E-4
1136.718750; 6.90809E-4
1142.578125; 6.22321E-4
1148.437500; 5.49333E-4
1154.296875; 4.87642E-4
1160.156250; 4.46051E-4
1166.015625; 3.80532E-4
1171.875000; 3.70546E-4
1177.734375; 3.38568E-4
1183.593750; 3.06176E-4
1189.453125; 2.90204E-4
1195.312500; 2.72197E-4
1201.171875; 2.31962E-4
1207.031250; 2.27055E-4
1212.890625; 2.14054E-4
1218.750000; 2.07994E-4
1224.609375; 1.89353E-4
1230.468750; 1.77057E-4
1236.328125; 1.81783E-4
1242.187500; 1.65699E-4
1248.046875; 1.71594E-4
1253.906250; 1.49504E-4
1259.765625; 1.61321E-4
1265.625000; 1.41089E-4
1271.484375; 1.28815E-4
1277.343750; 1.39715E-4
1283.203125; 1.35043E-4
1289.062500; 1.48891E-4
1294.921875; 1.23563E-4
1300.781250; 1.19599E-4
1306.640625; 1.29844E-4
1312.500000; 1.32191E-4
1318.359375; 1.27941E-4
1324.218750; 1.21855E-4
1330.078125; 1.18065E-4
1335.937500; 1.08493E-4
1341.796875; 1.14118E-4
1347.656250; 1.21281E-4
1353.515625; 1.20360E-4
1359.375000; 1.12642E-4
1365.234375; 1.13764E-4
1371.093750; 1.19903E-4
1376.953125; 1.28644E-4
1382.812500; 1.09633E-4
1388.671875; 1.08686E-4
1394.531250; 1.14869E-4
1400.390625; 1.07926E-4
1406.250000; 1.17319E-4
1412.109375; 1.24898E-4
1417.968750; 1.14496E-4
1423.828125; 1.10485E-4
1429.687500; 1.07490E-4
1435.546875; 1.04433E-4
1441.406250; 1.03545E-4
1447.265625; 1.04757E-4
1453.125000; 1.09213E-4
1458.984375; 1.19137E-4
1464.843750; 1.10480E-4
1470.703125; 1.01911E-4
1476.562500; 1.03994E-4
1482.421875; 9.98301E-5
1488.281250; 1.08075E-4
1494.140625; 1.14474E-4
1500.000000; 1.09282E-4
1505.859375; 1.10564E-4
1511.718750; 1.08397E-4
1517.578125; 1.17959E-4
1523.437500; 1.13129E-4
1529.296875; 1.19812E-4
1535.156250; 1.19477E-4
1541.015625; 1.22331E-4
1546.875000; 1.33581E-4
1552.734375; 1.31556E-4
1558.593750; 1.10568E-4
