* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:13:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 4.218 V 4.218 VC, 4.218 VA 4.218 V 22 - 22k UNW 957.9 uV >22k Distortion at 1,000.0 Hz, -27.50 dBFS: Gain: 29.68 dB THD: 0.012 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0091 %  [10 .. 22] N: 0.33 %  [0..22800 Hz] N+D: 4.363 mV A THD+N: 0.33 %  [0..22800 Hz] SNR: 49.6 dB ENOB: 13.0 bits 2nd harmonic 0.0038 % 141 deg 3rd harmonic 0.0027 % 70 deg 4th harmonic 0.0025 % 174 deg 5th harmonic 0.0028 % -66 deg 6th harmonic 0.0025 % 80 deg 7th harmonic 0.0028 % -128 deg 8th harmonic 0.0025 % -27 deg 9th harmonic 0.0026 % -91 deg 
* Measurement: OSDEHA MU-OUT 4.21V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.75059E-4
11.718750; 2.55887E-4
17.578125; 2.20988E-4
23.437500; 2.06665E-4
29.296875; 2.09296E-4
35.156250; 2.13273E-4
41.015625; 1.94762E-4
46.875000; 3.17066E-4
52.734375; 3.24227E-4
58.593750; 1.61154E-4
64.453125; 1.54739E-4
70.312500; 1.49044E-4
76.171875; 1.41707E-4
82.031250; 1.54122E-4
87.890625; 2.02944E-4
93.750000; 5.77266E-3
99.609375; 1.27211E-2
105.468750; 6.97388E-3
111.328125; 2.07998E-4
117.187500; 1.66827E-4
123.046875; 1.63928E-4
128.906250; 1.59399E-4
134.765625; 1.57224E-4
140.625000; 1.40408E-4
146.484375; 1.46793E-4
152.343750; 1.59901E-4
158.203125; 1.72873E-4
164.062500; 1.33889E-4
169.921875; 1.36842E-4
175.781250; 1.37075E-4
181.640625; 1.39522E-4
187.500000; 1.46142E-4
193.359375; 5.68932E-4
199.218750; 1.33324E-3
205.078125; 8.09258E-4
210.937500; 1.35949E-4
216.796875; 1.44746E-4
222.656250; 1.34166E-4
228.515625; 1.25757E-4
234.375000; 1.43928E-4
240.234375; 1.46118E-4
246.093750; 1.44813E-4
251.953125; 1.40620E-4
257.812500; 1.19584E-4
263.671875; 1.23094E-4
269.531250; 1.33572E-4
275.390625; 1.27922E-4
281.250000; 1.27332E-4
287.109375; 1.11648E-4
292.968750; 1.77386E-4
298.828125; 3.24164E-4
304.687500; 2.12469E-4
310.546875; 1.13510E-4
316.406250; 1.10364E-4
322.265625; 1.19472E-4
328.125000; 1.24119E-4
333.984375; 1.32299E-4
339.843750; 1.20735E-4
345.703125; 1.26171E-4
351.562500; 1.22849E-4
357.421875; 1.20208E-4
363.281250; 1.26144E-4
369.140625; 1.30457E-4
375.000000; 1.17938E-4
380.859375; 1.36757E-4
386.718750; 1.35872E-4
392.578125; 1.51167E-4
398.437500; 2.78690E-4
404.296875; 2.20686E-4
410.156250; 1.38439E-4
416.015625; 1.28170E-4
421.875000; 1.12087E-4
427.734375; 1.23939E-4
433.593750; 1.19706E-4
439.453125; 1.25709E-4
445.312500; 1.27212E-4
451.171875; 1.10604E-4
457.031250; 1.13652E-4
462.890625; 1.14086E-4
468.750000; 1.05344E-4
474.609375; 1.11918E-4
480.468750; 1.12172E-4
486.328125; 1.23664E-4
492.187500; 1.32009E-4
498.046875; 1.43354E-4
503.906250; 1.26992E-4
509.765625; 1.35180E-4
515.625000; 1.19239E-4
521.484375; 1.13690E-4
527.343750; 1.21363E-4
533.203125; 1.23581E-4
539.062500; 1.16022E-4
544.921875; 1.07492E-4
550.781250; 1.00330E-4
556.640625; 1.05285E-4
562.500000; 1.09181E-4
568.359375; 1.10523E-4
574.218750; 1.05224E-4
580.078125; 1.15547E-4
585.937500; 1.22249E-4
591.796875; 1.17524E-4
597.656250; 1.12673E-4
603.515625; 1.27382E-4
609.375000; 1.18413E-4
615.234375; 1.08710E-4
621.093750; 1.11620E-4
626.953125; 1.13412E-4
632.812500; 1.19339E-4
638.671875; 1.03802E-4
644.531250; 1.12887E-4
650.390625; 1.18353E-4
656.250000; 1.07747E-4
662.109375; 1.17524E-4
667.968750; 1.18670E-4
673.828125; 1.17448E-4
679.687500; 1.09980E-4
685.546875; 1.16035E-4
691.406250; 1.14030E-4
697.265625; 1.31014E-4
703.125000; 1.27091E-4
708.984375; 1.23412E-4
714.843750; 1.12161E-4
720.703125; 1.07798E-4
726.562500; 1.05627E-4
732.421875; 1.20616E-4
738.281250; 1.10027E-4
744.140625; 1.13461E-4
750.000000; 1.17165E-4
755.859375; 1.22457E-4
761.718750; 1.04526E-4
767.578125; 1.03429E-4
773.437500; 1.21011E-4
779.296875; 1.37923E-4
785.156250; 1.20398E-4
791.015625; 1.25261E-4
796.875000; 1.32397E-4
802.734375; 1.35891E-4
808.593750; 1.20328E-4
814.453125; 1.09385E-4
820.312500; 1.22304E-4
826.171875; 1.25327E-4
832.031250; 1.29210E-4
837.890625; 1.24637E-4
843.750000; 1.28764E-4
849.609375; 1.14942E-4
855.468750; 1.24758E-4
861.328125; 1.49737E-4
867.187500; 1.59767E-4
873.046875; 1.51767E-4
878.906250; 1.88684E-4
884.765625; 1.90556E-4
890.625000; 2.10158E-4
896.484375; 2.32144E-4
902.343750; 2.82472E-4
908.203125; 3.18428E-4
914.062500; 3.80750E-4
919.921875; 4.81502E-4
925.781250; 5.95475E-4
931.640625; 7.22099E-4
937.500000; 9.96032E-4
943.359375; 1.29283E-3
949.218750; 1.82608E-3
955.078125; 2.62393E-3
960.937500; 4.00827E-3
966.796875; 6.59721E-3
972.656250; 1.20001E-2
978.515625; 2.54714E-2
984.375000; 7.13455E-2
990.234375; 3.92402E-1
996.093750; 3.13920E0
1001.953125; 3.92400E0
1007.812500; 1.12114E0
1013.671875; 1.12122E-1
1019.531250; 3.45069E-2
1025.390625; 1.50764E-2
1031.250000; 7.95170E-3
1037.109375; 4.70238E-3
1042.968750; 2.99611E-3
1048.828125; 2.04102E-3
1054.687500; 1.45121E-3
1060.546875; 1.06794E-3
1066.406250; 8.21203E-4
1072.265625; 6.24105E-4
1078.125000; 5.15732E-4
1083.984375; 4.13767E-4
1089.843750; 3.33781E-4
1095.703125; 2.92660E-4
1101.562500; 2.55898E-4
1107.421875; 2.12842E-4
1113.281250; 2.11784E-4
1119.140625; 1.63760E-4
1125.000000; 1.65483E-4
1130.859375; 1.51105E-4
1136.718750; 1.46259E-4
1142.578125; 1.39776E-4
1148.437500; 1.33708E-4
1154.296875; 1.30624E-4
1160.156250; 1.26640E-4
1166.015625; 1.14835E-4
1171.875000; 1.21732E-4
