* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:24:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 42.13 V 42.13 VC, 42.12 VA 42.13 V 22 - 22k UNW 960.7 uV >22k Distortion at 1,000.0 Hz, -7.51 dBFS: Gain: 29.67 dB THD: 0.026 % based on 21 harmonics  [0..22800 Hz] HHD: 0.00090 %  [10 .. 22] N: 0.033 %  [0..22800 Hz] N+D: 13.28 mV A THD+N: 0.042 %  [0..22800 Hz] SNR: 69.5 dB ENOB: 12.7 bits 2nd harmonic 0.025 % 149 deg 3rd harmonic 0.0048 % -69 deg 4th harmonic 0.0038 % 137 deg 5th harmonic 0.0012 % -24 deg 6th harmonic 0.00035 % -158 deg 7th harmonic 0.00027 % 49 deg 8th harmonic 0.00027 % -92 deg 9th harmonic 0.00026 % 41 deg 
* Measurement: OSDEHA MU-OUT 42.1
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.64561E-4
11.718750; 2.65323E-4
17.578125; 2.47587E-4
23.437500; 2.23108E-4
29.296875; 2.02082E-4
35.156250; 1.66542E-4
41.015625; 1.76669E-4
46.875000; 3.32417E-4
52.734375; 3.73419E-4
58.593750; 1.93053E-4
64.453125; 1.64687E-4
70.312500; 1.93249E-4
76.171875; 1.80326E-4
82.031250; 1.56698E-4
87.890625; 2.20608E-4
93.750000; 5.73602E-3
99.609375; 1.28329E-2
105.468750; 7.15753E-3
111.328125; 2.54783E-4
117.187500; 1.75213E-4
123.046875; 1.39508E-4
128.906250; 1.51695E-4
134.765625; 1.51224E-4
140.625000; 1.33580E-4
146.484375; 1.45439E-4
152.343750; 1.66735E-4
158.203125; 1.54668E-4
164.062500; 1.42602E-4
169.921875; 1.29169E-4
175.781250; 1.38477E-4
181.640625; 1.28492E-4
187.500000; 1.33813E-4
193.359375; 5.46624E-4
199.218750; 1.34741E-3
205.078125; 8.30732E-4
210.937500; 1.30543E-4
216.796875; 1.37374E-4
222.656250; 1.35806E-4
228.515625; 1.34140E-4
234.375000; 1.41872E-4
240.234375; 1.16713E-4
246.093750; 1.43548E-4
251.953125; 1.58964E-4
257.812500; 1.46055E-4
263.671875; 1.39899E-4
269.531250; 1.45676E-4
275.390625; 1.51158E-4
281.250000; 1.54484E-4
287.109375; 1.37299E-4
292.968750; 1.77286E-4
298.828125; 3.42379E-4
304.687500; 2.54782E-4
310.546875; 1.37252E-4
316.406250; 1.43064E-4
322.265625; 1.44797E-4
328.125000; 1.30656E-4
333.984375; 1.26800E-4
339.843750; 1.31320E-4
345.703125; 1.44029E-4
351.562500; 1.44543E-4
357.421875; 1.49372E-4
363.281250; 1.42402E-4
369.140625; 1.43222E-4
375.000000; 1.35971E-4
380.859375; 1.30709E-4
386.718750; 1.26928E-4
392.578125; 1.33368E-4
398.437500; 2.55256E-4
404.296875; 2.08705E-4
410.156250; 1.25238E-4
416.015625; 1.34689E-4
421.875000; 1.43388E-4
427.734375; 1.41336E-4
433.593750; 1.31335E-4
439.453125; 1.21938E-4
445.312500; 1.19763E-4
451.171875; 1.34716E-4
457.031250; 1.21706E-4
462.890625; 1.37121E-4
468.750000; 1.40787E-4
474.609375; 1.36069E-4
480.468750; 1.18626E-4
486.328125; 1.09732E-4
492.187500; 1.24312E-4
498.046875; 1.49605E-4
503.906250; 1.41253E-4
509.765625; 1.26924E-4
515.625000; 1.34838E-4
521.484375; 1.49426E-4
527.343750; 1.23489E-4
533.203125; 1.45924E-4
539.062500; 1.53287E-4
544.921875; 1.35243E-4
550.781250; 1.23853E-4
556.640625; 1.23292E-4
562.500000; 1.40795E-4
568.359375; 1.42998E-4
574.218750; 1.25109E-4
580.078125; 1.31278E-4
585.937500; 1.27419E-4
591.796875; 1.26498E-4
597.656250; 1.50207E-4
603.515625; 1.49981E-4
609.375000; 1.21365E-4
615.234375; 1.45310E-4
621.093750; 1.32311E-4
626.953125; 1.32497E-4
632.812500; 1.49242E-4
638.671875; 1.43786E-4
644.531250; 1.42728E-4
650.390625; 1.34185E-4
656.250000; 1.38166E-4
662.109375; 1.35076E-4
667.968750; 1.58399E-4
673.828125; 1.48084E-4
679.687500; 1.35079E-4
685.546875; 1.44973E-4
691.406250; 1.42031E-4
697.265625; 1.32983E-4
703.125000; 1.61068E-4
708.984375; 1.61428E-4
714.843750; 1.51856E-4
720.703125; 1.72246E-4
726.562500; 1.51519E-4
732.421875; 1.89940E-4
