* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:10:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 5.625 V 5.625 VC, 5.625 VA 5.625 V 22 - 22k UNW 946.5 uV >22k Distortion at 1,000.0 Hz, -25.00 dBFS: Gain: 29.68 dB THD: 0.011 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0068 %  [10 .. 22] N: 0.25 %  [0..22800 Hz] N+D: 4.375 mV A THD+N: 0.25 %  [0..22800 Hz] SNR: 52.0 dB ENOB: 13.0 bits 2nd harmonic 0.0073 % 149 deg 3rd harmonic 0.0020 % 116 deg 4th harmonic 0.0020 % -119 deg 5th harmonic 0.0019 % -101 deg 6th harmonic 0.0019 % -176 deg 7th harmonic 0.0020 % 28 deg 8th harmonic 0.0018 % -64 deg 9th harmonic 0.0020 % -106 deg 
* Measurement: OSDEHA MU-OUT 5.62V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 2.22467E-4
11.718750; 2.91316E-4
17.578125; 3.05443E-4
23.437500; 2.62788E-4
29.296875; 2.22871E-4
35.156250; 2.30773E-4
41.015625; 2.61033E-4
46.875000; 3.80467E-4
52.734375; 3.80170E-4
58.593750; 2.16933E-4
64.453125; 2.05846E-4
70.312500; 2.01194E-4
76.171875; 1.90269E-4
82.031250; 1.69483E-4
87.890625; 1.94328E-4
93.750000; 5.84862E-3
99.609375; 1.28627E-2
105.468750; 7.06254E-3
111.328125; 2.15574E-4
117.187500; 1.49662E-4
123.046875; 1.66834E-4
128.906250; 1.49096E-4
134.765625; 1.43216E-4
140.625000; 1.33018E-4
146.484375; 1.73880E-4
152.343750; 1.64929E-4
158.203125; 1.42682E-4
164.062500; 1.52136E-4
169.921875; 1.43071E-4
175.781250; 1.34616E-4
181.640625; 1.33118E-4
187.500000; 1.44052E-4
193.359375; 5.61271E-4
199.218750; 1.36552E-3
205.078125; 8.39533E-4
210.937500; 1.41839E-4
216.796875; 1.26749E-4
222.656250; 1.35428E-4
228.515625; 1.26372E-4
234.375000; 1.25189E-4
240.234375; 1.14804E-4
246.093750; 1.40750E-4
251.953125; 1.51337E-4
257.812500; 1.23056E-4
263.671875; 1.06572E-4
269.531250; 1.07879E-4
