* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:26:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 56.23 V 56.23 VC, 56.23 VA 56.23 V 22 - 22k UNW 953.5 uV >22k Distortion at 1,000.0 Hz, -5.00 dBFS: Gain: 29.67 dB THD: 0.025 % based on 21 harmonics  [0..22800 Hz] HHD: 0.00070 %  [10 .. 22] N: 0.025 %  [0..22800 Hz] N+D: 16.46 mV A THD+N: 0.035 %  [0..22800 Hz] SNR: 72.0 dB ENOB: 12.5 bits 2nd harmonic 0.023 % 162 deg 3rd harmonic 0.0075 % -83 deg 4th harmonic 0.0043 % 120 deg 5th harmonic 0.0020 % -52 deg 6th harmonic 0.00079 % 134 deg 7th harmonic 0.00046 % -31 deg 8th harmonic 0.00023 % 147 deg 9th harmonic 0.00023 % -8 deg 
* Measurement: OSDEHA MU-OUT 56.2V
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 1.58171E-4
11.718750; 2.25273E-4
17.578125; 2.25606E-4
23.437500; 1.66582E-4
29.296875; 1.57672E-4
35.156250; 1.67125E-4
41.015625; 1.73466E-4
46.875000; 3.37323E-4
52.734375; 3.46217E-4
58.593750; 1.62050E-4
64.453125; 1.29008E-4
70.312500; 1.31984E-4
76.171875; 1.34435E-4
82.031250; 1.44381E-4
87.890625; 2.19564E-4
93.750000; 5.75112E-3
99.609375; 1.29174E-2
105.468750; 7.21672E-3
111.328125; 2.41674E-4
117.187500; 1.43206E-4
123.046875; 1.41474E-4
128.906250; 1.57759E-4
134.765625; 1.59999E-4
140.625000; 1.60733E-4
146.484375; 1.63742E-4
152.343750; 1.48901E-4
158.203125; 1.33730E-4
164.062500; 1.40535E-4
169.921875; 1.57399E-4
175.781250; 1.58803E-4
181.640625; 1.54686E-4
187.500000; 1.50049E-4
193.359375; 5.41765E-4
199.218750; 1.36562E-3
205.078125; 8.68026E-4
210.937500; 1.36422E-4
216.796875; 1.30662E-4
222.656250; 1.43960E-4
228.515625; 1.28182E-4
234.375000; 1.30834E-4
240.234375; 1.43061E-4
246.093750; 1.29023E-4
251.953125; 1.32264E-4
257.812500; 1.28126E-4
263.671875; 1.40928E-4
269.531250; 1.28867E-4
