* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:16:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 7.501 V 7.501 VC, 7.501 VA 7.501 V 22 - 22k UNW 959.2 uV >22k Distortion at 1,000.0 Hz, -22.50 dBFS: Gain: 29.68 dB THD: 0.011 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0051 %  [10 .. 22] N: 0.19 %  [0..22800 Hz] N+D: 4.428 mV A THD+N: 0.19 %  [0..22800 Hz] SNR: 54.6 dB ENOB: 13.0 bits 2nd harmonic 0.0091 % 147 deg 3rd harmonic 0.0016 % 98 deg 4th harmonic 0.0015 % -122 deg 5th harmonic 0.0014 % 86 deg 6th harmonic 0.0014 % -89 deg 7th harmonic 0.0014 % 103 deg 8th harmonic 0.0014 % -138 deg 9th harmonic 0.0015 % 162 deg 
* Measurement: OSDEHA MU-OUT 7.50
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 4.28694E-4
11.718750; 3.44348E-4
17.578125; 2.10925E-4
23.437500; 1.65550E-4
29.296875; 1.68105E-4
35.156250; 1.61462E-4
41.015625; 1.75348E-4
46.875000; 3.27460E-4
52.734375; 3.20960E-4
58.593750; 1.61768E-4
64.453125; 1.58090E-4
70.312500; 1.33627E-4
76.171875; 1.42922E-4
82.031250; 1.43146E-4
87.890625; 2.15318E-4
93.750000; 5.74431E-3
99.609375; 1.27715E-2
105.468750; 7.09019E-3
111.328125; 2.42363E-4
117.187500; 1.34593E-4
123.046875; 1.38770E-4
128.906250; 1.42455E-4
134.765625; 1.39318E-4
140.625000; 1.36547E-4
146.484375; 1.51734E-4
152.343750; 1.54330E-4
158.203125; 1.27328E-4
164.062500; 1.21146E-4
169.921875; 1.17607E-4
175.781250; 1.26922E-4
181.640625; 1.32870E-4
187.500000; 1.26346E-4
193.359375; 5.39338E-4
199.218750; 1.32766E-3
205.078125; 8.28258E-4
210.937500; 1.61462E-4
216.796875; 1.47185E-4
222.656250; 1.34994E-4
228.515625; 1.30956E-4
234.375000; 1.30668E-4
240.234375; 1.27955E-4
246.093750; 1.27582E-4
251.953125; 1.31266E-4
257.812500; 1.37655E-4
263.671875; 1.27109E-4
269.531250; 1.22607E-4
275.390625; 1.40168E-4
281.250000; 1.36207E-4
287.109375; 1.23365E-4
292.968750; 1.53704E-4
298.828125; 3.15246E-4
304.687500; 2.31909E-4
310.546875; 1.25470E-4
316.406250; 1.25437E-4
322.265625; 1.24686E-4
328.125000; 1.22736E-4
333.984375; 1.22315E-4
339.843750; 1.16878E-4
345.703125; 1.16604E-4
351.562500; 1.20306E-4
357.421875; 1.29900E-4
363.281250; 1.38941E-4
369.140625; 1.34918E-4
375.000000; 1.14798E-4
380.859375; 1.20801E-4
386.718750; 1.37820E-4
392.578125; 1.49414E-4
398.437500; 2.66255E-4
404.296875; 2.08262E-4
410.156250; 1.10496E-4
416.015625; 1.02209E-4
421.875000; 1.09653E-4
427.734375; 1.17951E-4
433.593750; 1.17718E-4
439.453125; 1.03424E-4
445.312500; 1.24931E-4
451.171875; 1.21695E-4
457.031250; 1.18441E-4
462.890625; 1.31512E-4
468.750000; 1.10986E-4
474.609375; 1.19681E-4
480.468750; 1.31084E-4
486.328125; 1.34076E-4
492.187500; 1.21609E-4
498.046875; 1.32234E-4
503.906250; 1.23526E-4
509.765625; 1.16729E-4
515.625000; 1.06989E-4
521.484375; 1.18865E-4
527.343750; 1.22643E-4
533.203125; 1.27261E-4
539.062500; 1.25033E-4
544.921875; 1.30580E-4
550.781250; 1.34299E-4
556.640625; 1.45172E-4
562.500000; 1.35899E-4
568.359375; 1.02594E-4
574.218750; 1.13945E-4
580.078125; 1.19613E-4
585.937500; 1.14801E-4
591.796875; 1.28500E-4
597.656250; 1.31072E-4
603.515625; 1.11305E-4
609.375000; 1.14878E-4
615.234375; 1.16697E-4
621.093750; 1.21788E-4
626.953125; 1.15648E-4
632.812500; 1.12104E-4
638.671875; 1.25256E-4
644.531250; 1.29409E-4
650.390625; 1.26009E-4
656.250000; 1.22969E-4
662.109375; 1.23211E-4
667.968750; 1.16760E-4
673.828125; 1.20852E-4
679.687500; 1.09576E-4
685.546875; 1.18878E-4
691.406250; 1.25444E-4
697.265625; 1.29695E-4
703.125000; 1.30191E-4
708.984375; 1.17185E-4
714.843750; 1.02130E-4
720.703125; 9.86485E-5
726.562500; 1.10406E-4
732.421875; 1.08124E-4
738.281250; 1.13740E-4
744.140625; 1.31915E-4
750.000000; 1.38993E-4
755.859375; 1.47737E-4
761.718750; 1.17963E-4
767.578125; 1.07395E-4
773.437500; 1.07140E-4
779.296875; 1.13650E-4
785.156250; 1.24839E-4
791.015625; 1.28085E-4
796.875000; 1.30471E-4
802.734375; 1.32189E-4
808.593750; 1.29587E-4
814.453125; 1.34175E-4
820.312500; 1.50654E-4
826.171875; 1.29529E-4
832.031250; 1.60226E-4
837.890625; 1.38923E-4
843.750000; 1.74173E-4
849.609375; 1.74955E-4
855.468750; 1.91394E-4
861.328125; 1.82197E-4
867.187500; 2.28276E-4
873.046875; 2.24771E-4
878.906250; 2.54724E-4
884.765625; 3.00542E-4
890.625000; 3.28777E-4
896.484375; 3.98213E-4
902.343750; 4.62234E-4
908.203125; 5.45632E-4
914.062500; 6.77805E-4
919.921875; 8.16998E-4
925.781250; 1.02915E-3
931.640625; 1.32013E-3
937.500000; 1.72917E-3
943.359375; 2.30836E-3
949.218750; 3.21498E-3
955.078125; 4.68410E-3
960.937500; 7.13203E-3
966.796875; 1.17293E-2
972.656250; 2.13342E-2
978.515625; 4.53099E-2
984.375000; 1.26881E-1
990.234375; 6.97902E-1
996.093750; 5.58311E0
1001.953125; 6.97889E0
1007.812500; 1.99397E0
1013.671875; 1.99398E-1
1019.531250; 6.13530E-2
1025.390625; 2.68306E-2
1031.250000; 1.41420E-2
1037.109375; 8.34563E-3
1042.968750; 5.34952E-3
1048.828125; 3.61351E-3
1054.687500; 2.56745E-3
1060.546875; 1.91145E-3
1066.406250; 1.44049E-3
1072.265625; 1.10251E-3
1078.125000; 9.03730E-4
1083.984375; 6.98957E-4
1089.843750; 5.94875E-4
1095.703125; 4.83723E-4
1101.562500; 4.08169E-4
1107.421875; 3.64839E-4
1113.281250; 3.24490E-4
1119.140625; 2.44955E-4
1125.000000; 2.57944E-4
1130.859375; 2.19185E-4
1136.718750; 1.79426E-4
1142.578125; 1.90287E-4
1148.437500; 1.61312E-4
1154.296875; 1.67375E-4
1160.156250; 1.50095E-4
1166.015625; 1.51670E-4
1171.875000; 1.25105E-4
1177.734375; 1.31534E-4
1183.593750; 1.36382E-4
1189.453125; 1.36081E-4
1195.312500; 1.23849E-4
1201.171875; 1.22394E-4
1207.031250; 1.24722E-4
1212.890625; 1.21309E-4
1218.750000; 1.25467E-4
