* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 8192-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 1:25:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA MU-OUTPUT; 8192-point spectrum using Hann window and exponential averaging 0.97  Input RMS 74.98 V 74.98 VC, 74.98 VA 74.98 V 22 - 22k UNW 975.6 uV >22k Distortion at 1,000.0 Hz, -2.50 dBFS: Gain: 29.67 dB THD: 0.024 % based on 21 harmonics  [0..22800 Hz] HHD: 0.00057 %  [10 .. 22] N: 0.019 %  [0..22800 Hz] N+D: 21.05 mV A THD+N: 0.030 %  [0..22800 Hz] SNR: 74.4 dB ENOB: 12.3 bits 2nd harmonic 0.022 % -166 deg 3rd harmonic 0.0068 % -91 deg 4th harmonic 0.0042 % 119 deg 5th harmonic 0.0028 % -51 deg 6th harmonic 0.0011 % 89 deg 7th harmonic 0.00030 % -39 deg 8th harmonic 0.00040 % 116 deg 9th harmonic 0.00026 % -72 deg
* Measurement: OSDEHA MU-OUT 75
* Smoothing: None
* Frequency Step: 5.859375 Hz
* Start Frequency: 5.859375 Hz
*
* Freq(Hz); V(V)
5.859375; 3.71401E-4
11.718750; 4.26591E-4
17.578125; 3.16883E-4
23.437500; 2.91020E-4
29.296875; 3.05819E-4
35.156250; 2.77028E-4
41.015625; 2.42989E-4
46.875000; 3.31068E-4
52.734375; 3.74828E-4
58.593750; 2.65678E-4
64.453125; 2.37524E-4
70.312500; 2.15938E-4
76.171875; 1.88356E-4
82.031250; 2.12908E-4
87.890625; 2.31426E-4
93.750000; 5.71406E-3
99.609375; 1.27857E-2
105.468750; 7.15961E-3
111.328125; 2.78435E-4
117.187500; 1.90218E-4
123.046875; 1.85042E-4
128.906250; 1.88631E-4
134.765625; 1.99583E-4
140.625000; 1.91399E-4
146.484375; 2.17266E-4
152.343750; 1.97709E-4
158.203125; 1.60028E-4
164.062500; 1.91244E-4
169.921875; 1.73670E-4
175.781250; 1.55616E-4
181.640625; 1.63403E-4
187.500000; 1.68381E-4
193.359375; 5.31114E-4
199.218750; 1.32480E-3
205.078125; 8.49563E-4
210.937500; 1.74640E-4
216.796875; 1.53684E-4
222.656250; 1.56521E-4
228.515625; 1.67282E-4
234.375000; 1.56835E-4
240.234375; 1.72313E-4
246.093750; 1.67705E-4
251.953125; 1.71266E-4
257.812500; 1.51760E-4
263.671875; 1.56552E-4
269.531250; 1.69319E-4
275.390625; 1.66104E-4
281.250000; 1.57334E-4
287.109375; 1.56602E-4
292.968750; 1.79496E-4
298.828125; 3.06880E-4
304.687500; 2.32348E-4
310.546875; 1.48717E-4
316.406250; 1.56691E-4
322.265625; 1.71645E-4
328.125000; 1.48903E-4
333.984375; 1.54298E-4
339.843750; 1.47986E-4
345.703125; 1.52763E-4
351.562500; 1.46516E-4
357.421875; 1.43294E-4
363.281250; 1.40953E-4
369.140625; 1.74909E-4
375.000000; 1.68757E-4
380.859375; 1.56082E-4
386.718750; 1.56682E-4
392.578125; 1.78805E-4
398.437500; 2.80842E-4
404.296875; 2.42274E-4
410.156250; 1.59103E-4
416.015625; 1.65490E-4
421.875000; 1.63857E-4
427.734375; 1.84847E-4
433.593750; 1.81944E-4
439.453125; 1.61243E-4
445.312500; 1.47539E-4
451.171875; 1.63125E-4
457.031250; 1.71836E-4
462.890625; 1.68312E-4
468.750000; 1.38048E-4
474.609375; 1.36179E-4
480.468750; 1.58667E-4
486.328125; 1.90096E-4
492.187500; 1.81586E-4
498.046875; 1.75352E-4
503.906250; 1.51982E-4
509.765625; 1.68102E-4
515.625000; 1.57697E-4
521.484375; 1.55985E-4
527.343750; 1.50606E-4
533.203125; 1.54837E-4
539.062500; 1.47953E-4
544.921875; 1.67290E-4
550.781250; 1.60677E-4
556.640625; 1.44548E-4
562.500000; 1.63536E-4
568.359375; 2.07222E-4
