* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:18:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 1.001 V 1.001 VC, 1.001 VA 1.001 V 22 - 22k UNW 5.776 mV >22k Distortion at 1,000.0 Hz, -39.99 dBFS: Gain: 0.00 dB THD: 0.17 % based on 21 harmonics  [0..22800 Hz] HHD: 0.13 %  [10 .. 22] N: 3.82 %  [0..22800 Hz] N+D: 28.33 mV A THD+N: 3.82 %  [0..22800 Hz] SNR: 28.4 dB ENOB: 11.6 bits 2nd harmonic 0.041 % -166 deg 3rd harmonic 0.040 % -37 deg 4th harmonic 0.038 % 14 deg 5th harmonic 0.037 % -8 deg 6th harmonic 0.039 % -47 deg 7th harmonic 0.035 % -9 deg 8th harmonic 0.036 % 55 deg 9th harmonic 0.038 % 90 deg 
* Measurement: OSDEHA A-OUT 1.0V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 5.93686E-5
2.929688; 1.20862E-4
4.394531; 1.82331E-4
5.859375; 2.49657E-4
7.324219; 2.91262E-4
8.789062; 3.09876E-4
10.253906; 3.61995E-4
11.718750; 3.41703E-4
13.183594; 3.34880E-4
14.648438; 3.38309E-4
16.113281; 3.93444E-4
17.578125; 4.01540E-4
19.042969; 3.79321E-4
20.507812; 3.55403E-4
21.972656; 3.10811E-4
23.437500; 3.25572E-4
24.902344; 3.47446E-4
26.367188; 3.91063E-4
27.832031; 3.60366E-4
29.296875; 3.97535E-4
30.761719; 3.94891E-4
32.226562; 3.97079E-4
33.691406; 3.96042E-4
35.156250; 3.45297E-4
36.621094; 3.23531E-4
38.085938; 3.73292E-4
39.550781; 4.04681E-4
41.015625; 3.80780E-4
42.480469; 3.86326E-4
43.945312; 4.30887E-4
45.410156; 4.53908E-4
46.875000; 4.21494E-4
48.339844; 3.72457E-4
49.804688; 3.46730E-4
