* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:19:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 1.330 V 1.330 VC, 1.330 VA 1.330 V 22 - 22k UNW 5.758 mV >22k Distortion at 1,000.0 Hz, -37.52 dBFS: Gain: 0.00 dB THD: 0.13 % based on 21 harmonics  [0..22800 Hz] HHD: 0.098 %  [10 .. 22] N: 2.87 %  [0..22800 Hz] N+D: 28.26 mV A THD+N: 2.87 %  [0..22800 Hz] SNR: 30.8 dB ENOB: 11.6 bits 2nd harmonic 0.030 % -50 deg 3rd harmonic 0.029 % 150 deg 4th harmonic 0.027 % 95 deg 5th harmonic 0.028 % -129 deg 6th harmonic 0.028 % 71 deg 7th harmonic 0.028 % 88 deg 8th harmonic 0.025 % -53 deg 9th harmonic 0.027 % -113 deg 
* Measurement: OSDEHA A-OUT 1.33V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 5.05933E-5
2.929688; 1.17896E-4
4.394531; 1.78759E-4
5.859375; 2.23901E-4
7.324219; 2.83239E-4
8.789062; 2.94296E-4
10.253906; 2.90745E-4
11.718750; 3.18762E-4
13.183594; 3.62967E-4
14.648438; 3.70844E-4
16.113281; 3.64849E-4
17.578125; 3.70341E-4
19.042969; 3.94800E-4
20.507812; 3.91342E-4
21.972656; 4.07023E-4
23.437500; 3.43509E-4
24.902344; 3.27586E-4
26.367188; 3.17075E-4
27.832031; 3.58228E-4
29.296875; 3.49976E-4
30.761719; 4.04559E-4
32.226562; 4.04269E-4
33.691406; 3.43799E-4
35.156250; 3.69564E-4
36.621094; 3.87722E-4
38.085938; 3.56475E-4
39.550781; 3.68926E-4
41.015625; 3.94735E-4
42.480469; 3.46851E-4
43.945312; 3.59305E-4
45.410156; 3.80516E-4
46.875000; 3.59441E-4
48.339844; 3.36590E-4
49.804688; 3.21142E-4
51.269531; 3.20214E-4
52.734375; 3.30796E-4
54.199219; 3.67336E-4
55.664062; 3.98086E-4
57.128906; 3.48437E-4
58.593750; 3.29412E-4
60.058594; 3.66867E-4
61.523438; 3.67550E-4
62.988281; 3.60216E-4
64.453125; 4.06623E-4
65.917969; 4.20831E-4
67.382812; 3.72449E-4
68.847656; 3.56942E-4
70.312500; 3.87407E-4
71.777344; 4.16434E-4
73.242188; 3.97305E-4
74.707031; 4.02536E-4
76.171875; 4.26693E-4
77.636719; 4.13710E-4
79.101562; 4.16715E-4
80.566406; 3.90703E-4
82.031250; 3.31648E-4
83.496094; 3.41434E-4
84.960938; 3.76783E-4
86.425781; 3.58706E-4
87.890625; 3.56641E-4
89.355469; 3.71439E-4
90.820312; 3.87180E-4
92.285156; 3.71626E-4
93.750000; 3.29066E-4
95.214844; 3.51003E-4
96.679688; 4.53789E-4
98.144531; 3.21152E-3
99.609375; 9.47455E-3
101.074219; 6.71965E-3
102.539062; 7.14001E-4
104.003906; 4.50599E-4
105.468750; 3.61085E-4
106.933594; 3.72915E-4
108.398438; 3.46567E-4
109.863281; 3.43290E-4
111.328125; 3.68945E-4
112.792969; 3.57026E-4
114.257812; 3.31877E-4
115.722656; 3.83215E-4
117.187500; 3.85726E-4
118.652344; 4.03898E-4
120.117188; 3.86875E-4
121.582031; 3.80422E-4
123.046875; 3.61511E-4
124.511719; 3.92433E-4
125.976562; 4.25824E-4
127.441406; 3.99953E-4
128.906250; 3.82355E-4
130.371094; 4.06961E-4
131.835938; 4.09917E-4
133.300781; 3.96720E-4
134.765625; 4.09857E-4
136.230469; 3.85460E-4
137.695312; 4.20196E-4
139.160156; 4.10741E-4
140.625000; 3.94164E-4
142.089844; 3.87769E-4
143.554688; 3.79981E-4
145.019531; 3.55572E-4
146.484375; 3.99049E-4
147.949219; 3.81223E-4
149.414062; 3.83863E-4
150.878906; 3.54216E-4
152.343750; 4.03927E-4
153.808594; 4.52406E-4
155.273438; 4.21321E-4
156.738281; 4.06231E-4
158.203125; 4.29348E-4
159.667969; 4.90471E-4
161.132812; 4.63600E-4
162.597656; 4.20779E-4
164.062500; 4.22296E-4
165.527344; 3.97252E-4
166.992188; 3.74146E-4
168.457031; 3.64244E-4
169.921875; 3.65014E-4
171.386719; 3.24224E-4
172.851562; 2.93282E-4
174.316406; 3.55022E-4
175.781250; 3.62512E-4
177.246094; 3.34100E-4
178.710938; 4.25190E-4
180.175781; 4.36954E-4
181.640625; 3.35770E-4
183.105469; 4.06819E-4
184.570312; 4.18478E-4
186.035156; 3.89234E-4
187.500000; 3.63898E-4
188.964844; 4.34553E-4
190.429688; 4.30658E-4
191.894531; 4.04615E-4
193.359375; 3.77901E-4
194.824219; 3.90618E-4
196.289062; 3.88069E-4
197.753906; 4.06927E-4
199.218750; 8.54684E-4
200.683594; 8.39244E-4
202.148438; 4.16689E-4
203.613281; 3.74500E-4
205.078125; 3.74922E-4
206.542969; 3.57001E-4
208.007812; 3.81956E-4
209.472656; 3.70808E-4
210.937500; 3.45478E-4
212.402344; 3.70924E-4
213.867188; 4.30895E-4
215.332031; 4.07933E-4
216.796875; 3.72522E-4
218.261719; 3.58753E-4
219.726562; 3.87126E-4
221.191406; 3.80422E-4
222.656250; 3.51908E-4
224.121094; 3.65114E-4
225.585938; 3.95334E-4
227.050781; 3.94343E-4
228.515625; 3.78376E-4
229.980469; 3.78570E-4
231.445312; 3.83016E-4
232.910156; 3.95904E-4
234.375000; 3.50612E-4
235.839844; 3.54408E-4
237.304688; 3.59373E-4
238.769531; 4.05790E-4
