* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:19:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 1.780 V 1.779 VC, 1.779 VA 1.780 V 22 - 22k UNW 5.758 mV >22k Distortion at 1,000.0 Hz, -34.99 dBFS: Gain: 0.00 dB THD: 0.092 % based on 21 harmonics  [0..22800 Hz] HHD: 0.072 %  [10 .. 22] N: 2.14 %  [0..22800 Hz] N+D: 28.30 mV A THD+N: 2.15 %  [0..22800 Hz] SNR: 33.4 dB ENOB: 11.6 bits 2nd harmonic 0.021 % -89 deg 3rd harmonic 0.022 % 38 deg 4th harmonic 0.022 % -143 deg 5th harmonic 0.019 % -159 deg 6th harmonic 0.021 % -11 deg 7th harmonic 0.020 % -131 deg 8th harmonic 0.020 % 52 deg 9th harmonic 0.020 % -100 deg 
* Measurement: OSDEHA A-OUT 1.78
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 7.05948E-5
2.929688; 1.36218E-4
4.394531; 1.68929E-4
5.859375; 2.29577E-4
7.324219; 2.53135E-4
8.789062; 3.20170E-4
10.253906; 3.75205E-4
11.718750; 3.30063E-4
13.183594; 3.35186E-4
14.648438; 3.40517E-4
16.113281; 3.21299E-4
17.578125; 3.34001E-4
19.042969; 3.31511E-4
20.507812; 3.42795E-4
21.972656; 3.63472E-4
23.437500; 3.52220E-4
24.902344; 3.80213E-4
26.367188; 3.70352E-4
27.832031; 4.44653E-4
29.296875; 4.19829E-4
30.761719; 3.57619E-4
32.226562; 3.54962E-4
33.691406; 3.68824E-4
35.156250; 3.93555E-4
36.621094; 3.97927E-4
38.085938; 3.71428E-4
39.550781; 3.63115E-4
41.015625; 3.63915E-4
42.480469; 3.48456E-4
43.945312; 3.86620E-4
45.410156; 3.68798E-4
46.875000; 3.92185E-4
48.339844; 3.81158E-4
49.804688; 3.88880E-4
51.269531; 3.53643E-4
52.734375; 3.75536E-4
54.199219; 3.48381E-4
55.664062; 3.30225E-4
57.128906; 3.74667E-4
58.593750; 3.49812E-4
60.058594; 3.44032E-4
61.523438; 3.84058E-4
62.988281; 3.74182E-4
64.453125; 3.31191E-4
65.917969; 3.27862E-4
67.382812; 4.10173E-4
68.847656; 3.75952E-4
70.312500; 4.13445E-4
