* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:22:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 10.00 V 10.00 VC, 10.00 VA 10.00 V 22 - 22k UNW 5.772 mV >22k Distortion at 1,000.0 Hz, -19.99 dBFS: Gain: -0.00 dB THD: 0.017 % based on 21 harmonics  [0..22800 Hz] HHD: 0.013 %  [10 .. 22] N: 0.38 %  [0..22800 Hz] N+D: 28.31 mV A THD+N: 0.38 %  [0..22800 Hz] SNR: 48.4 dB ENOB: 11.6 bits 2nd harmonic 0.0039 % -72 deg 3rd harmonic 0.0041 % 171 deg 4th harmonic 0.0039 % 1 deg 5th harmonic 0.0037 % -98 deg 6th harmonic 0.0038 % -86 deg 7th harmonic 0.0038 % -142 deg 8th harmonic 0.0034 % -25 deg 9th harmonic 0.0035 % 27 deg
* Measurement: OSDEHA A-OUT 10V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 5.06829E-5
2.929688; 1.05785E-4
4.394531; 1.84991E-4
5.859375; 2.51031E-4
7.324219; 2.88601E-4
8.789062; 2.81124E-4
10.253906; 2.72370E-4
11.718750; 3.05237E-4
13.183594; 3.28392E-4
14.648438; 3.45122E-4
16.113281; 3.48460E-4
17.578125; 3.71340E-4
19.042969; 3.85370E-4
20.507812; 3.46003E-4
21.972656; 3.14914E-4
23.437500; 3.38356E-4
24.902344; 3.90716E-4
26.367188; 4.17349E-4
27.832031; 3.62391E-4
29.296875; 3.26198E-4
30.761719; 3.70396E-4
32.226562; 4.27038E-4
33.691406; 3.95919E-4
35.156250; 3.71276E-4
36.621094; 4.15682E-4
38.085938; 4.19783E-4
39.550781; 3.90339E-4
41.015625; 3.60198E-4
42.480469; 4.02237E-4
43.945312; 4.11864E-4
45.410156; 3.83641E-4
46.875000; 3.63929E-4
48.339844; 3.53289E-4
