* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:23:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 17.79 V 17.79 VC, 17.79 VA 17.79 V 22 - 22k UNW 5.753 mV >22k Distortion at 1,000.0 Hz, -14.99 dBFS: Gain: -0.00 dB THD: 0.0095 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0070 %  [10 .. 22] N: 0.21 %  [0..22800 Hz] N+D: 28.28 mV A THD+N: 0.22 %  [0..22800 Hz] SNR: 53.4 dB ENOB: 11.6 bits 2nd harmonic 0.0031 % -80 deg 3rd harmonic 0.0022 % 88 deg 4th harmonic 0.0022 % -155 deg 5th harmonic 0.0022 % 130 deg 6th harmonic 0.0021 % -77 deg 7th harmonic 0.0020 % -27 deg 8th harmonic 0.0022 % 13 deg 9th harmonic 0.0022 % 144 deg
* Measurement: OSDEHA A-OUT 17.8V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 6.98696E-5
2.929688; 1.36163E-4
4.394531; 1.78946E-4
5.859375; 2.08093E-4
7.324219; 2.55994E-4
8.789062; 3.11183E-4
10.253906; 3.11054E-4
11.718750; 2.88127E-4
13.183594; 3.12076E-4
14.648438; 3.38603E-4
16.113281; 3.31318E-4
17.578125; 3.75199E-4
19.042969; 3.63501E-4
20.507812; 3.33685E-4
21.972656; 3.44465E-4
23.437500; 3.67681E-4
24.902344; 3.83512E-4
26.367188; 3.97232E-4
27.832031; 3.95265E-4
29.296875; 4.57366E-4
30.761719; 4.42981E-4
32.226562; 3.75358E-4
33.691406; 3.87740E-4
35.156250; 4.29600E-4
36.621094; 3.58866E-4
38.085938; 3.82004E-4
39.550781; 3.63787E-4
41.015625; 3.82280E-4
42.480469; 3.69301E-4
43.945312; 3.32858E-4
45.410156; 3.65023E-4
46.875000; 4.17182E-4
48.339844; 4.06614E-4
49.804688; 3.49671E-4
51.269531; 3.75854E-4
52.734375; 3.87218E-4
54.199219; 3.65727E-4
55.664062; 3.95308E-4
57.128906; 3.98747E-4
58.593750; 4.56297E-4
60.058594; 4.23556E-4
61.523438; 3.73386E-4
62.988281; 4.39696E-4
64.453125; 4.23721E-4
65.917969; 3.75732E-4
67.382812; 3.76066E-4
68.847656; 3.79204E-4
70.312500; 3.30655E-4
71.777344; 3.63011E-4
73.242188; 4.22695E-4
74.707031; 4.04583E-4
76.171875; 3.83739E-4
77.636719; 4.06383E-4
79.101562; 3.95045E-4
80.566406; 3.58567E-4
82.031250; 3.62033E-4
83.496094; 3.39336E-4
84.960938; 4.00488E-4
86.425781; 4.14692E-4
87.890625; 3.94331E-4
89.355469; 3.99307E-4
90.820312; 3.82995E-4
92.285156; 3.75883E-4
93.750000; 4.06530E-4
95.214844; 4.14257E-4
96.679688; 4.57441E-4
98.144531; 3.39717E-3
