* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:19:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 2.370 V 2.370 VC, 2.370 VA 2.370 V 22 - 22k UNW 5.776 mV >22k Distortion at 1,000.0 Hz, -32.50 dBFS: Gain: 0.00 dB THD: 0.070 % based on 21 harmonics  [0..22800 Hz] HHD: 0.054 %  [10 .. 22] N: 1.61 %  [0..22800 Hz] N+D: 28.33 mV A THD+N: 1.61 %  [0..22800 Hz] SNR: 35.9 dB ENOB: 11.6 bits 2nd harmonic 0.018 % -133 deg 3rd harmonic 0.016 % 115 deg 4th harmonic 0.017 % 57 deg 5th harmonic 0.016 % -32 deg 6th harmonic 0.015 % -122 deg 7th harmonic 0.015 % -100 deg 8th harmonic 0.015 % 79 deg 9th harmonic 0.016 % 33 deg 
* Measurement: OSDEHA A-OUT 2.37V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 6.19305E-5
2.929688; 1.16874E-4
4.394531; 1.64752E-4
5.859375; 1.86704E-4
7.324219; 2.67760E-4
8.789062; 2.85887E-4
10.253906; 3.45713E-4
11.718750; 3.31015E-4
13.183594; 2.96627E-4
14.648438; 2.89661E-4
16.113281; 3.37816E-4
17.578125; 3.37146E-4
19.042969; 3.27848E-4
20.507812; 3.76461E-4
21.972656; 3.79983E-4
23.437500; 3.51275E-4
24.902344; 3.53786E-4
26.367188; 3.36188E-4
27.832031; 3.00928E-4
29.296875; 3.53735E-4
30.761719; 3.43977E-4
32.226562; 3.86505E-4
33.691406; 3.35954E-4
35.156250; 3.37901E-4
36.621094; 3.21482E-4
38.085938; 2.98441E-4
39.550781; 3.52497E-4
41.015625; 4.06966E-4
42.480469; 3.62674E-4
43.945312; 3.64715E-4
45.410156; 3.90940E-4
46.875000; 4.06919E-4
48.339844; 3.32319E-4
49.804688; 3.70556E-4
51.269531; 3.93530E-4
52.734375; 3.86215E-4
54.199219; 3.92994E-4
55.664062; 3.54782E-4
57.128906; 3.55426E-4
58.593750; 3.92977E-4
60.058594; 3.93190E-4
61.523438; 4.03316E-4
62.988281; 3.41629E-4
64.453125; 3.25690E-4
65.917969; 3.65601E-4
67.382812; 3.26294E-4
68.847656; 3.87996E-4
70.312500; 3.88925E-4
71.777344; 3.18982E-4
73.242188; 3.50229E-4
74.707031; 3.68811E-4
76.171875; 3.67417E-4
77.636719; 3.90026E-4
79.101562; 3.82940E-4
80.566406; 3.79327E-4
82.031250; 3.84098E-4
83.496094; 3.40776E-4
84.960938; 3.87517E-4
86.425781; 3.59358E-4
87.890625; 3.79600E-4
89.355469; 4.17649E-4
90.820312; 3.97975E-4
92.285156; 3.90507E-4
93.750000; 3.78364E-4
95.214844; 3.62963E-4
96.679688; 4.78977E-4
98.144531; 3.31688E-3
99.609375; 9.57845E-3
101.074219; 6.63048E-3
102.539062; 6.85030E-4
104.003906; 4.53664E-4
105.468750; 4.02396E-4
106.933594; 3.96150E-4
108.398438; 3.91966E-4
109.863281; 4.06100E-4
111.328125; 4.11647E-4
112.792969; 3.89678E-4
114.257812; 3.87768E-4
115.722656; 3.70320E-4
117.187500; 4.18455E-4
118.652344; 3.17281E-4
120.117188; 4.03563E-4
121.582031; 4.32834E-4
123.046875; 3.94933E-4
124.511719; 4.26730E-4
125.976562; 3.71347E-4
127.441406; 3.64522E-4
128.906250; 3.83640E-4
130.371094; 3.67640E-4
131.835938; 3.96268E-4
133.300781; 4.10122E-4
134.765625; 4.14554E-4
136.230469; 4.05719E-4
137.695312; 3.32174E-4
139.160156; 3.36591E-4
140.625000; 3.69874E-4
142.089844; 3.92448E-4
143.554688; 4.17752E-4
145.019531; 4.43723E-4
146.484375; 3.89886E-4
147.949219; 3.59787E-4
149.414062; 4.26867E-4
150.878906; 4.23402E-4
152.343750; 4.36595E-4
153.808594; 4.27897E-4
155.273438; 3.84412E-4
156.738281; 3.36909E-4
158.203125; 3.20571E-4
159.667969; 4.02180E-4
161.132812; 4.20438E-4
162.597656; 4.07999E-4
164.062500; 3.46901E-4
165.527344; 3.64527E-4
166.992188; 3.99309E-4
168.457031; 3.90353E-4
169.921875; 3.69517E-4
171.386719; 3.89686E-4
172.851562; 4.05662E-4
174.316406; 4.11302E-4
175.781250; 3.72257E-4
177.246094; 3.12447E-4
178.710938; 3.29804E-4
180.175781; 3.53677E-4
181.640625; 3.63748E-4
183.105469; 4.04957E-4
184.570312; 4.33039E-4
186.035156; 4.46438E-4
187.500000; 4.74963E-4
188.964844; 4.47688E-4
190.429688; 4.06956E-4
191.894531; 4.20433E-4
193.359375; 4.00797E-4
194.824219; 3.97485E-4
196.289062; 3.63532E-4
197.753906; 3.65732E-4
199.218750; 7.52273E-4
200.683594; 7.45792E-4
202.148438; 3.83556E-4
203.613281; 3.60877E-4
205.078125; 3.61467E-4
206.542969; 3.58521E-4
208.007812; 3.78354E-4
209.472656; 3.84950E-4
210.937500; 4.21162E-4
212.402344; 4.16405E-4
213.867188; 4.63745E-4
215.332031; 4.20668E-4
216.796875; 4.09135E-4
218.261719; 3.82605E-4
219.726562; 4.05596E-4
221.191406; 3.80224E-4
222.656250; 3.68266E-4
224.121094; 3.69324E-4
225.585938; 3.17941E-4
227.050781; 3.94529E-4
228.515625; 3.79578E-4
229.980469; 3.87759E-4
231.445312; 3.64658E-4
232.910156; 3.41618E-4
234.375000; 3.00056E-4
235.839844; 3.68703E-4
237.304688; 3.98617E-4
238.769531; 3.66144E-4
240.234375; 3.41671E-4
241.699219; 3.62890E-4
243.164062; 3.94312E-4
244.628906; 3.63134E-4
246.093750; 3.59955E-4
247.558594; 3.98050E-4
249.023438; 4.11394E-4
250.488281; 4.74506E-4
251.953125; 4.41351E-4
253.417969; 3.78321E-4
254.882812; 4.23458E-4
256.347656; 3.73507E-4
257.812500; 4.04905E-4
259.277344; 3.56484E-4
260.742188; 4.22231E-4
262.207031; 3.92397E-4
263.671875; 3.60380E-4
265.136719; 4.15751E-4
266.601562; 3.70491E-4
268.066406; 3.99059E-4
269.531250; 4.10550E-4
270.996094; 3.69397E-4
272.460938; 4.10842E-4
273.925781; 3.87833E-4
275.390625; 3.40280E-4
276.855469; 4.38598E-4
278.320312; 4.07615E-4
279.785156; 3.95338E-4
281.250000; 3.78502E-4
282.714844; 3.89670E-4
284.179688; 3.92288E-4
285.644531; 3.95286E-4
287.109375; 3.94650E-4
288.574219; 4.00280E-4
