* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:24:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 23.69 V 23.69 VC, 23.69 VA 23.69 V 22 - 22k UNW 5.770 mV >22k Distortion at 1,000.0 Hz, -12.50 dBFS: Gain: -0.00 dB THD: 0.0096 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0054 %  [10 .. 22] N: 0.16 %  [0..22800 Hz] N+D: 28.33 mV A THD+N: 0.16 %  [0..22800 Hz] SNR: 55.8 dB ENOB: 11.6 bits 2nd harmonic 0.0066 % -74 deg 3rd harmonic 0.0020 % 104 deg 4th harmonic 0.0016 % -43 deg 5th harmonic 0.0017 % 21 deg 6th harmonic 0.0015 % -166 deg 7th harmonic 0.0015 % -58 deg 8th harmonic 0.0016 % -76 deg 9th harmonic 0.0017 % 155 deg
* Measurement: OSDEHA A-OUT 23.7V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 6.00216E-5
2.929688; 1.53066E-4
4.394531; 2.63855E-4
5.859375; 3.06777E-4
7.324219; 3.31519E-4
8.789062; 3.91119E-4
10.253906; 4.12589E-4
11.718750; 3.97226E-4
13.183594; 3.82757E-4
14.648438; 3.89278E-4
16.113281; 3.63004E-4
17.578125; 4.13526E-4
19.042969; 4.32233E-4
20.507812; 3.77759E-4
21.972656; 3.81666E-4
23.437500; 4.04556E-4
24.902344; 3.92828E-4
26.367188; 4.32533E-4
27.832031; 4.59883E-4
29.296875; 4.29839E-4
30.761719; 4.03591E-4
32.226562; 4.05475E-4
33.691406; 3.68241E-4
35.156250; 3.06916E-4
36.621094; 3.34230E-4
38.085938; 3.48949E-4
39.550781; 3.65714E-4
41.015625; 4.33327E-4
42.480469; 4.54095E-4
43.945312; 4.17414E-4
45.410156; 4.02727E-4
46.875000; 4.54937E-4
48.339844; 4.53929E-4
49.804688; 4.32828E-4
51.269531; 3.85927E-4
52.734375; 3.71431E-4
54.199219; 3.68228E-4
55.664062; 3.75086E-4
57.128906; 3.88208E-4
58.593750; 3.99208E-4
60.058594; 3.95406E-4
61.523438; 3.87787E-4
62.988281; 4.04359E-4
64.453125; 3.84784E-4
65.917969; 3.28015E-4
67.382812; 3.49932E-4
68.847656; 4.04227E-4
70.312500; 4.31203E-4
71.777344; 4.12099E-4
73.242188; 4.12975E-4
74.707031; 4.13652E-4
76.171875; 3.92178E-4
77.636719; 3.84470E-4
79.101562; 4.04351E-4
80.566406; 3.90822E-4
82.031250; 3.91442E-4
83.496094; 3.78804E-4
84.960938; 3.89410E-4
86.425781; 3.88573E-4
87.890625; 4.19859E-4
89.355469; 3.88427E-4
90.820312; 3.64071E-4
92.285156; 3.59582E-4
93.750000; 3.65234E-4
95.214844; 3.82567E-4
96.679688; 4.11029E-4
98.144531; 3.46846E-3
99.609375; 9.69798E-3
101.074219; 6.69170E-3
102.539062; 6.85313E-4
104.003906; 3.64705E-4
105.468750; 3.82179E-4
106.933594; 3.96339E-4
108.398438; 3.78671E-4
109.863281; 3.88284E-4
111.328125; 3.80385E-4
112.792969; 4.12377E-4
114.257812; 3.57814E-4
115.722656; 3.32121E-4
117.187500; 3.48063E-4
118.652344; 4.10080E-4
120.117188; 3.50390E-4
121.582031; 3.12112E-4
123.046875; 3.66373E-4
124.511719; 3.98395E-4
125.976562; 3.73200E-4
127.441406; 3.77911E-4
128.906250; 3.45893E-4
130.371094; 3.46412E-4
131.835938; 3.50074E-4
133.300781; 3.54653E-4
134.765625; 3.63663E-4
136.230469; 4.13401E-4
137.695312; 3.66210E-4
139.160156; 4.02917E-4
140.625000; 3.12486E-4
142.089844; 3.62034E-4
143.554688; 4.21634E-4
145.019531; 4.04831E-4
146.484375; 3.83193E-4
147.949219; 4.30287E-4
149.414062; 3.90297E-4
150.878906; 3.97058E-4
152.343750; 3.85726E-4
153.808594; 3.61618E-4
155.273438; 3.79333E-4
156.738281; 3.81808E-4
158.203125; 3.59298E-4
159.667969; 3.90233E-4
161.132812; 3.74228E-4
162.597656; 4.05100E-4
164.062500; 4.17093E-4
165.527344; 3.63682E-4
166.992188; 3.43050E-4
168.457031; 3.21486E-4
169.921875; 3.45073E-4
171.386719; 3.51804E-4
172.851562; 3.57350E-4
174.316406; 3.01401E-4
175.781250; 3.54125E-4
177.246094; 3.41832E-4
178.710938; 4.12476E-4
180.175781; 4.21074E-4
181.640625; 4.08934E-4
183.105469; 4.38811E-4
184.570312; 4.45538E-4
186.035156; 4.01904E-4
187.500000; 3.59196E-4
188.964844; 3.19295E-4
190.429688; 4.06662E-4
191.894531; 3.70407E-4
193.359375; 3.32571E-4
194.824219; 3.45055E-4
196.289062; 3.42217E-4
197.753906; 3.81452E-4
199.218750; 8.41894E-4
200.683594; 8.26187E-4
202.148438; 4.03575E-4
203.613281; 3.70130E-4
205.078125; 3.96748E-4
206.542969; 3.25604E-4
208.007812; 3.39654E-4
209.472656; 3.34844E-4
210.937500; 3.75192E-4
212.402344; 4.34692E-4
213.867188; 4.43440E-4
215.332031; 3.83127E-4
216.796875; 3.74603E-4
218.261719; 3.73089E-4
219.726562; 3.55025E-4
221.191406; 3.73802E-4
222.656250; 3.86654E-4
224.121094; 3.41365E-4
225.585938; 3.59616E-4
227.050781; 3.99853E-4
228.515625; 3.99324E-4
229.980469; 3.81101E-4
231.445312; 3.33190E-4
232.910156; 3.26571E-4
234.375000; 4.38073E-4
235.839844; 4.20488E-4
237.304688; 3.53082E-4
238.769531; 3.93242E-4
240.234375; 3.98695E-4
241.699219; 4.15752E-4
243.164062; 4.09525E-4
244.628906; 3.89278E-4
246.093750; 3.97666E-4
247.558594; 3.95449E-4
249.023438; 4.13651E-4
250.488281; 4.35789E-4
251.953125; 3.86542E-4
253.417969; 3.54247E-4
254.882812; 3.70124E-4
256.347656; 3.41853E-4
257.812500; 3.76766E-4
259.277344; 4.18028E-4
260.742188; 3.59930E-4
262.207031; 4.16660E-4
263.671875; 4.27018E-4
265.136719; 3.92575E-4
266.601562; 3.89738E-4
268.066406; 4.10095E-4
269.531250; 3.78755E-4
270.996094; 3.52537E-4
272.460938; 4.13586E-4
273.925781; 4.49966E-4
275.390625; 3.99791E-4
276.855469; 3.80836E-4
278.320312; 4.13553E-4
279.785156; 3.82096E-4
281.250000; 3.88075E-4
282.714844; 4.10881E-4
284.179688; 4.02519E-4
285.644531; 3.94578E-4
287.109375; 4.00809E-4
