* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:20:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 3.160 V 3.160 VC, 3.160 VA 3.160 V 22 - 22k UNW 5.737 mV >22k Distortion at 1,000.0 Hz, -30.00 dBFS: Gain: 0.00 dB THD: 0.051 % based on 21 harmonics  [0..22800 Hz] HHD: 0.039 %  [10 .. 22] N: 1.21 %  [0..22800 Hz] N+D: 28.28 mV A THD+N: 1.21 %  [0..22800 Hz] SNR: 38.4 dB ENOB: 11.6 bits 2nd harmonic 0.012 % 166 deg 3rd harmonic 0.012 % 164 deg 4th harmonic 0.012 % 167 deg 5th harmonic 0.011 % -166 deg 6th harmonic 0.012 % 19 deg 7th harmonic 0.012 % 131 deg 8th harmonic 0.011 % 177 deg 9th harmonic 0.012 % -180 deg
* Measurement: OSDEHA A-OUT 3.16V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 5.45449E-5
2.929688; 1.03968E-4
4.394531; 1.87085E-4
5.859375; 2.07472E-4
7.324219; 2.68127E-4
8.789062; 3.49604E-4
10.253906; 3.23156E-4
11.718750; 3.51392E-4
13.183594; 3.79429E-4
14.648438; 3.19523E-4
16.113281; 2.97974E-4
17.578125; 3.30993E-4
19.042969; 3.69773E-4
20.507812; 3.70169E-4
21.972656; 4.12285E-4
23.437500; 4.16031E-4
24.902344; 4.13777E-4
26.367188; 4.06786E-4
27.832031; 3.92251E-4
29.296875; 3.58094E-4
30.761719; 3.69907E-4
32.226562; 3.97031E-4
33.691406; 3.96212E-4
35.156250; 3.77367E-4
36.621094; 3.78933E-4
38.085938; 3.12611E-4
39.550781; 2.44047E-4
41.015625; 3.06129E-4
42.480469; 3.61376E-4
43.945312; 3.45187E-4
45.410156; 3.54854E-4
46.875000; 3.83711E-4
48.339844; 3.53460E-4
49.804688; 4.03766E-4
51.269531; 3.96477E-4
52.734375; 3.39558E-4
54.199219; 3.48382E-4
55.664062; 4.42251E-4
57.128906; 4.08148E-4
58.593750; 3.90594E-4
60.058594; 4.33157E-4
61.523438; 4.12903E-4
62.988281; 3.86604E-4
64.453125; 3.87814E-4
65.917969; 3.73020E-4
67.382812; 3.85981E-4
68.847656; 3.14908E-4
70.312500; 3.40246E-4
71.777344; 4.11131E-4
73.242188; 3.37618E-4
74.707031; 3.24269E-4
76.171875; 3.52624E-4
77.636719; 3.95618E-4
79.101562; 3.88965E-4
80.566406; 3.62468E-4
82.031250; 3.91468E-4
83.496094; 3.87543E-4
84.960938; 3.69119E-4
86.425781; 4.00611E-4
87.890625; 3.74142E-4
89.355469; 3.85750E-4
90.820312; 3.54860E-4
92.285156; 3.14100E-4
93.750000; 3.67618E-4
95.214844; 4.01121E-4
96.679688; 5.14043E-4
98.144531; 3.08951E-3
99.609375; 9.57151E-3
101.074219; 6.92105E-3
102.539062; 7.50368E-4
104.003906; 3.45974E-4
105.468750; 3.68405E-4
106.933594; 3.68628E-4
108.398438; 3.68618E-4
109.863281; 4.37495E-4
111.328125; 3.93794E-4
112.792969; 3.43448E-4
114.257812; 3.91442E-4
115.722656; 4.08388E-4
117.187500; 3.56657E-4
118.652344; 3.88484E-4
120.117188; 3.85504E-4
121.582031; 3.58357E-4
123.046875; 3.78880E-4
124.511719; 3.82229E-4
125.976562; 3.87266E-4
127.441406; 3.93448E-4
128.906250; 4.21970E-4
130.371094; 4.35877E-4
131.835938; 3.80171E-4
133.300781; 3.77668E-4
134.765625; 3.94912E-4
136.230469; 4.02211E-4
137.695312; 3.99165E-4
139.160156; 3.71635E-4
140.625000; 3.61368E-4
142.089844; 3.39981E-4
143.554688; 3.02634E-4
145.019531; 3.63201E-4
146.484375; 3.64668E-4
147.949219; 3.34375E-4
149.414062; 3.51958E-4
150.878906; 3.90521E-4
152.343750; 3.65601E-4
153.808594; 3.91589E-4
155.273438; 3.35714E-4
156.738281; 3.65425E-4
158.203125; 4.34074E-4
159.667969; 4.15498E-4
161.132812; 3.47494E-4
162.597656; 3.61194E-4
164.062500; 3.83504E-4
165.527344; 4.13319E-4
166.992188; 4.29934E-4
168.457031; 3.82793E-4
169.921875; 3.97756E-4
171.386719; 4.36578E-4
172.851562; 3.95975E-4
174.316406; 4.02448E-4
175.781250; 3.99968E-4
177.246094; 3.38975E-4
178.710938; 3.46830E-4
180.175781; 3.64020E-4
181.640625; 3.29472E-4
183.105469; 3.35075E-4
184.570312; 3.62952E-4
186.035156; 3.63898E-4
187.500000; 3.44105E-4
188.964844; 3.45883E-4
190.429688; 3.73413E-4
191.894531; 3.74864E-4
193.359375; 3.64097E-4
194.824219; 3.71988E-4
196.289062; 3.48169E-4
197.753906; 3.68133E-4
199.218750; 8.05776E-4
200.683594; 7.74769E-4
202.148438; 3.78387E-4
203.613281; 4.53409E-4
205.078125; 4.05121E-4
206.542969; 3.88586E-4
208.007812; 4.34237E-4
209.472656; 3.89844E-4
210.937500; 3.37623E-4
212.402344; 3.47000E-4
213.867188; 4.14476E-4
215.332031; 4.15084E-4
216.796875; 3.55384E-4
218.261719; 3.76371E-4
219.726562; 3.91263E-4
221.191406; 4.03279E-4
222.656250; 4.27179E-4
224.121094; 4.23856E-4
225.585938; 4.16364E-4
227.050781; 4.07036E-4
228.515625; 3.89005E-4
229.980469; 3.89281E-4
231.445312; 3.82320E-4
232.910156; 3.49508E-4
234.375000; 3.39800E-4
235.839844; 3.48324E-4
237.304688; 3.62340E-4
238.769531; 3.67501E-4
240.234375; 3.15443E-4
241.699219; 3.61759E-4
243.164062; 3.71687E-4
244.628906; 3.20650E-4
246.093750; 3.17457E-4
247.558594; 3.53106E-4
249.023438; 4.04062E-4
250.488281; 4.18380E-4
251.953125; 4.11857E-4
253.417969; 3.81118E-4
254.882812; 4.20367E-4
256.347656; 3.82942E-4
257.812500; 4.12699E-4
259.277344; 3.97274E-4
260.742188; 3.53788E-4
262.207031; 3.99627E-4
263.671875; 4.25053E-4
265.136719; 3.80579E-4
266.601562; 3.88742E-4
268.066406; 4.37354E-4
269.531250; 3.97701E-4
270.996094; 4.00865E-4
272.460938; 3.69065E-4
273.925781; 3.71774E-4
275.390625; 3.96975E-4
276.855469; 3.74650E-4
278.320312; 3.87764E-4
279.785156; 3.98435E-4
281.250000; 3.32283E-4
282.714844; 3.45139E-4
284.179688; 3.59351E-4
285.644531; 3.70756E-4
287.109375; 3.87601E-4
288.574219; 3.65952E-4
290.039062; 3.46817E-4
291.503906; 4.06325E-4
292.968750; 4.34313E-4
294.433594; 4.15382E-4
295.898438; 4.00783E-4
297.363281; 3.61211E-4
298.828125; 1.21543E-3
300.292969; 1.71382E-3
301.757812; 7.07744E-4
303.222656; 3.55418E-4
304.687500; 3.74411E-4
306.152344; 3.79168E-4
307.617188; 4.17369E-4
309.082031; 4.08278E-4
310.546875; 3.76764E-4
312.011719; 3.51367E-4
313.476562; 3.34342E-4
314.941406; 3.50957E-4
316.406250; 3.98716E-4
317.871094; 4.10197E-4
319.335938; 4.25548E-4
320.800781; 3.82166E-4
322.265625; 3.71372E-4
323.730469; 3.55894E-4
325.195312; 3.25516E-4
326.660156; 3.36353E-4
328.125000; 3.74072E-4
329.589844; 3.84874E-4
331.054688; 3.61933E-4
332.519531; 3.95303E-4
333.984375; 4.42285E-4
335.449219; 4.26042E-4
336.914062; 3.92257E-4
338.378906; 2.97314E-4
339.843750; 3.17703E-4
341.308594; 3.62373E-4
342.773438; 3.61481E-4
344.238281; 4.29376E-4
345.703125; 4.07262E-4
347.167969; 3.35714E-4
348.632812; 4.12791E-4
350.097656; 3.89192E-4
351.562500; 3.44518E-4
353.027344; 3.70503E-4
354.492188; 4.10275E-4
355.957031; 3.96382E-4
357.421875; 3.82981E-4
358.886719; 3.38742E-4
360.351562; 3.62878E-4
361.816406; 3.57914E-4
363.281250; 4.06391E-4
364.746094; 4.53970E-4
366.210938; 3.88042E-4
367.675781; 3.88213E-4
369.140625; 3.83354E-4
370.605469; 3.45711E-4
372.070312; 3.60496E-4
373.535156; 3.96480E-4
375.000000; 3.86769E-4
376.464844; 3.65737E-4
377.929688; 3.94906E-4
379.394531; 4.24518E-4
380.859375; 3.68846E-4
382.324219; 4.39759E-4
383.789062; 4.32383E-4
385.253906; 3.60911E-4
386.718750; 3.88817E-4
388.183594; 3.80250E-4
389.648438; 3.62317E-4
391.113281; 3.95509E-4
392.578125; 3.52843E-4
394.042969; 3.60319E-4
395.507812; 3.70936E-4
396.972656; 3.71860E-4
398.437500; 3.92570E-4
399.902344; 4.87496E-4
401.367188; 4.49347E-4
402.832031; 3.93982E-4
404.296875; 3.83065E-4
405.761719; 3.29327E-4
407.226562; 3.33921E-4
408.691406; 3.58566E-4
410.156250; 4.17690E-4
411.621094; 4.63845E-4
413.085938; 3.79584E-4
414.550781; 3.77661E-4
416.015625; 4.60213E-4
417.480469; 3.96183E-4
418.945312; 3.76825E-4
420.410156; 3.87448E-4
421.875000; 3.59172E-4
423.339844; 3.43457E-4
424.804688; 3.69868E-4
426.269531; 3.70888E-4
427.734375; 3.62433E-4
429.199219; 3.61832E-4
430.664062; 3.27441E-4
432.128906; 3.50024E-4
433.593750; 3.95455E-4
435.058594; 3.72604E-4
436.523438; 3.72324E-4
437.988281; 3.84222E-4
439.453125; 3.81181E-4
440.917969; 3.57789E-4
442.382812; 3.37883E-4
443.847656; 3.68470E-4
445.312500; 4.03075E-4
446.777344; 3.46141E-4
448.242188; 4.30102E-4
449.707031; 4.35082E-4
451.171875; 3.61863E-4
452.636719; 3.70906E-4
454.101562; 3.53170E-4
455.566406; 3.49308E-4
457.031250; 3.80468E-4
458.496094; 3.66923E-4
459.960938; 3.56380E-4
461.425781; 3.79641E-4
462.890625; 3.99936E-4
464.355469; 4.08914E-4
465.820312; 3.83626E-4
467.285156; 3.79497E-4
468.750000; 4.19594E-4
470.214844; 4.07299E-4
471.679688; 3.86499E-4
473.144531; 3.42456E-4
474.609375; 3.23306E-4
476.074219; 3.65733E-4
477.539062; 3.47293E-4
479.003906; 3.77778E-4
480.468750; 3.34964E-4
481.933594; 3.76246E-4
483.398438; 3.74539E-4
484.863281; 3.63128E-4
486.328125; 3.35937E-4
487.792969; 3.35386E-4
489.257812; 3.54446E-4
490.722656; 4.35390E-4
492.187500; 4.00503E-4
493.652344; 3.47326E-4
495.117188; 3.51066E-4
496.582031; 3.67053E-4
498.046875; 4.88430E-4
499.511719; 9.97768E-4
500.976562; 7.89190E-4
502.441406; 3.39118E-4
503.906250; 3.08101E-4
505.371094; 3.65881E-4
506.835938; 3.60316E-4
508.300781; 3.56375E-4
509.765625; 3.83501E-4
511.230469; 3.85920E-4
512.695312; 4.10549E-4
514.160156; 3.85058E-4
515.625000; 4.02252E-4
517.089844; 3.48028E-4
518.554688; 3.26703E-4
520.019531; 3.10082E-4
521.484375; 3.05442E-4
522.949219; 3.71717E-4
524.414062; 3.90838E-4
525.878906; 3.60736E-4
527.343750; 3.51860E-4
528.808594; 3.98737E-4
530.273438; 3.85689E-4
531.738281; 3.15993E-4
533.203125; 3.73394E-4
534.667969; 4.52628E-4
536.132812; 4.27981E-4
537.597656; 3.98344E-4
539.062500; 3.63921E-4
540.527344; 4.39327E-4
541.992188; 4.59895E-4
543.457031; 3.56690E-4
544.921875; 3.61618E-4
546.386719; 4.27511E-4
547.851562; 4.02146E-4
549.316406; 4.63009E-4
550.781250; 4.50769E-4
552.246094; 3.91968E-4
553.710938; 3.60494E-4
555.175781; 3.70396E-4
556.640625; 4.19647E-4
558.105469; 3.96970E-4
559.570312; 3.33212E-4
561.035156; 4.32201E-4
562.500000; 3.95116E-4
563.964844; 3.54822E-4
565.429688; 3.86434E-4
566.894531; 3.97092E-4
568.359375; 4.47710E-4
569.824219; 3.91270E-4
571.289062; 3.94318E-4
572.753906; 4.52084E-4
574.218750; 4.44820E-4
575.683594; 3.92001E-4
577.148438; 3.42075E-4
578.613281; 3.80704E-4
580.078125; 4.04488E-4
581.542969; 3.99339E-4
583.007812; 4.05061E-4
584.472656; 4.27402E-4
585.937500; 3.71922E-4
587.402344; 3.68940E-4
588.867188; 3.66338E-4
590.332031; 3.36458E-4
591.796875; 3.94093E-4
593.261719; 4.16973E-4
594.726562; 4.17296E-4
596.191406; 3.64625E-4
597.656250; 3.36720E-4
599.121094; 5.11709E-4
600.585938; 5.39112E-4
602.050781; 3.95673E-4
603.515625; 3.18831E-4
604.980469; 3.64290E-4
606.445312; 3.56704E-4
607.910156; 3.25494E-4
609.375000; 3.72242E-4
610.839844; 3.83875E-4
612.304688; 4.03044E-4
613.769531; 4.00875E-4
615.234375; 3.52294E-4
616.699219; 3.71817E-4
618.164062; 3.34422E-4
619.628906; 2.58304E-4
621.093750; 2.90809E-4
622.558594; 3.43281E-4
624.023438; 3.93946E-4
