* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:24:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 31.60 V 31.60 VC, 31.60 VA 31.60 V 22 - 22k UNW 5.716 mV >22k Distortion at 1,000.0 Hz, -10.00 dBFS: Gain: -0.00 dB THD: 0.0088 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0041 %  [10 .. 22] N: 0.12 %  [0..22800 Hz] N+D: 28.36 mV A THD+N: 0.12 %  [0..22800 Hz] SNR: 58.3 dB ENOB: 11.6 bits 2nd harmonic 0.0070 % -59 deg 3rd harmonic 0.0016 % 88 deg 4th harmonic 0.0012 % -131 deg 5th harmonic 0.0013 % 16 deg 6th harmonic 0.0012 % 65 deg 7th harmonic 0.0013 % 48 deg 8th harmonic 0.0012 % 142 deg 9th harmonic 0.0012 % -150 deg
* Measurement: OSDEHA A-OUT 31.6V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 6.25057E-5
2.929688; 1.29722E-4
4.394531; 1.68637E-4
5.859375; 2.12847E-4
7.324219; 2.75880E-4
8.789062; 3.31941E-4
10.253906; 3.50769E-4
11.718750; 3.36516E-4
13.183594; 3.65326E-4
14.648438; 3.77383E-4
16.113281; 3.80963E-4
17.578125; 3.66146E-4
19.042969; 3.58702E-4
20.507812; 4.21517E-4
21.972656; 3.79830E-4
23.437500; 3.60745E-4
24.902344; 3.45239E-4
26.367188; 3.50061E-4
27.832031; 3.46654E-4
29.296875; 3.54304E-4
30.761719; 3.05609E-4
32.226562; 3.57747E-4
33.691406; 4.05883E-4
35.156250; 3.99459E-4
36.621094; 3.82945E-4
38.085938; 3.69371E-4
39.550781; 3.95766E-4
41.015625; 3.88977E-4
42.480469; 3.49972E-4
43.945312; 4.08089E-4
45.410156; 4.07704E-4
46.875000; 3.92844E-4
48.339844; 4.27536E-4
49.804688; 4.14362E-4
51.269531; 3.86415E-4
52.734375; 4.13866E-4
54.199219; 3.92014E-4
55.664062; 4.00609E-4
57.128906; 4.42206E-4
58.593750; 4.12562E-4
60.058594; 3.34978E-4
61.523438; 3.22619E-4
62.988281; 3.51598E-4
64.453125; 3.62132E-4
65.917969; 3.32371E-4
67.382812; 3.78958E-4
68.847656; 3.75063E-4
70.312500; 3.59065E-4
71.777344; 3.72372E-4
73.242188; 3.84300E-4
74.707031; 3.67671E-4
76.171875; 3.68254E-4
77.636719; 4.09944E-4
79.101562; 3.94532E-4
80.566406; 4.09429E-4
82.031250; 3.83055E-4
83.496094; 3.59199E-4
84.960938; 3.75196E-4
86.425781; 3.39653E-4
87.890625; 3.69640E-4
89.355469; 3.92441E-4
90.820312; 4.17523E-4
92.285156; 3.89285E-4
93.750000; 3.76100E-4
95.214844; 3.46514E-4
96.679688; 4.43435E-4
98.144531; 3.37560E-3
99.609375; 9.72515E-3
101.074219; 6.76255E-3
102.539062; 7.15518E-4
104.003906; 4.37527E-4
105.468750; 3.61017E-4
106.933594; 3.51688E-4
108.398438; 3.70120E-4
109.863281; 3.71391E-4
111.328125; 4.03888E-4
112.792969; 3.84597E-4
114.257812; 3.89838E-4
115.722656; 3.73176E-4
117.187500; 3.91394E-4
118.652344; 3.79435E-4
120.117188; 3.52834E-4
121.582031; 3.55635E-4
123.046875; 3.71092E-4
124.511719; 3.71413E-4
125.976562; 3.62533E-4
127.441406; 3.64109E-4
128.906250; 3.73049E-4
130.371094; 3.87749E-4
131.835938; 3.85218E-4
133.300781; 3.92804E-4
134.765625; 3.51634E-4
136.230469; 3.47787E-4
137.695312; 3.46495E-4
139.160156; 4.00585E-4
140.625000; 4.29544E-4
142.089844; 4.00825E-4
143.554688; 4.01362E-4
145.019531; 3.96982E-4
146.484375; 3.95971E-4
147.949219; 4.15706E-4
149.414062; 4.25452E-4
150.878906; 4.10604E-4
152.343750; 4.09166E-4
153.808594; 3.86587E-4
155.273438; 3.78369E-4
156.738281; 3.92072E-4
158.203125; 3.70361E-4
159.667969; 3.98544E-4
161.132812; 3.96467E-4
162.597656; 3.86219E-4
164.062500; 3.69132E-4
165.527344; 3.52378E-4
166.992188; 3.63468E-4
168.457031; 3.68091E-4
169.921875; 3.42885E-4
171.386719; 3.75191E-4
172.851562; 3.58995E-4
174.316406; 4.21299E-4
175.781250; 3.94368E-4
177.246094; 3.89633E-4
178.710938; 3.76073E-4
180.175781; 4.06600E-4
181.640625; 3.91786E-4
183.105469; 3.43016E-4
184.570312; 3.23018E-4
186.035156; 3.99615E-4
187.500000; 4.28332E-4
188.964844; 3.93995E-4
190.429688; 3.76425E-4
191.894531; 3.85670E-4
193.359375; 3.56720E-4
194.824219; 3.48745E-4
196.289062; 3.81347E-4
197.753906; 4.64572E-4
199.218750; 9.02354E-4
200.683594; 8.71022E-4
202.148438; 4.44841E-4
203.613281; 3.83073E-4
205.078125; 3.86306E-4
206.542969; 3.87379E-4
208.007812; 4.16042E-4
209.472656; 4.34990E-4
210.937500; 4.40940E-4
212.402344; 4.16017E-4
213.867188; 3.78844E-4
215.332031; 3.93338E-4
216.796875; 3.76913E-4
218.261719; 4.22163E-4
219.726562; 3.92652E-4
221.191406; 4.08434E-4
222.656250; 4.48895E-4
224.121094; 4.23647E-4
225.585938; 4.13325E-4
227.050781; 4.11349E-4
228.515625; 4.05933E-4
229.980469; 3.62863E-4
231.445312; 3.40625E-4
232.910156; 3.64231E-4
234.375000; 3.65833E-4
235.839844; 3.92044E-4
237.304688; 3.67469E-4
238.769531; 3.87740E-4
240.234375; 3.32609E-4
241.699219; 3.63188E-4
243.164062; 4.13635E-4
244.628906; 3.68309E-4
246.093750; 3.75202E-4
247.558594; 3.99100E-4
249.023438; 3.84469E-4
250.488281; 3.63171E-4
251.953125; 3.62456E-4
253.417969; 3.88130E-4
254.882812; 3.76994E-4
256.347656; 3.74310E-4
257.812500; 3.84311E-4
259.277344; 3.73838E-4
260.742188; 3.63662E-4
262.207031; 3.83512E-4
263.671875; 4.34779E-4
265.136719; 3.65952E-4
266.601562; 3.51451E-4
268.066406; 3.72172E-4
269.531250; 4.10548E-4
270.996094; 3.42264E-4
272.460938; 3.07642E-4
273.925781; 4.05259E-4
275.390625; 4.64425E-4
276.855469; 4.00945E-4
278.320312; 3.44570E-4
279.785156; 3.48664E-4
281.250000; 4.26970E-4
282.714844; 4.12237E-4
284.179688; 3.86442E-4
285.644531; 4.05779E-4
287.109375; 3.28107E-4
288.574219; 3.23678E-4
290.039062; 3.91577E-4
291.503906; 4.14613E-4
292.968750; 3.66280E-4
294.433594; 3.45484E-4
295.898438; 3.96400E-4
297.363281; 4.32923E-4
298.828125; 1.36269E-3
300.292969; 1.73826E-3
301.757812; 6.93657E-4
303.222656; 3.92250E-4
304.687500; 3.70880E-4
306.152344; 3.44525E-4
307.617188; 3.80635E-4
309.082031; 4.14048E-4
310.546875; 3.96544E-4
312.011719; 3.52138E-4
313.476562; 3.66241E-4
314.941406; 3.77797E-4
316.406250; 3.86602E-4
317.871094; 3.89408E-4
319.335938; 4.19235E-4
320.800781; 4.21557E-4
322.265625; 4.06974E-4
323.730469; 3.97508E-4
325.195312; 3.79737E-4
326.660156; 3.94050E-4
328.125000; 4.41614E-4
329.589844; 4.20633E-4
331.054688; 3.99779E-4
332.519531; 3.86736E-4
333.984375; 3.74045E-4
335.449219; 3.86079E-4
336.914062; 3.71014E-4
338.378906; 3.67049E-4
339.843750; 3.62522E-4
341.308594; 4.00880E-4
342.773438; 3.82434E-4
344.238281; 4.48415E-4
345.703125; 4.54555E-4
347.167969; 4.02408E-4
348.632812; 4.10103E-4
350.097656; 4.29346E-4
351.562500; 3.43276E-4
353.027344; 3.34788E-4
354.492188; 3.92075E-4
355.957031; 3.95061E-4
357.421875; 3.60239E-4
358.886719; 3.62655E-4
360.351562; 4.01961E-4
361.816406; 3.95984E-4
363.281250; 4.09755E-4
364.746094; 4.08996E-4
366.210938; 4.13688E-4
367.675781; 3.76743E-4
369.140625; 3.92706E-4
370.605469; 4.35685E-4
372.070312; 4.35702E-4
373.535156; 4.24823E-4
375.000000; 3.82214E-4
376.464844; 3.88591E-4
377.929688; 4.09853E-4
379.394531; 3.95812E-4
380.859375; 3.56706E-4
382.324219; 3.36691E-4
383.789062; 3.75879E-4
385.253906; 3.93707E-4
386.718750; 3.73733E-4
388.183594; 3.95226E-4
389.648438; 3.76032E-4
391.113281; 3.61511E-4
392.578125; 3.96371E-4
394.042969; 4.02790E-4
395.507812; 3.94864E-4
396.972656; 4.05465E-4
398.437500; 4.40405E-4
399.902344; 5.48903E-4
401.367188; 4.24483E-4
402.832031; 3.60115E-4
404.296875; 3.78551E-4
405.761719; 4.02649E-4
407.226562; 3.99067E-4
408.691406; 3.89985E-4
410.156250; 3.80958E-4
411.621094; 3.24618E-4
413.085938; 3.41452E-4
414.550781; 3.91853E-4
416.015625; 4.13772E-4
417.480469; 4.08207E-4
418.945312; 3.98977E-4
420.410156; 3.97512E-4
421.875000; 3.97494E-4
423.339844; 3.75373E-4
424.804688; 3.92213E-4
426.269531; 3.82893E-4
427.734375; 4.02354E-4
429.199219; 4.44724E-4
430.664062; 3.99364E-4
432.128906; 4.36215E-4
433.593750; 4.15268E-4
435.058594; 4.31579E-4
436.523438; 4.26635E-4
437.988281; 3.73610E-4
439.453125; 3.49928E-4
440.917969; 3.72255E-4
442.382812; 3.95359E-4
443.847656; 4.12293E-4
445.312500; 3.79877E-4
446.777344; 3.71087E-4
448.242188; 3.37356E-4
449.707031; 3.98964E-4
451.171875; 3.75183E-4
452.636719; 3.87934E-4
454.101562; 4.21825E-4
455.566406; 3.89455E-4
457.031250; 3.28527E-4
458.496094; 3.55014E-4
459.960938; 3.96257E-4
461.425781; 4.53472E-4
462.890625; 4.31279E-4
464.355469; 4.02199E-4
465.820312; 4.03108E-4
467.285156; 3.85640E-4
468.750000; 3.64692E-4
470.214844; 2.99943E-4
471.679688; 3.81638E-4
473.144531; 4.15577E-4
474.609375; 4.19749E-4
476.074219; 3.81968E-4
477.539062; 3.84701E-4
479.003906; 4.17842E-4
480.468750; 4.07937E-4
481.933594; 3.96019E-4
483.398438; 3.61032E-4
484.863281; 3.55800E-4
486.328125; 3.56917E-4
487.792969; 3.52003E-4
489.257812; 3.43729E-4
490.722656; 3.98234E-4
492.187500; 4.40265E-4
493.652344; 4.40995E-4
495.117188; 4.45645E-4
496.582031; 4.53144E-4
498.046875; 5.81955E-4
499.511719; 1.10303E-3
500.976562; 7.62076E-4
502.441406; 3.85842E-4
503.906250; 3.88099E-4
505.371094; 3.63443E-4
506.835938; 3.74589E-4
508.300781; 3.75248E-4
509.765625; 3.61881E-4
511.230469; 3.36842E-4
512.695312; 3.62439E-4
514.160156; 3.86468E-4
515.625000; 3.63962E-4
517.089844; 3.39300E-4
518.554688; 3.40236E-4
520.019531; 3.70514E-4
521.484375; 3.65240E-4
522.949219; 4.06679E-4
524.414062; 3.45534E-4
525.878906; 3.45003E-4
527.343750; 3.50918E-4
528.808594; 3.27719E-4
530.273438; 3.72365E-4
531.738281; 3.93345E-4
533.203125; 3.50551E-4
534.667969; 3.74574E-4
536.132812; 3.60130E-4
537.597656; 3.28354E-4
539.062500; 3.85599E-4
540.527344; 4.25477E-4
541.992188; 3.59887E-4
543.457031; 4.05032E-4
544.921875; 4.05405E-4
546.386719; 3.87907E-4
547.851562; 3.74045E-4
549.316406; 4.17928E-4
550.781250; 4.21977E-4
552.246094; 3.87216E-4
553.710938; 3.91789E-4
555.175781; 3.92845E-4
556.640625; 3.47285E-4
558.105469; 3.35892E-4
559.570312; 3.50564E-4
561.035156; 3.32943E-4
562.500000; 3.78918E-4
563.964844; 3.78142E-4
565.429688; 3.83612E-4
566.894531; 3.83721E-4
568.359375; 3.74363E-4
569.824219; 3.43224E-4
571.289062; 3.56339E-4
572.753906; 3.77151E-4
574.218750; 3.64058E-4
575.683594; 3.74714E-4
577.148438; 3.68997E-4
578.613281; 3.23047E-4
580.078125; 3.35267E-4
581.542969; 3.92680E-4
583.007812; 3.47115E-4
584.472656; 3.58636E-4
585.937500; 4.03674E-4
587.402344; 3.70027E-4
588.867188; 3.25774E-4
590.332031; 3.73283E-4
591.796875; 4.57180E-4
593.261719; 4.63892E-4
594.726562; 4.18494E-4
596.191406; 3.86641E-4
597.656250; 4.20875E-4
599.121094; 5.45666E-4
600.585938; 5.00263E-4
602.050781; 3.77854E-4
603.515625; 4.13089E-4
604.980469; 4.23486E-4
606.445312; 3.65688E-4
607.910156; 3.21926E-4
609.375000; 3.90265E-4
610.839844; 4.13274E-4
612.304688; 3.64324E-4
613.769531; 3.91263E-4
615.234375; 3.85958E-4
616.699219; 3.88991E-4
618.164062; 4.38333E-4
619.628906; 3.96954E-4
621.093750; 4.14186E-4
622.558594; 3.78912E-4
