* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:21:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 4.219 V 4.219 VC, 4.219 VA 4.219 V 22 - 22k UNW 5.743 mV >22k Distortion at 1,000.0 Hz, -27.49 dBFS: Gain: -0.00 dB THD: 0.040 % based on 21 harmonics  [0..22800 Hz] HHD: 0.031 %  [10 .. 22] N: 0.91 %  [0..22800 Hz] N+D: 28.35 mV A THD+N: 0.91 %  [0..22800 Hz] SNR: 40.9 dB ENOB: 11.6 bits 2nd harmonic 0.0090 % -45 deg 3rd harmonic 0.0085 % 175 deg 4th harmonic 0.0088 % -158 deg 5th harmonic 0.0093 % -75 deg 6th harmonic 0.0087 % 153 deg 7th harmonic 0.0092 % 115 deg 8th harmonic 0.0089 % 31 deg 9th harmonic 0.0086 % -22 deg
* Measurement: OSDEHA A-OUT 4.22V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 5.52694E-5
2.929688; 1.20786E-4
4.394531; 1.88070E-4
5.859375; 2.29971E-4
7.324219; 2.77334E-4
8.789062; 2.74310E-4
10.253906; 3.21725E-4
11.718750; 3.33449E-4
13.183594; 3.20917E-4
14.648438; 3.55301E-4
16.113281; 3.70274E-4
17.578125; 3.54261E-4
19.042969; 3.84323E-4
20.507812; 3.84239E-4
21.972656; 3.84336E-4
23.437500; 4.02434E-4
24.902344; 3.88512E-4
26.367188; 3.91997E-4
27.832031; 4.27417E-4
29.296875; 4.09723E-4
30.761719; 4.01608E-4
32.226562; 3.82178E-4
33.691406; 4.15452E-4
35.156250; 3.86313E-4
36.621094; 3.72745E-4
38.085938; 3.93396E-4
39.550781; 3.88501E-4
41.015625; 3.54714E-4
42.480469; 3.54286E-4
43.945312; 3.91685E-4
45.410156; 4.24482E-4
46.875000; 4.21982E-4
48.339844; 3.71956E-4
49.804688; 4.03469E-4
51.269531; 3.78046E-4
52.734375; 3.40282E-4
54.199219; 3.44199E-4
55.664062; 4.00728E-4
57.128906; 4.06799E-4
58.593750; 3.92444E-4
60.058594; 4.03638E-4
61.523438; 3.24903E-4
62.988281; 3.26260E-4
64.453125; 4.07956E-4
65.917969; 4.56706E-4
67.382812; 4.51824E-4
68.847656; 4.08388E-4
70.312500; 3.78255E-4
71.777344; 3.20769E-4
73.242188; 3.38430E-4
74.707031; 3.50471E-4
76.171875; 3.58759E-4
77.636719; 3.54527E-4
79.101562; 3.52812E-4
80.566406; 3.35867E-4
82.031250; 3.68224E-4
83.496094; 3.39278E-4
84.960938; 3.78525E-4
86.425781; 4.43930E-4
87.890625; 4.26065E-4
89.355469; 3.81450E-4
90.820312; 3.25611E-4
92.285156; 3.65012E-4
93.750000; 4.14578E-4
95.214844; 3.65473E-4
96.679688; 4.68919E-4
98.144531; 3.25796E-3
99.609375; 9.50886E-3
101.074219; 6.64767E-3
102.539062; 6.90148E-4
104.003906; 4.25970E-4
105.468750; 3.91211E-4
106.933594; 3.57827E-4
108.398438; 3.68473E-4
109.863281; 3.87677E-4
111.328125; 3.87971E-4
112.792969; 3.51752E-4
114.257812; 3.44200E-4
115.722656; 3.97965E-4
117.187500; 4.27402E-4
118.652344; 3.57947E-4
120.117188; 3.61000E-4
121.582031; 3.70110E-4
123.046875; 3.50578E-4
124.511719; 3.56106E-4
125.976562; 3.81571E-4
127.441406; 3.74516E-4
128.906250; 3.89245E-4
130.371094; 3.75886E-4
131.835938; 3.64761E-4
133.300781; 3.44017E-4
134.765625; 3.35506E-4
136.230469; 4.09730E-4
137.695312; 4.14099E-4
139.160156; 3.60323E-4
140.625000; 3.22425E-4
142.089844; 3.56364E-4
143.554688; 3.68590E-4
145.019531; 3.39462E-4
146.484375; 3.93323E-4
147.949219; 4.15989E-4
149.414062; 3.69647E-4
150.878906; 3.97104E-4
152.343750; 4.00868E-4
153.808594; 3.76457E-4
155.273438; 3.69821E-4
156.738281; 3.61607E-4
158.203125; 4.15134E-4
159.667969; 4.02098E-4
161.132812; 3.61999E-4
162.597656; 3.42490E-4
164.062500; 3.80265E-4
165.527344; 3.89742E-4
166.992188; 4.03820E-4
168.457031; 4.09419E-4
169.921875; 4.18568E-4
171.386719; 3.86311E-4
172.851562; 3.57171E-4
174.316406; 3.67002E-4
175.781250; 4.09307E-4
177.246094; 4.19400E-4
178.710938; 4.10949E-4
180.175781; 4.33021E-4
181.640625; 4.11224E-4
183.105469; 3.67109E-4
184.570312; 4.04829E-4
186.035156; 4.32585E-4
187.500000; 4.12038E-4
188.964844; 3.58985E-4
190.429688; 3.88225E-4
191.894531; 4.67637E-4
193.359375; 4.56396E-4
194.824219; 4.03238E-4
196.289062; 4.17846E-4
197.753906; 4.03460E-4
199.218750; 8.22816E-4
200.683594; 8.07237E-4
202.148438; 4.62403E-4
203.613281; 4.48203E-4
205.078125; 4.26059E-4
206.542969; 3.94806E-4
208.007812; 4.17721E-4
209.472656; 4.21963E-4
210.937500; 3.81683E-4
212.402344; 3.68778E-4
213.867188; 3.30425E-4
215.332031; 3.36778E-4
216.796875; 3.71549E-4
218.261719; 3.83492E-4
219.726562; 3.58246E-4
221.191406; 3.63824E-4
222.656250; 3.25786E-4
224.121094; 3.63489E-4
225.585938; 3.68443E-4
227.050781; 3.68460E-4
228.515625; 3.54262E-4
229.980469; 3.84523E-4
231.445312; 3.66908E-4
232.910156; 3.91593E-4
234.375000; 3.76433E-4
235.839844; 3.81488E-4
237.304688; 4.00940E-4
238.769531; 3.78524E-4
240.234375; 3.58902E-4
241.699219; 3.73380E-4
243.164062; 3.98770E-4
244.628906; 4.19034E-4
246.093750; 3.85217E-4
247.558594; 3.70457E-4
249.023438; 4.14656E-4
250.488281; 4.38734E-4
251.953125; 4.28758E-4
253.417969; 4.40396E-4
254.882812; 4.04882E-4
256.347656; 3.69191E-4
257.812500; 3.87903E-4
259.277344; 3.86039E-4
260.742188; 3.69050E-4
262.207031; 3.83914E-4
263.671875; 3.90392E-4
265.136719; 3.83643E-4
266.601562; 3.78349E-4
268.066406; 3.57875E-4
269.531250; 3.96689E-4
270.996094; 4.04685E-4
272.460938; 3.71301E-4
273.925781; 4.19443E-4
275.390625; 4.22963E-4
276.855469; 4.34026E-4
278.320312; 4.16167E-4
279.785156; 3.88078E-4
281.250000; 3.25809E-4
282.714844; 3.23951E-4
284.179688; 3.86218E-4
285.644531; 4.03171E-4
287.109375; 3.76885E-4
288.574219; 4.20126E-4
290.039062; 4.21258E-4
291.503906; 4.22377E-4
292.968750; 4.04414E-4
294.433594; 3.85366E-4
295.898438; 4.15478E-4
297.363281; 4.02882E-4
298.828125; 1.30160E-3
300.292969; 1.80776E-3
301.757812; 1.60853E-3
303.222656; 1.25920E-3
304.687500; 7.85356E-4
306.152344; 6.30876E-4
307.617188; 5.36527E-4
309.082031; 4.48260E-4
310.546875; 4.37617E-4
312.011719; 4.18619E-4
313.476562; 3.82365E-4
314.941406; 3.95657E-4
316.406250; 4.26112E-4
317.871094; 4.38695E-4
319.335938; 4.24581E-4
320.800781; 3.90652E-4
322.265625; 3.74101E-4
323.730469; 3.77946E-4
325.195312; 3.53229E-4
326.660156; 3.72258E-4
328.125000; 3.82813E-4
329.589844; 3.54162E-4
331.054688; 3.86292E-4
332.519531; 4.21957E-4
333.984375; 4.05841E-4
335.449219; 3.73686E-4
336.914062; 3.73362E-4
338.378906; 3.91875E-4
339.843750; 3.75391E-4
341.308594; 4.07326E-4
342.773438; 4.04808E-4
344.238281; 3.92165E-4
345.703125; 4.35275E-4
347.167969; 4.28400E-4
348.632812; 4.09995E-4
350.097656; 4.21427E-4
351.562500; 3.73246E-4
353.027344; 3.94102E-4
354.492188; 3.88891E-4
355.957031; 4.10119E-4
357.421875; 3.91247E-4
358.886719; 3.91259E-4
360.351562; 3.95164E-4
361.816406; 4.21658E-4
363.281250; 3.92909E-4
364.746094; 3.84556E-4
366.210938; 3.92257E-4
367.675781; 3.66375E-4
369.140625; 3.79896E-4
370.605469; 3.84514E-4
372.070312; 3.68353E-4
373.535156; 3.63735E-4
375.000000; 3.67644E-4
376.464844; 4.04439E-4
377.929688; 3.87276E-4
379.394531; 3.71056E-4
380.859375; 3.60866E-4
382.324219; 3.82492E-4
383.789062; 3.53011E-4
385.253906; 3.20732E-4
386.718750; 3.33438E-4
388.183594; 3.45709E-4
389.648438; 3.58003E-4
391.113281; 3.93099E-4
392.578125; 3.63754E-4
394.042969; 3.48477E-4
395.507812; 3.85219E-4
396.972656; 3.96945E-4
398.437500; 4.47020E-4
399.902344; 5.61415E-4
401.367188; 4.18949E-4
402.832031; 4.02286E-4
404.296875; 4.03000E-4
405.761719; 3.90377E-4
407.226562; 3.65611E-4
408.691406; 3.78681E-4
410.156250; 4.02087E-4
411.621094; 3.97995E-4
413.085938; 3.82267E-4
414.550781; 3.88522E-4
416.015625; 3.83294E-4
417.480469; 3.95392E-4
418.945312; 4.02660E-4
420.410156; 3.98149E-4
421.875000; 3.93536E-4
423.339844; 3.81471E-4
424.804688; 3.73424E-4
426.269531; 3.85927E-4
427.734375; 3.54014E-4
429.199219; 3.55141E-4
430.664062; 3.52917E-4
432.128906; 3.59572E-4
433.593750; 3.78143E-4
435.058594; 4.20322E-4
436.523438; 3.85988E-4
437.988281; 3.42324E-4
439.453125; 3.92683E-4
440.917969; 4.12726E-4
442.382812; 4.10139E-4
443.847656; 3.77245E-4
445.312500; 3.75102E-4
446.777344; 4.14240E-4
448.242188; 3.86709E-4
449.707031; 3.78418E-4
451.171875; 3.65707E-4
452.636719; 3.90414E-4
454.101562; 4.10586E-4
455.566406; 3.82671E-4
457.031250; 3.92441E-4
458.496094; 4.56838E-4
