* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:25:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 42.18 V 42.18 VC, 42.18 VA 42.18 V 22 - 22k UNW 5.759 mV >22k Distortion at 1,000.0 Hz, -7.49 dBFS: Gain: -0.00 dB THD: 0.011 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0030 %  [10 .. 22] N: 0.091 %  [0..22800 Hz] N+D: 28.72 mV A THD+N: 0.091 %  [0..22800 Hz] SNR: 60.9 dB ENOB: 11.6 bits 2nd harmonic 0.010 % -46 deg 3rd harmonic 0.0015 % 133 deg 4th harmonic 0.0011 % 168 deg 5th harmonic 0.0010 % 17 deg 6th harmonic 0.00087 % -151 deg 7th harmonic 0.00091 % 79 deg 8th harmonic 0.00088 % -50 deg 9th harmonic 0.00088 % 25 deg
* Measurement: OSDEHA A-OUT 42.2V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 6.64616E-5
2.929688; 1.33537E-4
4.394531; 2.10175E-4
5.859375; 2.63210E-4
7.324219; 2.95222E-4
8.789062; 3.05747E-4
10.253906; 3.35829E-4
11.718750; 3.80939E-4
13.183594; 3.99360E-4
14.648438; 3.98971E-4
16.113281; 3.69283E-4
17.578125; 3.58670E-4
19.042969; 3.64716E-4
20.507812; 3.97858E-4
21.972656; 3.38470E-4
23.437500; 3.70262E-4
24.902344; 4.37269E-4
26.367188; 4.56250E-4
27.832031; 4.07639E-4
29.296875; 3.59057E-4
30.761719; 3.99490E-4
32.226562; 3.59741E-4
33.691406; 3.58020E-4
35.156250; 3.83721E-4
36.621094; 3.95767E-4
38.085938; 3.81653E-4
39.550781; 3.62878E-4
41.015625; 3.68785E-4
42.480469; 3.63836E-4
43.945312; 4.23609E-4
45.410156; 4.43695E-4
46.875000; 3.82983E-4
48.339844; 3.77896E-4
49.804688; 3.98411E-4
51.269531; 4.38131E-4
52.734375; 4.22256E-4
54.199219; 3.41513E-4
55.664062; 3.71992E-4
57.128906; 3.58480E-4
58.593750; 3.66511E-4
60.058594; 3.92712E-4
61.523438; 4.16045E-4
62.988281; 4.40040E-4
64.453125; 3.91891E-4
65.917969; 3.47024E-4
67.382812; 3.78149E-4
68.847656; 3.95662E-4
70.312500; 3.76060E-4
71.777344; 3.83038E-4
73.242188; 3.44096E-4
74.707031; 3.58444E-4
76.171875; 3.77565E-4
77.636719; 4.10395E-4
79.101562; 4.07828E-4
80.566406; 3.73498E-4
82.031250; 3.57236E-4
83.496094; 3.61533E-4
84.960938; 3.86101E-4
86.425781; 4.13112E-4
87.890625; 4.01610E-4
89.355469; 3.64711E-4
90.820312; 3.42567E-4
92.285156; 3.58119E-4
93.750000; 3.78979E-4
95.214844; 3.77148E-4
96.679688; 4.08214E-4
98.144531; 3.49898E-3
99.609375; 9.82453E-3
101.074219; 6.76927E-3
102.539062; 6.83396E-4
104.003906; 3.88608E-4
105.468750; 3.71103E-4
106.933594; 3.71578E-4
108.398438; 3.88859E-4
109.863281; 3.71048E-4
111.328125; 3.74046E-4
112.792969; 4.39185E-4
114.257812; 4.30794E-4
115.722656; 3.91436E-4
117.187500; 3.76543E-4
118.652344; 3.91839E-4
120.117188; 3.67126E-4
121.582031; 3.48489E-4
123.046875; 3.85016E-4
124.511719; 3.89971E-4
125.976562; 3.51164E-4
127.441406; 3.51054E-4
128.906250; 3.98500E-4
130.371094; 4.00225E-4
131.835938; 3.66903E-4
133.300781; 3.73943E-4
134.765625; 3.80966E-4
136.230469; 4.03525E-4
137.695312; 3.85163E-4
139.160156; 3.60597E-4
140.625000; 3.33852E-4
142.089844; 3.96651E-4
143.554688; 3.98126E-4
145.019531; 3.93399E-4
146.484375; 3.73142E-4
147.949219; 3.71385E-4
149.414062; 4.00640E-4
150.878906; 3.78981E-4
152.343750; 3.63864E-4
153.808594; 3.76393E-4
155.273438; 3.53286E-4
156.738281; 3.29019E-4
158.203125; 3.48832E-4
159.667969; 4.09432E-4
161.132812; 4.20170E-4
162.597656; 3.93830E-4
164.062500; 3.59174E-4
165.527344; 3.91177E-4
166.992188; 3.91540E-4
168.457031; 3.43571E-4
169.921875; 3.20586E-4
171.386719; 3.84169E-4
172.851562; 4.26929E-4
174.316406; 4.06670E-4
175.781250; 3.96146E-4
177.246094; 3.84963E-4
178.710938; 3.57702E-4
180.175781; 3.56291E-4
181.640625; 3.94922E-4
183.105469; 3.91490E-4
184.570312; 3.70602E-4
186.035156; 3.55791E-4
187.500000; 3.43468E-4
188.964844; 3.51424E-4
190.429688; 3.06566E-4
191.894531; 3.43121E-4
193.359375; 3.54076E-4
194.824219; 3.83424E-4
196.289062; 3.65138E-4
197.753906; 3.89627E-4
199.218750; 8.05645E-4
200.683594; 7.60435E-4
202.148438; 3.93123E-4
203.613281; 3.87682E-4
205.078125; 3.81590E-4
206.542969; 3.80935E-4
208.007812; 4.06096E-4
209.472656; 3.76653E-4
210.937500; 3.44859E-4
212.402344; 3.78348E-4
213.867188; 3.73796E-4
215.332031; 3.88880E-4
216.796875; 3.89650E-4
218.261719; 3.98260E-4
219.726562; 4.08874E-4
221.191406; 4.01801E-4
222.656250; 3.46819E-4
224.121094; 3.60720E-4
225.585938; 3.61403E-4
227.050781; 3.83579E-4
228.515625; 3.77902E-4
229.980469; 3.78199E-4
231.445312; 3.62533E-4
232.910156; 3.45609E-4
234.375000; 3.65592E-4
235.839844; 3.41558E-4
237.304688; 3.18597E-4
238.769531; 3.74400E-4
240.234375; 3.80165E-4
241.699219; 3.59290E-4
243.164062; 3.79115E-4
244.628906; 3.46468E-4
246.093750; 3.70010E-4
247.558594; 3.67818E-4
249.023438; 3.77276E-4
250.488281; 3.47444E-4
251.953125; 3.09545E-4
253.417969; 3.63761E-4
254.882812; 3.67007E-4
256.347656; 3.65577E-4
257.812500; 3.76815E-4
259.277344; 3.92112E-4
260.742188; 3.58262E-4
262.207031; 3.74082E-4
263.671875; 3.55427E-4
265.136719; 3.59504E-4
266.601562; 3.51281E-4
268.066406; 3.53583E-4
269.531250; 4.05212E-4
270.996094; 4.02953E-4
272.460938; 3.13499E-4
273.925781; 3.76934E-4
275.390625; 4.34965E-4
276.855469; 4.15273E-4
278.320312; 3.80675E-4
279.785156; 3.91630E-4
281.250000; 3.98002E-4
282.714844; 3.83182E-4
284.179688; 3.87706E-4
285.644531; 3.77744E-4
287.109375; 3.76110E-4
288.574219; 3.59278E-4
290.039062; 3.78000E-4
291.503906; 3.49913E-4
292.968750; 3.15577E-4
294.433594; 3.20654E-4
295.898438; 3.45729E-4
297.363281; 3.53168E-4
298.828125; 1.37650E-3
300.292969; 1.71920E-3
301.757812; 6.38972E-4
303.222656; 3.54806E-4
304.687500; 3.52084E-4
306.152344; 3.73365E-4
307.617188; 3.74006E-4
309.082031; 3.79330E-4
310.546875; 4.10114E-4
312.011719; 4.03302E-4
313.476562; 3.84848E-4
314.941406; 3.88432E-4
316.406250; 4.05659E-4
317.871094; 3.56129E-4
319.335938; 3.70525E-4
320.800781; 3.73372E-4
322.265625; 3.84597E-4
323.730469; 3.80598E-4
325.195312; 3.45181E-4
326.660156; 3.32493E-4
328.125000; 3.87782E-4
329.589844; 3.85655E-4
331.054688; 3.78113E-4
332.519531; 4.16551E-4
333.984375; 3.69203E-4
335.449219; 3.32348E-4
336.914062; 3.72398E-4
338.378906; 3.78955E-4
339.843750; 4.01154E-4
341.308594; 4.14987E-4
342.773438; 3.85412E-4
344.238281; 3.98880E-4
345.703125; 4.14368E-4
347.167969; 3.94579E-4
348.632812; 3.63431E-4
350.097656; 3.89853E-4
351.562500; 3.60523E-4
353.027344; 3.84700E-4
354.492188; 3.81685E-4
355.957031; 3.66879E-4
357.421875; 3.32696E-4
358.886719; 3.41512E-4
360.351562; 3.46427E-4
361.816406; 4.10400E-4
363.281250; 4.13517E-4
364.746094; 3.82269E-4
366.210938; 3.91289E-4
367.675781; 3.71424E-4
369.140625; 3.22571E-4
370.605469; 3.52511E-4
372.070312; 4.18207E-4
373.535156; 4.48071E-4
375.000000; 4.35833E-4
376.464844; 3.79200E-4
377.929688; 3.83923E-4
379.394531; 3.69678E-4
380.859375; 3.97602E-4
382.324219; 3.64415E-4
383.789062; 3.73098E-4
385.253906; 3.63954E-4
386.718750; 3.82118E-4
388.183594; 4.32504E-4
389.648438; 4.22457E-4
391.113281; 3.35766E-4
392.578125; 3.19216E-4
394.042969; 3.52995E-4
395.507812; 3.61379E-4
396.972656; 3.86791E-4
398.437500; 4.43233E-4
399.902344; 5.17724E-4
401.367188; 4.05133E-4
402.832031; 3.60987E-4
404.296875; 3.67877E-4
405.761719; 4.21364E-4
407.226562; 4.24404E-4
408.691406; 3.81630E-4
410.156250; 3.78943E-4
411.621094; 3.65412E-4
413.085938; 3.43044E-4
414.550781; 3.78061E-4
416.015625; 3.98887E-4
417.480469; 4.17050E-4
418.945312; 3.95075E-4
420.410156; 3.72849E-4
421.875000; 4.14313E-4
423.339844; 4.14499E-4
424.804688; 3.85634E-4
426.269531; 3.92588E-4
427.734375; 3.70768E-4
429.199219; 3.71832E-4
430.664062; 3.75009E-4
432.128906; 3.75001E-4
433.593750; 3.55384E-4
435.058594; 3.43222E-4
436.523438; 3.76684E-4
437.988281; 3.80379E-4
439.453125; 3.85673E-4
440.917969; 4.05561E-4
442.382812; 3.95077E-4
443.847656; 3.84706E-4
445.312500; 3.67976E-4
446.777344; 4.08232E-4
448.242188; 3.62955E-4
449.707031; 3.41382E-4
451.171875; 3.81218E-4
452.636719; 3.68727E-4
454.101562; 3.85230E-4
455.566406; 3.84515E-4
457.031250; 4.12697E-4
458.496094; 4.33092E-4
