* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:21:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 5.619 V 5.619 VC, 5.619 VA 5.619 V 22 - 22k UNW 5.792 mV >22k Distortion at 1,000.0 Hz, -25.00 dBFS: Gain: -0.00 dB THD: 0.030 % based on 21 harmonics  [0..22800 Hz] HHD: 0.023 %  [10 .. 22] N: 0.68 %  [0..22800 Hz] N+D: 28.29 mV A THD+N: 0.68 %  [0..22800 Hz] SNR: 43.4 dB ENOB: 11.6 bits 2nd harmonic 0.0073 % 32 deg 3rd harmonic 0.0070 % -122 deg 4th harmonic 0.0064 % 160 deg 5th harmonic 0.0068 % 4 deg 6th harmonic 0.0064 % -120 deg 7th harmonic 0.0072 % 60 deg 8th harmonic 0.0069 % 6 deg 9th harmonic 0.0066 % -95 deg
* Measurement: OSDEHA A-OUT 5.62V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 5.97291E-5
2.929688; 1.16720E-4
4.394531; 1.60743E-4
5.859375; 2.22502E-4
7.324219; 2.66561E-4
8.789062; 2.86930E-4
10.253906; 2.99438E-4
11.718750; 3.20668E-4
13.183594; 3.31350E-4
14.648438; 3.32244E-4
16.113281; 3.71678E-4
17.578125; 3.94075E-4
19.042969; 3.98073E-4
20.507812; 3.93446E-4
21.972656; 3.68632E-4
23.437500; 3.58880E-4
24.902344; 3.82009E-4
26.367188; 3.51312E-4
27.832031; 3.45246E-4
29.296875; 3.63536E-4
30.761719; 3.95371E-4
32.226562; 4.24312E-4
33.691406; 3.87710E-4
35.156250; 3.81691E-4
36.621094; 3.84490E-4
38.085938; 3.24748E-4
39.550781; 3.57821E-4
41.015625; 3.87610E-4
42.480469; 3.91515E-4
43.945312; 4.20396E-4
45.410156; 3.68967E-4
46.875000; 2.91793E-4
48.339844; 3.46930E-4
49.804688; 3.92260E-4
51.269531; 3.73079E-4
52.734375; 3.65432E-4
54.199219; 3.82604E-4
55.664062; 4.17562E-4
57.128906; 4.16195E-4
58.593750; 4.14550E-4
60.058594; 3.76372E-4
61.523438; 4.08526E-4
62.988281; 3.86842E-4
64.453125; 3.71437E-4
65.917969; 3.65529E-4
67.382812; 3.71514E-4
68.847656; 4.19606E-4
70.312500; 3.52676E-4
71.777344; 3.25734E-4
73.242188; 3.55682E-4
74.707031; 4.06520E-4
76.171875; 4.43230E-4
77.636719; 4.52351E-4
79.101562; 4.16032E-4
80.566406; 3.43660E-4
82.031250; 3.42672E-4
83.496094; 3.49048E-4
84.960938; 3.62720E-4
86.425781; 3.73707E-4
87.890625; 4.27893E-4
89.355469; 4.08092E-4
90.820312; 3.63495E-4
92.285156; 3.17676E-4
93.750000; 3.47244E-4
95.214844; 3.85749E-4
96.679688; 4.90718E-4
98.144531; 3.20319E-3
99.609375; 9.47505E-3
101.074219; 6.69449E-3
102.539062; 6.56246E-4
104.003906; 3.78106E-4
105.468750; 3.69432E-4
106.933594; 3.89937E-4
108.398438; 3.79084E-4
109.863281; 3.73020E-4
111.328125; 4.57782E-4
112.792969; 4.72240E-4
114.257812; 4.62956E-4
115.722656; 4.10633E-4
117.187500; 3.73454E-4
118.652344; 4.06630E-4
120.117188; 4.20902E-4
121.582031; 3.64734E-4
123.046875; 3.79147E-4
124.511719; 3.40907E-4
125.976562; 3.74071E-4
127.441406; 3.72468E-4
128.906250; 4.12182E-4
130.371094; 3.84527E-4
131.835938; 3.77281E-4
133.300781; 3.69975E-4
134.765625; 3.83394E-4
136.230469; 3.91379E-4
137.695312; 3.57372E-4
139.160156; 3.33821E-4
140.625000; 3.51777E-4
142.089844; 4.11233E-4
143.554688; 4.20170E-4
145.019531; 3.96179E-4
146.484375; 3.94287E-4
147.949219; 3.76177E-4
149.414062; 3.85955E-4
150.878906; 4.19384E-4
152.343750; 3.70804E-4
153.808594; 3.60500E-4
155.273438; 3.75411E-4
156.738281; 3.81073E-4
158.203125; 3.98482E-4
159.667969; 3.74591E-4
161.132812; 3.45193E-4
162.597656; 3.71646E-4
164.062500; 3.67504E-4
165.527344; 3.77892E-4
166.992188; 3.98537E-4
168.457031; 4.04603E-4
169.921875; 3.98286E-4
171.386719; 3.60752E-4
172.851562; 3.54441E-4
174.316406; 4.17876E-4
175.781250; 3.96920E-4
177.246094; 3.97724E-4
178.710938; 4.23896E-4
180.175781; 4.20800E-4
181.640625; 4.06388E-4
183.105469; 4.29862E-4
184.570312; 4.17165E-4
186.035156; 4.08005E-4
187.500000; 4.09007E-4
188.964844; 3.62065E-4
190.429688; 3.40781E-4
191.894531; 3.57795E-4
193.359375; 4.15788E-4
194.824219; 3.79797E-4
196.289062; 3.98139E-4
197.753906; 3.67000E-4
199.218750; 7.84106E-4
200.683594; 8.03633E-4
202.148438; 3.65380E-4
203.613281; 3.46367E-4
205.078125; 3.60246E-4
206.542969; 3.70088E-4
208.007812; 3.91493E-4
209.472656; 3.81851E-4
210.937500; 4.14885E-4
212.402344; 3.79370E-4
213.867188; 3.44165E-4
215.332031; 3.08618E-4
216.796875; 3.27323E-4
218.261719; 3.83272E-4
219.726562; 3.80561E-4
221.191406; 3.52252E-4
222.656250; 3.78266E-4
224.121094; 3.98209E-4
225.585938; 3.93728E-4
227.050781; 3.96775E-4
228.515625; 3.60302E-4
229.980469; 3.88787E-4
231.445312; 3.79096E-4
232.910156; 3.77831E-4
234.375000; 3.74797E-4
235.839844; 3.80511E-4
237.304688; 3.85977E-4
238.769531; 3.82596E-4
240.234375; 3.91989E-4
241.699219; 3.58929E-4
243.164062; 3.77245E-4
