* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:25:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 56.18 V 56.18 VC, 56.18 VA 56.18 V 22 - 22k UNW 5.748 mV >22k Distortion at 1,000.0 Hz, -5.00 dBFS: Gain: -0.00 dB THD: 0.018 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0022 %  [10 .. 22] N: 0.068 %  [0..22800 Hz] N+D: 30.50 mV A THD+N: 0.070 %  [0..22800 Hz] SNR: 63.3 dB ENOB: 11.5 bits 2nd harmonic 0.017 % -48 deg 3rd harmonic 0.0039 % 175 deg 4th harmonic 0.0013 % 111 deg 5th harmonic 0.00073 % 16 deg 6th harmonic 0.00067 % -179 deg 7th harmonic 0.00069 % 4 deg 8th harmonic 0.00069 % -85 deg 9th harmonic 0.00066 % -8 deg
* Measurement: OSDEHA A-OUT 56.2V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 5.89663E-5
2.929688; 1.21722E-4
4.394531; 1.96783E-4
5.859375; 2.18096E-4
7.324219; 2.66033E-4
8.789062; 3.01692E-4
10.253906; 2.99630E-4
11.718750; 3.24972E-4
13.183594; 3.58770E-4
14.648438; 3.32313E-4
16.113281; 3.74693E-4
17.578125; 3.50092E-4
19.042969; 3.59895E-4
20.507812; 4.01533E-4
21.972656; 3.46942E-4
23.437500; 3.61898E-4
24.902344; 3.71085E-4
26.367188; 3.67522E-4
27.832031; 3.59869E-4
29.296875; 3.54332E-4
30.761719; 4.17038E-4
32.226562; 4.26754E-4
33.691406; 4.33841E-4
35.156250; 4.38067E-4
36.621094; 4.12828E-4
38.085938; 4.42115E-4
39.550781; 3.58177E-4
41.015625; 4.20962E-4
42.480469; 4.17547E-4
43.945312; 3.70447E-4
45.410156; 2.87679E-4
46.875000; 3.71640E-4
48.339844; 3.83924E-4
49.804688; 3.85794E-4
51.269531; 3.87178E-4
52.734375; 4.35147E-4
54.199219; 3.93994E-4
55.664062; 3.88397E-4
57.128906; 3.89033E-4
58.593750; 4.09746E-4
60.058594; 4.07006E-4
61.523438; 3.64777E-4
62.988281; 3.94623E-4
64.453125; 3.69444E-4
65.917969; 3.72622E-4
67.382812; 3.50067E-4
68.847656; 3.34681E-4
70.312500; 3.76378E-4
71.777344; 4.09725E-4
73.242188; 3.60398E-4
74.707031; 3.30248E-4
76.171875; 3.49861E-4
77.636719; 3.33209E-4
79.101562; 3.55185E-4
80.566406; 3.54486E-4
82.031250; 3.90347E-4
83.496094; 4.29529E-4
84.960938; 4.04567E-4
86.425781; 3.56506E-4
87.890625; 4.25887E-4
89.355469; 3.69357E-4
90.820312; 3.53152E-4
92.285156; 3.56174E-4
93.750000; 3.55586E-4
95.214844; 3.78392E-4
96.679688; 4.53655E-4
98.144531; 3.64708E-3
99.609375; 9.95369E-3
101.074219; 6.64066E-3
102.539062; 6.50422E-4
104.003906; 4.67523E-4
105.468750; 4.09121E-4
106.933594; 3.60566E-4
108.398438; 3.52375E-4
109.863281; 3.78519E-4
111.328125; 3.90495E-4
112.792969; 3.68166E-4
114.257812; 4.15189E-4
115.722656; 4.59544E-4
117.187500; 3.71591E-4
118.652344; 3.83150E-4
120.117188; 3.96237E-4
121.582031; 3.61189E-4
123.046875; 3.21470E-4
124.511719; 3.73783E-4
125.976562; 3.76519E-4
127.441406; 3.88208E-4
128.906250; 3.45814E-4
130.371094; 3.70436E-4
131.835938; 3.60979E-4
133.300781; 3.69522E-4
134.765625; 3.97705E-4
136.230469; 4.05987E-4
137.695312; 3.75979E-4
139.160156; 3.98721E-4
140.625000; 3.76941E-4
142.089844; 3.34082E-4
143.554688; 3.17463E-4
145.019531; 3.64868E-4
146.484375; 3.78750E-4
147.949219; 4.12480E-4
149.414062; 4.10215E-4
150.878906; 3.79600E-4
152.343750; 3.62773E-4
153.808594; 3.78912E-4
155.273438; 3.75412E-4
156.738281; 3.53004E-4
158.203125; 3.43911E-4
159.667969; 3.55864E-4
161.132812; 3.96909E-4
162.597656; 3.75187E-4
164.062500; 3.80539E-4
165.527344; 4.21009E-4
166.992188; 3.85658E-4
168.457031; 3.65687E-4
169.921875; 3.81370E-4
171.386719; 4.08771E-4
172.851562; 3.55299E-4
174.316406; 3.76780E-4
175.781250; 3.93768E-4
177.246094; 4.01794E-4
178.710938; 3.87664E-4
180.175781; 3.53434E-4
181.640625; 3.64329E-4
183.105469; 3.48238E-4
184.570312; 3.45263E-4
186.035156; 3.94420E-4
187.500000; 4.07195E-4
188.964844; 3.53149E-4
190.429688; 4.27011E-4
191.894531; 4.21569E-4
193.359375; 3.56380E-4
194.824219; 3.15258E-4
196.289062; 3.32268E-4
197.753906; 3.71205E-4
199.218750; 7.87697E-4
200.683594; 7.17483E-4
202.148438; 3.81181E-4
203.613281; 3.54743E-4
205.078125; 4.33874E-4
206.542969; 4.34778E-4
208.007812; 4.06545E-4
209.472656; 3.80513E-4
210.937500; 3.43469E-4
212.402344; 3.68598E-4
213.867188; 3.76818E-4
215.332031; 4.12993E-4
216.796875; 4.16432E-4
218.261719; 3.90859E-4
219.726562; 3.92072E-4
221.191406; 3.95866E-4
222.656250; 3.78672E-4
224.121094; 3.53713E-4
225.585938; 4.12128E-4
227.050781; 4.05958E-4
228.515625; 4.05116E-4
229.980469; 3.82953E-4
231.445312; 3.93614E-4
232.910156; 3.74413E-4
234.375000; 3.67178E-4
235.839844; 4.32820E-4
237.304688; 4.31142E-4
238.769531; 4.04260E-4
240.234375; 3.65633E-4
241.699219; 3.66212E-4
243.164062; 3.54301E-4
