* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:22:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 7.502 V 7.502 VC, 7.502 VA 7.502 V 22 - 22k UNW 5.759 mV >22k Distortion at 1,000.0 Hz, -22.49 dBFS: Gain: -0.00 dB THD: 0.022 % based on 21 harmonics  [0..22800 Hz] HHD: 0.017 %  [10 .. 22] N: 0.51 %  [0..22800 Hz] N+D: 28.30 mV A THD+N: 0.51 %  [0..22800 Hz] SNR: 45.9 dB ENOB: 11.6 bits 2nd harmonic 0.0052 % -56 deg 3rd harmonic 0.0053 % 70 deg 4th harmonic 0.0051 % 35 deg 5th harmonic 0.0049 % -73 deg 6th harmonic 0.0048 % -82 deg 7th harmonic 0.0048 % -146 deg 8th harmonic 0.0046 % -1 deg 9th harmonic 0.0050 % -161 deg
* Measurement: OSDEHA A-OUT 7.50V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 6.60923E-5
2.929688; 1.30254E-4
4.394531; 1.92533E-4
5.859375; 2.74073E-4
7.324219; 3.08606E-4
8.789062; 3.10050E-4
10.253906; 3.27109E-4
11.718750; 3.29788E-4
13.183594; 3.81701E-4
14.648438; 3.91638E-4
16.113281; 3.24009E-4
17.578125; 3.27846E-4
19.042969; 3.88858E-4
20.507812; 4.41201E-4
21.972656; 3.60517E-4
23.437500; 3.92874E-4
24.902344; 3.93599E-4
26.367188; 3.95472E-4
27.832031; 4.05789E-4
29.296875; 3.95212E-4
30.761719; 3.40984E-4
32.226562; 3.38580E-4
33.691406; 3.90487E-4
35.156250; 3.82008E-4
36.621094; 3.49446E-4
38.085938; 3.15441E-4
39.550781; 3.31670E-4
41.015625; 3.74322E-4
42.480469; 3.85380E-4
43.945312; 3.52153E-4
45.410156; 3.66296E-4
46.875000; 4.10205E-4
48.339844; 4.17398E-4
49.804688; 4.08620E-4
51.269531; 3.94060E-4
52.734375; 4.01234E-4
54.199219; 4.01946E-4
55.664062; 3.89826E-4
57.128906; 3.61490E-4
58.593750; 3.76591E-4
60.058594; 3.68198E-4
61.523438; 4.35893E-4
62.988281; 4.38795E-4
64.453125; 4.18805E-4
65.917969; 3.60362E-4
67.382812; 3.37331E-4
68.847656; 3.49773E-4
70.312500; 3.94576E-4
71.777344; 4.02728E-4
73.242188; 3.25179E-4
74.707031; 3.28769E-4
76.171875; 3.36752E-4
77.636719; 3.64120E-4
79.101562; 3.95907E-4
80.566406; 4.00611E-4
82.031250; 4.15618E-4
83.496094; 3.85784E-4
84.960938; 3.72574E-4
86.425781; 3.49035E-4
87.890625; 3.71885E-4
89.355469; 4.04713E-4
90.820312; 4.36515E-4
92.285156; 4.42897E-4
93.750000; 4.05493E-4
95.214844; 3.48849E-4
96.679688; 4.11354E-4
98.144531; 3.42311E-3
99.609375; 9.65905E-3
101.074219; 6.58634E-3
102.539062; 6.35262E-4
104.003906; 4.56410E-4
105.468750; 4.21000E-4
106.933594; 3.65033E-4
108.398438; 3.56428E-4
109.863281; 3.47149E-4
111.328125; 4.18113E-4
112.792969; 4.26362E-4
114.257812; 4.10928E-4
115.722656; 4.15978E-4
117.187500; 4.28910E-4
118.652344; 3.59457E-4
120.117188; 3.93688E-4
121.582031; 3.86774E-4
123.046875; 3.57042E-4
124.511719; 3.53569E-4
125.976562; 3.46651E-4
127.441406; 3.18084E-4
128.906250; 3.34028E-4
130.371094; 3.72936E-4
131.835938; 3.51645E-4
133.300781; 3.40287E-4
134.765625; 4.02184E-4
136.230469; 3.86995E-4
137.695312; 3.27559E-4
139.160156; 3.37892E-4
140.625000; 3.92922E-4
142.089844; 4.15655E-4
143.554688; 4.00734E-4
145.019531; 3.72190E-4
146.484375; 3.31860E-4
147.949219; 3.20331E-4
149.414062; 3.89278E-4
150.878906; 4.06995E-4
152.343750; 3.79004E-4
153.808594; 3.68607E-4
155.273438; 3.82494E-4
156.738281; 4.05079E-4
158.203125; 3.92170E-4
159.667969; 3.63522E-4
161.132812; 3.74775E-4
162.597656; 4.00217E-4
164.062500; 4.04382E-4
165.527344; 3.73499E-4
166.992188; 3.61545E-4
168.457031; 3.35538E-4
169.921875; 3.21696E-4
171.386719; 3.72721E-4
172.851562; 3.49818E-4
174.316406; 3.80107E-4
175.781250; 4.06243E-4
177.246094; 4.05493E-4
178.710938; 4.31359E-4
180.175781; 3.78087E-4
181.640625; 3.81562E-4
183.105469; 4.04484E-4
184.570312; 4.39273E-4
186.035156; 4.19631E-4
187.500000; 3.69962E-4
188.964844; 3.66391E-4
190.429688; 4.22587E-4
191.894531; 3.97077E-4
193.359375; 3.57825E-4
194.824219; 3.75299E-4
196.289062; 3.70562E-4
197.753906; 4.45328E-4
199.218750; 9.58184E-4
200.683594; 8.97462E-4
202.148438; 3.83862E-4
203.613281; 3.57573E-4
205.078125; 3.93979E-4
206.542969; 4.27550E-4
208.007812; 3.74376E-4
209.472656; 3.17922E-4
210.937500; 3.54689E-4
212.402344; 3.77668E-4
213.867188; 3.71951E-4
215.332031; 3.68118E-4
216.796875; 3.64816E-4
218.261719; 3.55370E-4
219.726562; 3.64752E-4
221.191406; 3.75410E-4
222.656250; 3.76974E-4
224.121094; 3.98097E-4
225.585938; 3.88557E-4
227.050781; 3.52955E-4
228.515625; 3.43503E-4
229.980469; 3.84026E-4
231.445312; 3.53131E-4
232.910156; 3.64521E-4
234.375000; 3.78546E-4
235.839844; 3.55666E-4
237.304688; 3.71104E-4
238.769531; 3.98428E-4
240.234375; 3.93406E-4
241.699219; 4.12197E-4
243.164062; 4.36564E-4
244.628906; 4.05589E-4
246.093750; 4.26317E-4
247.558594; 4.47058E-4
249.023438; 4.03003E-4
250.488281; 3.61393E-4
251.953125; 3.77070E-4
253.417969; 4.07689E-4
254.882812; 3.89017E-4
256.347656; 3.54937E-4
257.812500; 3.53710E-4
259.277344; 4.05186E-4
260.742188; 4.13960E-4
262.207031; 4.27295E-4
263.671875; 3.87239E-4
265.136719; 3.43518E-4
266.601562; 3.81459E-4
268.066406; 3.69205E-4
269.531250; 3.88667E-4
270.996094; 4.15358E-4
272.460938; 3.57540E-4
273.925781; 3.11446E-4
275.390625; 3.70424E-4
276.855469; 3.77978E-4
278.320312; 4.13385E-4
279.785156; 4.01220E-4
281.250000; 3.81575E-4
282.714844; 3.59382E-4
284.179688; 3.72490E-4
285.644531; 4.09240E-4
287.109375; 3.70312E-4
288.574219; 3.65245E-4
290.039062; 3.68038E-4
291.503906; 4.06351E-4
292.968750; 3.92897E-4
294.433594; 3.77037E-4
295.898438; 3.53790E-4
297.363281; 3.97246E-4
298.828125; 1.41896E-3
300.292969; 1.69660E-3
301.757812; 5.89650E-4
303.222656; 3.48312E-4
304.687500; 3.69220E-4
306.152344; 4.10635E-4
307.617188; 4.28103E-4
309.082031; 4.03011E-4
310.546875; 3.98317E-4
312.011719; 3.72095E-4
313.476562; 3.54973E-4
314.941406; 4.13843E-4
316.406250; 4.09243E-4
317.871094; 3.81604E-4
319.335938; 4.08949E-4
320.800781; 4.06049E-4
322.265625; 3.63591E-4
323.730469; 3.96177E-4
325.195312; 3.52779E-4
326.660156; 3.12016E-4
328.125000; 3.78455E-4
329.589844; 3.80590E-4
331.054688; 3.54533E-4
332.519531; 3.51345E-4
333.984375; 3.11810E-4
335.449219; 2.99175E-4
336.914062; 3.25561E-4
338.378906; 3.85436E-4
339.843750; 3.77821E-4
341.308594; 3.62791E-4
342.773438; 3.50100E-4
344.238281; 3.81647E-4
345.703125; 3.90784E-4
347.167969; 3.93181E-4
348.632812; 3.96108E-4
350.097656; 3.63149E-4
351.562500; 4.01079E-4
353.027344; 3.73183E-4
354.492188; 3.48480E-4
355.957031; 4.15083E-4
357.421875; 4.15971E-4
358.886719; 3.78692E-4
360.351562; 3.64763E-4
361.816406; 3.77355E-4
363.281250; 3.69703E-4
364.746094; 3.70191E-4
366.210938; 3.19098E-4
367.675781; 3.41070E-4
369.140625; 3.79399E-4
370.605469; 3.95140E-4
372.070312; 3.84079E-4
373.535156; 3.44138E-4
375.000000; 3.53799E-4
376.464844; 3.50541E-4
377.929688; 3.87384E-4
379.394531; 3.79710E-4
380.859375; 3.65891E-4
382.324219; 3.83794E-4
383.789062; 3.76409E-4
385.253906; 3.55850E-4
386.718750; 3.51760E-4
388.183594; 3.71402E-4
389.648438; 4.01713E-4
391.113281; 3.84786E-4
392.578125; 4.03708E-4
394.042969; 3.75687E-4
395.507812; 3.65906E-4
396.972656; 3.35134E-4
398.437500; 4.12610E-4
399.902344; 5.34235E-4
401.367188; 4.14937E-4
402.832031; 4.22968E-4
404.296875; 4.03440E-4
405.761719; 3.96898E-4
407.226562; 4.00586E-4
408.691406; 3.86042E-4
410.156250; 4.05327E-4
411.621094; 4.08373E-4
413.085938; 3.71668E-4
414.550781; 3.69142E-4
416.015625; 3.62689E-4
417.480469; 3.42666E-4
418.945312; 3.90669E-4
420.410156; 3.81544E-4
421.875000; 3.55284E-4
423.339844; 3.99710E-4
424.804688; 4.21238E-4
426.269531; 3.88223E-4
427.734375; 3.89252E-4
429.199219; 3.41288E-4
430.664062; 3.29665E-4
432.128906; 3.55868E-4
433.593750; 3.28593E-4
435.058594; 3.27076E-4
436.523438; 3.61834E-4
437.988281; 3.97726E-4
439.453125; 3.69259E-4
440.917969; 4.10583E-4
442.382812; 3.94300E-4
443.847656; 4.14237E-4
445.312500; 4.57591E-4
446.777344; 4.21804E-4
448.242188; 3.82887E-4
449.707031; 4.31420E-4
451.171875; 3.98704E-4
452.636719; 3.67037E-4
454.101562; 3.86296E-4
455.566406; 3.46934E-4
457.031250; 3.79644E-4
458.496094; 3.68351E-4
459.960938; 3.72954E-4
461.425781; 3.37898E-4
462.890625; 3.93820E-4
464.355469; 4.07851E-4
465.820312; 3.71843E-4
467.285156; 3.75776E-4
468.750000; 4.06091E-4
470.214844; 4.02703E-4
471.679688; 3.94933E-4
473.144531; 3.66327E-4
474.609375; 3.62480E-4
476.074219; 4.10286E-4
477.539062; 4.11868E-4
479.003906; 4.07499E-4
480.468750; 3.92361E-4
481.933594; 4.13607E-4
