* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:27:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_ANODE-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 94.97 V 94.97 VC, 94.97 VA 94.97 V 22 - 22k UNW 5.799 mV >22k Distortion at 1,000.0 Hz, -0.44 dBFS: Gain: -0.00 dB THD: 0.039 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0014 %  [10 .. 22] N: 0.040 %  [0..22800 Hz] N+D: 51.35 mV A THD+N: 0.056 %  [0..22800 Hz] SNR: 67.9 dB ENOB: 11.1 bits 2nd harmonic 0.034 % -60 deg 3rd harmonic 0.019 % -163 deg 4th harmonic 0.0019 % 63 deg 5th harmonic 0.0021 % 27 deg 6th harmonic 0.00074 % 23 deg 7th harmonic 0.00046 % 62 deg 8th harmonic 0.00042 % 40 deg 9th harmonic 0.00043 % 34 deg
* Measurement: OSDEHA A-OUT 95.0V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 6.29893E-5
2.929688; 1.48008E-4
4.394531; 2.06906E-4
5.859375; 2.35749E-4
7.324219; 2.79730E-4
8.789062; 3.02591E-4
10.253906; 3.47087E-4
11.718750; 4.07182E-4
13.183594; 3.78920E-4
14.648438; 3.58030E-4
16.113281; 3.53392E-4
17.578125; 3.33341E-4
19.042969; 3.56569E-4
20.507812; 3.46714E-4
21.972656; 4.02878E-4
23.437500; 3.99246E-4
24.902344; 4.07202E-4
26.367188; 4.26564E-4
27.832031; 4.01954E-4
29.296875; 3.90590E-4
30.761719; 3.67736E-4
32.226562; 3.84290E-4
33.691406; 3.44644E-4
35.156250; 3.37350E-4
36.621094; 3.80059E-4
38.085938; 3.46669E-4
39.550781; 3.70458E-4
41.015625; 3.53978E-4
42.480469; 3.74836E-4
43.945312; 3.99432E-4
45.410156; 3.76804E-4
46.875000; 3.96696E-4
48.339844; 3.78116E-4
49.804688; 3.71406E-4
51.269531; 3.77556E-4
52.734375; 3.61836E-4
54.199219; 3.69255E-4
55.664062; 3.92622E-4
57.128906; 4.35854E-4
58.593750; 4.39996E-4
60.058594; 3.41009E-4
61.523438; 3.29286E-4
62.988281; 3.26705E-4
64.453125; 4.07865E-4
65.917969; 4.29695E-4
67.382812; 4.22033E-4
68.847656; 4.43774E-4
70.312500; 4.19358E-4
71.777344; 3.96427E-4
73.242188; 4.31993E-4
74.707031; 4.01431E-4
76.171875; 3.97272E-4
77.636719; 3.60608E-4
79.101562; 3.61223E-4
80.566406; 3.78718E-4
82.031250; 3.66384E-4
83.496094; 4.09357E-4
84.960938; 3.72572E-4
86.425781; 3.38348E-4
87.890625; 3.73577E-4
89.355469; 3.87246E-4
90.820312; 3.74588E-4
92.285156; 3.47881E-4
93.750000; 3.65876E-4
95.214844; 3.64572E-4
96.679688; 4.58474E-4
98.144531; 3.68587E-3
99.609375; 1.04533E-2
101.074219; 7.21101E-3
102.539062; 6.93682E-4
104.003906; 3.71329E-4
105.468750; 3.52242E-4
106.933594; 3.71746E-4
108.398438; 3.22598E-4
109.863281; 3.35538E-4
111.328125; 3.40840E-4
112.792969; 3.92599E-4
114.257812; 3.47842E-4
115.722656; 3.48910E-4
117.187500; 4.60919E-4
118.652344; 4.54204E-4
120.117188; 4.12962E-4
121.582031; 4.30676E-4
123.046875; 4.06851E-4
124.511719; 3.44784E-4
125.976562; 3.89389E-4
127.441406; 4.00776E-4
128.906250; 3.57152E-4
130.371094; 4.08975E-4
131.835938; 3.88414E-4
133.300781; 4.14776E-4
134.765625; 3.98459E-4
136.230469; 3.91615E-4
137.695312; 3.54657E-4
139.160156; 3.57479E-4
140.625000; 3.46702E-4
142.089844; 3.38460E-4
143.554688; 3.37175E-4
145.019531; 3.03702E-4
146.484375; 3.55510E-4
147.949219; 3.70774E-4
149.414062; 3.55940E-4
150.878906; 3.38823E-4
152.343750; 3.23681E-4
153.808594; 2.87698E-4
155.273438; 3.22853E-4
156.738281; 3.81172E-4
158.203125; 3.90834E-4
159.667969; 4.17577E-4
161.132812; 4.05755E-4
162.597656; 3.45443E-4
164.062500; 3.31418E-4
165.527344; 4.11597E-4
166.992188; 3.74718E-4
168.457031; 3.16943E-4
169.921875; 4.00437E-4
171.386719; 4.07415E-4
172.851562; 3.50837E-4
174.316406; 3.46557E-4
175.781250; 3.53594E-4
177.246094; 3.43437E-4
178.710938; 3.99940E-4
180.175781; 4.30666E-4
181.640625; 4.15108E-4
183.105469; 3.81846E-4
184.570312; 4.26339E-4
186.035156; 4.67347E-4
187.500000; 4.39351E-4
188.964844; 3.94205E-4
190.429688; 3.28437E-4
191.894531; 3.41152E-4
193.359375; 3.63267E-4
194.824219; 4.04871E-4
196.289062; 4.07732E-4
197.753906; 3.91880E-4
199.218750; 8.51509E-4
200.683594; 7.69047E-4
202.148438; 3.21778E-4
203.613281; 3.53988E-4
205.078125; 3.45028E-4
206.542969; 3.39845E-4
208.007812; 3.75849E-4
209.472656; 3.57986E-4
210.937500; 4.05788E-4
212.402344; 4.06473E-4
213.867188; 3.27576E-4
215.332031; 3.72795E-4
216.796875; 4.20451E-4
218.261719; 3.69503E-4
219.726562; 3.40407E-4
221.191406; 3.89769E-4
222.656250; 3.99335E-4
224.121094; 3.79377E-4
225.585938; 3.37776E-4
227.050781; 3.44612E-4
228.515625; 3.49318E-4
229.980469; 3.86629E-4
231.445312; 3.57450E-4
232.910156; 4.12571E-4
234.375000; 3.79716E-4
235.839844; 3.67125E-4
237.304688; 3.37336E-4
238.769531; 3.33321E-4
240.234375; 3.98425E-4
241.699219; 3.39322E-4
243.164062; 3.50799E-4
244.628906; 3.49862E-4
246.093750; 3.56292E-4
247.558594; 3.72274E-4
249.023438; 3.63099E-4
250.488281; 3.88854E-4
251.953125; 3.59768E-4
253.417969; 3.53290E-4
254.882812; 3.58736E-4
256.347656; 3.74907E-4
257.812500; 3.77607E-4
259.277344; 3.71138E-4
260.742188; 4.19130E-4
262.207031; 4.38375E-4
263.671875; 3.60658E-4
265.136719; 3.57888E-4
266.601562; 3.93676E-4
268.066406; 4.24670E-4
269.531250; 3.86559E-4
270.996094; 4.21567E-4
272.460938; 3.83197E-4
273.925781; 3.77060E-4
275.390625; 4.04000E-4
276.855469; 3.81181E-4
278.320312; 3.55567E-4
279.785156; 3.79275E-4
281.250000; 4.08568E-4
282.714844; 3.37079E-4
284.179688; 3.30273E-4
285.644531; 3.72588E-4
287.109375; 3.72820E-4
288.574219; 3.57384E-4
290.039062; 3.34474E-4
291.503906; 3.10544E-4
292.968750; 3.33363E-4
294.433594; 3.69174E-4
295.898438; 3.63459E-4
297.363281; 4.38196E-4
298.828125; 1.53919E-3
300.292969; 1.91755E-3
301.757812; 7.06826E-4
303.222656; 4.27228E-4
304.687500; 4.16685E-4
306.152344; 4.19605E-4
307.617188; 4.04009E-4
309.082031; 3.55990E-4
310.546875; 3.90025E-4
312.011719; 3.97611E-4
313.476562; 4.16480E-4
314.941406; 3.61493E-4
316.406250; 3.82104E-4
317.871094; 3.94268E-4
319.335938; 4.14576E-4
320.800781; 4.09791E-4
322.265625; 3.98367E-4
323.730469; 3.75784E-4
325.195312; 3.91427E-4
326.660156; 3.56986E-4
328.125000; 3.74872E-4
329.589844; 3.83119E-4
331.054688; 4.26284E-4
332.519531; 4.09594E-4
333.984375; 4.04574E-4
335.449219; 4.06798E-4
336.914062; 4.33895E-4
338.378906; 3.43630E-4
339.843750; 3.60677E-4
341.308594; 4.05255E-4
342.773438; 4.13156E-4
344.238281; 4.24514E-4
345.703125; 3.66414E-4
347.167969; 3.68171E-4
348.632812; 4.16658E-4
350.097656; 3.87819E-4
351.562500; 3.64269E-4
353.027344; 3.64401E-4
354.492188; 3.60821E-4
355.957031; 3.61311E-4
