* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:31:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 1.001 V 1.001 VC, 1.001 VA 1.001 V 22 - 22k UNW 6.478 mV >22k Distortion at 1,000.0 Hz, -39.99 dBFS: Gain: 0.01 dB THD: 0.18 % based on 21 harmonics  [0..22800 Hz] HHD: 0.14 %  [10 .. 22] N: 3.94 %  [0..22800 Hz] N+D: 29.56 mV A THD+N: 3.95 %  [0..22800 Hz] SNR: 28.1 dB ENOB: 11.5 bits 2nd harmonic 0.044 % 88 deg 3rd harmonic 0.040 % 166 deg 4th harmonic 0.043 % 4 deg 5th harmonic 0.038 % 109 deg 6th harmonic 0.036 % -135 deg 7th harmonic 0.042 % -151 deg 8th harmonic 0.042 % 22 deg 9th harmonic 0.043 % -89 deg 
* Measurement: OSDEHA MU-OUT 1.0V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 4.75713E-5
2.929688; 9.68071E-5
4.394531; 1.50257E-4
5.859375; 2.14591E-4
7.324219; 2.50347E-4
8.789062; 2.42884E-4
10.253906; 2.76992E-4
11.718750; 3.01940E-4
13.183594; 2.87862E-4
14.648438; 2.49482E-4
16.113281; 3.11749E-4
17.578125; 3.27158E-4
19.042969; 3.22138E-4
20.507812; 3.31344E-4
21.972656; 3.96526E-4
23.437500; 3.25590E-4
24.902344; 3.25319E-4
26.367188; 3.44463E-4
27.832031; 3.47305E-4
29.296875; 3.45034E-4
30.761719; 3.94353E-4
32.226562; 3.68561E-4
33.691406; 3.32826E-4
35.156250; 4.08713E-4
36.621094; 3.79951E-4
38.085938; 4.19540E-4
39.550781; 4.26564E-4
41.015625; 3.56581E-4
42.480469; 3.96559E-4
43.945312; 4.44117E-4
45.410156; 4.06670E-4
46.875000; 3.97330E-4
48.339844; 4.06799E-4
49.804688; 3.94736E-4
51.269531; 4.06584E-4
52.734375; 4.06869E-4
54.199219; 4.17481E-4
55.664062; 3.88605E-4
57.128906; 3.70588E-4
58.593750; 3.84919E-4
60.058594; 4.21391E-4
61.523438; 4.52600E-4
62.988281; 4.69308E-4
64.453125; 3.95530E-4
65.917969; 4.12418E-4
67.382812; 4.38272E-4
68.847656; 4.26339E-4
70.312500; 5.08800E-4
71.777344; 4.28524E-4
73.242188; 4.08453E-4
74.707031; 4.87339E-4
76.171875; 3.85905E-4
77.636719; 3.52112E-4
79.101562; 4.00194E-4
80.566406; 4.38175E-4
82.031250; 4.09794E-4
83.496094; 3.41432E-4
84.960938; 3.12763E-4
86.425781; 3.45460E-4
87.890625; 3.60532E-4
89.355469; 3.93794E-4
90.820312; 3.33354E-4
92.285156; 3.02762E-4
93.750000; 3.79880E-4
95.214844; 4.13165E-4
96.679688; 3.47473E-4
98.144531; 1.90876E-3
99.609375; 5.61375E-3
101.074219; 4.05016E-3
102.539062; 5.42031E-4
104.003906; 4.29065E-4
105.468750; 4.45079E-4
106.933594; 4.55045E-4
108.398438; 3.90195E-4
109.863281; 3.56079E-4
111.328125; 3.59035E-4
112.792969; 3.25824E-4
114.257812; 3.14526E-4
115.722656; 3.51218E-4
117.187500; 3.27866E-4
118.652344; 3.59061E-4
120.117188; 3.83719E-4
121.582031; 4.22211E-4
123.046875; 4.55171E-4
124.511719; 4.61491E-4
125.976562; 4.38063E-4
127.441406; 3.95944E-4
128.906250; 3.92485E-4
130.371094; 3.77766E-4
131.835938; 4.27471E-4
133.300781; 4.42340E-4
134.765625; 4.09562E-4
136.230469; 3.66923E-4
137.695312; 3.74247E-4
139.160156; 2.99274E-4
140.625000; 3.93613E-4
142.089844; 4.07222E-4
143.554688; 3.50210E-4
145.019531; 4.10322E-4
146.484375; 3.97266E-4
147.949219; 4.11405E-4
149.414062; 3.98382E-4
150.878906; 4.68551E-4
152.343750; 4.77962E-4
153.808594; 4.75464E-4
155.273438; 4.21145E-4
156.738281; 4.25597E-4
158.203125; 3.68078E-4
159.667969; 3.39279E-4
161.132812; 3.81580E-4
162.597656; 4.07079E-4
164.062500; 4.25342E-4
165.527344; 4.10209E-4
166.992188; 3.61643E-4
168.457031; 3.41627E-4
169.921875; 4.09912E-4
171.386719; 3.52525E-4
172.851562; 3.73570E-4
174.316406; 3.99864E-4
175.781250; 3.31528E-4
177.246094; 3.68825E-4
178.710938; 4.17834E-4
180.175781; 4.25771E-4
181.640625; 4.14434E-4
183.105469; 3.79587E-4
184.570312; 3.75199E-4
186.035156; 4.06803E-4
187.500000; 3.49638E-4
188.964844; 3.73042E-4
190.429688; 4.14532E-4
191.894531; 3.92390E-4
193.359375; 4.02009E-4
194.824219; 4.31588E-4
196.289062; 4.59647E-4
197.753906; 4.33722E-4
199.218750; 6.73499E-4
200.683594; 7.10969E-4
202.148438; 4.88779E-4
203.613281; 3.56547E-4
205.078125; 3.37279E-4
206.542969; 3.89734E-4
208.007812; 3.99152E-4
209.472656; 3.93988E-4
210.937500; 3.37650E-4
212.402344; 3.65080E-4
213.867188; 3.97661E-4
215.332031; 4.21442E-4
216.796875; 4.48170E-4
218.261719; 3.75003E-4
219.726562; 4.11086E-4
221.191406; 3.64248E-4
222.656250; 4.20312E-4
224.121094; 3.96600E-4
225.585938; 3.63905E-4
227.050781; 3.48443E-4
228.515625; 3.77165E-4
229.980469; 3.86007E-4
231.445312; 3.15687E-4
232.910156; 3.35527E-4
234.375000; 3.52754E-4
235.839844; 4.12145E-4
237.304688; 4.27173E-4
238.769531; 4.42216E-4
240.234375; 3.43060E-4
241.699219; 3.62485E-4
243.164062; 4.25277E-4
244.628906; 4.04290E-4
246.093750; 3.60568E-4
247.558594; 4.25313E-4
249.023438; 3.98123E-4
250.488281; 3.49535E-4
251.953125; 3.70449E-4
253.417969; 4.23870E-4
254.882812; 3.82379E-4
256.347656; 3.80601E-4
257.812500; 3.71437E-4
259.277344; 3.42880E-4
260.742188; 3.47626E-4
262.207031; 4.07217E-4
263.671875; 4.04484E-4
265.136719; 4.11707E-4
266.601562; 4.01471E-4
268.066406; 3.68888E-4
269.531250; 3.50661E-4
270.996094; 4.16179E-4
272.460938; 4.31227E-4
273.925781; 3.96718E-4
275.390625; 3.48678E-4
276.855469; 4.47037E-4
278.320312; 4.37955E-4
279.785156; 4.10557E-4
281.250000; 4.38104E-4
282.714844; 3.52767E-4
284.179688; 3.56864E-4
285.644531; 4.03068E-4
287.109375; 3.71346E-4
288.574219; 3.92089E-4
290.039062; 4.03231E-4
291.503906; 3.13344E-4
292.968750; 3.95148E-4
294.433594; 4.35245E-4
295.898438; 3.84705E-4
297.363281; 3.64137E-4
298.828125; 4.04573E-4
300.292969; 3.55455E-4
301.757812; 3.34121E-4
303.222656; 4.20185E-4
304.687500; 4.11242E-4
306.152344; 4.43473E-4
307.617188; 4.34446E-4
309.082031; 3.36075E-4
310.546875; 3.42555E-4
312.011719; 4.40715E-4
313.476562; 4.14872E-4
314.941406; 3.51855E-4
316.406250; 3.90056E-4
317.871094; 3.92822E-4
319.335938; 4.05890E-4
320.800781; 3.95958E-4
322.265625; 3.48960E-4
323.730469; 3.57482E-4
325.195312; 4.19892E-4
326.660156; 4.62754E-4
328.125000; 4.53999E-4
329.589844; 4.43250E-4
331.054688; 4.48559E-4
332.519531; 3.48508E-4
333.984375; 3.19570E-4
335.449219; 3.73125E-4
336.914062; 3.86899E-4
338.378906; 4.30634E-4
339.843750; 3.66823E-4
341.308594; 3.76337E-4
342.773438; 4.27519E-4
344.238281; 3.91866E-4
345.703125; 4.38599E-4
347.167969; 4.63759E-4
348.632812; 4.11972E-4
350.097656; 3.82215E-4
351.562500; 3.85560E-4
353.027344; 4.25423E-4
354.492188; 4.40198E-4
355.957031; 4.27102E-4
357.421875; 3.73092E-4
358.886719; 3.65734E-4
360.351562; 3.36527E-4
361.816406; 3.54160E-4
363.281250; 3.82125E-4
364.746094; 3.94828E-4
366.210938; 3.96482E-4
367.675781; 3.60278E-4
369.140625; 3.50266E-4
370.605469; 3.82657E-4
372.070312; 4.01685E-4
373.535156; 3.38372E-4
375.000000; 3.06589E-4
376.464844; 3.44811E-4
377.929688; 3.40664E-4
379.394531; 3.88805E-4
380.859375; 3.97968E-4
382.324219; 3.76754E-4
383.789062; 3.99424E-4
385.253906; 4.65002E-4
386.718750; 4.39860E-4
388.183594; 4.58821E-4
389.648438; 4.47671E-4
391.113281; 4.54432E-4
392.578125; 4.36296E-4
394.042969; 3.78498E-4
395.507812; 3.30574E-4
396.972656; 2.92243E-4
398.437500; 3.78281E-4
399.902344; 3.98317E-4
401.367188; 3.91035E-4
402.832031; 4.03746E-4
404.296875; 3.58015E-4
405.761719; 4.18549E-4
407.226562; 4.19025E-4
408.691406; 5.34571E-4
410.156250; 4.44153E-4
411.621094; 3.23937E-4
413.085938; 3.02101E-4
414.550781; 3.85934E-4
416.015625; 4.38920E-4
417.480469; 4.12338E-4
418.945312; 4.10152E-4
420.410156; 4.45833E-4
421.875000; 4.06323E-4
423.339844; 4.30290E-4
424.804688; 4.35856E-4
426.269531; 4.28650E-4
427.734375; 3.85543E-4
429.199219; 3.36689E-4
430.664062; 3.51069E-4
432.128906; 4.58532E-4
433.593750; 4.31582E-4
435.058594; 3.95370E-4
436.523438; 4.19998E-4
437.988281; 3.35381E-4
439.453125; 3.65426E-4
440.917969; 4.16358E-4
442.382812; 4.49832E-4
443.847656; 4.76906E-4
445.312500; 4.46307E-4
446.777344; 4.18188E-4
448.242188; 3.97683E-4
449.707031; 4.05685E-4
451.171875; 3.91398E-4
452.636719; 3.49311E-4
454.101562; 3.76625E-4
455.566406; 3.77775E-4
457.031250; 3.76557E-4
458.496094; 4.23308E-4
459.960938; 4.56176E-4
461.425781; 3.90526E-4
462.890625; 3.65267E-4
464.355469; 3.41632E-4
465.820312; 3.65626E-4
467.285156; 4.03337E-4
468.750000; 3.40398E-4
470.214844; 3.72395E-4
471.679688; 3.86689E-4
473.144531; 4.20276E-4
474.609375; 4.01644E-4
476.074219; 3.54871E-4
477.539062; 3.87102E-4
479.003906; 3.56432E-4
480.468750; 3.70470E-4
481.933594; 4.08511E-4
483.398438; 4.34801E-4
484.863281; 3.85377E-4
486.328125; 4.04134E-4
487.792969; 4.29026E-4
489.257812; 3.92141E-4
490.722656; 3.75426E-4
492.187500; 3.82060E-4
493.652344; 4.04307E-4
495.117188; 4.02022E-4
496.582031; 3.57131E-4
498.046875; 3.31791E-4
499.511719; 3.78685E-4
500.976562; 4.25318E-4
502.441406; 4.53769E-4
503.906250; 3.68733E-4
505.371094; 3.42979E-4
506.835938; 3.88533E-4
508.300781; 3.55839E-4
509.765625; 3.91122E-4
511.230469; 3.69857E-4
512.695312; 4.11286E-4
514.160156; 3.72002E-4
515.625000; 4.10960E-4
517.089844; 4.29683E-4
518.554688; 3.81058E-4
520.019531; 3.82492E-4
521.484375; 4.36592E-4
522.949219; 4.03888E-4
524.414062; 3.98207E-4
525.878906; 4.43745E-4
527.343750; 4.14614E-4
528.808594; 4.20685E-4
530.273438; 4.17604E-4
531.738281; 4.08257E-4
533.203125; 4.32353E-4
534.667969; 3.76872E-4
536.132812; 4.14990E-4
537.597656; 3.98214E-4
539.062500; 4.12027E-4
540.527344; 4.18696E-4
541.992188; 3.84507E-4
543.457031; 3.52864E-4
544.921875; 3.44662E-4
546.386719; 3.88943E-4
547.851562; 4.28017E-4
549.316406; 4.10877E-4
550.781250; 3.41871E-4
552.246094; 3.96786E-4
553.710938; 4.31884E-4
555.175781; 3.81945E-4
556.640625; 4.09883E-4
558.105469; 4.00206E-4
559.570312; 2.75219E-4
561.035156; 3.53958E-4
562.500000; 4.91599E-4
563.964844; 4.60302E-4
565.429688; 4.08545E-4
566.894531; 3.76498E-4
568.359375; 3.88319E-4
569.824219; 3.99853E-4
571.289062; 4.04853E-4
572.753906; 3.92267E-4
574.218750; 4.02196E-4
575.683594; 4.02191E-4
577.148438; 4.10457E-4
578.613281; 3.85523E-4
580.078125; 3.87097E-4
581.542969; 4.31527E-4
583.007812; 4.53399E-4
584.472656; 4.11420E-4
585.937500; 3.92018E-4
587.402344; 3.64413E-4
588.867188; 3.78986E-4
590.332031; 3.49904E-4
591.796875; 3.18695E-4
593.261719; 3.70807E-4
594.726562; 3.97278E-4
596.191406; 3.60601E-4
597.656250; 3.66338E-4
599.121094; 3.44626E-4
600.585938; 3.29622E-4
602.050781; 3.39616E-4
603.515625; 4.24451E-4
604.980469; 3.91038E-4
606.445312; 3.92163E-4
607.910156; 3.46478E-4
609.375000; 3.10137E-4
610.839844; 3.19102E-4
612.304688; 3.16694E-4
613.769531; 3.23490E-4
615.234375; 3.74803E-4
616.699219; 3.88114E-4
618.164062; 3.91187E-4
619.628906; 3.41126E-4
621.093750; 4.14332E-4
622.558594; 4.12024E-4
624.023438; 3.89286E-4
625.488281; 3.70712E-4
626.953125; 4.00099E-4
628.417969; 3.86578E-4
629.882812; 3.86562E-4
631.347656; 3.79459E-4
632.812500; 3.64598E-4
634.277344; 3.61411E-4
635.742188; 3.75477E-4
637.207031; 3.91234E-4
638.671875; 3.38661E-4
640.136719; 3.66436E-4
641.601562; 4.23220E-4
643.066406; 3.57423E-4
644.531250; 3.38487E-4
645.996094; 3.78857E-4
647.460938; 3.69255E-4
648.925781; 3.34195E-4
650.390625; 3.93567E-4
651.855469; 3.73373E-4
653.320312; 3.29950E-4
654.785156; 3.54064E-4
656.250000; 3.85153E-4
657.714844; 3.43100E-4
659.179688; 4.12226E-4
660.644531; 4.12556E-4
662.109375; 3.48472E-4
