* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:31:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 1.331 V 1.331 VC, 1.331 VA 1.331 V 22 - 22k UNW 6.473 mV >22k Distortion at 1,000.0 Hz, -37.51 dBFS: Gain: 0.01 dB THD: 0.14 % based on 21 harmonics  [0..22800 Hz] HHD: 0.11 %  [10 .. 22] N: 2.98 %  [0..22800 Hz] N+D: 29.63 mV A THD+N: 2.98 %  [0..22800 Hz] SNR: 30.5 dB ENOB: 11.5 bits 2nd harmonic 0.029 % -92 deg 3rd harmonic 0.031 % 96 deg 4th harmonic 0.029 % 80 deg 5th harmonic 0.030 % 116 deg 6th harmonic 0.029 % 58 deg 7th harmonic 0.029 % -169 deg 8th harmonic 0.033 % 162 deg 9th harmonic 0.028 % -97 deg 
* Measurement: OSDEHA MU-OUT 1.33V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 5.20553E-5
2.929688; 1.10137E-4
4.394531; 1.40520E-4
5.859375; 1.98901E-4
7.324219; 2.45116E-4
8.789062; 2.93277E-4
10.253906; 2.77150E-4
11.718750; 2.98618E-4
13.183594; 2.60537E-4
14.648438; 3.84130E-4
16.113281; 4.18048E-4
17.578125; 4.03554E-4
19.042969; 3.82524E-4
20.507812; 3.27825E-4
21.972656; 3.63068E-4
23.437500; 3.97665E-4
24.902344; 4.01364E-4
26.367188; 3.72302E-4
27.832031; 3.75251E-4
29.296875; 3.56095E-4
30.761719; 3.59977E-4
32.226562; 3.70930E-4
33.691406; 3.47976E-4
35.156250; 3.71090E-4
36.621094; 4.25154E-4
38.085938; 3.68845E-4
39.550781; 3.23908E-4
41.015625; 3.50203E-4
42.480469; 3.59156E-4
43.945312; 4.26416E-4
45.410156; 4.69957E-4
46.875000; 4.78017E-4
48.339844; 4.35497E-4
49.804688; 3.96116E-4
51.269531; 4.41007E-4
52.734375; 3.85663E-4
54.199219; 3.87815E-4
55.664062; 4.54283E-4
57.128906; 4.36378E-4
58.593750; 3.89179E-4
60.058594; 3.48648E-4
61.523438; 3.09546E-4
62.988281; 3.39755E-4
64.453125; 3.21231E-4
65.917969; 3.40169E-4
67.382812; 4.35653E-4
68.847656; 4.23575E-4
70.312500; 3.47227E-4
71.777344; 3.31558E-4
73.242188; 3.98249E-4
74.707031; 3.66418E-4
76.171875; 3.36202E-4
77.636719; 3.41070E-4
79.101562; 3.82261E-4
80.566406; 4.10028E-4
82.031250; 3.92689E-4
83.496094; 3.51732E-4
84.960938; 3.65059E-4
86.425781; 3.79947E-4
87.890625; 3.73895E-4
89.355469; 4.05329E-4
90.820312; 3.62754E-4
92.285156; 3.86985E-4
93.750000; 4.13101E-4
95.214844; 4.21021E-4
96.679688; 4.47124E-4
98.144531; 1.79484E-3
99.609375; 5.48808E-3
101.074219; 4.01771E-3
102.539062; 4.27434E-4
104.003906; 3.76500E-4
105.468750; 4.35019E-4
106.933594; 4.10461E-4
108.398438; 3.58830E-4
109.863281; 3.81411E-4
111.328125; 3.49382E-4
112.792969; 3.23361E-4
114.257812; 3.37151E-4
115.722656; 3.91660E-4
117.187500; 4.15506E-4
118.652344; 3.77142E-4
120.117188; 4.13875E-4
121.582031; 3.78719E-4
123.046875; 3.95577E-4
124.511719; 4.45955E-4
125.976562; 4.28685E-4
127.441406; 4.02012E-4
128.906250; 4.22543E-4
130.371094; 4.09973E-4
131.835938; 3.63315E-4
133.300781; 3.62352E-4
134.765625; 4.17637E-4
136.230469; 4.02213E-4
137.695312; 3.90235E-4
139.160156; 4.18911E-4
140.625000; 4.37708E-4
142.089844; 4.96646E-4
143.554688; 4.42412E-4
145.019531; 4.32458E-4
146.484375; 3.99303E-4
147.949219; 3.76566E-4
149.414062; 3.81533E-4
150.878906; 3.73708E-4
152.343750; 3.98348E-4
153.808594; 3.98089E-4
155.273438; 3.55937E-4
156.738281; 3.90072E-4
158.203125; 3.80039E-4
159.667969; 3.87059E-4
161.132812; 4.27155E-4
162.597656; 4.23798E-4
164.062500; 4.06779E-4
165.527344; 4.01780E-4
166.992188; 4.26139E-4
168.457031; 4.07324E-4
169.921875; 4.37252E-4
171.386719; 4.62279E-4
172.851562; 3.92559E-4
174.316406; 3.22528E-4
175.781250; 3.43158E-4
177.246094; 3.71766E-4
178.710938; 4.00621E-4
180.175781; 4.36809E-4
