* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:31:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 1.781 V 1.781 VC, 1.781 VA 1.781 V 22 - 22k UNW 6.449 mV >22k Distortion at 1,000.0 Hz, -34.98 dBFS: Gain: 0.01 dB THD: 0.099 % based on 21 harmonics  [0..22800 Hz] HHD: 0.076 %  [10 .. 22] N: 2.22 %  [0..22800 Hz] N+D: 29.60 mV A THD+N: 2.23 %  [0..22800 Hz] SNR: 33.1 dB ENOB: 11.5 bits 2nd harmonic 0.022 % 126 deg 3rd harmonic 0.022 % 179 deg 4th harmonic 0.022 % 75 deg 5th harmonic 0.024 % -111 deg 6th harmonic 0.022 % -173 deg 7th harmonic 0.023 % -170 deg 8th harmonic 0.022 % 11 deg 9th harmonic 0.023 % -141 deg 
* Measurement: OSDEHA MU-OUT 1.78V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 3.61278E-5
2.929688; 8.69777E-5
4.394531; 1.30097E-4
5.859375; 1.79148E-4
7.324219; 2.60414E-4
8.789062; 3.12199E-4
10.253906; 2.72458E-4
11.718750; 3.19529E-4
13.183594; 3.51154E-4
14.648438; 3.72068E-4
16.113281; 3.55876E-4
17.578125; 3.05034E-4
19.042969; 3.12212E-4
20.507812; 3.42966E-4
21.972656; 3.47852E-4
23.437500; 3.89353E-4
24.902344; 3.89386E-4
26.367188; 4.36632E-4
27.832031; 4.03884E-4
29.296875; 3.63496E-4
30.761719; 3.63482E-4
32.226562; 3.83788E-4
33.691406; 4.40109E-4
35.156250; 3.98537E-4
36.621094; 3.36770E-4
38.085938; 3.62807E-4
39.550781; 4.62289E-4
41.015625; 4.45632E-4
42.480469; 3.69705E-4
43.945312; 4.08590E-4
45.410156; 3.61879E-4
46.875000; 3.75900E-4
48.339844; 3.96612E-4
49.804688; 4.30248E-4
51.269531; 3.87609E-4
52.734375; 4.12592E-4
54.199219; 3.80116E-4
55.664062; 3.67336E-4
57.128906; 4.03937E-4
58.593750; 3.67768E-4
60.058594; 3.75081E-4
61.523438; 3.51035E-4
62.988281; 3.61651E-4
64.453125; 3.36897E-4
65.917969; 3.59478E-4
67.382812; 4.13951E-4
68.847656; 3.59350E-4
70.312500; 3.42465E-4
71.777344; 3.32922E-4
73.242188; 3.15784E-4
74.707031; 3.43971E-4
76.171875; 2.96551E-4
77.636719; 3.31177E-4
79.101562; 3.68441E-4
80.566406; 3.72685E-4
82.031250; 3.43918E-4
83.496094; 4.44517E-4
84.960938; 4.32738E-4
86.425781; 3.63533E-4
87.890625; 3.39505E-4
89.355469; 4.10101E-4
90.820312; 4.01372E-4
92.285156; 4.45689E-4
93.750000; 4.79504E-4
95.214844; 3.92231E-4
96.679688; 3.87448E-4
