* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:34:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 10.00 V 10.00 VC, 10.00 VA 10.00 V 22 - 22k UNW 6.439 mV >22k Distortion at 1,000.0 Hz, -19.99 dBFS: Gain: 0.01 dB THD: 0.018 % based on 21 harmonics  [0..22800 Hz] HHD: 0.014 %  [10 .. 22] N: 0.40 %  [0..22800 Hz] N+D: 29.62 mV A THD+N: 0.40 %  [0..22800 Hz] SNR: 48.1 dB ENOB: 11.5 bits 2nd harmonic 0.0047 % -87 deg 3rd harmonic 0.0040 % 112 deg 4th harmonic 0.0040 % -120 deg 5th harmonic 0.0040 % -27 deg 6th harmonic 0.0038 % -49 deg 7th harmonic 0.0039 % -79 deg 8th harmonic 0.0043 % 132 deg 9th harmonic 0.0039 % 46 deg
* Measurement: OSDEHA MU-OUT 10.0V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 5.63763E-5
2.929688; 1.08387E-4
4.394531; 1.54101E-4
5.859375; 2.29240E-4
7.324219; 2.50948E-4
8.789062; 2.76151E-4
10.253906; 3.34990E-4
11.718750; 3.60052E-4
13.183594; 3.29356E-4
14.648438; 3.63764E-4
16.113281; 3.37565E-4
17.578125; 3.06191E-4
19.042969; 3.51386E-4
20.507812; 3.20256E-4
21.972656; 3.40434E-4
23.437500; 4.07682E-4
24.902344; 3.85616E-4
26.367188; 3.59645E-4
27.832031; 4.20203E-4
29.296875; 3.97394E-4
30.761719; 4.20301E-4
32.226562; 4.17120E-4
33.691406; 3.78283E-4
35.156250; 3.89895E-4
36.621094; 3.58122E-4
38.085938; 3.77705E-4
39.550781; 3.70647E-4
41.015625; 3.49438E-4
42.480469; 3.77450E-4
43.945312; 3.85591E-4
45.410156; 4.07912E-4
46.875000; 4.30408E-4
48.339844; 3.90623E-4
49.804688; 3.71708E-4
51.269531; 3.82174E-4
52.734375; 3.92105E-4
54.199219; 3.94798E-4
55.664062; 3.73997E-4
57.128906; 3.41079E-4
58.593750; 3.58592E-4
60.058594; 3.91471E-4
61.523438; 4.42376E-4
62.988281; 3.97774E-4
64.453125; 3.80109E-4
65.917969; 3.88865E-4
67.382812; 3.61255E-4
68.847656; 3.77913E-4
70.312500; 4.23142E-4
71.777344; 3.94107E-4
73.242188; 3.98305E-4
74.707031; 4.54246E-4
76.171875; 4.62992E-4
77.636719; 4.10264E-4
79.101562; 3.51922E-4
80.566406; 3.53475E-4
82.031250; 4.19425E-4
83.496094; 4.43809E-4
84.960938; 4.50429E-4
86.425781; 3.20706E-4
87.890625; 3.25321E-4
89.355469; 3.59454E-4
90.820312; 4.57516E-4
92.285156; 4.35792E-4
93.750000; 4.09779E-4
95.214844; 4.67680E-4
96.679688; 4.74596E-4
98.144531; 1.62476E-3
99.609375; 5.40099E-3
101.074219; 4.27335E-3
102.539062; 7.32475E-4
104.003906; 3.42729E-4
105.468750; 3.54115E-4
106.933594; 3.49618E-4
108.398438; 3.63945E-4
109.863281; 3.97007E-4
111.328125; 4.20820E-4
112.792969; 4.12476E-4
114.257812; 3.61437E-4
115.722656; 3.65228E-4
117.187500; 4.35145E-4
118.652344; 4.42292E-4
120.117188; 3.93254E-4
121.582031; 3.93449E-4
123.046875; 4.48908E-4
124.511719; 4.81723E-4
125.976562; 4.34003E-4
127.441406; 3.61160E-4
128.906250; 3.61582E-4
130.371094; 3.12230E-4
131.835938; 3.51282E-4
133.300781; 3.76637E-4
134.765625; 3.83633E-4
136.230469; 4.53036E-4
137.695312; 3.78479E-4
139.160156; 3.87242E-4
140.625000; 4.10094E-4
142.089844; 4.00967E-4
143.554688; 4.10890E-4
145.019531; 4.53662E-4
146.484375; 4.59045E-4
147.949219; 4.71952E-4
149.414062; 4.89197E-4
150.878906; 4.37839E-4
152.343750; 3.19093E-4
153.808594; 3.61913E-4
155.273438; 3.77468E-4
156.738281; 3.86554E-4
158.203125; 3.91219E-4
159.667969; 3.43617E-4
161.132812; 3.50221E-4
162.597656; 4.28234E-4
164.062500; 3.91752E-4
165.527344; 4.21434E-4
166.992188; 4.29791E-4
168.457031; 3.82408E-4
169.921875; 3.61158E-4
171.386719; 3.56197E-4
172.851562; 3.85049E-4
174.316406; 3.74701E-4
175.781250; 4.10715E-4
177.246094; 3.72326E-4
178.710938; 4.11258E-4
180.175781; 3.79951E-4
181.640625; 3.92566E-4
183.105469; 4.03405E-4
184.570312; 4.02984E-4
186.035156; 3.91445E-4
187.500000; 3.29673E-4
188.964844; 3.26032E-4
190.429688; 3.73508E-4
191.894531; 4.16152E-4
193.359375; 4.03925E-4
194.824219; 3.41862E-4
196.289062; 3.31634E-4
197.753906; 4.16607E-4
199.218750; 7.96679E-4
200.683594; 8.77840E-4
202.148438; 4.49899E-4
203.613281; 3.65945E-4
205.078125; 3.77123E-4
206.542969; 3.29658E-4
208.007812; 3.49044E-4
209.472656; 3.07556E-4
210.937500; 3.82316E-4
212.402344; 4.26946E-4
213.867188; 3.82711E-4
215.332031; 3.93368E-4
216.796875; 3.98746E-4
218.261719; 4.50243E-4
219.726562; 3.86407E-4
221.191406; 3.34701E-4
222.656250; 3.95212E-4
224.121094; 4.00353E-4
225.585938; 3.62371E-4
227.050781; 3.56325E-4
228.515625; 3.93154E-4
229.980469; 3.86736E-4
231.445312; 3.86508E-4
232.910156; 3.92535E-4
234.375000; 3.85628E-4
235.839844; 3.49859E-4
237.304688; 3.73548E-4
238.769531; 3.90282E-4
240.234375; 3.68370E-4
241.699219; 3.40040E-4
243.164062; 4.09729E-4
244.628906; 3.72623E-4
246.093750; 4.36712E-4
247.558594; 4.06078E-4
249.023438; 3.82350E-4
250.488281; 3.94113E-4
251.953125; 4.19432E-4
253.417969; 3.71947E-4
254.882812; 3.53014E-4
256.347656; 3.84399E-4
257.812500; 4.02782E-4
259.277344; 4.07320E-4
260.742188; 4.28342E-4
262.207031; 4.77518E-4
263.671875; 4.03397E-4
265.136719; 3.95256E-4
266.601562; 3.86607E-4
268.066406; 3.56342E-4
269.531250; 3.58112E-4
270.996094; 3.91181E-4
272.460938; 3.97676E-4
273.925781; 3.57524E-4
275.390625; 3.65028E-4
276.855469; 3.88846E-4
278.320312; 3.62671E-4
279.785156; 4.19774E-4
281.250000; 4.31137E-4
282.714844; 3.61477E-4
284.179688; 3.79116E-4
285.644531; 4.35254E-4
287.109375; 3.90004E-4
288.574219; 3.39070E-4
290.039062; 4.45158E-4
291.503906; 4.24161E-4
