* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:34:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 13.31 V 13.31 VC, 13.31 VA 13.31 V 22 - 22k UNW 6.402 mV >22k Distortion at 1,000.0 Hz, -17.51 dBFS: Gain: 0.01 dB THD: 0.014 % based on 21 harmonics  [0..22800 Hz] HHD: 0.010 %  [10 .. 22] N: 0.30 %  [0..22800 Hz] N+D: 29.57 mV A THD+N: 0.30 %  [0..22800 Hz] SNR: 50.5 dB ENOB: 11.5 bits 2nd harmonic 0.0043 % -86 deg 3rd harmonic 0.0031 % 83 deg 4th harmonic 0.0030 % -49 deg 5th harmonic 0.0032 % -1 deg 6th harmonic 0.0027 % -155 deg 7th harmonic 0.0028 % -148 deg 8th harmonic 0.0029 % 129 deg 9th harmonic 0.0030 % -139 deg
* Measurement: OSDEHA MU-OUT 13.3
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 5.52706E-5
2.929688; 1.14590E-4
4.394531; 1.97035E-4
5.859375; 2.62014E-4
7.324219; 2.85538E-4
8.789062; 3.44489E-4
10.253906; 3.94821E-4
11.718750; 3.87446E-4
13.183594; 3.89455E-4
14.648438; 3.88985E-4
16.113281; 3.81688E-4
17.578125; 3.49496E-4
19.042969; 3.42685E-4
20.507812; 3.95190E-4
21.972656; 4.19086E-4
23.437500; 4.21691E-4
24.902344; 4.09502E-4
26.367188; 4.20736E-4
27.832031; 4.40318E-4
29.296875; 5.04515E-4
30.761719; 4.57880E-4
32.226562; 4.08379E-4
33.691406; 3.94041E-4
35.156250; 4.20323E-4
36.621094; 3.77879E-4
38.085938; 3.90369E-4
39.550781; 3.71838E-4
41.015625; 3.62185E-4
42.480469; 4.33394E-4
43.945312; 4.68526E-4
45.410156; 4.40282E-4
46.875000; 3.90693E-4
48.339844; 3.87850E-4
49.804688; 3.94690E-4
51.269531; 4.02671E-4
52.734375; 4.49035E-4
54.199219; 4.04186E-4
55.664062; 3.75294E-4
57.128906; 4.09950E-4
58.593750; 4.01440E-4
60.058594; 3.51054E-4
61.523438; 3.96109E-4
62.988281; 4.57370E-4
