* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:35:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 17.81 V 17.81 VC, 17.81 VA 17.81 V 22 - 22k UNW 6.463 mV >22k Distortion at 1,000.0 Hz, -14.98 dBFS: Gain: 0.01 dB THD: 0.012 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0077 %  [10 .. 22] N: 0.22 %  [0..22800 Hz] N+D: 29.59 mV A THD+N: 0.22 %  [0..22800 Hz] SNR: 53.1 dB ENOB: 11.5 bits 2nd harmonic 0.0075 % -92 deg 3rd harmonic 0.0024 % 106 deg 4th harmonic 0.0022 % 39 deg 5th harmonic 0.0022 % -57 deg 6th harmonic 0.0021 % 111 deg 7th harmonic 0.0023 % 49 deg 8th harmonic 0.0021 % -131 deg 9th harmonic 0.0021 % 38 deg
* Measurement: OSDEHA MU-OUT 17.8V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 4.61680E-5
2.929688; 1.03193E-4
4.394531; 1.60221E-4
5.859375; 1.96462E-4
7.324219; 2.35590E-4
8.789062; 2.76630E-4
10.253906; 2.91206E-4
11.718750; 2.49407E-4
13.183594; 3.35976E-4
14.648438; 3.64363E-4
16.113281; 3.73686E-4
17.578125; 3.85446E-4
19.042969; 3.65635E-4
20.507812; 3.66898E-4
21.972656; 3.85292E-4
23.437500; 3.94848E-4
24.902344; 4.07079E-4
26.367188; 3.77512E-4
27.832031; 3.77067E-4
29.296875; 3.91777E-4
30.761719; 3.79941E-4
32.226562; 3.55709E-4
33.691406; 3.98069E-4
35.156250; 4.64411E-4
36.621094; 4.73095E-4
38.085938; 4.24968E-4
39.550781; 3.87616E-4
41.015625; 3.70708E-4
42.480469; 3.71795E-4
43.945312; 4.07532E-4
45.410156; 4.17978E-4
46.875000; 4.62051E-4
48.339844; 4.39744E-4
49.804688; 4.03098E-4
51.269531; 4.27923E-4
52.734375; 4.01946E-4
54.199219; 3.38071E-4
55.664062; 3.41296E-4
57.128906; 3.61125E-4
58.593750; 3.93130E-4
60.058594; 3.99864E-4
61.523438; 3.93299E-4
62.988281; 3.18937E-4
64.453125; 3.19090E-4
65.917969; 3.23068E-4
67.382812; 4.05550E-4
68.847656; 5.01104E-4
70.312500; 4.39875E-4
71.777344; 4.09891E-4
73.242188; 4.25945E-4
74.707031; 4.05238E-4
76.171875; 4.36182E-4
77.636719; 4.03716E-4
79.101562; 3.56307E-4
80.566406; 3.83135E-4
82.031250; 4.13451E-4
83.496094; 3.27931E-4
84.960938; 4.17539E-4
86.425781; 4.22379E-4
87.890625; 3.82093E-4
89.355469; 4.05402E-4
90.820312; 3.95127E-4
92.285156; 3.85269E-4
93.750000; 4.09730E-4
95.214844; 4.07134E-4
