* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:32:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 2.373 V 2.372 VC, 2.372 VA 2.373 V 22 - 22k UNW 6.448 mV >22k Distortion at 1,000.0 Hz, -32.49 dBFS: Gain: 0.01 dB THD: 0.075 % based on 21 harmonics  [0..22800 Hz] HHD: 0.059 %  [10 .. 22] N: 1.67 %  [0..22800 Hz] N+D: 29.57 mV A THD+N: 1.67 %  [0..22800 Hz] SNR: 35.6 dB ENOB: 11.5 bits 2nd harmonic 0.016 % -18 deg 3rd harmonic 0.015 % 167 deg 4th harmonic 0.016 % -65 deg 5th harmonic 0.017 % -85 deg 6th harmonic 0.016 % 78 deg 7th harmonic 0.016 % -105 deg 8th harmonic 0.016 % -162 deg 9th harmonic 0.017 % 62 deg 
* Measurement: OSDEHA MU-OUT 2.37V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 4.66176E-5
2.929688; 9.70561E-5
4.394531; 1.65775E-4
5.859375; 2.21411E-4
7.324219; 2.69607E-4
8.789062; 2.88741E-4
10.253906; 2.77415E-4
11.718750; 3.07245E-4
13.183594; 3.30402E-4
14.648438; 3.93515E-4
16.113281; 3.96996E-4
17.578125; 3.82694E-4
19.042969; 3.74186E-4
20.507812; 3.82405E-4
21.972656; 3.97219E-4
23.437500; 3.89563E-4
24.902344; 3.80094E-4
26.367188; 3.95389E-4
27.832031; 4.01579E-4
29.296875; 3.55485E-4
30.761719; 3.11197E-4
32.226562; 4.00910E-4
33.691406; 3.94148E-4
35.156250; 4.04333E-4
36.621094; 3.93149E-4
38.085938; 3.85288E-4
39.550781; 3.80036E-4
41.015625; 3.48938E-4
42.480469; 3.81030E-4
43.945312; 3.79747E-4
45.410156; 3.65380E-4
46.875000; 3.59322E-4
48.339844; 3.85652E-4
49.804688; 3.83695E-4
51.269531; 3.43816E-4
52.734375; 3.61228E-4
54.199219; 4.35485E-4
55.664062; 4.31574E-4
57.128906; 3.65542E-4
58.593750; 3.83956E-4
60.058594; 4.56230E-4
61.523438; 4.37360E-4
62.988281; 3.66483E-4
64.453125; 3.83451E-4
65.917969; 4.26079E-4
67.382812; 4.21316E-4
68.847656; 4.28140E-4
70.312500; 4.05352E-4
71.777344; 3.80086E-4
73.242188; 4.12679E-4
74.707031; 4.34372E-4
76.171875; 3.29156E-4
77.636719; 3.60955E-4
79.101562; 3.98143E-4
80.566406; 4.10715E-4
82.031250; 4.21014E-4
83.496094; 4.00742E-4
84.960938; 4.26015E-4
86.425781; 4.32143E-4
87.890625; 4.14102E-4
89.355469; 4.06362E-4
90.820312; 4.19399E-4
92.285156; 4.46884E-4
93.750000; 4.48171E-4
95.214844; 3.79984E-4
96.679688; 3.87724E-4
98.144531; 1.82157E-3
99.609375; 5.51283E-3
101.074219; 4.05488E-3
102.539062; 4.87407E-4
104.003906; 4.07526E-4
105.468750; 4.73133E-4
106.933594; 4.15077E-4
108.398438; 3.44887E-4
109.863281; 3.91270E-4
111.328125; 4.27208E-4
112.792969; 3.85501E-4
114.257812; 3.86257E-4
115.722656; 3.70539E-4
117.187500; 3.47612E-4
118.652344; 3.62888E-4
120.117188; 3.51676E-4
121.582031; 3.70143E-4
123.046875; 3.60337E-4
124.511719; 3.56495E-4
125.976562; 4.26222E-4
127.441406; 4.35912E-4
128.906250; 4.61410E-4
130.371094; 4.08617E-4
131.835938; 4.65004E-4
133.300781; 4.38915E-4
134.765625; 3.98032E-4
136.230469; 3.73384E-4
137.695312; 3.87911E-4
139.160156; 3.81251E-4
140.625000; 3.43766E-4
142.089844; 4.37216E-4
143.554688; 4.15516E-4
145.019531; 3.79825E-4
146.484375; 3.82775E-4
147.949219; 4.07556E-4
149.414062; 4.42597E-4
150.878906; 4.48711E-4
152.343750; 3.96964E-4
153.808594; 4.13243E-4
