* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:35:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 23.72 V 23.72 VC, 23.72 VA 23.72 V 22 - 22k UNW 6.406 mV >22k Distortion at 1,000.0 Hz, -12.49 dBFS: Gain: 0.00 dB THD: 0.010 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0058 %  [10 .. 22] N: 0.17 %  [0..22800 Hz] N+D: 29.57 mV A THD+N: 0.17 %  [0..22800 Hz] SNR: 55.6 dB ENOB: 11.5 bits 2nd harmonic 0.0074 % -106 deg 3rd harmonic 0.0020 % 65 deg 4th harmonic 0.0019 % -69 deg 5th harmonic 0.0017 % 155 deg 6th harmonic 0.0017 % 63 deg 7th harmonic 0.0016 % 56 deg 8th harmonic 0.0016 % 71 deg 9th harmonic 0.0017 % -39 deg
* Measurement: OSDEHA MU-OUT 23.7V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 4.33461E-5
2.929688; 1.03024E-4
4.394531; 1.72337E-4
5.859375; 2.33529E-4
7.324219; 2.91137E-4
8.789062; 3.11717E-4
10.253906; 3.33721E-4
11.718750; 3.07135E-4
13.183594; 3.18978E-4
14.648438; 3.40192E-4
16.113281; 3.68047E-4
17.578125; 3.79535E-4
19.042969; 3.46717E-4
20.507812; 3.65073E-4
21.972656; 2.97036E-4
23.437500; 3.02057E-4
24.902344; 3.44432E-4
26.367188; 3.87025E-4
27.832031; 4.43706E-4
29.296875; 3.99557E-4
30.761719; 4.00811E-4
32.226562; 4.50002E-4
33.691406; 3.97803E-4
35.156250; 3.82729E-4
36.621094; 3.64613E-4
38.085938; 3.72805E-4
39.550781; 3.66007E-4
41.015625; 3.98921E-4
42.480469; 3.53367E-4
43.945312; 3.38883E-4
45.410156; 3.98991E-4
46.875000; 4.37640E-4
48.339844; 3.72461E-4
49.804688; 3.87532E-4
51.269531; 4.03794E-4
52.734375; 3.58750E-4
54.199219; 3.97609E-4
55.664062; 3.92104E-4
57.128906; 4.10184E-4
58.593750; 4.27799E-4
60.058594; 4.15408E-4
61.523438; 3.98798E-4
62.988281; 3.39922E-4
64.453125; 3.04930E-4
65.917969; 3.48347E-4
67.382812; 3.73563E-4
68.847656; 4.14157E-4
70.312500; 3.71383E-4
71.777344; 4.02393E-4
73.242188; 3.77479E-4
74.707031; 3.53578E-4
76.171875; 4.34264E-4
77.636719; 4.51259E-4
79.101562; 3.48443E-4
80.566406; 4.04937E-4
82.031250; 4.67619E-4
83.496094; 4.23680E-4
84.960938; 3.99732E-4
86.425781; 3.64995E-4
87.890625; 4.20603E-4
89.355469; 4.45166E-4
90.820312; 3.64878E-4
92.285156; 4.00278E-4
93.750000; 4.31145E-4
95.214844; 4.08369E-4
96.679688; 4.17440E-4
98.144531; 1.63197E-3
99.609375; 5.35398E-3
101.074219; 4.11909E-3
102.539062; 6.14979E-4
104.003906; 4.33636E-4
105.468750; 4.34576E-4
106.933594; 4.40765E-4
108.398438; 4.71848E-4
109.863281; 4.42425E-4
111.328125; 3.71737E-4
112.792969; 3.73149E-4
114.257812; 3.67798E-4
115.722656; 3.77957E-4
117.187500; 3.81097E-4
118.652344; 3.79155E-4
120.117188; 4.08539E-4
121.582031; 4.13442E-4
123.046875; 4.47375E-4
124.511719; 3.75090E-4
125.976562; 3.34512E-4
127.441406; 4.37744E-4
128.906250; 4.11598E-4
130.371094; 4.19353E-4
131.835938; 3.96284E-4
133.300781; 4.00798E-4
134.765625; 4.14288E-4
136.230469; 4.25793E-4
137.695312; 3.92663E-4
139.160156; 4.38254E-4
140.625000; 4.63967E-4
142.089844; 4.37878E-4
143.554688; 4.28680E-4
145.019531; 3.32044E-4
146.484375; 3.11458E-4
147.949219; 3.87835E-4
149.414062; 4.14071E-4
150.878906; 3.46052E-4
152.343750; 3.28429E-4
153.808594; 3.64053E-4
