* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:32:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 3.163 V 3.163 VC, 3.163 VA 3.163 V 22 - 22k UNW 6.453 mV >22k Distortion at 1,000.0 Hz, -29.99 dBFS: Gain: 0.01 dB THD: 0.056 % based on 21 harmonics  [0..22800 Hz] HHD: 0.043 %  [10 .. 22] N: 1.25 %  [0..22800 Hz] N+D: 29.65 mV A THD+N: 1.25 %  [0..22800 Hz] SNR: 38.0 dB ENOB: 11.5 bits 2nd harmonic 0.013 % 54 deg 3rd harmonic 0.012 % -55 deg 4th harmonic 0.013 % 158 deg 5th harmonic 0.011 % -92 deg 6th harmonic 0.014 % -47 deg 7th harmonic 0.012 % 16 deg 8th harmonic 0.012 % -136 deg 9th harmonic 0.013 % -160 deg
* Measurement: OSDEHA MU-OUT 3.16V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 4.90751E-5
2.929688; 1.03040E-4
4.394531; 1.77497E-4
5.859375; 2.20875E-4
7.324219; 2.45216E-4
8.789062; 2.46612E-4
10.253906; 2.83612E-4
11.718750; 3.19433E-4
13.183594; 3.62308E-4
14.648438; 3.77733E-4
16.113281; 3.86840E-4
17.578125; 3.59417E-4
19.042969; 3.96139E-4
20.507812; 4.16926E-4
21.972656; 4.16743E-4
23.437500; 4.07895E-4
24.902344; 3.23391E-4
26.367188; 4.12741E-4
27.832031; 3.75645E-4
29.296875; 3.75505E-4
30.761719; 3.51769E-4
32.226562; 3.30346E-4
33.691406; 3.61210E-4
35.156250; 3.74247E-4
36.621094; 3.75745E-4
38.085938; 4.09415E-4
39.550781; 4.41106E-4
41.015625; 4.23363E-4
42.480469; 4.09280E-4
43.945312; 3.75875E-4
45.410156; 4.10348E-4
46.875000; 3.29643E-4
48.339844; 4.07518E-4
49.804688; 3.96405E-4
51.269531; 3.30895E-4
52.734375; 4.04544E-4
54.199219; 4.48874E-4
55.664062; 3.93191E-4
57.128906; 4.05107E-4
58.593750; 3.77061E-4
60.058594; 3.68761E-4
61.523438; 4.63845E-4
62.988281; 4.61838E-4
64.453125; 3.63945E-4
65.917969; 3.50754E-4
67.382812; 3.62398E-4
68.847656; 4.02792E-4
70.312500; 3.84197E-4
71.777344; 3.57366E-4
73.242188; 3.87009E-4
74.707031; 4.10413E-4
76.171875; 4.59913E-4
77.636719; 4.82535E-4
79.101562; 4.06615E-4
80.566406; 3.51945E-4
82.031250; 3.36687E-4
83.496094; 4.31990E-4
84.960938; 4.12522E-4
86.425781; 3.28012E-4
87.890625; 2.99825E-4
89.355469; 4.33428E-4
90.820312; 4.62675E-4
92.285156; 4.06135E-4
93.750000; 3.56013E-4
95.214844; 4.20189E-4
96.679688; 4.34584E-4
98.144531; 1.73641E-3
99.609375; 5.35321E-3
101.074219; 4.11420E-3
102.539062; 6.54436E-4
104.003906; 3.85149E-4
105.468750; 4.16531E-4
106.933594; 4.00982E-4
108.398438; 3.95308E-4
109.863281; 4.35140E-4
111.328125; 4.16104E-4
112.792969; 4.28142E-4
114.257812; 4.03548E-4
115.722656; 4.07303E-4
117.187500; 3.49190E-4
118.652344; 3.53453E-4
120.117188; 3.29548E-4
121.582031; 3.45520E-4
123.046875; 3.56688E-4
124.511719; 3.61490E-4
125.976562; 3.66365E-4
127.441406; 4.05212E-4
128.906250; 4.56795E-4
130.371094; 4.86331E-4
131.835938; 3.94353E-4
133.300781; 3.93308E-4
134.765625; 3.69751E-4
136.230469; 4.19777E-4
137.695312; 4.31730E-4
139.160156; 4.02669E-4
140.625000; 3.53430E-4
142.089844; 3.47694E-4
143.554688; 4.18146E-4
145.019531; 4.41076E-4
146.484375; 4.06454E-4
147.949219; 2.98402E-4
149.414062; 3.77328E-4
150.878906; 3.91586E-4
152.343750; 3.68168E-4
153.808594; 3.58312E-4
155.273438; 3.02695E-4
156.738281; 4.04413E-4
158.203125; 4.54048E-4
159.667969; 3.74421E-4
161.132812; 3.56491E-4
162.597656; 3.21573E-4
164.062500; 3.75956E-4
165.527344; 3.84870E-4
166.992188; 3.33083E-4
168.457031; 3.03565E-4
169.921875; 3.68405E-4
171.386719; 3.70730E-4
172.851562; 3.86791E-4
174.316406; 4.32400E-4
175.781250; 3.83850E-4
177.246094; 3.41692E-4
178.710938; 3.94531E-4
180.175781; 4.17910E-4
181.640625; 3.80741E-4
183.105469; 4.03089E-4
184.570312; 3.70106E-4
186.035156; 3.18334E-4
187.500000; 3.67394E-4
188.964844; 3.75809E-4
190.429688; 3.74147E-4
191.894531; 4.16984E-4
193.359375; 4.19860E-4
194.824219; 3.54633E-4
196.289062; 3.93095E-4
197.753906; 3.73908E-4
199.218750; 7.30875E-4
200.683594; 8.25284E-4
202.148438; 4.08946E-4
203.613281; 4.07526E-4
205.078125; 4.00241E-4
206.542969; 3.91970E-4
208.007812; 4.02399E-4
209.472656; 3.97378E-4
210.937500; 3.52881E-4
212.402344; 3.69584E-4
213.867188; 3.85356E-4
215.332031; 4.41161E-4
216.796875; 4.22429E-4
218.261719; 4.12109E-4
219.726562; 4.00248E-4
221.191406; 4.05090E-4
222.656250; 3.86298E-4
224.121094; 3.73184E-4
225.585938; 3.25778E-4
227.050781; 3.42134E-4
228.515625; 3.64117E-4
229.980469; 3.22514E-4
231.445312; 3.52265E-4
232.910156; 3.60053E-4
234.375000; 3.64257E-4
235.839844; 3.46212E-4
237.304688; 3.88145E-4
238.769531; 4.15827E-4
240.234375; 4.47238E-4
241.699219; 3.79544E-4
243.164062; 3.72061E-4
244.628906; 3.56043E-4
246.093750; 3.86549E-4
247.558594; 4.40394E-4
249.023438; 4.04180E-4
250.488281; 3.82122E-4
251.953125; 3.63549E-4
253.417969; 3.52903E-4
254.882812; 3.36874E-4
256.347656; 3.58130E-4
257.812500; 4.22527E-4
259.277344; 3.48039E-4
260.742188; 4.10827E-4
262.207031; 4.64951E-4
263.671875; 3.81832E-4
265.136719; 3.56151E-4
266.601562; 3.35874E-4
268.066406; 3.57596E-4
269.531250; 3.98421E-4
270.996094; 4.04660E-4
272.460938; 3.91620E-4
273.925781; 4.05283E-4
275.390625; 4.30711E-4
276.855469; 4.05637E-4
278.320312; 4.15168E-4
279.785156; 3.92311E-4
281.250000; 4.00453E-4
282.714844; 4.43468E-4
284.179688; 4.64471E-4
285.644531; 4.95599E-4
287.109375; 4.46661E-4
288.574219; 4.55444E-4
290.039062; 4.45557E-4
291.503906; 4.43379E-4
292.968750; 4.38108E-4
294.433594; 4.15186E-4
295.898438; 4.39924E-4
297.363281; 3.76075E-4
298.828125; 3.40922E-4
300.292969; 3.65916E-4
301.757812; 4.05508E-4
303.222656; 4.15564E-4
304.687500; 3.23903E-4
306.152344; 4.12202E-4
307.617188; 4.66983E-4
309.082031; 4.26211E-4
310.546875; 3.76929E-4
312.011719; 3.43491E-4
313.476562; 4.26212E-4
314.941406; 4.27249E-4
316.406250; 3.65165E-4
317.871094; 3.59676E-4
319.335938; 3.97083E-4
320.800781; 3.88898E-4
322.265625; 3.64893E-4
323.730469; 4.12140E-4
325.195312; 4.26273E-4
326.660156; 4.07333E-4
328.125000; 3.80312E-4
329.589844; 3.32009E-4
331.054688; 3.90167E-4
332.519531; 4.76886E-4
333.984375; 4.89545E-4
335.449219; 3.74049E-4
336.914062; 4.23874E-4
338.378906; 4.12612E-4
339.843750; 3.62957E-4
341.308594; 3.42657E-4
342.773438; 4.03843E-4
344.238281; 4.35009E-4
345.703125; 4.90762E-4
347.167969; 4.77052E-4
348.632812; 4.04426E-4
350.097656; 3.80907E-4
351.562500; 4.20495E-4
353.027344; 4.33208E-4
354.492188; 3.96193E-4
355.957031; 3.72471E-4
357.421875; 3.76463E-4
358.886719; 4.26568E-4
360.351562; 3.73377E-4
361.816406; 4.04529E-4
363.281250; 4.18399E-4
364.746094; 3.97874E-4
366.210938; 3.46663E-4
367.675781; 3.79966E-4
369.140625; 4.01323E-4
370.605469; 3.70178E-4
372.070312; 3.56901E-4
373.535156; 3.42893E-4
375.000000; 3.91652E-4
376.464844; 4.28926E-4
377.929688; 4.00304E-4
379.394531; 3.97219E-4
380.859375; 3.69311E-4
382.324219; 4.01939E-4
383.789062; 4.26017E-4
385.253906; 4.50215E-4
386.718750; 4.13998E-4
388.183594; 4.04858E-4
389.648438; 4.82945E-4
391.113281; 4.78521E-4
392.578125; 4.22086E-4
394.042969; 3.71191E-4
395.507812; 3.78670E-4
396.972656; 3.53228E-4
398.437500; 3.78951E-4
399.902344; 4.17679E-4
