* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:36:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 31.62 V 31.62 VC, 31.62 VA 31.62 V 22 - 22k UNW 6.378 mV >22k Distortion at 1,000.0 Hz, -9.99 dBFS: Gain: 0.00 dB THD: 0.0088 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0043 %  [10 .. 22] N: 0.12 %  [0..22800 Hz] N+D: 29.67 mV A THD+N: 0.13 %  [0..22800 Hz] SNR: 58.1 dB ENOB: 11.5 bits 2nd harmonic 0.0067 % -97 deg 3rd harmonic 0.0019 % 28 deg 4th harmonic 0.0013 % -132 deg 5th harmonic 0.0014 % 56 deg 6th harmonic 0.0013 % -60 deg 7th harmonic 0.0012 % 112 deg 8th harmonic 0.0012 % -52 deg 9th harmonic 0.0012 % 170 deg
* Measurement: OSDEHA MU-OUT 31.6V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 5.09951E-5
2.929688; 1.23267E-4
4.394531; 1.53632E-4
5.859375; 1.71205E-4
7.324219; 2.02478E-4
8.789062; 2.79242E-4
10.253906; 2.58555E-4
11.718750; 2.74805E-4
13.183594; 3.09305E-4
14.648438; 2.74008E-4
16.113281; 2.13182E-4
17.578125; 3.14297E-4
19.042969; 3.65831E-4
20.507812; 3.68723E-4
21.972656; 3.87676E-4
23.437500; 4.20805E-4
24.902344; 3.68322E-4
26.367188; 4.05699E-4
27.832031; 3.94980E-4
29.296875; 4.12422E-4
30.761719; 4.41135E-4
32.226562; 4.06891E-4
33.691406; 4.35108E-4
35.156250; 4.21341E-4
36.621094; 4.01848E-4
38.085938; 3.75711E-4
39.550781; 3.42073E-4
41.015625; 3.59443E-4
42.480469; 3.52814E-4
43.945312; 3.58459E-4
45.410156; 4.22401E-4
46.875000; 3.36288E-4
48.339844; 3.51670E-4
49.804688; 3.46368E-4
51.269531; 3.72372E-4
52.734375; 3.62440E-4
54.199219; 3.88388E-4
55.664062; 4.08420E-4
57.128906; 3.77699E-4
58.593750; 3.87998E-4
60.058594; 3.75695E-4
61.523438; 3.80124E-4
62.988281; 3.83488E-4
64.453125; 4.15163E-4
65.917969; 3.91012E-4
67.382812; 4.33747E-4
68.847656; 4.25475E-4
70.312500; 4.26224E-4
71.777344; 4.30833E-4
73.242188; 4.05565E-4
74.707031; 3.87629E-4
76.171875; 3.90205E-4
77.636719; 4.33422E-4
79.101562; 4.26038E-4
80.566406; 3.86480E-4
82.031250; 4.12795E-4
83.496094; 4.43655E-4
84.960938; 3.65945E-4
86.425781; 4.26493E-4
87.890625; 4.50284E-4
89.355469; 3.74907E-4
90.820312; 4.07824E-4
92.285156; 4.19569E-4
93.750000; 3.88755E-4
95.214844; 3.50124E-4
96.679688; 3.93282E-4
98.144531; 1.61076E-3
99.609375; 5.37055E-3
101.074219; 4.24400E-3
102.539062; 7.11435E-4
104.003906; 4.63975E-4
105.468750; 3.74543E-4
106.933594; 3.60288E-4
108.398438; 3.94071E-4
109.863281; 4.04111E-4
111.328125; 4.16677E-4
112.792969; 4.24506E-4
114.257812; 3.98578E-4
115.722656; 3.99920E-4
117.187500; 3.60467E-4
118.652344; 3.64321E-4
120.117188; 4.04121E-4
121.582031; 4.28005E-4
123.046875; 4.07297E-4
124.511719; 4.16418E-4
125.976562; 4.61784E-4
127.441406; 4.03710E-4
128.906250; 3.53309E-4
130.371094; 3.57959E-4
131.835938; 3.57261E-4
133.300781; 3.84308E-4
134.765625; 4.20058E-4
136.230469; 3.93405E-4
137.695312; 3.66489E-4
139.160156; 3.80422E-4
140.625000; 4.12662E-4
142.089844; 4.22446E-4
143.554688; 3.41782E-4
145.019531; 3.56082E-4
146.484375; 4.11614E-4
147.949219; 4.69434E-4
149.414062; 4.37145E-4
150.878906; 3.93277E-4
152.343750; 3.82357E-4
153.808594; 3.85691E-4
155.273438; 4.13289E-4
156.738281; 4.46489E-4
158.203125; 4.32921E-4
159.667969; 3.66580E-4
161.132812; 4.29844E-4
162.597656; 4.56980E-4
164.062500; 4.02327E-4
165.527344; 3.62869E-4
166.992188; 3.34381E-4
168.457031; 3.55444E-4
169.921875; 3.97523E-4
171.386719; 4.29087E-4
172.851562; 3.94267E-4
174.316406; 3.62686E-4
175.781250; 3.62662E-4
177.246094; 3.72719E-4
178.710938; 4.29342E-4
180.175781; 4.19264E-4
181.640625; 3.61417E-4
183.105469; 4.25662E-4
184.570312; 4.01243E-4
186.035156; 3.77470E-4
187.500000; 4.09937E-4
188.964844; 3.63751E-4
190.429688; 4.10407E-4
191.894531; 3.45127E-4
193.359375; 3.39077E-4
194.824219; 3.37195E-4
196.289062; 3.70985E-4
197.753906; 4.23698E-4
199.218750; 7.01176E-4
200.683594; 7.57302E-4
202.148438; 4.06122E-4
203.613281; 3.46739E-4
205.078125; 3.59077E-4
206.542969; 4.01338E-4
208.007812; 3.86792E-4
209.472656; 3.39083E-4
210.937500; 4.28447E-4
212.402344; 4.57796E-4
213.867188; 4.30078E-4
215.332031; 4.15991E-4
216.796875; 4.40514E-4
218.261719; 4.21405E-4
219.726562; 4.06901E-4
221.191406; 4.04827E-4
222.656250; 4.06568E-4
224.121094; 4.31631E-4
225.585938; 3.68550E-4
227.050781; 3.62455E-4
228.515625; 3.87481E-4
229.980469; 3.82250E-4
231.445312; 3.68935E-4
232.910156; 4.12730E-4
234.375000; 4.34445E-4
235.839844; 4.51737E-4
237.304688; 3.74473E-4
238.769531; 3.58912E-4
240.234375; 3.90176E-4
241.699219; 4.34045E-4
243.164062; 4.45070E-4
244.628906; 4.14929E-4
246.093750; 4.33231E-4
247.558594; 4.23982E-4
249.023438; 3.79379E-4
250.488281; 3.54376E-4
251.953125; 4.34633E-4
253.417969; 4.73180E-4
254.882812; 4.47377E-4
256.347656; 4.53193E-4
257.812500; 3.75390E-4
259.277344; 3.40897E-4
260.742188; 3.80540E-4
262.207031; 3.51198E-4
263.671875; 3.58711E-4
265.136719; 3.89368E-4
266.601562; 3.80093E-4
268.066406; 3.90873E-4
269.531250; 4.02240E-4
270.996094; 3.54824E-4
272.460938; 3.49376E-4
273.925781; 4.10045E-4
275.390625; 4.41101E-4
276.855469; 4.23891E-4
278.320312; 3.57639E-4
279.785156; 3.82323E-4
281.250000; 4.46659E-4
282.714844; 4.28969E-4
284.179688; 3.79054E-4
285.644531; 4.15169E-4
287.109375; 4.39604E-4
288.574219; 3.92665E-4
290.039062; 3.37013E-4
291.503906; 3.52453E-4
292.968750; 4.04719E-4
294.433594; 3.99238E-4
295.898438; 3.62736E-4
297.363281; 3.35305E-4
298.828125; 3.70633E-4
300.292969; 3.63606E-4
301.757812; 3.31137E-4
303.222656; 4.17196E-4
304.687500; 4.17661E-4
306.152344; 4.14727E-4
307.617188; 3.68642E-4
309.082031; 4.29022E-4
310.546875; 3.77947E-4
312.011719; 3.87112E-4
313.476562; 4.23774E-4
314.941406; 3.88305E-4
316.406250; 3.13871E-4
317.871094; 3.71072E-4
319.335938; 4.01706E-4
320.800781; 4.19086E-4
322.265625; 4.15422E-4
323.730469; 4.40411E-4
325.195312; 4.07127E-4
326.660156; 3.84093E-4
328.125000; 3.88395E-4
329.589844; 3.87108E-4
331.054688; 4.12114E-4
332.519531; 3.64876E-4
333.984375; 3.50715E-4
335.449219; 3.45284E-4
336.914062; 3.57601E-4
338.378906; 3.83592E-4
339.843750; 3.65729E-4
341.308594; 3.56816E-4
342.773438; 4.02681E-4
344.238281; 4.05314E-4
345.703125; 4.44077E-4
347.167969; 4.35025E-4
348.632812; 3.89787E-4
350.097656; 4.02601E-4
351.562500; 3.46185E-4
353.027344; 3.59614E-4
354.492188; 3.21233E-4
355.957031; 3.96287E-4
357.421875; 4.41602E-4
358.886719; 4.09738E-4
360.351562; 3.88336E-4
361.816406; 4.16535E-4
363.281250; 4.41149E-4
364.746094; 3.77910E-4
366.210938; 3.10001E-4
367.675781; 3.24994E-4
369.140625; 3.54888E-4
370.605469; 3.63138E-4
372.070312; 3.91666E-4
373.535156; 4.01441E-4
375.000000; 3.88311E-4
376.464844; 3.87622E-4
377.929688; 3.69591E-4
379.394531; 3.87830E-4
380.859375; 4.30055E-4
382.324219; 3.95353E-4
383.789062; 4.02904E-4
385.253906; 4.22800E-4
386.718750; 4.12831E-4
388.183594; 4.32748E-4
389.648438; 4.16558E-4
391.113281; 4.09008E-4
392.578125; 4.33486E-4
394.042969; 4.45970E-4
395.507812; 4.48502E-4
396.972656; 4.35991E-4
398.437500; 4.62452E-4
399.902344; 4.80068E-4
