* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:32:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 4.223 V 4.223 VC, 4.223 VA 4.223 V 22 - 22k UNW 6.490 mV >22k Distortion at 1,000.0 Hz, -27.48 dBFS: Gain: 0.01 dB THD: 0.042 % based on 21 harmonics  [0..22800 Hz] HHD: 0.033 %  [10 .. 22] N: 0.94 %  [0..22800 Hz] N+D: 29.59 mV A THD+N: 0.94 %  [0..22800 Hz] SNR: 40.6 dB ENOB: 11.5 bits 2nd harmonic 0.0099 % -71 deg 3rd harmonic 0.0086 % 73 deg 4th harmonic 0.0084 % -100 deg 5th harmonic 0.0096 % -91 deg 6th harmonic 0.0090 % -160 deg 7th harmonic 0.0087 % -52 deg 8th harmonic 0.0095 % -50 deg 9th harmonic 0.0088 % 82 deg
* Measurement: OSDEHA MU-OUT 4.22V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 5.91485E-5
2.929688; 1.22207E-4
4.394531; 1.66641E-4
5.859375; 2.09099E-4
7.324219; 2.92677E-4
8.789062; 3.44771E-4
10.253906; 3.23537E-4
11.718750; 3.41607E-4
13.183594; 3.81807E-4
14.648438; 4.15600E-4
16.113281; 4.31325E-4
17.578125; 3.97746E-4
19.042969; 3.62932E-4
20.507812; 3.77275E-4
21.972656; 4.13096E-4
23.437500; 3.87229E-4
24.902344; 4.38894E-4
26.367188; 4.63341E-4
27.832031; 3.81772E-4
29.296875; 4.03785E-4
30.761719; 4.01875E-4
32.226562; 3.55968E-4
33.691406; 3.22629E-4
35.156250; 3.34528E-4
36.621094; 4.16860E-4
38.085938; 4.55847E-4
39.550781; 4.25386E-4
41.015625; 3.95405E-4
42.480469; 3.73863E-4
43.945312; 3.26129E-4
45.410156; 3.29500E-4
46.875000; 4.46756E-4
48.339844; 4.09372E-4
49.804688; 4.64655E-4
51.269531; 4.94942E-4
52.734375; 5.01314E-4
54.199219; 4.24897E-4
55.664062; 4.00809E-4
57.128906; 3.87305E-4
58.593750; 3.83442E-4
60.058594; 4.35635E-4
61.523438; 4.33442E-4
62.988281; 4.70749E-4
64.453125; 4.23318E-4
65.917969; 3.24283E-4
67.382812; 3.77832E-4
68.847656; 4.39513E-4
70.312500; 4.04191E-4
71.777344; 3.82540E-4
73.242188; 3.85503E-4
74.707031; 4.48543E-4
76.171875; 4.25761E-4
77.636719; 3.83916E-4
79.101562; 4.33767E-4
80.566406; 3.84157E-4
82.031250; 3.92425E-4
83.496094; 3.96838E-4
84.960938; 4.18005E-4
86.425781; 4.05136E-4
87.890625; 4.61243E-4
89.355469; 4.12878E-4
90.820312; 3.98588E-4
92.285156; 3.51058E-4
93.750000; 3.57180E-4
95.214844; 3.50179E-4
96.679688; 3.73744E-4
98.144531; 1.61732E-3
99.609375; 5.31866E-3
101.074219; 4.13708E-3
102.539062; 6.12540E-4
104.003906; 3.97472E-4
105.468750; 4.45710E-4
106.933594; 4.23957E-4
108.398438; 4.33386E-4
109.863281; 4.05518E-4
111.328125; 4.12826E-4
112.792969; 4.08357E-4
114.257812; 3.68920E-4
115.722656; 3.65973E-4
117.187500; 3.29656E-4
118.652344; 3.21022E-4
120.117188; 4.43317E-4
121.582031; 4.61182E-4
123.046875; 3.62457E-4
124.511719; 3.50716E-4
125.976562; 4.20683E-4
127.441406; 3.98100E-4
128.906250; 4.65754E-4
130.371094; 3.99886E-4
131.835938; 3.66569E-4
133.300781; 4.46605E-4
134.765625; 4.15219E-4
136.230469; 3.88107E-4
137.695312; 4.20122E-4
139.160156; 4.37181E-4
140.625000; 3.71157E-4
142.089844; 3.81569E-4
143.554688; 3.51529E-4
145.019531; 3.16266E-4
146.484375; 3.47239E-4
147.949219; 3.48754E-4
149.414062; 4.19417E-4
150.878906; 4.25700E-4
152.343750; 3.49760E-4
153.808594; 3.72592E-4
155.273438; 3.90023E-4
156.738281; 3.95684E-4
158.203125; 4.13238E-4
159.667969; 4.52711E-4
161.132812; 4.67916E-4
162.597656; 4.62195E-4
164.062500; 4.56544E-4
165.527344; 4.32742E-4
166.992188; 3.36856E-4
168.457031; 3.75472E-4
169.921875; 3.77149E-4
171.386719; 3.63904E-4
172.851562; 3.68666E-4
174.316406; 3.23799E-4
175.781250; 3.62755E-4
177.246094; 3.58231E-4
178.710938; 3.53489E-4
180.175781; 3.59706E-4
181.640625; 3.81122E-4
183.105469; 3.81556E-4
184.570312; 3.55338E-4
186.035156; 3.41600E-4
