* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:36:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 42.21 V 42.21 VC, 42.21 VA 42.21 V 22 - 22k UNW 6.430 mV >22k Distortion at 1,000.0 Hz, -7.48 dBFS: Gain: 0.00 dB THD: 0.0093 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0033 %  [10 .. 22] N: 0.094 %  [0..22800 Hz] N+D: 29.84 mV A THD+N: 0.094 %  [0..22800 Hz] SNR: 60.6 dB ENOB: 11.5 bits 2nd harmonic 0.0082 % -72 deg 3rd harmonic 0.0012 % -45 deg 4th harmonic 0.0013 % -172 deg 5th harmonic 0.0012 % -9 deg 6th harmonic 0.0011 % -169 deg 7th harmonic 0.0010 % 32 deg 8th harmonic 0.00091 % 139 deg 9th harmonic 0.00095 % 8 deg
* Measurement: OSDEHA MU-OUT 42.2V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 4.80737E-5
2.929688; 1.06162E-4
4.394531; 1.58269E-4
5.859375; 2.17250E-4
7.324219; 2.59110E-4
8.789062; 2.85717E-4
10.253906; 3.14077E-4
11.718750; 3.47436E-4
13.183594; 3.19464E-4
14.648438; 3.01653E-4
16.113281; 3.76412E-4
17.578125; 3.85341E-4
19.042969; 3.64735E-4
20.507812; 3.64532E-4
21.972656; 3.61375E-4
23.437500; 3.84550E-4
24.902344; 4.04370E-4
26.367188; 4.00285E-4
27.832031; 3.78264E-4
29.296875; 4.11106E-4
30.761719; 3.84663E-4
32.226562; 3.64177E-4
33.691406; 3.75505E-4
35.156250; 4.27192E-4
36.621094; 4.74485E-4
38.085938; 4.67590E-4
39.550781; 3.81372E-4
41.015625; 3.82717E-4
42.480469; 3.80378E-4
43.945312; 3.23776E-4
45.410156; 3.57858E-4
46.875000; 3.06271E-4
48.339844; 3.47459E-4
49.804688; 3.43116E-4
51.269531; 2.97210E-4
52.734375; 3.82697E-4
54.199219; 4.29017E-4
55.664062; 3.85635E-4
57.128906; 3.31163E-4
58.593750; 3.53233E-4
60.058594; 3.83331E-4
61.523438; 4.01806E-4
62.988281; 4.18840E-4
64.453125; 3.93016E-4
65.917969; 4.15260E-4
67.382812; 4.26945E-4
68.847656; 3.76837E-4
70.312500; 3.91373E-4
71.777344; 4.02869E-4
73.242188; 4.00358E-4
74.707031; 4.13959E-4
76.171875; 3.77693E-4
77.636719; 3.82172E-4
79.101562; 4.11256E-4
80.566406; 4.01703E-4
82.031250; 3.93550E-4
83.496094; 4.07699E-4
84.960938; 3.73922E-4
86.425781; 3.76170E-4
87.890625; 3.51077E-4
89.355469; 3.44845E-4
90.820312; 3.75141E-4
92.285156; 4.05541E-4
93.750000; 4.13445E-4
95.214844; 3.65835E-4
96.679688; 4.08529E-4
98.144531; 1.69782E-3
99.609375; 5.44506E-3
101.074219; 4.11805E-3
102.539062; 5.85796E-4
104.003906; 4.20919E-4
105.468750; 3.82378E-4
106.933594; 4.03135E-4
108.398438; 4.16510E-4
109.863281; 3.98774E-4
111.328125; 4.04836E-4
112.792969; 4.27914E-4
114.257812; 4.07422E-4
115.722656; 4.50021E-4
117.187500; 4.41793E-4
118.652344; 3.85955E-4
120.117188; 3.96551E-4
121.582031; 3.51956E-4
123.046875; 3.50895E-4
124.511719; 3.41734E-4
125.976562; 3.29744E-4
127.441406; 3.69845E-4
128.906250; 4.47881E-4
130.371094; 4.30137E-4
131.835938; 4.51439E-4
133.300781; 4.00508E-4
134.765625; 4.14215E-4
136.230469; 4.21157E-4
137.695312; 3.70208E-4
139.160156; 3.78844E-4
140.625000; 3.88997E-4
142.089844; 4.25281E-4
143.554688; 4.40980E-4
145.019531; 4.29244E-4
146.484375; 4.14570E-4
147.949219; 4.10243E-4
149.414062; 4.13562E-4
150.878906; 3.65232E-4
152.343750; 3.83438E-4
153.808594; 3.92292E-4
155.273438; 3.46933E-4
156.738281; 3.85518E-4
158.203125; 4.34989E-4
159.667969; 4.55551E-4
161.132812; 3.66822E-4
162.597656; 3.99582E-4
164.062500; 3.86904E-4
165.527344; 3.60207E-4
166.992188; 3.93789E-4
168.457031; 4.49002E-4
169.921875; 4.63735E-4
171.386719; 4.27391E-4
172.851562; 4.29551E-4
174.316406; 3.98255E-4
175.781250; 3.88100E-4
177.246094; 3.87502E-4
178.710938; 3.65811E-4
180.175781; 3.75747E-4
181.640625; 3.65144E-4
183.105469; 3.77285E-4
184.570312; 3.81848E-4
186.035156; 3.98314E-4
