* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:33:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 5.625 V 5.625 VC, 5.625 VA 5.625 V 22 - 22k UNW 6.414 mV >22k Distortion at 1,000.0 Hz, -24.99 dBFS: Gain: 0.01 dB THD: 0.032 % based on 21 harmonics  [0..22800 Hz] HHD: 0.025 %  [10 .. 22] N: 0.70 %  [0..22800 Hz] N+D: 29.61 mV A THD+N: 0.70 %  [0..22800 Hz] SNR: 43.1 dB ENOB: 11.5 bits 2nd harmonic 0.0070 % -72 deg 3rd harmonic 0.0074 % 151 deg 4th harmonic 0.0070 % 166 deg 5th harmonic 0.0065 % -114 deg 6th harmonic 0.0072 % -144 deg 7th harmonic 0.0075 % -95 deg 8th harmonic 0.0063 % 166 deg 9th harmonic 0.0074 % -143 deg
* Measurement: OSDEHA MU-OUT 5.62V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 4.14640E-5
2.929688; 9.11219E-5
4.394531; 1.59166E-4
5.859375; 1.97326E-4
7.324219; 2.18037E-4
8.789062; 2.54120E-4
10.253906; 2.75525E-4
11.718750; 3.01789E-4
13.183594; 3.21727E-4
14.648438; 3.18505E-4
16.113281; 3.42051E-4
17.578125; 3.73940E-4
19.042969; 3.49412E-4
20.507812; 3.35033E-4
21.972656; 3.53673E-4
23.437500; 3.93336E-4
24.902344; 4.45780E-4
26.367188; 4.36772E-4
27.832031; 3.69925E-4
29.296875; 3.55971E-4
30.761719; 3.36317E-4
32.226562; 3.05790E-4
33.691406; 3.69000E-4
35.156250; 3.73262E-4
36.621094; 3.80462E-4
38.085938; 4.04800E-4
39.550781; 3.09179E-4
41.015625; 3.24384E-4
42.480469; 3.40672E-4
43.945312; 3.57216E-4
45.410156; 3.74368E-4
46.875000; 3.52992E-4
48.339844; 3.60119E-4
49.804688; 3.68535E-4
51.269531; 4.07304E-4
52.734375; 4.22933E-4
54.199219; 3.71190E-4
55.664062; 4.21795E-4
57.128906; 4.10339E-4
58.593750; 3.76615E-4
60.058594; 3.77508E-4
61.523438; 3.41437E-4
62.988281; 3.58611E-4
64.453125; 3.67359E-4
65.917969; 3.69072E-4
67.382812; 3.66212E-4
