* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:37:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 56.21 V 56.21 VC, 56.21 VA 56.21 V 22 - 22k UNW 6.408 mV >22k Distortion at 1,000.0 Hz, -4.99 dBFS: Gain: 0.00 dB THD: 0.015 % based on 21 harmonics  [0..22800 Hz] HHD: 0.0025 %  [10 .. 22] N: 0.070 %  [0..22800 Hz] N+D: 31.15 mV A THD+N: 0.072 %  [0..22800 Hz] SNR: 63.0 dB ENOB: 11.5 bits 2nd harmonic 0.015 % -61 deg 3rd harmonic 0.0015 % -91 deg 4th harmonic 0.00086 % 94 deg 5th harmonic 0.00087 % -76 deg 6th harmonic 0.00075 % 114 deg 7th harmonic 0.00073 % -53 deg 8th harmonic 0.00069 % 60 deg 9th harmonic 0.00071 % -23 deg
* Measurement: OSDEHA MU-OUT 56.2V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 4.33041E-5
2.929688; 1.01794E-4
4.394531; 1.43576E-4
5.859375; 1.74206E-4
7.324219; 2.47313E-4
8.789062; 3.09535E-4
10.253906; 3.11693E-4
11.718750; 3.24370E-4
13.183594; 3.08181E-4
14.648438; 3.29491E-4
16.113281; 3.23585E-4
17.578125; 3.44729E-4
19.042969; 4.10838E-4
20.507812; 4.07454E-4
21.972656; 3.61502E-4
23.437500; 3.45984E-4
24.902344; 3.69104E-4
26.367188; 3.80799E-4
27.832031; 4.05094E-4
29.296875; 3.51041E-4
30.761719; 3.75698E-4
32.226562; 4.05419E-4
33.691406; 4.12994E-4
35.156250; 4.15394E-4
36.621094; 3.79242E-4
38.085938; 4.05959E-4
39.550781; 3.89052E-4
41.015625; 3.91879E-4
42.480469; 4.45224E-4
43.945312; 4.26902E-4
45.410156; 3.57230E-4
46.875000; 4.05622E-4
48.339844; 3.53991E-4
49.804688; 3.73828E-4
51.269531; 4.17500E-4
52.734375; 4.07907E-4
54.199219; 4.13784E-4
55.664062; 4.53494E-4
57.128906; 4.00621E-4
58.593750; 3.84635E-4
60.058594; 4.39928E-4
61.523438; 4.16246E-4
62.988281; 3.86716E-4
64.453125; 3.86674E-4
65.917969; 3.70784E-4
67.382812; 3.79057E-4
