* Measurement data measured by REW V5.31.3
* Source: PCM: default, no input selected, 2, volume: no control
* Format: 32768-point spectrum using Hann window and exponential averaging 0.97 
* Dated: Mar 9, 2025 6:33:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: OSDEHA_MU-OUT; 32768-point spectrum using Hann window and exponential averaging 0.97  Input RMS 7.501 V 7.501 VC, 7.501 VA 7.501 V 22 - 22k UNW 6.456 mV >22k Distortion at 1,000.0 Hz, -22.49 dBFS: Gain: 0.01 dB THD: 0.024 % based on 21 harmonics  [0..22800 Hz] HHD: 0.018 %  [10 .. 22] N: 0.53 %  [0..22800 Hz] N+D: 29.66 mV A THD+N: 0.53 %  [0..22800 Hz] SNR: 45.5 dB ENOB: 11.5 bits 2nd harmonic 0.0054 % -70 deg 3rd harmonic 0.0052 % -98 deg 4th harmonic 0.0052 % 137 deg 5th harmonic 0.0055 % 93 deg 6th harmonic 0.0051 % 124 deg 7th harmonic 0.0050 % 140 deg 8th harmonic 0.0053 % -173 deg 9th harmonic 0.0050 % 13 deg
* Measurement: OSDEHA MU-OUT 7.50V
* Smoothing: None
* Frequency Step: 1.4648438 Hz
* Start Frequency: 1.4648438 Hz
*
* Freq(Hz); V(V)
1.464844; 4.23759E-5
2.929688; 9.11258E-5
4.394531; 1.45728E-4
5.859375; 2.19904E-4
7.324219; 2.79523E-4
8.789062; 3.23636E-4
10.253906; 2.86171E-4
11.718750; 2.84438E-4
13.183594; 2.92684E-4
14.648438; 3.26781E-4
16.113281; 3.44478E-4
17.578125; 3.73648E-4
19.042969; 3.59737E-4
20.507812; 3.07096E-4
21.972656; 3.61989E-4
23.437500; 3.84834E-4
24.902344; 3.45049E-4
26.367188; 3.43822E-4
27.832031; 3.40857E-4
29.296875; 3.12320E-4
30.761719; 3.87975E-4
32.226562; 4.45258E-4
33.691406; 4.76410E-4
35.156250; 4.81633E-4
36.621094; 4.72536E-4
38.085938; 4.32197E-4
39.550781; 3.76479E-4
41.015625; 3.23925E-4
42.480469; 3.11303E-4
43.945312; 3.66889E-4
45.410156; 3.65362E-4
46.875000; 3.41311E-4
48.339844; 3.46362E-4
49.804688; 3.56197E-4
51.269531; 4.16207E-4
52.734375; 4.51934E-4
54.199219; 3.96361E-4
55.664062; 3.59893E-4
57.128906; 3.65467E-4
58.593750; 3.81153E-4
60.058594; 4.42386E-4
61.523438; 3.86260E-4
62.988281; 4.02812E-4
64.453125; 4.35646E-4
65.917969; 3.94951E-4
67.382812; 3.72918E-4
68.847656; 4.10290E-4
70.312500; 3.61665E-4
71.777344; 3.73950E-4
73.242188; 3.41887E-4
74.707031; 3.20856E-4
76.171875; 3.52864E-4
77.636719; 3.89538E-4
79.101562; 3.96515E-4
80.566406; 4.31656E-4
82.031250; 4.00429E-4
83.496094; 4.25730E-4
84.960938; 3.75931E-4
86.425781; 3.83504E-4
87.890625; 3.96495E-4
89.355469; 3.76811E-4
90.820312; 4.30087E-4
92.285156; 4.29902E-4
93.750000; 4.10584E-4
95.214844; 4.19397E-4
96.679688; 3.57694E-4
98.144531; 1.67206E-3
99.609375; 5.32479E-3
101.074219; 4.11850E-3
102.539062; 6.39540E-4
104.003906; 3.98322E-4
105.468750; 3.50727E-4
106.933594; 3.56085E-4
108.398438; 3.96884E-4
109.863281; 3.76433E-4
111.328125; 3.84588E-4
112.792969; 3.91572E-4
114.257812; 3.70734E-4
115.722656; 3.51668E-4
117.187500; 4.00947E-4
118.652344; 3.63122E-4
120.117188; 3.54321E-4
121.582031; 4.13034E-4
123.046875; 4.08491E-4
124.511719; 3.89553E-4
125.976562; 3.59023E-4
127.441406; 3.95915E-4
128.906250; 3.95732E-4
130.371094; 3.62757E-4
131.835938; 3.97019E-4
133.300781; 3.98197E-4
134.765625; 4.17939E-4
136.230469; 4.06814E-4
137.695312; 4.58334E-4
139.160156; 4.49982E-4
140.625000; 4.39436E-4
142.089844; 3.82669E-4
143.554688; 4.25414E-4
145.019531; 4.13024E-4
146.484375; 3.38044E-4
147.949219; 3.55120E-4
149.414062; 3.88039E-4
150.878906; 4.01318E-4
152.343750; 4.44998E-4
153.808594; 4.14474E-4
155.273438; 3.79955E-4
156.738281; 4.20275E-4
158.203125; 3.74577E-4
159.667969; 3.60055E-4
161.132812; 3.33955E-4
162.597656; 3.70727E-4
164.062500; 4.03310E-4
165.527344; 4.50654E-4
166.992188; 3.92730E-4
168.457031; 3.50855E-4
169.921875; 4.20991E-4
171.386719; 3.80711E-4
172.851562; 3.51701E-4
174.316406; 3.45779E-4
175.781250; 3.24798E-4
177.246094; 3.38258E-4
178.710938; 3.67100E-4
180.175781; 3.97982E-4
181.640625; 4.23176E-4
183.105469; 3.99987E-4
184.570312; 3.70265E-4
186.035156; 4.04854E-4
187.500000; 4.33515E-4
188.964844; 3.82168E-4
190.429688; 3.67617E-4
191.894531; 4.90262E-4
193.359375; 4.25309E-4
194.824219; 4.25044E-4
196.289062; 4.27780E-4
197.753906; 4.54396E-4
199.218750; 6.64603E-4
200.683594; 7.34775E-4
202.148438; 4.52823E-4
203.613281; 3.72368E-4
205.078125; 4.16280E-4
206.542969; 3.72650E-4
208.007812; 3.55412E-4
209.472656; 3.32601E-4
210.937500; 3.31630E-4
212.402344; 3.38235E-4
213.867188; 4.44902E-4
215.332031; 3.72408E-4
216.796875; 3.60098E-4
218.261719; 4.48580E-4
219.726562; 3.89249E-4
221.191406; 3.89783E-4
222.656250; 4.49764E-4
224.121094; 4.58170E-4
225.585938; 4.32176E-4
227.050781; 4.62820E-4
228.515625; 4.47030E-4
229.980469; 4.14959E-4
231.445312; 3.75134E-4
232.910156; 4.07599E-4
234.375000; 4.38828E-4
235.839844; 4.41401E-4
237.304688; 3.55260E-4
238.769531; 3.63424E-4
240.234375; 3.67546E-4
241.699219; 3.69572E-4
243.164062; 3.89814E-4
244.628906; 4.34611E-4
246.093750; 4.16402E-4
247.558594; 3.84173E-4
249.023438; 4.02889E-4
